Hash;Original;Tradução
"0119c18";"Let's go make our wish, little Sparrow!";"Vamos fazer nosso pedido, jovem Sparrow!"
"09dc2a3";"No!";"Não!"
"0eb63fc";"The Hero had to impress Reaver, the third Hero.";"O Herói precisava impressionar Reaver, o terceiro Herói."
"2107ecc";"Very wise, little ones!";"Muito sábios, pequeninos!"
"38012ae";"You know, you remind of another little boy I once knew, long ago.";"Sabe, você me lembra um outro garotinho que eu conheci, há muito tempo atrás."
"385c76c";"You know, you remind of another little girl I once knew, long ago.";"Sabe, você me lembra uma outra garotinha que eu conheci, há muito tempo atrás."
"3998e0b";"This isn't what I wanted -- but nothing must stand in my way.";"Não era isso que eu queria, mas nada deve me impedir."
"4998ffe";"What's happening?";"O que está acontecendo?"
"5999151";"I'm sorry.";"Me desculpe."
"69992c4";"No, wait. Don't!";"Não, espere. Não faça isso!"
"7edb4ad";"I promise, it won't hurt you.";"Prometo que não vai te machucar."
"8edb11e";"Would you kindly stand in the circle, please?";"Por favor, junte-se ao círculo."
"8f612ed";"Erm...";"Hum..."
"99c1ec8";"The Hero needed to earn a reputation to enter the Crucible.";"O Herói precisava ganhar reputação para entrar no Crisol."
"9eed970";"Nothing to worry about.";"Nada com que se preocupar."
"a9c20bb";"The Hero needed to win the Crucible in order to join Lucien's army.";"O Herói precisava vencer o Crisol para se juntar ao exército de Lucien."
"af067b0";"What's that?";"O que é isso?"
"bf1a954";"Perhaps that could be arranged.";"Talvez isso possa ser combinado."
"cefa179";"To live in a castle... like this one.";"Viver em um castelo... como este."
"deedd17";"Let us find out if you possess them.";"Vamos descobrir se você os possui."
"e2691e6";"You would not survive the fall.";"Você não sobreviveria à queda."
"ef04da4";"I'm working to rebuild -- well, I'm working on something wonderful, for which I need individuals with particular talents.";"Estou trabalhando para reconstruir -- bem, estou trabalhando em algo maravilhoso, para o qual preciso de pessoas com talentos específicos."
"f644a0f";"But who is the Hero of our tale?";"Mas quem é o Herói da nossa história?"
"f905a50";"The Hero's story continued happily ever after.";"A história do herói continuou feliz para sempre."
"12667388";"And so our story begins...";"E assim começa nossa história..."
"1681c7ac";"Then let his destiny unfold.";"Então deixe seu destino se revelar."
"16845ab4";"Then let her destiny unfold.";"Então deixe o destino dela se revelar."
"187e8442";"The Hero was earning coins to buy a magical music box.";"O Herói estava ganhando moedas para comprar uma caixa de música mágica."
"1a4aea13";"Miracles, wishes and dreams for sale -- at affordable prices!";"Milagres, desejos e sonhos à venda -- a preços acessíveis!"
"1a7dd5d2";"The Hero was granted an audience with Lord Lucien.";"Foi concedida ao Herói uma audiência com o Lorde Lucien."
"1d4bf943";"Roll up, roll up!";"Venham, venham!"
"1f4bfca9";"Come one, come all!";"Venham todos!"
"204cb278";"Gather round for the sale of the century!";"Reúnam-se para a promoção do século!"
"391f025b";"The Hero was living with her sister in the Old Town section of Bowerstone.";"A Heroína morava com sua irmã na parte antiga de Bowerstone."
"39238076";"The Hero was living with his sister in the Old Town section of Bowerstone.";"O Herói morava com sua irmã na parte antiga de Bowerstone."
"4c3c1980";"[Laughs]";"[Laughs]"
"4d48a8a8";"Ha ha ha. Very amusing.";"Hahaha. Muito engraçado."
"4f89ae38";"Hello, young man.";"Olá, rapaz."
"50a6a469";"[Laughs]";"[Laughs]"
"51a72f23";"You shouldn't go hanging around here on your own.";"Você não deveria ficar por aqui sozinho."
"52a91bbf";"Watch it, kid.";"Cuidado, garoto."
"53a89b9b";"Say hello to your sister from me.";"Mande um abraço para sua irmã."
"5497c335";"The Hero was to escort the monk to the Wellspring of Light in the cave.";"O Herói deveria escoltar o monge até a Fonte de Luz na caverna."
"54a51528";"Looks like you ain't gonna eat today either.";"Parece que você também não vai comer hoje."
"559b4991";"The Hero had to earn renown to impress the abbot.";"O Herói teve que ganhar renome para impressionar o abade."
"5697d4cc";"The Hero needed to find the abbot of the Temple of Light.";"O Herói precisava encontrar o abade do Templo da Luz."
"5740d812";"How nice.";"Que legal."
"583fb7a4";"Excellent.";"Excelente."
"593fe6d8";"Yes, very impressive.";"Sim, muito impressionante."
"5a3cf898";"Wonderful.";"Maravilhoso."
"5b3e7267";"Ah, very good.";"Ah, muito bom."
"5d62b364";"The Hero and Reaver had to travel through the caves to escape Bloodstone.";"O Herói e o Reaver tiveram que atravessar as cavernas para escapar de Bloodstone."
"5f303fc4";"What was your wish?";"Qual era o seu desejo?"
"5f7a0f79";"The Hero needed to survive the Spire and find Garth.";"O Herói precisava sobreviver à Torre e encontrar Garth."
"603375b7";"Well, speak up -- what did you wish for?";"Bem, fale logo — o que você desejou?"
"60741f48";"The Hero had won the Crucible and could now sail to the Spire as a recruit in Lucien's army.";"O Herói venceu o Crisol e agora podia navegar até a Torre como um recruta no exército de Lucien."
"612e69f6";"Yes, m'lord. The man who sold it to us said it was magic.";"Sim, meu senhor. O homem que nos vendeu disse que era mágico."
"622e472d";"The box is of no interest to me; what's remarkable is that you were able to use it.";"A caixa não me interessa; o que é notável é que você conseguiu usá-la."
"633018a6";"It vanished, m'lord. We were winding it up, and we made a wish, and then it started to glow and it disappeared.";"Desapareceu, meu senhor. Estávamos dando corda, fizemos um pedido, e então começou a brilhar e desapareceu."
"642f7438";"After you used it.";"Depois de usar."
"65301b8c";"Here we are. Lord Lucien? The children are here.";"Aqui estamos. Lorde Lucien? As crianças estão aqui."
"661a5d0a";"Uuuhhh.";"Uuuhhh."
"6633a04d";"Children. It's come to my attention that you have some sort of magic box. May I see it?";"Crianças. Percebi que vocês têm algum tipo de caixa mágica. Posso vê-la?"
"67643852";"We look up at this castle every day and think how nice it is; we both do.";"Olhamos para este castelo todos os dias e pensamos em como ele é bonito; nós dois pensamos."
"680da1bb";"%1 of 5 gold pieces";"%1 de 5 peças de ouro"
"6918a046";"Oooooh.";"Oooooh."
"696e21bd";"It is quite wonderful, isn't it?";"É maravilhoso, não é?"
"6a680afb";"But inside it's even more beautiful than I imagined.";"Mas por dentro é ainda mais bonito do que eu imaginava."
"6b65a5e7";"Huh. Man of few words.";"Hum. Homem de poucas palavras."
"6bbf3f57";"Your Will energy is low. Be careful!";"Sua energia de Vontade está baixa. Cuidado!"
"6c663415";"Ah, hello, Master Garth.";"Ah, olá, Mestre Garth."
"6c7dfd88";"The Hero and his companions had to enter Garth's cullis gate in Brightwood.";"O Herói e seus companheiros tiveram que entrar no portão secreto de Garth em Brightwood."
"6c7fd65f";"The Hero and her companions had to enter Garth's cullis gate in Brightwood.";"A Heroína e seus companheiros tiveram que entrar no portão secreto de Garth em Brightwood."
"6d65d837";"Oh, in the north wing. Lord Lucien hasn't been in there since... Since the tragic deaths of Lady Fairfax and little Amelia.";"Ah, na ala norte. Lorde Lucien não entra lá desde... desde as mortes trágicas de Lady Fairfax e da pequena Amelia."
"6e6611f0";"Where is the grand dining hall?";"Onde fica o grande salão de jantar?"
"6ebbc3a6";"[gasps]";"[gasps]"
"6f641daa";"Oh, I heard. That was so awful.";"Ah, eu ouvi falar. Foi horrível."
"72eeccee";"Address him as "my lord." Speak only when spoken to.";"Dirija-se a ele como "meu senhor." Fale apenas quando lhe dirigirem a palavra."
"73ee6a37";"That's wonderful. Now, when you meet Lord Lucien, you must show respect at all times.";"Isso é maravilhoso. Agora, quando encontrar o Lorde Lucien, você deve mostrar respeito o tempo todo."
"74f06ad8";"And do not mention Lady Fairfax or Amelia.";"E não mencione Lady Fairfax ou Amelia."
"75f32705";"Yes sir.";"Sim, senhor."
"78492f4f";"After years of healing, the Hero now lived in the gypsy camp with a blind seer.";"Depois de anos se recuperando, o Herói agora vivia no acampamento cigano com um vidente cego."
"7b446b10";"The Hero had received a birthday present from the blind seer.";"O Herói recebeu um presente de aniversário do vidente cego."
"7ce4ce80";"What? Is this a joke?";"O quê? Isso é uma piada?"
"7de4d6aa";"I must decline, child, but thank you anyway.";"Devo recusar, criança, mas agradeço mesmo assim."
"7ee2c171";"Perhaps another time.";"Talvez em outra ocasião."
"8217d078";"Have you reconsidered my offer?";"Você reconsiderou minha oferta?"
"82534ef9";"Ah, yes.";"Ah, sim."
"83187b71";"We'll never be that hungry. The answer is "no!"";"Nunca passaremos tanta fome. A resposta é "não!""
"85152bf7";"Hello there, young Rose. You look hungry.";"Olá, jovem Rose. Você parece faminta."
"855b9017";"Where was I?";"Onde eu estava?"
"855d983c";"Enough!";"Chega!"
"865f613a";"Do not make me punish you, child!";"Não me obrigue a castigá-lo(a), criança!"
"877f01b3";"What do you want?";"O que você quer?"
"8815b014";"You'll be back. And I'll be waiting for ya.";"Você voltará. E eu estarei esperando por você."
"887f2185";"Quiet, boy.";"Silêncio, garoto."
"897cbd78";"Ooh. All right, settle down, there's a nice... angry stray dog...";"Ooh. Tudo bem, acalme-se, ali está um... cachorro de rua bravo..."
"89ac30a8";"The Hero had to make her way through Wraithmarsh to Bloodstone.";"A Heroína teve que atravessar o Pântano Espectral até chegar à Bloodstone."
"89ac4c69";"The Hero had to make his way through Wraithmarsh to Bloodstone.";"O Herói teve que atravessar o Pântano Espectral até chegar à Bloodstone."
"8c7e86e6";"It did work! Our wish came true!";"Funcionou! Nosso desejo se realizou!"
"8d3d188c";"Come on little Sparrow, let's go play.";"Vamos lá, jovem Sparrow, vamos brincar."
"8d7f0bee";"I've been sent to collect you.";"Fui enviado para te buscar."
"8e3fb630";"The Hero was a child again, and reunited with Rose, in a place both perfect and strange.";"O Herói voltou a ser criança e reencontrou Rose em um lugar perfeito e estranho ao mesmo tempo."
"8e7d5c9e";"I work for Lord Lucien, miss. And he would very much like to see you in his castle.";"Eu trabalho para o Lorde Lucien, senhora. E ele gostaria muito de vê-la no seu castelo."
"8f461d6f";"Evening, Jeeves. Here are the children Lord Lucien asked for.";"Boa noite, Jeeves. Aqui estão as crianças que Lorde Lucien pediu."
"8f4724e8";"Excellent!";"Excelente!"
"90478c9d";"If you'd follow me please.";"Se você pudesse me seguir, por favor."
"914cb898";"Hello, sir.";"Olá, senhor."
"9828dad1";"To be one of your little thieves? We'll never be that hungry.";"Ser um dos seus pequenos ladrões? Nunca teremos tanta fome."
"9fac6e6f";"The Hero was to complete the ritual in Bower Lake.";"O Herói deveria completar o ritual em Bower Lake."
"a08a37d0";"Winter is here, and life on the streets of Bowerstone Old Town is tough. You and your sister Rose are just doing your best to survive.";"O inverno chegou e a vida nas ruas da Cidade Velha de Bowerstone é difícil. Você e sua irmã Rose estão apenas fazendo o possível para sobreviver."
"a34b3fda";"The Hero needed to defeat the bandit leader, Thag, in Bower Lake.";"O Herói precisava derrotar o líder dos bandidos, Thag, no Lago Bower."
"a5bedf5b";"The Hero had to take the music box to the Spire, to confront Lucien.";"O Herói teve que levar a caixa de música até a Torre para confrontar Lucien."
"a6775963";"[Laughs]";"[Laughs]"
"abb2e119";"Quiet!";"Silêncio!"
"ac55f5af";"Come closer.";"Chegue mais perto."
"ac56644c";"Oh, I am sorry-- young lady. My eyes do not see the way they used to.";"Oh, me desculpe, mocinha. Meus olhos não enxergam mais como antes."
"acb31ee8";"You're heroes -- but you're not any of the three...";"Vocês são heróis -- mas não são nenhum dos três..."
"adb3084f";"What are you?";"O que você é?"
"aeb66af3";"M'lord, what happened? What's that light?";"Meu senhor, o que aconteceu? Que luz é essa?"
"afb5ee4e";"Heroes? You mean like in the old stories?";"Heróis? Você quer dizer como nas histórias antigas?"
"b0b6d4ff";"Ah!";"Ah!"
"b2b7b104";"It's true. Your blood -- you are Heroes.";"É verdade. Seu sangue... vocês são Heróis."
"b4ef3684";"The Hero and Garth had to find the Commandant and break out of the Spire together.";"O Herói e Garth tiveram que encontrar o Comandante e escapar da Torre juntos."
"b7f3dfc6";"The Hero, having spent years in the Spire, still needed to find Garth.";"O Herói, tendo passado anos na Torre, ainda precisava encontrar Garth."
"b9b30bac";"Wait. There was, there was something here...";"Espera. Tinha, tinha alguma coisa aqui..."
"bab55d05";"One of you is the fourth.";"Um de vocês é o quarto."
"bf683500";"The Hero had learned of the great arena in Westcliff, the Crucible.";"O Herói soube da grande arena em Westcliff, o Crisol."
"c2675271";"The Hero and Hammer were to travel to the Crucible in Westcliff.";"O Herói e Hammer deveriam viajar para o Crucible em Westcliff."
"c2e9f328";"Hello children.";"Olá, crianças."
"c2f1d229";"Very well, we will continue the story later.";"Muito bem, continuaremos a história mais tarde."
"c31a88df";"The Hero knew that great power awaited him in the tomb beneath Bower Lake.";"O Herói sabia que um grande poder o aguardava no túmulo sob o Lago Bower."
"c31b5893";"The Hero knew that great power awaited her in the tomb beneath Bower Lake.";"A Heroína sabia que um grande poder a aguardava no túmulo sob o Lago Bower."
"c3ed03e0";"Hello, we've come to buy the music box.";"Olá, viemos comprar a caixa de música."
"c58fff35";"The Hero was to meet Lucien's old retainer at the Cow and Corset.";"O Herói deveria encontrar o antigo criado de Lucien no Cow and Corset."
"c61cd3a1";"You have reached Recognised status.";"Você alcançou o status de Reconhecido."
"c71c7ecf";"You have reached Familiar status.";"Você alcançou o status de Familiar."
"c819f0f5";"You have reached Celebrated status.";"Você alcançou o status de Celebrado."
"c894fee0";"The Hero needed to find a way to the Spire, where Lucien was holding Garth.";"O Herói precisava encontrar um caminho até a Torre, onde Lucien mantinha Garth prisioneiro."
"c89d8320";"The more consistently you hit, the higher your combat multiplier.";"Quanto mais consistente for seu golpe, maior será seu multiplicador de combate."
"c91cb885";"You have reached Famous status.";"Você alcançou o status de Famoso."
"c99e1d01";"A higher combat multiplier means higher experience. See how high you can get it.";"Um multiplicador de combate maior significa mais experiência. Veja até onde você consegue chegar."
"ca1e187d";"You have reached Illustrious status.";"Você alcançou o status de Ilustre."
"cb19d06d";"You have reached Luminary status.";"Você alcançou o status de Luminar."
"cb9ca450";"Try to get your combat multiplier even higher.";"Tente aumentar ainda mais o seu multiplicador de combate."
"cc1b28d0";"You have reached Legendary status.";"Você alcançou o status Lendário."
"d31c5a08";"The Hero was to meet Garth at his tower in Brightwood.";"O Herói deveria encontrar Garth em sua torre em Brightwood."
"d3d24c21";"This is no time for games, child!";"Não é hora para brincadeiras, criança!"
"d4d25d98";"Must you do that?";"Você precisa mesmo fazer isso?"
"d7d26251";"Stop that at once!";"Pare com isso imediatamente!"
"d9d73bc3";"Do not make me lose my patience, child.";"Não me faça perder a paciência, criança."
"dad555ae";"You will behave in my presence!";"Você se comportará na minha presença!"
"e1e75818";"Yes, he misses them terribly.";"Sim, ele sente muita falta deles."
"e2e7a112";"So... where does he eat?";"Então... onde ele come?"
"e3e7b66b";"Actually, he takes most of his meals in his study.";"Na verdade, ele faz a maioria das refeições no escritório."
"e4e8b591";"He's in there working all hours, doing research...";"Ele está lá dentro trabalhando sem parar, pesquisando..."
"e5eb4860";"What does he research?";"O que ele pesquisa?"
"e66f9caa";"Hello, young ladies.";"Olá, moças."
"e66fcbbe";"Hello, young masters.";"Olá, jovens mestres."
"e6e6dda8";"History, mostly. Lord Lucien is quite keen on antiquities of all sorts, but he is chiefly interested in things relating to the Old Kingdom.";"História, principalmente. Lord Lucien gosta muito de antiguidades de todos os tipos, mas está interessado principalmente em coisas relacionadas ao Reino Antigo."
"e8e835e3";"There was a trader in Old Town who said his stuff was from the Old Kingdom.";"Havia um comerciante na Cidade Velha que dizia que suas mercadorias eram do Antigo Reino."
"e9e7c930";"Yes... yes, I believe Lord Lucien... heard about that.";"Sim... sim, acredito que Lord Lucien... ouviu falar disso."
"eaeb26a3";"We bought a piece of it and we made a wish and now we're here!";"Compramos um pedaço daqui, fizemos um pedido e agora estamos aqui!"
"ef808ee8";"The Hero needed to journey to Oakfield.";"O Herói precisava viajar para Oakfield."
"f08494c0";"The Hero was awaiting news of the blind seer in Bowerstone Market.";"O Herói aguardava notícias do vidente cego no Mercado de Bowerstone."
"f1805417";"The Hero had been asked to meet the blind seer in Bowerstone Market.";"O Herói foi incumbido de encontrar o vidente cego no Mercado de Bowerstone."
"f2a56d3c";"Oh... it's just a trader.";"Ah... é só um comerciante."
"f5a6048e";"I can't see anything past this lot.";"Não consigo enxergar nada além disso."
"f64481a9";"I will tell you his story, if you will listen.";"Eu contarei a história dele, se você quiser ouvir."
"f64c8519";"I will tell you her story, if you will listen.";"Eu contarei a história dela, se você quiser ouvir."
"fbd85b49";"The Hero was on her way to use the magical music box.";"A Heroína estava a caminho para usar a caixa de música mágica."
"fbd8db11";"The Hero was on his way to use the magical music box.";"O Herói estava a caminho para usar a caixa de música mágica."
"fdeb2be8";"The Hero had to find the Shadow Court in Wraithmarsh.";"O Herói teve que encontrar a Corte das Sombras em Wraithmarsh."
"feeb5b99";"The Hero needed to return to Reaver, having fulfilled his terrible promise.";"O Herói precisava retornar a Reaver, tendo cumprido sua terrível promessa."
"ff0faac7";"Go ahead and turn the handle -- but mind you go somewhere quiet, like.";"Vá em frente e gire a alavanca -- mas lembre-se de ir para um lugar tranquilo, sabe?"
"ff2159e3";"The Hero was following Sister Hannah to find out what was amiss at the temple.";"O Herói estava seguindo a Irmã Hannah para descobrir o que estava acontecendo no templo."
"ff99d0b9";"I can't allow you to live either.";"Eu também não posso permitir que você viva."
