Hash;Original;Tradução
"8b689c9";"You won't find much in the castle. It's been deserted for years.";"Você não encontrará muita coisa no castelo. Ele está abandonado há anos."
"8b6aa00";"It is pathetic what has happened to Lucien's old butler. He'll do anything to finance his addiction to drink.";"É lamentável o que aconteceu com o antigo mordomo de Lucien. Ele fará qualquer coisa para financiar seu vício em bebida."
"11b6981d";"If you see that old butler Jeeves, be sure to hold your nose. Positively reeks of gin.";"Se você vir aquele velho mordomo Jeeves, tape o nariz. Cheira muito a gim."
"11b70428";"Have you seen Lucien's old butler. Dear me... and he used to be so proper...";"Você viu o velho mordomo de Lucien? Meu Deus... e ele costumava ser tão correto..."
"1cda9e39";"The Crucible? It's sick! I love it!";"O Crisol? É demais! Adorei!"
"1cdc4f3c";"I can't wait for the next contest to start. I've already got my peanuts!";"Mal posso esperar para o próximo concurso começar. Já tenho meus amendoins!"
"27daaf69";"There's a new Crucible contest starting soon. It's gonna be great!";"Um novo torneio do Crisol começará em breve. Vai ser ótimo!"
"27ddb32c";"There's no better entertainment than The Crucible. Violenter than a night out!";"Não há entretenimento melhor do que o Crisol. Mais violento do que uma noite na balada!"
"49c14461";"I got my man waitin' for me in Westcliff, but I can't bleedin' get there!";"Meu homem está me esperando em Westcliff, mas não consigo chegar lá!"
"49c14462";"Got some brothers in Westcliff. Always drunk, always fighting. Cuh!";"Tenho uns manos em Westcliff. Sempre bêbados, sempre brigando. Mano!"
"49c14463";"I sometimes dream of donning a disguise and sneaking into The Crucible. The sight of all those men tearing each other apart...";"Às vezes sonho em me disfarçar e entrar sorrateiramente no Crucible. A visão de todos aqueles homens se despedaçando..."
"49c14464";"Westcliff? Why the very name offends mine ears.";"Westcliff? Só de pensar nesse nome já me dá arrepios."
"49c14466";"I bet the Crucible is an exciting place. Not worth risking a trip to Westcliff for it though.";"Aposto que o Crisol é um lugar emocionante. Mas não vale a pena arriscar uma viagem até Westcliff por isso."
"49c14467";"The sea route to Westcliff is far too dangerous. And it doesn't get any safer once you get there.";"A rota marítima para Westcliff é muito perigosa. E não fica mais segura depois que você chega lá."
"49c3b532";"Westcliff? Full of thugs, murderers and scum.";"Westcliff? Cheia de bandidos, assassinos e escória."
