Hash;Original;Tradução
"0686299";"Kemala Face Tattoo";"Tatuagem Facial da Kemala"
"2dcea39";"Bargate Face Tattoo";"Tatuagem Facial de Bargate"
"609417a";"When science and technology was first in the ascendant, tattooists everywhere feared their art would become obsolete in the modern world. Clockwork patterns were designed to attract the new breed of forward-thinking men and women.";"Quando a ciência e a tecnologia começaram a ascender, tatuadores do mundo todo temiam que sua arte se tornasse obsoleta. Os padrões de relógio foram criados para atrair a nova geração de homens e mulheres com visão de futuro."
"8565d7b";"Albionite Body Tattoo";"Tatuagem Corporal de Albionita"
"9e7d74d";"It is said that the worshippers of The Chasm long for the day the ground splits beneath our feet and we are all sucked into the abyss, where the true believers will rule forever.";"Dizem que os adoradores do Abismo anseiam pelo dia em que a terra se abrirá sob nossos pés e todos seremos sugados para o abismo, onde os verdadeiros crentes reinarão para sempre."
"ccd6da0";"Thesians Body Tattoo";"Tatuagem Corporal Thesians"
"f203da8";"Abyssal Body Tattoo";"Tatuagem Corporal Abissal"
"12ee436c";"Bargate Body Tattoo";"Tatuagem corporal Bargate"
"174c9ee4";"Banshee Rags";"Banshee Rags"
"1e4b6297";"Tramp Clothing";"Roupas de mendigo"
"220fde82";"The clothes smell of regular use... as a toilet.";"As roupas cheiram a uso regular... como banheiro."
"24a356eb";"These intricate patterns are based on the now long-lost tapestries of the first societies to emerge after the fall of the Old Kingdom. It was a time of uncertainty, superstition and fear, and these designs were meant to ward off evil.";"Esses padrões intrincados são baseados nas tapeçarias, agora perdidas, das primeiras sociedades a surgir após a queda do Antigo Reino. Era uma época de incerteza, superstição e medo, e esses desenhos tinham o propósito de afastar o mal."
"2797ed15";"Dark Flames Body Tattoo";"Tatuagem Corporal de Chamas Escuras"
"29166a9f";"Nomad Shaman Body Tattoo";"Tatuagem Corporal de Xamã Nômade"
"2bc1a008";"Following the discovery of cave paintings in an island off the coast of Albion, historians have ascertained the existence of a civilisation which predates the Old Kingdom: the Abyssals. Their connection to the sea was such, that many experts believe they were actually amphibious.";"Após a descoberta de pinturas rupestres em uma ilha na costa de Albion, historiadores constataram a existência de uma civilização que antecede o Antigo Império: os Abissais. Sua ligação com o mar era tamanha que muitos especialistas acreditam que eles eram, na verdade, anfíbios."
"2e9a4010";"Radicle Face Tattoo";"Tatuagem de Rosto Radicular"
"2f0a0c79";"Radicle Body Tattoo";"Tatuagem Radicular no Corpo"
"34fcb006";"The Ferals were a race of nomadic mystics early in Albion's history who used their meditative techniques and magical powers for violence rather than introspection. When a member of the tribe came of age, they were gifted with a tattoo like this, which would embed itself on to the skin without the need of a tattooist.";"Os Selvagens eram uma raça de místicos nômades do início da história de Albion, que usavam suas técnicas meditativas e poderes mágicos para a violência em vez da introspecção. Quando um membro da tribo atingia a maioridade, era presenteado com uma tatuagem como esta, que se fixava na pele sem a necessidade de um tatuador."
"43c9adc8";"Feral Face Tattoo";"Tatuagem Facial Selvagem"
"4b6eef6c";"Soft and comfortable, this ceremonial robe from the Temple of Light makes the world seem a brighter place.";"Macio e confortável, este manto cerimonial do Templo da Luz ilumina o mundo."
"4f967372";"The last generations of inmates at Bargate Prison, before it was demolished, were recognisable everywhere from these tattoos, developed by non-artists and usually inked with less that wholesome materials.";"As últimas gerações de detentos da Prisão de Bargate, antes de sua demolição, eram facilmente reconhecidas por essas tatuagens, feitas por pessoas sem formação artística e geralmente com materiais pouco saudáveis."
"50074a7b";"Travellers to the more remote regions of Samarkand have often returned with drawings of the nomadic tribes they encountered there. This tattoo is traditionally worn by the best archers among those tribes.";"Viajantes que visitam as regiões mais remotas de Samarcanda costumam trazer desenhos das tribos nômades que encontram por lá. Esta tatuagem é tradicionalmente usada pelos melhores arqueiros dessas tribos."
"54ec0a78";"Travellers to the more remote regions of Samarkand have often returned with drawings of the nomadic tribes they encountered there. This tattoo is traditionally worn by the best archers among those tribes.";"Viajantes que se aventuraram pelas regiões mais remotas de Samarcanda frequentemente retornavam com desenhos das tribos nômades que encontraram. Esta tatuagem é tradicionalmente usada pelos melhores arqueiros dessas tribos."
"5a389439";"This was the logo of the company founded by the great alchemist Leo Head, inventor of extraordinary potions and first occupant of Castle Fairfax. The magical properties of the ink he created mean the tattoo will apply itself automatically whenever you use it, without the need to visit a tattooist.";"Este era o logotipo da empresa fundada pelo grande alquimista Leo Head, inventor de poções extraordinárias e primeiro ocupante do Castelo Fairfax. As propriedades mágicas da tinta que ele criou fazem com que a tatuagem se aplique automaticamente sempre que você a usar, sem precisar ir a um tatuador."
"6369e411";"Nomad Shaman Face Tattoo";"Tatuagem Facial de Xamã Nômade"
"6b740899";"The Death Clan was a notorious gang of bandits who terrorised Albion over two-hundred years ago. Members of the clan all wore these hideous tattoos, designed to inspire fear, to the point where many believed they weren't human at all, but monstrous spirits sent to torment humanity.";"O Clã da Morte era uma gangue notória de bandidos que aterrorizou Albion há mais de duzentos anos. Os membros do clã usavam tatuagens horríveis, feitas para inspirar medo, a ponto de muitos acreditarem que eles não eram humanos, mas espíritos monstruosos enviados para atormentar a humanidade."
"6d4f1c50";"Travellers to the more remote regions of Samarkand have often returned with drawings of the nomadic tribes they encountered there. This tattoo is traditionally worn by the wisest shamans among those tribes.";"Viajantes que visitavam as regiões mais remotas de Samarcanda frequentemente retornavam com desenhos das tribos nômades que encontravam. Esta tatuagem é tradicionalmente usada pelos xamãs mais sábios dessas tribos."
"6f0848f1";"Thag's Head";"Cabeça de Thag"
"7e4615b8";"Cult of Blades Body Tattoo";"Tatuagem Corporal do Culto das Lâminas"
"81067068";"The ancient Thesians had a deep love for labyrinths, which went so far that even their streets were giant puzzles to be solved during every day use. This obsession is reflected in their body art, which is meant to represent the enigma of the human soul that dwells beneath the skin.";"Os antigos tesianos tinham um profundo amor por labirintos, a ponto de suas ruas serem verdadeiros quebra-cabeças gigantes a serem resolvidos no dia a dia. Essa obsessão se reflete em suas tatuagens, que representam o enigma da alma humana que reside sob a pele."
"8dfc6548";"Years after the death of Jack of Blades, a cult who worshipped him and attempted to find ways to bring him back made a brief appearance. Their members all sported these tattoos and set out to spread violence and chaos wherever they went.";"Anos após a morte de Jack of Blades, um culto que o venerava e tentava encontrar maneiras de trazê-lo de volta fez uma breve aparição. Seus membros ostentavam essas tatuagens e saíram para espalhar violência e caos por onde passavam."
"90b5c9b4";"Kemala Body Tattoo";"Tatuagem Corporal Kemala"
