Hash;Original;Tradução
"31c7219";"Oh, why is the bar so far away? Oh why oh why oh why...";"Oh, por que o bar é tão longe? Oh, por que, oh, por que, oh, por que..."
"31c721a";"Times like this, beer's all that keeps me going. You know.";"Em momentos como este, a cerveja é tudo o que me mantém de pé. Sabe?"
"31c721c";"Things just aren't like they used to be.";"As coisas não são mais como eram antes."
"31c721d";"I find nothing but a melancholic reflection at the bottom of these tankards.";"Não encontro nada além de um reflexo melancólico no fundo dessas canecas."
"31c721e";"It has come to this. Me, sharing a drink with the rabble. *sigh*";"Chegamos a este ponto. Eu, dividindo um drinque com a ralé. *suspiro*"
"31c721f";"Oh, it's all going to buggery. <sighs>";"Ah, tudo vai por água abaixo. <sighs>"
"31e8434";"Oh, what's the point in anything.";"Ah, qual o sentido de tudo isso?"
"5914932";"Don't you get depressed by the way the sky kind of just hangs there? Gets me down, I know that.";"Você não fica deprimido com o jeito que o céu parece estar ali parado? Isso me deixa pra baixo, eu sei."
"5914934";"I don't know what I'm going to do. I don't know. oh, no...";"Eu não sei o que vou fazer. Eu não sei. Oh, não..."
"1d52ae63";"Wouldn't it be great if they had edible seats here? They could be made of crisps, or... something like that.";"Não seria ótimo se tivessem assentos comestíveis aqui? Poderiam ser feitos de batata frita, ou... algo assim."
"1d52ae64";"They've got some great drinks here. Only bad thing about them's the taste.";"Eles têm ótimas bebidas aqui. A única coisa ruim é o gosto."
"1d52ae65";"I've decided I'm going to get very very very drunk. Or maybe just very drunk.";"Decidi que vou ficar muito, muito, muito bêbado. Ou talvez só muito bêbado."
"1d52ae67";"Have you been coming here long?";"Você frequenta este lugar há muito tempo?"
"1d533d80";"The great thing about this place is that there's not much glass on the floor. Good place to pass out.";"O bom deste lugar é que não tem muito vidro no chão. Ótimo lugar para desmaiar."
"2452b969";"Have you looked under your seat? There's dirt there that was formed evolved a simple form of communication.";"Já olhou debaixo do seu assento? Tem sujeira lá que se formou e evoluiu uma forma simples de comunicação."
"2452b96a";"You know what I always say? You don't?? Well... I can't remember myself!";"Sabe o que eu sempre digo? Não sabe?? Bem... nem eu me lembro!"
"2452b96e";"I used to go to a pub called the Ambiguous Penguin. But they closed it down.";"Eu costumava ir a um pub chamado Pinguim Ambíguo. Mas ele fechou."
"2452b96f";"Do they sell Samarkand firewater here do you know?";"Você sabe se vendem aguardente de Samarcanda por aqui?"
"24539f30";"Good thing we have places like this to relax in.";"Ainda bem que temos lugares assim para relaxar."
"2d4aca2a";"I can't even remember the last time I was happy.";"Nem me lembro da última vez que fui feliz."
"2d4aca2b";"If it wasn't for beer, I think I'd just curl up and die.";"Se não fosse pela cerveja, acho que eu simplesmente me encolheria e morreria."
"2d4aca2c";"Did I ever tell you the story of how my wife left me?";"Já te contei a história de como minha esposa me deixou?"
"2d4aca2d";"This always happens to me.";"Isso sempre acontece comigo."
"2d4c6292";"I've got troubles. And plenty of 'em.";"Tenho problemas. E muitos deles."
"2dc58bdb";"Shame they don't sell any memory-removal drinks here. Memory always comes back eventually with beer.";"Uma pena que não vendam bebidas para apagar memórias por aqui. A memória sempre volta com uma cerveja."
"2dc58bdc";"It's all so pointless, don't you think?";"É tudo tão inútil, não acha?"
"2dc58bdd";"She died so young. So very young. Well, not that young. But still, twelve isn't really ancient for an earthworm, is it?";"Ela morreu tão jovem. Tão jovem mesmo. Bem, não tão jovem assim. Mas, ainda assim, doze anos não é muita idade para uma minhoca, né?"
"2dc58bde";"I'm so tired of my husband's unruly womanising ways.";"Estou tão cansada do jeito mulherengo e indisciplinado do meu marido."
