Hash;Original;Tradução
"0e597ce";"Oh, if only I had the time for such things.";"Ah, se eu tivesse tempo para essas coisas."
"1163262";"Now then! Now then! That is enough!";"Chega! Chega! Já basta!"
"141f695";"Don't be wasting my time with this rubbish.";"Não me faça perder tempo com essa bobagem."
"1523132";"Hmph. Stop that.";"Hmph. Pare com isso."
"1dd9238";"Perhaps another time, another place.";"Talvez em outro momento, em outro lugar."
"24f8d59";"I can't say I care for that at all.";"Não posso dizer que gosto disso."
"3461762";"Nah, I don't think so.";"Nah, acho que não."
"4227eca";"That isn't very nice.";"Isso não é muito legal."
"444f62f";"This isn't the best time. Maybe when I'm old. And you're dead.";"Esta não é a melhor hora. Talvez quando eu estiver velho. E você está morto."
"4cb1441";"Splendid.";"Excelente."
"5217fd9";"Oh, no, I don't like that at all.";"Ah, não, eu não gosto nada disso."
"6389a2d";"Ha ha!";"Haha!"
"738bd14";"Ha! It is not easy to make me laugh.";"Ha! Não é fácil me fazer rir."
"e4cfe96";"Grrrraaaaaargghhh!";"Grrrraaaaaargghhh!"
"e8f7cc2";"Ha ha!";"Ha ha!"
"11dc53a6";"Right mate, you're pushing your luck here.";"Certo, amigo, você está abusando da sorte."
"12dec5b0";"I'm not one to lose me temper, but it's happening now!";"Não costumo perder a paciência, mas agora estou perdendo!"
"12fe1808";"Huh?";"Hã?"
"1349c1b9";"Uff! Practice on someone else, will you?!";"Ufa! Pratique em outra pessoa, por favor?!"
"141f438b";"Very amusing, sir.";"Muito divertido, senhor."
"14204235";"Very amusing, madam.";"Muito divertido, senhora."
"15764b5c";"This is like the worst nightmare I've ever had.";"Isso é o pior pesadelo que já tive."
"16764ccf";"You... you're so horrible. Everything here is so horrible.";"Você... você é tão horrível. Tudo aqui é tão horrível."
"17764ea2";"I can't take this anymore.";"Não aguento mais."
"17c1930c";"Ha ha!";"Ha ha!"
"182ac6e0";"Whoa! Watch it! What you hitting me for?!";"Uau! Cuidado! Por que você está me batendo?!"
"18f643cc";"Ho ho ho!";"Ho ho ho!"
"1b517119";"No, don't leave me.";"Não, não me deixe."
"1c8575d8";"Ha, if my Lil could see us now.";"Ah, se minha Lil pudesse nos ver agora."
"1d8048e1";"That's great.";"Que ótimo!"
"1e807e40";"Like it.";"Gostei."
"1f813732";"Brilliant!";"Brilhante!"
"20752cf0";"Hur hur.";"Hur hur."
"2182773d";"Heh, good.";"Heh, bom."
"2282c988";"Excellent.";"Excelente."
"2307b7b4";"Stop it! Stop it! Stop it!";"Parem! Parem! Parem!"
"237de43f";"You are my type of recruit.";"Você é o tipo de recruta que eu gosto."
"23e944ef";"You're kidding me, right?";"Você está brincando, né?"
"247f2840";"We could do with more recruits like you.";"Precisamos de mais recrutas como você."
"24cf816c";"<whimpers>";"<whimpers>"
"257e94b9";"You are learning, recruit.";"Você está aprendendo, recruta."
"267fec11";"Ah, yes, very good.";"Ah, sim, muito bom."
"293285a1";"Yeah, nice.";"É, legal."
"299d835a";"I say, where are you going?";"Eu digo, para onde você vai?"
"2c921cb7";"You want me to throw you in there without your stuff?!";"Quer que eu te jogue lá dentro sem suas coisas?!"
"2db374ec";"That's my kind of thing all right.";"É exatamente o meu tipo de coisa."
"2f00cb90";"Aw, isn't that adorable.";"Ah, que fofo."
"306086b8";"*whimper*";"*choramingo*"
"30b47afd";"Brilliant.";"Genial."
"3153dcde";"I'm a rock. Get over it.";"Sou uma rocha. Supere isso."
"318581e8";"You are risking the future of Albion by bringing forth my ire!";"Você está arriscando o futuro de Albion ao despertar minha ira!"
"31fe3fd9";"That's wonderful.";"Que maravilha."
"3236c4b9";"Bah! That stinks!";"Bah! Que nojo!"
"32b0c38b";"<laughs>";"<laughs>"
"3337052a";"Utter tripe. The rotten, stinking sort too.";"Pura baboseira. E das mais podres e fedorentas."
"337ab2f1";"This really isn't the best time.";"Esta realmente não é a melhor hora."
"347d03f0";"I don't think so.";"Acho que não."
"34858c51";"Do not anger Gorgoron any further!";"Não irrite Gorgoron ainda mais!"
"3534ba53";"I'd rather watch maggots rolling about in the grave.";"Eu preferiria ver larvas rolando na sepultura."
"35ba8e67";"There is no place for this in the Spire!";"Não há lugar para isso na Torre!"
"362617c9";"Oh! No! No... Pl-please!";"Oh! Não! Não... Por favor!"
"367f3a24";"No -- not right now.";"Não -- agora não."
"36ba8fda";"Would you rather be a slave than a guard?";"Você prefere ser escravo(a) a guarda?"
"3724082f";"You think I have nothing to offer you?";"Você acha que eu não tenho nada a lhe oferecer?"
"3726c930";"*whimper* Oooohh...";"*gemido* Oooohh..."
"38264009";"Where you off to now?";"Para onde você vai agora?"
"3834bf2c";"You make me wish I was a corpse too.";"Você me faz desejar ser um cadáver também."
"3934c09f";"You're trying to get me to dig my own grave, aren't you?";"Você está tentando me fazer cavar minha própria cova, não é?"
"39bbc5cc";"You would do well not to displease me.";"É melhor você não me desagradar."
"3bbc56af";"I tire of your little games, recruit.";"Estou farto dos seus joguinhos, recruta."
"3cb3dbe2";"Ha ha ha!";"Hahaha!"
"3cbc12f7";"That is enough of that!";"Chega disso!"
"3d2333cb";"Most distressing.";"Muito perturbador."
"3f67317e";"Return to your duties!";"Volte ao trabalho!"
"406366d5";"I am not your friend.";"Eu não sou seu amigo."
"4084837f";"<laughs>";"<laughs>"
"4163ef75";"You have work to do.";"Você tem trabalho a fazer."
"417eaa95";"Hey, where are you going?";"Ei, para onde você está indo?"
"41ce01d8";"Ha ha ha!";"Ha ha ha!"
"42130932";"I don't believe this is appropriate right now.";"Acho que isso não é apropriado agora."
"42dda7fb";"Here we go again.";"Lá vamos nós de novo."
"431208db";"Gorgoron declines your offer.";"Gorgoron recusa sua oferta."
"49210371";"This really isn't the moment for that.";"Este realmente não é o momento para isso."
"4c2107ca";"Does this look like the right time?";"Parece ser o momento certo?"
"4c3a15d8";"Gaaaah!";"Gaaaah!"
"4dd742a8";"*whimper*";"*choramingo*"
"4e904a40";"Uff!";"Ufa!"
"4eda5e29";"Ooooh! No, please! Nooo!";"Ooooh! Não, por favor! Nãooo!"
"51800f14";"Uff! Why I should lock you up, you little rat!";"Ufa! Por que eu deveria te trancar, seu ratinho!"
"521a6ab8";"Oi, but I haven't finished speaking!";"Ei, mas eu ainda não terminei de falar!"
"52489a83";"<whimpers>";"<whimpers>"
"52ea0ae2";"Don't test my patience!";"Não teste minha paciência!"
"54ccf306";"An eternity staring at the ground is more fun.";"Uma eternidade olhando para o chão é mais divertida."
"55cd0be6";"You don't impress me.";"Você não me impressiona."
"561431d8";"<whimpers>";"<whimpers>"
"56e4f2de";"Ow! You rascal!";"Ai! Seu patife!"
"58f09cf5";"Ooooh! Nooooo!";"Ooooh! Nãooooo!"
"59ee66e5";"*whimper*";"*choramingo*"
"59f2646e";"Can't right now, got to keep the peace you know.";"Não posso agora, preciso manter a paz, sabe?"
"5bf267b4";"I'm a very busy guard.";"Sou um guarda muito ocupado."
"5ce28b46";"You going to listen this time? Like I was saying...";"Vai me ouvir desta vez? Como eu estava dizendo..."
"5cf0fdd8";"This ain't the best time, little 'un.";"Não é a melhor hora, pirralho."
"5d05deac";"You are no better than all the twits who join the mighty Temple of Shadows.";"Você não é melhor do que todos os idiotas que se juntam ao poderoso Templo das Sombras."
"5dc373ba";"So you are back. Finally.";"Então você voltou. Finalmente."
"5e54550b";"How dare you leave my presence when I'm speaking?!";"Como ousa me deixar enquanto estou falando?!"
"6002d1b6";"What foul behaviour is this?";"Que comportamento repugnante é esse?"
"60a1b41d";"How lovely.";"Que lindo."
"613e9e7e";"Ah, yes, very good.";"Ah, sim, muito bom."
"614fd01c";"Rather unnecessary, madam.";"Bastante desnecessário, senhora."
"615055d4";"Rather unnecessary, sir.";"Bastante desnecessário, senhor."
"61a1018d";"Thank you for cheering me up.";"Obrigado por me animar."
"61c3cc13";"Never get a gravekeeper angry!";"Nunca irrite um coveiro!"
"621e9de0";"<whimpers>";"<whimpers>"
"6254c63c";"<screams>";"<screams>"
"62c76790";"I'm starting to get really mad now!";"Estou começando a ficar realmente bravo agora!"
"63094b10";"You folk make me sick.";"Vocês me dão nojo."
"64083627";"You're not gonna win over the crowd with that!";"Você não vai conquistar a multidão com isso!"
"66cfed21";"You die!";"Você vai morrer!"
"66d7d00a";"Quite, madam.";"Silêncio, senhora."
"66d9089b";"Quite, sir.";"Silêncio, senhor."
"67568ab6";"No! Please! No!";"Não! Por favor! Não!"
"68568c29";"<cries>";"<cries>"
"6953d8e0";"<whimpers>";"<whimpers>"
"69e19bef";"Ha ha. You made Gorgoron laugh.";"Ha ha. Você fez Gorgoron rir."
