Hash;Original;Tradução
"0941101";"Hmm, I don't really agree with you on that.";"Hum, não concordo muito com você nesse ponto."
"0941102";"I'm not so sure about that.";"Não tenho tanta certeza disso."
"0941104";"Hmm, I'm not sure I agree.";"Hum, não tenho certeza se concordo."
"0941105";"I cannot agree with you there.";"Não posso concordar com você nesse ponto."
"0941106";"I'm not so sure about that.";"Não tenho tanta certeza disso."
"0941107";"You're talking rubbish.";"Você está falando besteira."
"0994993";"Nah, you're wrong.";"Não, você está errado."
"158f142";"Why thank you.";"Muito obrigado."
"158f143";"Oh thanks!";"Ah, obrigado!"
"158f144";"Oh thanks!";"Ah, obrigado!"
"158f145";"Oh thanks!";"Ah, obrigado!"
"158f146";"Well, thanks.";"Bem, obrigado."
"158f147";"Why thank you.";"Muito obrigado."
"15dd0ef";"Oh thanks!";"Ah, obrigado!"
"5f6b397";"Whoever did it can't have gone very far.";"Quem fez isso não deve ter ido muito longe."
"5f71202";"No new clues in our investigation? Bugger.";"Nenhuma pista nova em nossa investigação? Droga."
"9941f69";"I'm not sure I see eye to eye with you on that.";"Não tenho certeza se concordo com você nesse ponto."
"9941f6a";"No, no, I don't agree.";"Não, não, eu discordo."
"9941f6b";"What? Nah, I don't think so.";"O quê? Não, acho que não."
"9941f6c";"You're wrong there.";"Você está enganado aí."
"9941f6d";"Hmm, I don't think I agree with you there.";"Hum, acho que discordo de você."
"9941f6f";"Really? I don't think so.";"Sério? Acho que não."
"995bf83";"I don't think so.";"Acho que não."
"9e9fef2";"Things are certainly quiet these days. Just how we like them.";"As coisas estão realmente tranquilas por aqui. Exatamente como gostamos."
"9edb28e";"Ahh, don't you just love it when it's all peaceful like this.";"Ah, não é maravilhoso quando tudo está em paz assim?"
"109b058e";"There's one that could tear this town up given half a chance.";"Tem um que poderia destruir esta cidade se tivesse a menor chance."
"109b26f2";"Let's stay on high alert. There's a major criminal in town.";"Fiquem em alerta máximo. Há um criminoso perigoso na cidade."
"10d74b69";"I'm terribly sorry, but I must leave you now.";"Sinto muito, mas preciso ir agora."
"10d74b6a";"I'm afraid I have a previous engagement. Ta ta.";"Receio que já tenho um compromisso. Até logo."
"10d74b6b";"See ya later, I'm off.";"Até logo, preciso ir."
"10d74b6c";"Well, gotta go now. See ya.";"Bom, preciso ir agora. Até logo."
"10d74b6d";"Just realised I'm running late. See you later.";"Acabei de perceber que estou atrasado. Até logo."
"10d74b6e";"Don't mean to be rude, but I have to go!";"Não quero ser rude, mas preciso ir!"
"10db4709";"Well, I really have to shoot off now.";"Bom, preciso mesmo ir agora."
"19d759b9";"I really must leave now. See you!";"Eu realmente preciso ir agora. Até mais!"
"19d759bb";"I'm running late. See you later.";"Estou atrasado. Até logo."
"19d759bc";"I have to shoot off now I'm afraid.";"Infelizmente, preciso ir agora."
"19d759bd";"I really must leave now. See you!";"Preciso ir agora. Até logo!"
"19d759be";"Farewell, I must leave now.";"Adeus, preciso ir agora."
"19d759bf";"Got to go now. See ya.";"Preciso ir agora. Até logo."
"19d83e24";"Have to go now. Bye.";"Preciso ir agora. Tchau."
"1c4e3c41";"That is most worrying.";"Isso é muito preocupante."
"1c4e3c42";"Oh dear. Oh dear oh dear oh dear.";"Ai, meu Deus. Ai, meu Deus, ai, meu Deus."
"1c4e3c43";"Oh no, that's... that's not good.";"Ah, não, isso... isso não é bom."
"1c4e3c44";"Doesn't that frighten you?";"Isso não te assusta?"
"1c4e3c45";"That's, that's... I don't like it at all.";"Isso é... isso é... Eu não gosto nada disso."
"1c4e3c47";"Isn't it frightening?";"Não é assustador?"
"1c4fc5e7";"It really frightens me.";"Isso me assusta muito."
"1e9742d6";"Watch out, there goes a known petty criminal.";"Cuidado, lá vai um criminoso de quinta categoria conhecido."
"1e98cf40";"Stay alert, we've got a convicted criminal among us.";"Fiquem alertas, temos um criminoso condenado entre nós."
"234e4749";"This is the end for us all.";"Este é o fim para todos nós."
"234e474a";"Oh dear. Oh my.";"Oh, céus. Meu Deus."
"234e474c";"Oh, this is just so scary.";"Oh, isso é tão assustador."
"234e474d";"Oh dear. Oh my.";"Oh, céus. Oh, meu Deus!"
"234e474e";"Oh no. Oh my, oh my...";"Oh, não. Oh, meu Deus, oh, meu Deus..."
"234e474f";"That's not good at all.";"Isso não é nada bom."
"234e4c60";"Damn... you're kidding...";"Droga... você está brincando..."
"25e79431";"I don't understand it at all!";"Eu não entendo nadinha!"
"25e79433";"I don't get it at all.";"Não entendi nada."
"25e79434";"Don't you think it's confusing?";"Você não acha confuso?"
"25e79435";"It just throws me into confusion.";"Isso só me deixa confuso."
