Hash;Original;Tradução
"1ddc455";"Yes! Your technique is astounding!";"Sim! Sua técnica é impressionante!"
"3dfd445";"How perfectly statuesque! Keep it up!";"Que estátua perfeita! Continue assim!"
"4c2567c";"Arrrghhh!";"Arrrghhh!"
"4dda93c";"Fantastic! I hope you can sustain this performance.";"Fantástico! Espero que você consiga manter essa performance."
"621814c";"There is such power in the Light. But its corruption is even stronger.";"Há tanto poder na Luz. Mas sua corrupção é ainda mais forte."
"6dea66f";"I have never seen such modelling! Just a bit longer!";"Nunca vi uma modelo como essa! Só mais um pouquinho!"
"7c5204b";"Arrrghhh!";"Arrrghhh!"
"820c448";"Shadows course through my veins. It is... it is extraordinary...";"Sombras percorrem minhas veias. É... é extraordinário..."
"91ea0d5";"I am in touch with the very root of all evil, ancient beyond words.";"Estou em contato com a própria raiz de todo o mal, ancestral além das palavras."
"a2581d6";"Mortality is a weakness. I shall succumb to nothing but the malevolent night!";"A mortalidade é uma fraqueza. Não sucumbirei a nada além da noite malévola!"
"b1d02c0";"All that is human is weak. All that is alive must surrender to the neverending gloom of death.";"Tudo o que é humano é fraco. Tudo o que está vivo deve se render à escuridão eterna da morte."
"bc8bdf5";"The Temple of Light is under threat of attack from its worst enemies, the Shadow-worshippers.";"O Templo da Luz está sob ameaça de ataque de seus piores inimigos, os adoradores das Sombras."
"1e8a08aa";"Release while the cursor is in the sweet spot to complete it well. Miss, and you'll end poorly.";"Solte quando o cursor estiver no ponto certo para completar a missão com sucesso. Senhorita, e você terá um fim trágico."
"1e9742d5";"If you didn't want to be objectified you shouldn't have volunteered. The plinth awaits your return.";"Se você não queria ser objetificado, não deveria ter se voluntariado. O pedestal aguarda seu retorno."
"1f8c126b";"Ah, I was hoping you would return. The temple is in need of a protector once more.";"Ah, eu esperava que você voltasse. O templo precisa de um protetor mais uma vez."
"1f91a9eb";"How long do you think I can keep this hammering up? Resume your position!";"Quanto tempo você acha que eu aguento continuar martelando? Volte para a sua posição!"
"2091de84";"Statues don't have free will. Now get back on that plinth.";"Estátuas não têm livre arbítrio. Agora volte para o pedestal."
"218c15b1";"It would seem the Shadow-worshippers are planning to poison the holy water in the Wellspring Cave.";"Parece que os adoradores das Sombras estão planejando envenenar a água benta na Caverna da Fonte."
"228c1724";"We have always suffered at the hands of the vile cultists from the Temple of Shadows, but I fear they're preparing a major attack against us.";"Sempre sofremos nas mãos dos vis cultistas do Templo das Sombras, mas temo que estejam preparando um grande ataque contra nós."
"238c1897";"You helped us once before, will you do so again?";"Você já nos ajudou antes, vai nos ajudar de novo?"
"248e77a6";"If that happens, the Golden Oak will die. It would mean the end of our order, perhaps even the end of the village and all its people.";"Se isso acontecer, o Carvalho Dourado morrerá. Significaria o fim da nossa ordem, talvez até o fim da aldeia e de todo o seu povo."
"27cdb013";"No, no, no! You stopped too soon!";"Não, não, não! Você parou cedo demais!"
"2c355ab4";"Where are you going?! Models can't just walk away! Come back! This is why I hate kinetic objects...";"Para onde você está indo?! Maquetes não podem simplesmente ir embora! Volte! É por isso que eu odeio objetos cinéticos..."
"2f7cfbd0";"You're not impressing anyone by holding on to your pose like that.";"Você não está impressionando ninguém mantendo essa pose."
"30a6e0d7";"Oh, such naturalism! You've given me all I need.";"Oh, que naturalismo! Você me deu tudo o que eu precisava."
"33a93a79";"Perfect! This statue will practically carve itself.";"Perfeito! Esta estátua praticamente se esculpirá sozinha."
"3cf205ca";"There's my boy!";"Aí está meu garoto!"
"3cf2348f";"There's my gal!";"Lá está minha garota!"
"44988c4d";"Darkness shall devour. Darkness shall prevail.";"A escuridão devorará. A escuridão prevalecerá."
"4599baa3";"Let day be perverted with night. Let Shadows poison all Light.";"Que o dia seja pervertido pela noite. Que as Sombras envenenem toda a Luz."
