Hash;Original;Tradução
"13aa8ce";"He's purer than mountain-top snow.";"Ele é mais puro que a neve no topo da montanha."
"13be480";"She's purer than mountain-top snow.";"Ela é mais pura que a neve no topo da montanha."
"3994c2b";"I never thought this day would come... I'm.. I'm starstruck.";"Nunca pensei que esse dia chegaria... Estou... Estou impressionado."
"3994c2c";"You! Here! This is incredible!";"Você! Aqui! Isso é incrível!"
"3994c2d";"You're like a giant of our time, set to bestride the history books.";"Você é como um gigante do nosso tempo, destinado a marcar os livros de história."
"3994c2f";"Never was there a greater legend...";"Nunca houve uma lenda maior..."
"3994e6c";"World's biggest superstar...";"A maior superestrela do mundo..."
"4f75ca9";"But... dad! What happened! You're a girl now! Gross!";"Mas... pai! O que aconteceu! Você é uma menina agora! Que nojo!"
"4f797e2";"But... mum! What happened! You're a boy now! Gross!";"Mas... mãe! O que aconteceu! Você é um menino agora! Que nojo!"
"98c17ef";"There's no many purer than her.";"Não há muitos mais puros do que ela."
"98d3385";"There's no many purer than him.";"Não há muitos mais puros do que ele."
"be524ee";"Hey, weren't you a woman? Huh?";"Ei, você não era uma mulher? Hein?"
"be91ebf";"Hey, weren't you a man? Huh?";"Ei, você não era um homem? Hein?"
"c6a9399";"Pardon my stare, but you are perfect.";"Desculpe o olhar, mas você é perfeita."
"c6b4659";"Wonder what it's like to be pure as she is.";"Imagino como deve ser ser pura como ela."
"142d745b";"He has achieved new peaks of purity.";"Ele atingiu novos patamares de pureza."
"1431f009";"She has achieved new peaks of purity.";"Ela alcançou novos patamares de pureza."
"1a412e0f";"What? But, you used to be a man! I'm sure of it!";"O quê? Mas você costumava ser um homem! Tenho certeza!"
"1a4a14c3";"What? But, you used to be a woman! I'm sure of it!";"O quê? Mas você costumava ser uma mulher! Tenho certeza!"
"1a5fd08f";"Oh, you complete plonker! You've only gone and turned yourself into a bloody woman!";"Ah, seu completo idiota! Você se transformou numa mulher!"
"1a62e7a1";"Oh, you silly cow! You've only gone and turned yourself into a bloody man!";"Oh, sua vaca boba! Você se transformou num homem de verdade!"
"1f496619";"Hang on a second! How the hell did you turn into a woman?!";"Espere um segundo! Como diabos você se transformou em mulher?!"
