Hash;Original;Tradução
"10f3841";"Iron Turret Pistol";"Pistola Torreta de Ferro"
"5914930";"The invention of the turret firearm revolutionised warfare in Albion. Multibarrel technology obviated the need for continuous reloads, and gave its users a marked advantage in the battle field. This pistol is a rather fine example of the technology, capable of bringing down a small army.";"A invenção da metralhadora de torre revolucionou a guerra em Albion. A tecnologia de múltiplos canos eliminou a necessidade de recargas contínuas e deu aos seus usuários uma vantagem notável no campo de batalha. Esta pistola é um excelente exemplo dessa tecnologia, capaz de dizimar um pequeno exército."
"82c4109";"Master Flintlock Pistol";"Pistola de Pederneira Mestra"
"9d6c5da";"Iron Blunderbuss";"Trapaça de Ferro"
"da89438";"It's possible this was once a perfectly good rifle, but time has dulled its power and reliability. Like all rifles it has a great range and does much more damage than a pistol, though it is also much slower to reload.";"É possível que este rifle já tenha sido excelente, mas o tempo diminuiu seu poder e confiabilidade. Como todos os rifles, ele tem um ótimo alcance e causa muito mais dano do que uma pistola, embora também seja muito mais lento para recarregar."
"1804dae8";"The flintlock mechanism has been hailed as the second greatest invention in Albion's history of warfare - gunpowder having been discovered in Samarkand.  You won't find many firearms as finely constructed as this pistol. Perfect for making holes in your enemies' heads.";"O mecanismo de pederneira foi aclamado como a segunda maior invenção na história da guerra da Albion - a pólvora tendo sido descoberta em Samarcanda. Você não encontrará muitas armas de fogo tão bem construídas quanto esta pistola. Perfeito para fazer buracos na cabeça dos seus inimigos."
"19cf8a56";"Rusty Blunderbuss";"Pistola Enferrujada"
"1bcc6188";"The invention of the turret firearm revolutionised warfare in Albion. Multibarrel technology obviated the need for continuous reloads, and gave its users a marked advantage in the battle field. This pistol's best days are long behind it, but will still be appreciated by those too lazy or too much in a hurry to reload after every shot.";"A invenção da metralhadora de torre revolucionou a guerra em Albion. A tecnologia de múltiplos canos tornou desnecessária a recarga constante, dando aos seus usuários uma grande vantagem no campo de batalha. Os melhores dias desta pistola já passaram, mas ela ainda será apreciada por aqueles preguiçosos ou apressados ​​demais para recarregar após cada disparo."
"2682bb1b";"Master Clockwork Rifle";"Rifle Mecânico Mestre"
"276faa2a";"The invention of the turret firearm revolutionised warfare in Albion. Multibarrel technology obviated the need for continuous reloads, and gave its users a marked advantage in the battle field. This is an exceptional and rather rare example of the mechanism. One would be foolish to get too close to a shooter brandishing such a pistol.";"A invenção da metralhadora de torre revolucionou a guerra em Albion. A tecnologia de múltiplos canos tornou desnecessária a recarga contínua, dando aos seus usuários uma vantagem notável no campo de batalha. Este é um exemplar excepcional e bastante raro desse mecanismo. Seria imprudente se aproximar demais de um atirador empunhando uma pistola dessas."
"2e370027";"The flintlock mechanism was once hailed as the second greatest invention in Albion's history of warfare - gunpowder having been discovered in Samarkand - though it has been superseded by the clockwork firearm design. This is a cheap but effective weapon which, like all rifles, has great range and does much more damage than a pistol, though it is also much slower to reload.";"O mecanismo de pederneira já foi considerado a segunda maior invenção na história da guerra de Albion — a pólvora tendo sido descoberta em Samarcanda — embora tenha sido superado pelo projeto de arma de fogo mecânica. Esta é uma arma barata, porém eficaz, que, como todos os rifles, tem grande alcance e causa muito mais dano do que uma pistola, embora também seja muito mais lenta para recarregar."
"3625af36";"Rusty Clockwork Rifle";"Rifle mecânico enferrujado"
"3812f676";"There is no more powerful, or messier, class of firearm than the blunderbuss. Though only useful at a short range, it spreads its fire in a wide radius. Nothing is safe when one of these goes off. In the case of this rusty example, not even the user is safe.";"Não existe arma de fogo mais poderosa, ou mais devastadora, do que a espingarda de pederneira. Embora útil apenas em curta distância, ela espalha seus disparos em um amplo raio. Nada está a salvo quando uma dessas dispara. No caso deste exemplo enferrujado, nem mesmo o usuário está a salvo."
"44c971f8";"The invention of the turret firearm revolutionised warfare in Albion. Multibarrel technology obviated the need for continuous reloads, and gave its users a marked advantage in the battle field. This rifle's best days are long behind it, but will still be appreciated by those too lazy or too much in a hurry to reload after every shot.";"A invenção da metralhadora de torre revolucionou a guerra em Albion. A tecnologia de múltiplos canos tornou desnecessária a recarga contínua, dando aos seus usuários uma vantagem considerável no campo de batalha. Os melhores dias deste rifle já passaram, mas ele ainda será apreciado por aqueles preguiçosos ou apressados ​​demais para recarregar após cada disparo."
"459c7005";"Rusty Turret Pistol";"Pistola de Torreta Enferrujada"
"5559487b";"Master Turret Rifle";"Rifle de Torreta Mestre"
