Hash;Original;Tradução
"1d7f5893";"They still don't know who commited that murder?";"Eles ainda não sabem quem cometeu esse assassinato?"
"1d7f5894";"These stupid guards, when will they catch the killer?";"Esses guardas estúpidos, quando vão pegar o assassino?"
"1d7f5895";"It doesn't exactly fill one with confidence I the law knowing the killer is still at large, does it?";"Saber que o assassino ainda está à solta não inspira muita confiança na lei, não é?"
"1d7f5896";"The authorities have yet to catch the murderer you know.";"As autoridades ainda não prenderam o assassino, sabia?"
"1d7f5897";"Anyone of us could be the murderer. Was it you?";"Qualquer um de nós poderia ser o assassino. Foi você?"
"1d8028f9";"Stupid guards still haven't got a clue who the murderer is.";"Os guardas estúpidos ainda não têm ideia de quem é o assassino."
"247f6391";"Who knows? The killer could be amongst us as we speak.";"Quem sabe? O assassino pode estar entre nós neste exato momento."
"247f6392";"Still no news on the murder?";"Ainda sem notícias sobre o assassinato?"
"247f6393";"They better catch that murderer soon. Then I can sleep at night.";"É melhor pegarem esse assassino logo. Aí eu consigo dormir em paz."
"247f6394";"When are those stupid guards going to catch the killer?";"Quando é que esses guardas estúpidos vão pegar o assassino?"
"247f6395";"If you ask me if was either a bandit or one of those wandering adventurer's who did it. They're all killers.";"Se me perguntarem se foi um bandido ou um daqueles aventureiros errantes que fez isso, todos são assassinos."
"247f6396";"They better catch that murderer soon. Then I can sleep at night.";"É melhor pegarem esse assassino logo. Aí eu posso dormir em paz."
"247fe8cb";"If those guards don't find that murderer soon, any of us could be next.";"Se aqueles guardas não encontrarem o assassino logo, qualquer um de nós pode ser o próximo."
"328479dc";"He wouldn't let the guards take him quietly. Don't blame him.";"Ele não deixou os guardas o levarem em paz. Não o culpo."
"32879d5b";"She wouldn't let the guards take her quietly. Don't blame her.";"Ela não deixou os guardas a levarem em paz. Não a culpe."
"399f90f8";"He's got nice legs. I'll give him that. Didn't you see his little show?";"Ele tem pernas bonitas. Tenho que admitir. Você não viu o showzinho dele?"
"39a0950b";"She's got nice legs. I'll give her that. Didn't you see her little show?";"Ela tem pernas bonitas. Tenho que admitir. Você não viu o showzinho dela?"
"3daf510e";"Don't like giving up to the guards, huh? I respect that.";"Não gosta de se entregar aos guardas, né? Eu respeito isso."
"3db2500c";"Don't you know you're not supposed to resist arrest?";"Você não sabe que não se deve resistir à prisão?"
"46af5f5f";"You really shouldn't resist arrest. It only makes things worse.";"Você realmente não deveria resistir à prisão. Só piora as coisas."
"46b1ff83";"Aren't you the one who tried to get out of getting arrested?";"Não foi você quem tentou escapar da prisão?"
"58d71dfe";"He's got no sense of decency that one.";"Ele não tem o menor senso de decência."
"58d9bb91";"She's got no sense of decency that one.";"Ela não tem o menor senso de decência."
"5d2589e1";"The killers is still out there. Just how incompetent are our authorities?";"O assassino ainda está à solta. Quanta incompetência das nossas autoridades!"
"5d2589e2";"Another killer walks free thanks to the guards' incompetence.";"Mais um assassino solto graças à incompetência dos guardas."
"5d2589e3";"Still no sign of the murderer.";"Ainda nenhum sinal do assassino."
"5d2589e4";"They still haven't caught the killer.";"Eles ainda não pegaram o assassino."
"5d2589e5";"They still haven't caught the killer.";"Eles ainda não pegaram o assassino."
"5d2589e7";"You didn't see the killer's face, did you?";"Você não viu o rosto do assassino, viu?"
"5d2618e8";"I can't believe they haven't found the murderer.";"Não acredito que ainda não encontraram o assassino."
"642594e9";"To think there's a killer amongst us...";"Pensar que existe um assassino entre nós..."
"642594ea";"This is terrible.";"Isso é terrível."
"642594ec";"You didn't see who the murderer was, did you?";"Você não viu quem era o assassino, viu?"
"642594ed";"I demand this murder be solved at once.";"Exijo que este assassinato seja solucionado imediatamente."
"642594ee";"I hear they are no closer to solving the murder.";"Ouvi dizer que não estão mais perto de solucionar o assassinato."
"642594ef";"You didn't see who the killer was, did you?";"Você não viu quem era o assassino, viu?"
"6427d0ae";"Bah, what's another unsolved crime?";"Bah, mais um crime não resolvido?"
"6d1cfe27";"We don't tolerate parole skippers round here.";"Não toleramos quem foge da condicional por aqui."
"6d1f6eb0";"So you think you can just ignore your community service, do you?";"Então você acha que pode simplesmente ignorar seu serviço comunitário, é?"
"6e12cf2e";"He likes showing off what he's got. Doesn't bother me.";"Ele gosta de se exibir. Não me incomoda."
