Hash;Original;Tradução
"05ad511";"You're that hilarious dog, aren't you.";"Você é um cachorro hilário, não é?"
"05ad512";"You as funny as your owner? I bet you are!";"Você é tão engraçado quanto seu dono? Aposto que sim!"
"05ad514";"You going to perform any funny tricks for us?";"Vai fazer algum truque engraçado para nós?"
"05ad515";"Would that all animals had your sense of humour.";"Quem dera todos os animais tivessem o seu senso de humor."
"05ad516";"You're that beast that makes everyone laugh!";"Você é aquele bichinho que faz todo mundo rir!"
"05ad517";"Come on dog, I hear you're a real funny one.";"Vamos lá, cachorro, ouvi dizer que você é muito engraçado."
"05ad678";"Hey, pooch, give us a laugh.";"Ei, cãozinho, nos faça rir."
"74d3876";"Can't you try being good for a change, doggy?";"Você não pode tentar se comportar bem de vez em quando, cachorrinho?"
"832526d";"You know wrong from right don't you boy. I bet your master taught you that.";"Você sabe a diferença entre o certo e o errado, não é, garoto? Aposto que foi seu dono que te ensinou isso."
"832526f";"You must be the nicest dog in the world.";"Você deve ser o cachorro mais legal do mundo."
"835d3f1";"Who said animals can't be virtuous too?";"Quem disse que animais não podem ser virtuosos também?"
"95ae379";"Hmm, you must have studied at the Comedic Academy for Gifted Animals.";"Hmm, você deve ter estudado na Academia Cômica para Animais Talentosos."
"95ae37a";"Ahh, it's good to see a dog take after his master. You both have a gift for mirth don't you?";"Ah, é bom ver um cachorro puxar ao dono. Vocês dois têm um dom para a alegria, não é?"
"95ae37b";"Show me the funny, dog.";"Mostre-me o que é engraçado, cachorro."
"95ae37c";"Ha! I guess yer just as funny as that master of yours.";"Ha! Acho que você é tão engraçado quanto o seu dono."
"95ae37d";"You could make anyone giggle you could.";"Você consegue fazer qualquer um rir."
"95ae37f";"Ho ho! You and your master sure know how to make people laugh.";"Ho ho! Você e seu mestre sabem mesmo como fazer as pessoas rirem."
"95c5507";"Well, aren't you a little comedian.";"Ora, ora, você é um pequeno comediante."
"e4f0fe0";"I can be pretty bad too, you know. Then my mum and dad send me to bed with no supper.";"Eu também posso ser bem má, sabia? Aí meus pais me mandam para a cama sem jantar."
"fac4dbd";"What's that funny trick you always do, doggy?";"Qual é aquele truque engraçado que você sempre faz, cachorrinho?"
"1aaaac66";"Bark something funny!";"Latir algo engraçado!"
"388c2605";"Ha, he's such a silly dog!";"Ha, ele é um cachorro tão bobo!"
"3d8e22ec";"That dog makes me giggle. Ha ha!";"Esse cachorro me faz rir. Haha!"
"3e8557b4";"I didn't know I could hate doggies till I met that one.";"Eu não sabia que podia odiar cachorros até conhecer aquele."
"4588b4bf";"That dog? Don't want anything to do with it!";"Aquele cachorro? Não quero nada com ele!"
"5af265c1";"Who's a good dog? Who's a good dog?";"Quem é um bom cachorro? Quem é um bom cachorro?"
"5f9875c1";"Yeh only care about causing pain and sufferin' dontcha.";"Você só se importa em causar dor e sofrimento, não é?"
"5f9875c2";"Evil, pure evil. Just like that owner of yours.";"Maldade pura. Assim como aquele seu dono."
"5f9875c3";"A beast. A beast plain and simple. That's what you are.";"Uma besta. Uma besta, pura e simplesmente. É isso que você é."
"5f9875c4";"How could a simple animal carry such malicious intent?";"Como um simples animal pode carregar tamanha maldade?"
"5f9875c6";"You bring darkness and despair wherever you go.";"Você traz escuridão e desespero aonde quer que vá."
"5f9875c7";"A vicious creature you are.";"Uma criatura cruel você é."
"5f988e41";"No dog could be as wicked as you.";"​​Nenhum cachorro poderia ser tão perverso quanto você."
"618517b1";"There goes the hound of mirth.";"Lá vai o cão da alegria."
"618517b2";"I find nothing as diverting as a good animal trick, and that dog knows them all.";"Não há nada mais divertido do que um bom truque de animal, e aquele cachorro sabe todos."
"618517b3";"You wanna laugh yourself silly. Just keep an eye on that mongrel.";"Quer rir até doer a barriga? Só fique de olho naquele vira-lata."
"618517b4";"There goes a mutt with a sense of humour.";"Lá vai um vira-lata com senso de humor."
"618517b5";"That pooch is a scream.";"Esse cachorro é uma graça."
"618517b7";"He knows a thing or two about making people laugh that dog.";"Esse cachorro sabe muito bem como fazer as pessoas rirem."
"618876c6";"He's a merry dog, isn't he.";"Ele é um cachorro alegre, não é?"
"61eb713c";"Aww, nice doggy. Good doggy.";"Ah, que cachorrinho fofo. Bom cachorrinho."
"64987de1";"Yer a famous dog round here. Yer evil deeds are known by all.";"Você é um cachorro famoso por aqui. Seus atos malignos são conhecidos por todos."
"64987de2";"If I had to have me a mutt it would be one as vicious as you.";"Se eu tivesse que ter um vira-lata, seria um tão cruel quanto você."
"64987de3";"Only an evil person could have such an evil companion.";"Só uma pessoa má poderia ter um companheiro tão maligno."
"64987de5";"You are as vile a dog as I ever encountered.";"Você é o cão mais vil que já encontrei."
"64987de6";"You enjoy killing, don't you? And not just rabbits and chickens, either...";"Você gosta de matar, não é? E não só coelhos e galinhas..."
"64987de7";"Such a dark heart. I blame the way you were brought up.";"Que coração sombrio. A culpa é da sua criação."
"649a8531";"Someone must have mistreated you as a pup for you to be so nasty now.";"Alguém deve ter te maltratado quando filhote para você ser tão malvado agora."
"64a99cda";"My, what a um, nice, and, um strong dog...";"Nossa, que cachorro... legal e forte..."
"64a99cdb";"Hmm, bet your master sleeps safe with, um you by his side...";"Hum, aposto que seu dono dorme tranquilo com você ao lado dele..."
"64a99cdc";"Er, good dog, yes...";"Er, bom cachorro, sim..."
"64a99cdd";"Don't get your fur on end. I ain't doin' a thing.";"Não se arrepie. Eu não estou fazendo nada."
"64a99cde";"You've killed a fair few. And not just cats either.";"Você já matou alguns. E não só gatos."
"64a99cdf";"H-he's no-not going to bite me, is he?";"E-ele não vai me morder, vai?"
"64aa8387";"Um, nice dog. Niiiiice dog.";"Hum, bom cachorro. Cachorro legal."
"688522b9";"Did you see the time that the dog - ha ha! - that he - ha ha! - oh, you don't remember?";"Você viu aquela vez que o cachorro - ha ha! - que ele - ha ha! - ah, você não se lembra?"
