Hash;Original;Tradução
"0f70a63";"Scary Laugh";"Risada Assustadora"
"23b52e4";"Thank You";"Obrigado"
"38b304d";"Mystical Murgo's shop is a treasure trove of priceless wonders and worthless trinkets.";"A loja do Murgo Místico é um tesouro repleto de maravilhas inestimáveis ​​e bugigangas sem valor."
"42bbeda";"The Last Beacon";"O Último Farol"
"4b4f280";"Cursed Snowglobe";"Globo de Neve Amaldiçoado"
"64f5b1a";"Celestial Keep";"Fortaleza Celestial"
"6a91050";"Farewell";"Adeus"
"6e87c40";"Beg";"Implorar"
"8272542";"As it happens the very same source who procured that box has promised to bring me a new item every bit as remarkable. One that lets you see into the future! Oh yes.";"Por coincidência, a mesma fonte que conseguiu essa caixa prometeu me trazer um novo item igualmente extraordinário. Um que permite ver o futuro! Ah, sim."
"a264161";"My source assures me that only a Hero such as your good self can release the miniature village inside from its torment.";"Minha fonte me garante que apenas um Herói como você pode libertar a pequena vila interior de seu tormento."
"b2b124c";"But for now we shall have to content ourselves with a pretty but slightly cursed snowglobe.";"Mas por enquanto teremos que nos contentar com um globo de neve bonito, mas um pouco amaldiçoado."
"d2ae262";"Make this once in a lifetime purchase, and you can cast your eyes on my very best stock. None of that rubbish I sell to tourists. That's a Murgo promise. In fact, here's a few bits to get you started.";"Faça esta compra única e veja meu melhor estoque. Nada dessa porcaria que vendo para turistas. É uma promessa de Murgo. Aliás, aqui vão algumas dicas para você começar."
"ffd5bcc";"I haven't been able to procure the Powerful Conduit of All-seeing Clairvoyance, as I like to think of it, just yet.";"Ainda não consegui obter o Poderoso Conduto da Clarividência Onisciente, como gosto de chamá-lo."
"11f8bc7b";"Surely you can't resist such an... attractive offer?";"Certamente você não resistirá a uma oferta tão... atraente?"
"12f95d38";"But my source has brought me a second curiosity, just as cursed as the first.";"Mas minha fonte me trouxe uma segunda curiosidade, tão amaldiçoada quanto a primeira."
"18b3c5e8";"I heard what happened in the Spire. Can't say I blame you. That furry little fellow is just precious. Rare too.";"Ouvi o que aconteceu na Torre. Não te culpo. Aquele bichinho peludo é uma gracinha. E raro também."
"19b70ff4";"Surely you're ready for a bit more rough-housing?";"Com certeza você está pronto para mais uma brincadeira mais bruta?"
"1ab78734";"I'd try to sell it, but you-know-who might not be too pleased. I... I don't like it when she gets angry.";"Eu tentaria vender, mas você-sabe-quem talvez não fique muito contente. Eu... eu não gosto quando ela fica brava."
"1bb7ddb4";"Well, go on, take it.";"Bem, vá em frente, pegue."
"1c96c9a8";"Buy the cursed item for %1 gold?";"Comprar o item amaldiçoado por %1 peça de ouro?"
"1e661c31";"It's a remarkable replica model of the Spire. When you hold it, you feel the same unnatural hum that emanated from the real Spire's walls.";"É uma réplica notável da Torre. Ao segurá-la, você sente o mesmo zumbido sobrenatural que emanava das paredes da Torre verdadeira."
"1eb30196";"Cursed Skull";"Crânio Amaldiçoado"
"227898f0";"Kiss";"Beijo"
"22caa0f9";"I heard what happened in the Spire. Can't say I blame you. Who could say no to a big mountain of gold?";"Ouvi o que aconteceu na Torre. Não posso dizer que te culpo. Quem resistiria a uma montanha de ouro?"
"2a44317a";"Trophy";"Troféu"
"2b0f7116";"Failed Quest";"Missão Falhada"
"300085f9";"Murgo's Caravan";"Caravana do Murgo"
"33213985";"Cheet-Ur's Crypt

This crypt only appears before those who have lost a beloved four-legged friend. To bring your dog back from the canine afterlife, you must lead a human sacrifice to the crypt.
Cheet-Ur, the most powerful mage among the first settlers on the island, was a well known dog-lover. He was rather less fond of his fellow humans.";"Cripta de Cheet-Ur

Esta cripta só aparece para aqueles que perderam um amado amigo de quatro patas. Para trazer seu cachorro de volta do além canino, você deve levar um sacrifício humano até a cripta.
Cheet-Ur, o mago mais poderoso entre os primeiros colonizadores da ilha, era um conhecido amante de cães. Ele não gostava muito de seus semelhantes humanos."
"376678e2";"Buy the cursed snowglobe  for %1 gold?";"Comprar o globo de neve amaldiçoado por %1 peças de ouro?"
"3b74e74a";"Threaten";"Ameaça"
"3f0ca915";"Take Murgo's item?";"Pegar o item do Murgo?"
"406b01f8";"Growl";"Rosne"
"40ee4326";"Snowglobe";"Globo de neve"
"41ec9916";"Leave";"Sair"
"434efa84";"(whimpers)";"(choramingos)"
"45f27240";"Mysterious Cave";"Caverna Misteriosa"
"47a16ce1";"Your dog may have departed this world, but there may yet be a way to bring him back from the beyond. Travel to the magical crypt on Knothole Island to learn more.";"Seu cachorro pode ter partido deste mundo, mas ainda pode haver uma maneira de trazê-lo de volta do além. Viaje até a cripta mágica na Ilha Knothole para saber mais."
"4dbfbdf2";"The Colosseum";"O Coliseu"
"55607d97";"I hear you've spent some time with those Oakfield monks. I tried to go into business with them selling model golden oaks, but they weren't too keen.";"Ouvi dizer que você passou um tempo com aqueles monges de Oakfield. Tentei fazer negócios com eles vendendo miniaturas de carvalhos dourados, mas eles não estavam muito interessados."
"5630a567";"Sexy Pose";"Pose Sexy"
"5b46e332";"Kiss My Ass";"Vai se ferrar!"
"5c46c198";"Back from your visit to the future? I trust it was a favourable one, yes? You don't want to go to all that trouble to find out you're croaking it tomorrow. Ha ha!";"Voltou da sua visita ao futuro? Espero que tenha sido agradável, não é? Você não quer se dar a todo esse trabalho para descobrir que vai morrer amanhã. Ha ha!"
"5d470704";"I've been doing rather splendidly for myself. All thanks to you. There's no better advertising than people see you obtaining all these rare and miraculous objects.";"Tenho me saído muito bem. Tudo graças a você. Não há propaganda melhor do que as pessoas verem você conseguindo todos esses objetos raros e milagrosos."
"5e46c4fe";"My source - well, I guess you know who she is now - left one last thing for you. Something only a Hero could hope to enjoy.";"Minha fonte - bem, acho que você já sabe quem é - deixou uma última coisa para você. Algo que só um Herói poderia almejar desfrutar."
"5f46bd39";"I don't want to spoil the surprise, but have your weapon ready when you use it.";"Não quero estragar a surpresa, mas tenha sua arma pronta quando for usá-la."
"619f9c39";"Hat, Headband, Moustache";"Chapéu, Faixa de Cabeça, Bigode"
"64087c50";"Laugh";"Risos"
"668cfc7c";"Middle Finger";"Dedo do Meio"
"66cd2fb0";"Ah, good, you have returned.";"Ah, que bom, você voltou."
"6b44969e";"Aren't you the tiniest bit curious?";"Você não está nem um pouquinho curioso?"
"6d4499e4";"My source won't bring me any more special items until you remove the curse. Hmm, "they" were very insistent.";"Minha fonte não me trará mais itens especiais até que você remova a maldição. Hmm, eles foram muito insistentes."
"6d8fc0d8";"I hear you spent some time in the Spire. Terrible, terrible. You didn't spot any nice souvenirs I could sell, did you?";"Ouvi dizer que você passou algum tempo na Torre. Terrível, terrível. Você não viu nenhuma lembrancinha legal que eu pudesse vender, viu?"
"6e449b57";"Just wait until you give that snowglobe a shake. [chuckles]";"Espere só até você chacoalhar esse globo de neve.[chuckles]"
"6e560b38";"This door is opened elsewhere.";"Esta porta se abre em outro lugar."
"7055e143";"This door is locked.";"Esta porta está trancada."
"71558290";"You can't open this door while there are enemies nearby.";"Você não pode abrir esta porta enquanto houver inimigos por perto."
"7255e4a9";"This door can only be opened with a flit switch.";"Esta porta só pode ser aberta com um interruptor de segurança."
"73551a61";"This door cannot be opened at this time.";"Esta porta não pode ser aberta neste momento."
"76c1e531";"The Highwaymen's Guild would like to thank this corpse for fully cooperating with his death.";"A Guilda dos Salteadores gostaria de agradecer a este cadáver por cooperar plenamente com a sua morte."
"76c1e532";"I'm dead. What else do you want?";"Estou morto. O que mais vocês querem?"
"76c1e533";"I wasn't buried with any valuables, okay?";"Não fui enterrado com nenhum objeto de valor, ok?"
"7a15e026";"Fart";"Peido"
"7a9ca906";"Mirror Mist";"Névoa Espelhada"
"7b70b50e";"Follow/Dismiss";"Seguir/Ignorar"
"7c47089a";"Here lies your faithful friend. He died as he lived: by your side.";"Aqui jaz seu fiel amigo. Ele morreu como viveu, ao seu lado."
"7e7db03b";"Pick Up Line";"Cantada"
"85072a61";"Insult";"Insulto"
