Hash;Original;Tradução
"1120d299";"I'm too sensitive to sleep around with strangers.";"Sou sensível demais para transar com estranhos."
"1120d29b";"I don't even know you. You're just trying to use me.";"Eu nem te conheço. Você só está tentando me usar."
"1120d29c";"I like to know the people I sleep with.";"Eu gosto de conhecer as pessoas com quem transo."
"1120d29d";"How forward of you! We are not even well acquainted!";"Que atrevimento o seu! Nem nos conhecemos direito!"
"1120d29f";"I'll thank you to take your dirty suggestions elsewhere!";"Agradeceria se levasse suas sugestões indecentes para outro lugar!"
"1127065e";"Nah. I feel gassy and I don't even know ya.";"Não. Estou com gases e nem te conheço."
"124f9f99";"Oh! To make love out of wedlock would be quite wrong!";"Oh! Fazer amor fora do casamento seria muito errado!"
"124f9f9a";"Shouldn't we perhaps wait for our wedding to consummate our love?";"Não deveríamos esperar até o nosso casamento para consumar o nosso amor?"
"124f9f9b";"I know it sounds crazy, but it'll be all the sweeter if we wait for our wedding night.";"Eu sei que parece loucura, mas será muito mais doce se esperarmos até a nossa noite de núpcias."
"124f9f9c";"Call me an idiot, but let's wait till we're hitched, ok?";"Podem me chamar de idiota, mas vamos esperar até casarmos, ok?"
"124f9f9d";"I promised mother I'd wait until I was married.";"Eu prometi à minha mãe que esperaria até me casar."
"124f9f9e";"Let's save it for our wedding night.";"Vamos guardar isso para a nossa noite de núpcias."
"12532c51";"Don't you think we should wait until we're married?";"Não acha que deveríamos esperar até nos casarmos?"
"1b4fade9";"Sorry, but I'm an old fashioned girl. I don't believe in sex before marriage.";"Desculpe, mas sou uma garota à moda antiga. Não acredito em sexo antes do casamento."
"1b4fadeb";"What kind of girl do you think I am. Not until I get married!";"Que tipo de garota você acha que eu sou? Só depois do casamento!"
"1b4fadec";"I'd rather wait until we've tied the knot.";"Prefiro esperar até nos casarmos."
"1b4faded";"I would thank you not to suggest such a thing until we are wedlocked!";"Agradeceria se você não sugerisse tal coisa até estarmos casados!"
"1b4fadee";"We are not animals! We shall wait until our wedding night, like civilised human beings.";"Não somos animais! Esperaremos até a nossa noite de núpcias, como seres humanos civilizados."
"1b4fadef";"I don't care what you've heard. I'm a decent girl. Nothing before marriage!";"Não me importo com o que você ouviu. Sou uma moça decente. Nada antes do casamento!"
"1b50c070";"You ain't getting any until there's a ring on my finger. All nice and legal.";"Você não vai conseguir nada até que haja um anel no meu dedo. Tudo certinho e legal."
"2f5e645a";"What's this, an onion ring?";"O que é isso, um anel de cebola?"
"2f5e645b";"You expect me to marry you with this crummy ring?";"Você espera que eu me case com você com esse anel horrível?"
"2f5e645c";"Is this some kind of joke? I've never seen such a pitiful ring.";"Isso é alguma piada? Nunca vi um anel tão patético."
"2f5e645d";"You couldn't marry a Hobbe with that rubbish ring.";"Você não conseguiria casar nem com um Hobbe com esse anel ridículo."
"2f606b96";"You think this piece of rubbish is a proper ring? No way.";"Você acha que essa porcaria é um anel de verdade? De jeito nenhum."
"345e6c7a";"What's this, an onion ring?";"O que é isso, um anel de cebola?"
"345e6c7b";"Did you get this ring in a box of crackers or what?";"Você ganhou esse anel numa caixa de biscoitos ou o quê?"
"345e6c7c";"You expect me to marry you with this crummy ring?";"Você espera que eu me case com você com este anel mixuruca?"
"345e6c7d";"You think this piece of rubbish is a proper ring? No way.";"Você acha que essa porcaria é um anel de verdade? Nem pensar."
"34608ce4";"You couldn't marry a Hobbe with that rubbish ring.";"Você não conseguiria casar nem com um Hobbe com esse anel porcaria."
"382fb4e5";"If you truly love me, perhaps you could demonstrate it.";"Se você realmente me ama, talvez pudesse demonstrar."
