Hash;Original;Tradução
"7ceaab8";"One day Westcliff will be a tourist-entrapping amusement zone. I just need a small investment to get me started.";"Um dia Westcliff será uma zona de diversões que atrairá turistas. Só preciso de um pequeno investimento para começar."
"baa3c0d";"Wondrous! I will notify you by letter when I've completed the project. You will see some constipating changes, I swear by Toby.";"Maravilha! Avisarei por carta quando o projeto estiver concluído. Você verá algumas mudanças que podem causar constipação, juro por Toby."
"cabce45";"I shall begin my enterprise at once.";"Começarei meu empreendimento imediatamente."
"14f988f8";"Well done, sir. Most impressive.";"Muito bem, senhor. Impressionante."
"14fd7fd9";"Well done, madam. Most impressive.";"Muito bem, senhora. Impressionante."
"1fdecfb6";"Collect 5,000 gold for Barnum.";"Colete 5.000 peças de ouro para Barnum."
"202cff4e";"Oh, dear, I really do need the full amount. Perhaps you can return when you have it all?";"Oh, céus, eu realmente preciso do valor total. Talvez você possa voltar quando tiver tudo?"
"288cb408";"Find the Wine. Save the world.";"Encontre o vinho. Salve o mundo."
"2fb4790a";"Albion's most magnificent, and most expensive, property is available for sale.";"A propriedade mais magnífica e mais cara de Albion está à venda."
"32e943d1";"I see that man as he was back then. As beautiful as me, as fiery as me, but so delicate. So breakable. And so afraid of death. I see him summon the Shadow Court into this world, oblivious to the consequences. He asks them for immunity for the disease of time and death, and they grant it.";"Vejo aquele homem como ele era naquela época. Tão belo quanto eu, tão ardente quanto eu, mas tão delicado. Tão frágil. E com tanto medo da morte. Vejo-o invocar a Corte das Sombras para este mundo, alheio às consequências. Ele lhes pede imunidade contra a doença do tempo e da morte, e eles a concedem."
"33e94544";"Such dreams belong to another time. To another man. One who would recoil from the things I've done since that night. Who might even care about all the sacrifices I've offered up to the odious Judges over... over how long? Hundreds of years?";"Tais sonhos pertencem a outro tempo. A outro homem. Alguém que se afastaria das coisas que fiz desde aquela noite. Que talvez se importasse com todos os sacrifícios que ofereci aos odiosos Juízes ao longo de... ao longo de quanto tempo? Centenas de anos?"
"34e84a1a";"I awoke from the nightmare again. One would think more than two hundred years would suffice to blunt its steel . But still I see Oakvale devoured by shadows. Still those shrieks fill the air. How much longer must I live before they fall silent?";"Acordei do pesadelo novamente. Alguém poderia pensar que mais de duzentos anos seriam suficientes para embotar seu aço. Mas ainda vejo Oakvale devorada pelas sombras. Ainda aqueles gritos ecoam no ar. Quanto tempo mais terei que viver antes que se calem?"
"358d3f2a";"Now, if you will just leave us alone. I will call you when you're needed again.";"Agora, se você nos deixar em paz, eu ligo quando precisarmos de você novamente."
"36e94a1d";"Ahh, off to find the capital for my venture? Jolly splendid!";"Ah, indo encontrar a capital para minha empreitada? Que maravilha!"
"3895aefc";"Oh yes, very good, very good. This poor woman needs my full attention.";"Oh sim, muito bem, muito bem. Esta pobre mulher precisa de toda a minha atenção."
