Hash;Original;Tradução
"47d6f83";"What are you doing giving my girl gifts?";"O que você está fazendo dando presentes para a minha garota?"
"47d6f84";"What's th ebig idea giving my girl presents?";"Qual é a grande ideia de dar presentes para a minha filha?"
"47d6f85";"Why would you give my daughter a present?";"Por que você daria um presente para a minha filha?"
"47d6f86";"That's my daughter you're giving gifts to!";"É para a minha filha que você está dando presentes!"
"47daac1";"Why on earth would you give my daughter a present?";"Por que você daria um presente para a minha filha?"
"12aad8e4";"I bet we could be friends.";"Aposto que poderíamos ser amigas."
"150c1bea";"Orphan are you? You should get one of those Fairfax fat folk to adopt you.";"Órfão? Deveria ser adotado por algum daqueles gordos de Fairfax."
"150c1beb";"Where are you parents? Children shouldn't be wandering these streets alone.";"Onde estão seus pais? Crianças não deveriam estar vagando sozinhas por essas ruas."
"150c6333";"You should keep moving. Only way to stop from freezing.";"Você deve continuar andando. É o único jeito de não congelar."
"17177c82";"Always stay on the right side of the law, kid.";"Sempre fique do lado certo da lei, garoto."
"1718d468";"Don't go causing any mischief now.";"Não vá causar problemas agora."
"1a0c238a";"Yep, this cold is bitter alright.";"É, esse frio é mesmo amargo."
"1a0c238b";"Don't you get up to any mischief now.";"Não apronte nenhuma travessura agora."
"1a0c3cab";"I hope you won't join those bullies that keep pestering this town.";"Espero que você não se junte àqueles valentões que vivem atormentando esta cidade."
"2243896d";"You'll grow up to be whatever you want. You'll see.";"Você vai crescer e ser o que quiser. Você vai ver."
"2243896e";"Do you have some place warm to spend the night?";"Você tem algum lugar quentinho para passar a noite?"
"224756b4";"You're a nice kid, you know. Not like some.";"Você é um bom garoto, sabia? Diferente de alguns."
"24dc8ea1";"What is the meaning of this?! Keep away from my daughter!";"O que significa isso?! Fique longe da minha filha!"
"24dc8ea2";"How terribly inappropriate! Stay away from her!";"Que coisa mais inapropriada! Fique longe dela!"
"24dc8ea3";"You keep away from my girl!";"Fique longe da minha filha!"
"24dc8ea4";"What you doing with my daughter, huh?!";"O que você está fazendo com a minha filha, hein?!"
"24dc8ea5";"What are you trying to do to my little girl?!";"O que você está tentando fazer com a minha filhinha?!"
"24dc8ea7";"Stay away from my daughter!";"Fique longe da minha filha!"
"24e0bd8f";"Please don't do that in front of my daughter!";"Por favor, não faça isso na frente da minha filha!"
"2b4397b9";"Harsh winter, isn't it kid?";"Inverno rigoroso, não é, garoto?"
"2b4397bb";"Are you keeping warm enough, little one.";"Você está se agasalhando bem, pequenino?"
"2b451952";"I'm sure you'll grow up to be really important.";"Tenho certeza de que você vai crescer e se tornar alguém muito importante."
"2bdc99a9";"Hey! That's my daughter! Back off!";"Ei! Essa é minha filha! Afaste-se!"
"2bdc99aa";"I won't tolerate that kind of behaviour in front of my little girl!";"Não tolerarei esse tipo de comportamento na frente da minha filhinha!"
"2bdc99ac";"How dare you do that in front of my daughter!";"Como você ousa fazer isso na frente da minha filha!"
"2bdc99ad";"What are you doing to my little princess!?";"O que você está fazendo com a minha princesinha!?"
"2bdc99ae";"That's my daughter! You will desist in your behaviour this second!";"Essa é a minha filha! Você vai parar com esse comportamento agora mesmo!"
"2bdc99af";"Back away from my little girl!";"Afaste-se da minha filhinha!"
"2be24107";"Hey! You doing summat with my daughter there!?";"Ei! Você está fazendo alguma coisa com a minha filha aí!?"
"37e84925";"Wouldn't it be great to live in the castle?";"Não seria ótimo morar no castelo?"
"3ce6bf7c";"I'm gonna try to sneak into Fairfax tomorrow.";"Vou tentar me infiltrar em Fairfax amanhã."
"3d57be49";"You've made a mess of that dress already, have you?";"Você já estragou esse vestido, não é?"
"3d57be4a";"I hope ye beat the snot outta that bully boy. Girls got to be tough too you know.";"Espero que você tenha dado uma surra naquele valentão. Meninas também precisam ser duronas, sabia?"
"3d57be4b";"And what would my little princess like to do now?";"E o que minha princesinha gostaria de fazer agora?"
"3d57be4d";"I hope that isn't dirt under your fingernails, young lady.";"Espero que não seja sujeira debaixo das suas unhas, mocinha."
"3d57be4e";"Have you been playing with your friends, sweetie?";"Você estava brincando com seus amigos, querida?"
"3d57be4f";"Remember to brush your teeth tonight, sweetie.";"Lembre-se de escovar os dentes hoje à noite, querida."
"3d580dc5";"No leaving food on your plate tonight. You know what your mum says.";"Nada de deixar comida no prato hoje à noite. Você sabe o que sua mãe diz."
"4857cff9";"I hope ye beat the snot outta that bully boy. Us girls got to be tough too you know.";"Espero que você tenha dado uma surra naquele valentão. Nós, meninas, também temos que ser duronas, sabia?"
"4857cffa";"Ye've made a mess of that dress already have ya?";"Você já estragou esse vestido, não é?"
"4857cffb";"I hope that isn't dirt under your fingernails, young lady.";"Espero que não seja sujeira debaixo das suas unhas, mocinha."
"4857cffc";"And what would my little princess like to do now?";"E o que minha princesinha gostaria de fazer agora?"
"4857cffe";"Have you been playing with your friends, sweetie?";"Você estava brincando com suas amigas, querida?"
"4857cfff";"No leaving food on your plate tonight. You know what your dad says.";"Nada de deixar comida no prato hoje à noite. Você sabe o que seu pai diz."
"485a3f44";"Remember to brush your teeth tonight, sweetie.";"Lembre-se de escovar os dentes hoje à noite, querido(a)."
