Hash;Original;Tradução
"0236268";"At a young age he suffered a devastating loss... from which he never truly recovered.";"Ainda jovem, ele sofreu uma perda devastadora... da qual nunca se recuperou completamente."
"0c59bd0";"You will need to jump into that hole to continue. Don't worry, the water at the bottom will break your fall.";"Você precisará pular naquele buraco para continuar. Não se preocupe, a água no fundo amortecerá a queda."
"0dc71cb";"Strength is a warrior's greatest asset. In close combat, there is nothing more effective than brute force.";"A força é o maior trunfo de um guerreiro. Em combate corpo a corpo, não há nada mais eficaz do que a força bruta."
"12641d5";"Your forebear-- one of the mightiest Heroes who ever lived.";"Seu ancestral — um dos heróis mais poderosos que já existiram."
"1404ab2";"Will allows you to command the forces of magic.";"A vontade permite que você comande as forças da magia."
"223e77b";"Welcome to the Heroes' Guild.";"Bem-vindo à Guilda dos Heróis."
"423abd1";"You are here.";"Você está aqui."
"52280bb";"No man alive today remembers the night the Guild burned. And now it lies forgotten.";"Nenhum homem vivo hoje se lembra da noite em que a Guilda foi incendiada. E agora ela jaz esquecida."
"52280bd";"But the Heroes are not all gone.";"Mas nem todos os Heróis se foram."
"52280bf";"For centuries, this academy trained the most supremely gifted sons and daughters of Albion, bound together by the blood that flowed in their veins.";"Por séculos, esta academia treinou os filhos e filhas mais talentosos de Albion, unidos pelo sangue que corria em suas veias."
"5235f56";"Once worshipped by the people of Albion, the great Heroes came to be feared and hated.";"Outrora venerados pelo povo de Albion, os grandes Heróis passaram a ser temidos e odiados."
"1189be7c";"These will prove useful. Now, walk with me.";"Isso será útil. Agora, caminhe comigo."
"11d9c70f";"Skilled fighters favour finesse and ranged combat.";"Lutadores habilidosos preferem sutileza e combate à distância."
"1218d454";"Inferno calls forth magical flames to scorch and burn your foes.";"O Inferno invoca chamas mágicas para queimar e incinerar seus inimigos."
"138b14fa";"There's a chest near your caravan. I've left a few things inside that might prove useful.";"Há um baú perto da sua caravana. Deixei algumas coisas lá dentro que podem ser úteis."
"144268c0";"Beyond these broken doors lies the Heroes' Guild.";"Além dessas portas quebradas fica a Guilda dos Heróis."
"14889ef4";"Meet me by the gates when you are ready to leave.";"Encontre-me nos portões quando estiver pronto para partir."
"158765c4";"That day has come.";"Esse dia chegou."
"1588d90b";"Many years ago I promised I would help you avenge your sister's death.";"Há muitos anos, prometi que te ajudaria a vingar a morte da sua irmã."
"1688dafe";"Today, you leave the safety of this camp and seek out Lucien. The journey will not be easy.";"Hoje, você deixa a segurança deste acampamento e parte em busca de Lucien. A jornada não será fácil."
"1844dfcd";"Choose your first abilities now. A Will ability such as Blast Wave might prove particularly useful.";"Escolha suas primeiras habilidades agora. Uma habilidade de Vontade, como Onda de Choque, pode ser particularmente útil."
"1844dfce";"Choose your first abilities now. A Will ability such as Shock Wave might prove particularly useful.";"Escolha suas primeiras habilidades agora. Uma habilidade de Vontade, como Onda de Choque, pode ser particularmente útil."
"18454a70";"Choose your first abilities now. A Will ability such as Repel might prove particularly useful.";"Escolha suas primeiras habilidades agora. Uma habilidade de Vontade, como Repelir, pode ser particularmente útil."
"1888ddc4";"Ah, there you are. And your faithful friend, too.";"Ah, aí está você. E seu fiel amigo também."
"1efe3d9c";"Use your Will ability to hit the Flit Switch and power up the gate.";"Use sua habilidade de Vontade para acionar o Interruptor e energizar o portão."
"21fd7fbf";"Once activated it will allow you to travel back to Bower Lake.";"Uma vez ativado, permitirá que você retorne ao Lago Bower."
"28d347e2";"Step into the light: learn the true power of Heroes.";"Entre na luz e aprenda o verdadeiro poder dos Heróis."
"2b4febf1";"Shock Wave sends a blast of energy towards your enemies, hurling them into nearby objects. It is very effective in confined spaces.";"Onda de Choque envia uma explosão de energia em direção aos seus inimigos, arremessando-os contra objetos próximos. É muito eficaz em espaços confinados."
"2b4febf3";"Blast Wave sends a pulse of energy towards your enemies, hurling them into nearby objects. It is very effective in confined spaces.";"Onda de Explosão envia um pulso de energia em direção aos seus inimigos, arremessando-os contra objetos próximos. É muito eficaz em espaços confinados."
"2b50521e";"Repel sends a blast of energy towards your enemies, hurling them into nearby objects. It is very effective in confined spaces.";"Repelir envia uma explosão de energia em direção aos seus inimigos, arremessando-os contra objetos próximos. É muito eficaz em espaços confinados."
"2bd2a524";"The Guild has reacted to you...";"A Guilda reagiu a você..."
"3cd442e7";"Use your lamp to see in dark areas.";"Use sua lâmpada para enxergar em áreas escuras."
"3e8575e9";"The tomb is on the island in the middle of Bower Lake.";"O túmulo fica na ilha no meio do Lago Bower."
"404d6225";"You must do the same.";"Você deve fazer o mesmo."
"4086d868";"You can do this without me. Go.";"Você consegue fazer isso sem mim. Vai."
"414d63b3";"He faced incredible challenges, but yours will be greater. And you must triumph, as he did.";"Ele enfrentou desafios incríveis, mas os seus serão ainda maiores. E você deve triunfar, assim como ele."
"41867a80";"You need to enter the tomb if you're to fulfill your destiny.";"Você precisa entrar na tumba se quiser cumprir seu destino."
"41fcfae0";"Blades creates magical swords to protect you or impale your enemies at a distance.";"Blades cria espadas mágicas para proteger você ou empalar seus inimigos à distância."
"429e3fb8";"The greater your speed, the faster you will be able to unleash attacks upon your enemies.";"Quanto maior a sua velocidade, mais rápido você poderá desferir ataques contra seus inimigos."
"44ffbade";"Blades creates magical swords to impale your enemies.";"Blades cria espadas mágicas para empalar seus inimigos."
"4cf21210";"Ask yourself, what makes you stronger: killing those who cannot defend themselves, or allowing them to live?";"Pergunte a si mesmo: o que te torna mais forte: matar aqueles que não podem se defender ou deixá-los viver?"
"50a3f76b";"Developing your Will ability increases the number of ways in which you can use magic.";"Desenvolver sua habilidade de Vontade aumenta o número de maneiras pelas quais você pode usar magia."
"52fdda42";"Take this.";"Pegue isto."
"52fdda44";"It is a powerful artifact, the kind of which all Heroes once carried. It will grant you access to places others cannot go.";"É um artefato poderoso, do tipo que todos os Heróis já carregaram. Ele lhe dará acesso a lugares onde outros não podem ir."
"52fff5d0";"It will also allow me to talk to you when necessary.";"Ele também me permitirá falar com você quando necessário."
"540434f2";"It's time you realised your potential.";"É hora de você perceber seu potencial."
"54fe78c3";"But Thag is more than a match for you, armed as you are.";"Mas Thag é mais do que páreo para você, armado como você está."
"57000a8b";"Now go.";"Agora vá."
"5727aee8";"You must learn a Will ability to leave this place.";"Você precisa desenvolver a habilidade de Força de Vontade para sair deste lugar."
"58001256";"When you come out again, you will be stronger-- much stronger.";"Quando você sair de novo, estará mais forte — muito mais forte."
"583069a8";"You should buy a Will ability so that you can activate that cullis gate.";"Você deveria comprar uma habilidade de Vontade para poder ativar aquele portal de Cullis."
"5895f3bd";"You have not been able to use Will yet. But the simple act of reaching this place has given you Will experience.";"Você ainda não conseguiu usar Vontade. Mas o simples fato de ter chegado a este lugar já lhe deu experiência em Vontade."
"58eb478f";"The stronger your physique, the more damage you will cause with close combat weapons.";"Quanto mais forte for seu físico, mais dano você causará com armas de combate corpo a corpo."
"58fe8e1a";"The seal will allow you to enter that tomb.";"O selo permitirá que você entre naquele túmulo."
"592a0af0";"The gate only activates for a user trained in Will.";"O portal só se ativa para um usuário treinado em Vontade."
"599ba07b";"As you increase an ability, its effects evolve.";"Conforme você aprimora uma habilidade, seus efeitos evoluem."
"5a02506c";"Now look down towards the lake.";"Agora olhe para o lago."
"5a9517b2";"And that same Heroic blood flows through you.";"E esse mesmo sangue heroico corre em suas veias."
"5b94a322";"Choose your first abilities now. A Will ability such as Force Push might prove particularly useful.";"Escolha suas primeiras habilidades agora. Uma habilidade de Vontade, como Empurrão da Força, pode ser particularmente útil."
"5c9aeff2";"The three pillars of a Hero's power are Strength, Skill, and Will. Each represents a different combat discipline.";"Os três pilares do poder de um Herói são Força, Habilidade e Vontade. Cada um representa uma disciplina de combate diferente."
"5e9481c2";"Your enthusiasm will have its uses. But mind it does not consume you.";"Seu entusiasmo terá suas utilidades. Mas cuidado para que ele não o consuma."
"5e97afe0";"You also receive experience corresponding to the disciplines you use in combat. Strike your enemies and you can develop your Strength. Shoot them and you can increase your Skill.";"Você também recebe experiência correspondente às disciplinas que usa em combate. Ataque seus inimigos e você poderá desenvolver sua Força. Atire neles e você poderá aumentar sua Habilidade."
"5f97de24";"Each enemy you defeat gives you general experience, which can be used to develop any ability in any discipline.";"Cada inimigo derrotado concede experiência geral, que pode ser usada para desenvolver qualquer habilidade em qualquer disciplina."
"639e26d0";"You can then use it to travel back to Bower Lake, where you will face Thag.";"Você poderá usá-lo para voltar ao Lago Bower, onde enfrentará Thag."
"64c32ce8";"And now they have none, because of you.";"E agora eles não têm nenhum, por sua causa."
"65c15b8d";"So tell me, how does killing suit you?";"Então me diga, como matar lhe agrada?"
"69c2e16f";"Think about your life. All the places you've been, the people you've known, everything you've done.";"Pense na sua vida. Todos os lugares que você visitou, as pessoas que você conheceu, tudo o que você fez."
"6ac4138a";"How many moments, how many memories?";"Quantos momentos, quantas memórias?"
"6b440cb8";"But the Hero was not the only one who intended to change Albion. Its people lived in the most dangerous time since the destruction of the Old Kingdom. And more destruction was coming.";"Mas o Herói não era o único que pretendia mudar Albion. Seu povo vivia na época mais perigosa desde a destruição do Antigo Reino. E mais destruição estava por vir."
"6bc18e69";"Thag and his men-- they had just as many.";"Thag e seus homens... eles tinham tantos quanto."
"6f83d8ee";"You'll need to use Will to activate the cullis gate.";"Você precisará usar a Vontade para ativar o portão de Cullis."
"707fe4a8";"Unleash your Will to open the gate.";"Liberte sua Vontade para abrir o portão."
"728143d1";"Demonstrate your Will. Destroy the flit switch.";"Demonstre sua Vontade. Destrua o interruptor."
"728e637e";"Step into the light: learn the true power of Heroes.";"Entre na luz e aprenda o verdadeiro poder dos Heróis."
"73915434";"The Guild has reacted to you...";"A Guilda reagiu a você..."
"7c9c8257";"You need to learn a Will ability to activate the cullis gate.";"Você precisa aprender uma habilidade de Vontade para ativar o portão Cullis."
"849c7e0b";"The greater your health, the more damage you can take.";"Quanto maior sua saúde, mais dano você pode suportar."
"894378cd";"Go to your caravan. I left your supplies in the chest nearby.";"Vá até sua caravana. Deixei seus suprimentos no baú próximo."
"8a454200";"Do you need a blind woman to show you to your own home? This is not encouraging.";"Você precisa de uma mulher cega para te mostrar o caminho de casa? Isso não é nada animador."
"8c44287c";"You should find everything you need for your journey in the chest.";"Você deve encontrar tudo o que precisa para sua jornada no baú."
"8eb68979";"A tougher Hero is able to withstand more damage before falling in battle.";"Um Herói mais resistente consegue suportar mais dano antes de cair em batalha."
