Hash;Original;Tradução
"4450989";"I've got better things to do. So long.";"Tenho coisas melhores para fazer. Até mais."
"445098b";"I've had enough of this.";"Já chega."
"445098c";"Got to go! See you!";"Preciso ir! Até mais!"
"445098d";"Someone of my station should engage in loftier activities.";"Alguém da minha posição deveria se dedicar a atividades mais nobres."
"445098e";"I leave you now. May your path be blessed with wonderful escapades.";"Deixo-te agora. Que teu caminho seja abençoado com maravilhosas aventuras."
"445098f";"What's the point of this?!";"Qual o sentido disso?!"
"4485398";"I got better things to do.";"Tenho coisas melhores para fazer."
"49013dc";"Who do you think you're talking to?";"Com quem você pensa que está falando?"
"49013df";"I haven't lost my mind yet.";"Eu ainda não perdi a cabeça."
"4912d55";"I'd rather let a chicken play.";"Prefiro deixar uma galinha brincar."
"b808985";"Yeah, right. Get lost.";"É mesmo? Some daqui."
"b808986";"Don't be silly.";"Não seja bobo."
"b85427b";"I don't think so.";"Acho que não."
"beb2375";"Get out of it! Get you!";"Sai daqui! Sai daqui!"
"beb2376";"Beat it, will you?";"Vaza, vai?"
"beb3643";"Is this a joke?";"Isso é uma piada?"
"d0b3452";"You can't win if you don't play. So come on up!";"Você não ganha se não jogar. Então, venha!"
"d0b3457";"Place your bets and win a fortune!";"Faça suas apostas e ganhe uma fortuna!"
"d0b93fa";"I wager you ain't never played a game like this.";"Aposto que você nunca jogou um jogo como este."
"e8f7cc4";"It's the game for hardcore gamblers! Play Keystone before it's banned!";"É o jogo para apostadores hardcore! Jogue Keystone antes que seja banido!"
"e8f7cc7";"Why bet your life when you can bet your gold? Play Keystone now!";"Por que apostar sua vida quando você pode apostar seu ouro? Jogue Keystone agora!"
"e8fad9c";"Do you have the wits to outsmart Keystone?";"Você tem a astúcia necessária para enganar Keystone?"
"1785e280";"I'm not going anywhere with you.";"Não vou a lugar nenhum com você."
"1c665064";"Gamblin'! Gamblin' Get yer gamblin'!";"Apostando! Apostando! Vamos apostar!"
"1c665067";"Have you got what it takes to play the greatest game ever conceived?";"Você tem o que é preciso para jogar o melhor jogo já criado?"
"1c6bd773";"Play to win! Win to play! To win play... Oh, just come here!";"Jogue para ganhar! Ganhe para jogar! Para ganhar, jogue... Ah, venha cá!"
"2084ec85";"I don't follow losers.";"Eu não sigo perdedores."
"2aaf8b84";"Go jump off a cliff.";"Vá se jogar de um penhasco."
"2aaf8b87";"Get lost!";"Suma daqui!"
"2ab02cc0";"No, get lost!";"Não, suma daqui!"
"308281f2";"You're an idiot.";"Você é um idiota."
"308281f4";"Do I look stupid?";"Eu pareço estúpido?"
