Hash;Original;Tradução
"1a2e847";"I don't know what I'm going to do.";"Eu não sei o que vou fazer."
"2a30eb8";"I want to tell him, you know. Maybe he'd understand. But, I just can't.";"Eu quero contar para ele, sabe? Talvez ele entenda. Mas eu simplesmente não consigo."
"3a38479";"I don't want to get married... to a woman. Any woman. You understand?";"Eu não quero me casar... com uma mulher. Qualquer mulher. Entendeu?"
"7151afe";"The Blind Date";"O Encontro às Cegas"
"20e1e9ec";"I don't believe this. I can't even compete with other women... Please go. This is my one chance of happiness.";"Eu não acredito nisso. Eu não consigo nem competir com outras mulheres... Por favor, vá embora. Esta é a minha única chance de ser feliz."
"20e22fd6";"You can get any number of women to fall in love with you. But me, this is my one chance of happiness. Please go!";"Você pode fazer qualquer número de mulheres se apaixonar por você. Mas eu, esta é a minha única chance de ser feliz. Por favor, vá embora!"
"21bdd026";"Hey, you're not here to dump anything in the old part of the graveyard, are you? People think it's some sort of tip.";"Ei, você não está aqui para jogar nada na parte antiga do cemitério, está? As pessoas acham que é algum tipo de lixão."
"22bdd199";"You're not turning down science, are you?";"Você não vai recusar a ciência, vai?"
"23bff279";"I... I'd open the door but, well, I don't talk to people much.";"Eu... eu abriria a porta, mas, bem, eu não converso muito com as pessoas."
"24bf8598";"Please say yes. I really need the help.";"Por favor, diga sim. Eu realmente preciso de ajuda."
"24dc8ea0";"So you'll find a date for my son Rupert a date, will you?";"Então você vai arranjar um encontro para o meu filho Rupert, certo?"
"2684a954";"Well, did our friend here help you find a nice girl then?";"E aí, nosso amigo te ajudou a encontrar uma garota legal?"
"2c4f194b";"It's so hard for the boy to meet anybody round here.";"É tão difícil para o rapaz conhecer alguém por aqui."
"2d4daa67";"Things haven't been easy since Jenny died. Just us two, all the way out here.";"As coisas não têm sido fáceis desde que Jenny morreu. Só nós duas, aqui no meio do nada."
"2e5056d7";"I just want to see Rupert settled down. He deserves some happiness.";"Eu só quero ver o Rupert se estabilizar. Ele merece um pouco de felicidade."
"32061e7b";"You're the first girl that's ever been in here. You know, alive.";"Você é a primeira garota que já esteve aqui. Viva."
"37c11e4b";"Aren't you leaving? Think of, um, science. Science is good.";"Você não vai embora? Pense em, hum, ciência. A ciência é boa."
"39c3faf9";"I'll leave the door open for you when you come back. Oh! You don't think any burglars heard that, do you?";"Vou deixar a porta aberta para você quando voltar. Oh! Você acha que nenhum ladrão ouviu isso?"
"3ac5df80";"I forgot to mention. That cave might be a tad dangerous. Nothing you can't handle.";"Esqueci de mencionar. Aquela caverna pode ser um pouco perigosa. Nada que você não consiga lidar."
