Hash;Original;Tradução
"2cad3e0";"Use Cullis Gate to Bloodstone";"Use o Portal de Cullis para Bloodstone"
"3fa29df";"The Temple of Light";"O Templo da Luz"
"5908cd1";"The sign reads: 'Brightwood Tower'";"A placa diz : 'Torre Brightwood'"
"67dae27";"The Old Cabin";"A Cabana Velha"
"761e540";"Westcliff Tattooist is currently suffering from a small shortage due to supply problems. Prices are up, but they'll pay extra for any items you can offer.";"O estúdio Westcliff Tattooist está com uma pequena escassez devido a problemas de fornecimento. Os preços subiram, mas eles pagarão um adicional por qualquer item que você possa oferecer."
"80db3b2";"The Sinkhole";"O Sumidouro"
"847e637";"Brightwood Road";"Estrada Brightwood"
"cc9f846";"Bower Lake Road";"Estrada do Lago Bower"
"e7b2410";"The Gargoyle's Trove";"O Tesouro da Gárgula"
"112c16a7";"The sign reads: 'Bowerstone Market'";"A placa diz: 'Mercado de Bowerstone'"
"11a07ef1";"Brightwood Road";"Estrada de Brightwood"
"12b1de38";"Crucible Big Sale";"Grande Promoção Crucible"
"1373f44e";"The Throne Room";"A Sala do Trono"
"14a2a70e";"Westcliff Tavern is currently suffering from a shortage due to a tragic water explosion. You're sure to earn some coin selling food and drinks here.";"A Taverna Westcliff está sofrendo com a falta de suprimentos devido a uma trágica explosão de água. Você certamente ganhará algumas moedas vendendo comidas e bebidas aqui."
"17c6c36c";"The Bloodstone Tomb";"Túmulo de Bloodstone"
"1ab1f610";"The Gypsy Camp";"O Acampamento Cigano"
"1ba925c2";"Tattooist Big Sale";"Grande Liquidação de Tatuadores"
"1bbb26c8";"The Westcliff Camp";"O Acampamento Westcliff"
"1bee89f8";"Westcliff Tattooist is having a huge sale for the next few days. Our work isn't just attractive, it's affordable, and it hardly hurts at all.";"O estúdio de tatuagem Westcliff está com uma super promoção nos próximos dias. Nosso trabalho não é apenas bonito, é acessível e quase não dói."
