Hash;Original;Tradução
"0e5c150";"Bloodstone Tavern is currently suffering from a small shortage due to supply problems. If only a drinks merchant were to take advantage...";"A Taverna de Bloodstone está enfrentando uma pequena falta de suprimentos devido a problemas de fornecimento. Se apenas um comerciante de bebidas pudesse aproveitar..."
"265f8c3";"Tavern Big Shortage";"Grande Escassez na Taberna"
"73a47a8";"Bowerstone Apothecary is having a small sale for the next few days. You might find the potion you're looking for at a bargain price.";"A Farmácia Bowerstone está com uma pequena promoção nos próximos dias. Você pode encontrar a poção que procura por um preço imperdível."
"9824192";"Bowerstone Jeweller is currently suffering from a shortage due to a union dispute. You'll pay through the nose for jewellery, but then so will they.";"A joalheria Bowerstone está sofrendo com a falta de estoque devido a uma disputa sindical. Você vai pagar caro pelas joias, mas eles também."
"9a632e5";"Bloodstone Tattooist is currently suffering from a large shortage due to supply problems. Prices are up, but they'll pay massive amounts for any items you can offer.";"O tatuador Bloodstone está sofrendo com uma grande escassez devido a problemas de fornecimento. Os preços subiram, mas eles pagarão muito por qualquer item que você possa oferecer."
"bedb5d4";"Bowerstone Blacksmith is having a small sale after an accident with an axe discouraged most locals from buying weapons. Good thing for you you're not so skittish.";"O Ferreiro de Bowerstone está fazendo uma pequena promoção depois que um acidente com um machado desencorajou a maioria dos moradores locais a comprar armas. Ainda bem que você não é tão medroso."
"ccc1396";"Drinks Stall Massive Sale";"Grande Liquidação na Barraca de Bebidas"
"cdecbed";"Bowerstone Apothecary is currently suffering from a large shortage after a group of children smashed all the potion bottles with a pellet gun. They'll pay good money to replace them.";"A Farmácia Bowerstone está sofrendo com uma grande escassez depois que um grupo de crianças quebrou todos os frascos de poções com uma pistola de chumbinho. Eles pagarão bem para repô-los."
"d2586af";"Furniture Big Shortage";"Grande escassez de móveis"
"da25a90";"Bowerstone Book Shop is currently suffering from a shortage after all the words inexplicably fell out of a number of their volumes. Care to provide them with a second-hand service?";"A Livraria Bowerstone está sofrendo com a falta de livros depois que todas as palavras inexplicavelmente caíram de vários volumes. Você se importaria de prestar um serviço de segunda mão a eles?"
"11d2990b";"Blacksmith Big Sale";"Grande Liquidação da Ferraria"
"1307f7d6";"Apothecary Big Sale";"Grande Liquidação da Farmácia"
"1aff36c4";"Bowerstone Jeweller is having a small sale for the next few days. You never know what you might find (though it will likely be jewellery-related).";"A joalheria Bowerstone está com uma pequena promoção nos próximos dias. Você nunca sabe o que pode encontrar (embora provavelmente seja algo relacionado a joias)."
"1cb5b081";"Blacksmith Big Shortage";"Grande Escassez de Ferreiros"
"1d9b74de";"Bowerstone Book Shop is currently suffering from a small shortage due to the recent and rather surprising rise in literacy amongst the local population.";"A Livraria Bowerstone está atualmente com uma pequena escassez devido ao recente e surpreendente aumento do nível de alfabetização na população local."
"1eebdaec";"Tavern Sale";"Promoção na Taberna"
"20cf34f2";"Bowerstone Furniture is currently suffering from a small shortage due to wood supply problems.";"A Bowerstone Furniture está enfrentando uma pequena escassez devido a problemas no fornecimento de madeira."
"28f06d4f";"Book Shop Massive Sale";"Super Liquidação na Livraria"
"2c56b204";"Bowerstone Drinks Stall is having a sale for the next few days. It's a fine time to get loaded.";"A barraca de bebidas Bowerstone está com promoção pelos próximos dias. É uma ótima oportunidade para se embebedar."
"2f62ba62";"Jeweller Big Shortage";"Grande Escassez de Joalheiros"
"3395d458";"Tattooist Massive Sale";"Grande Liquidação de Tatuadores"
"356af048";"Bowerstone Jeweller is currently suffering from a small shortage due to a miners' strike. It's a great time to unload jewellery, though a poor time to buy.";"A Joalheria Bowerstone está sofrendo com uma pequena escassez devido a uma greve de mineiros. É uma ótima hora para se desfazer de joias, embora seja uma má hora para comprar."
"3acdf6d0";"Furniture Massive Sale";"Liquidação de Móveis"
"3c3ab9d7";"General Store Big Shortage";"Grande Escassez na Loja Geral"
"3f901f2a";"Bowerstone Book Shop is currently suffering from a large shortage after rats chewed through most of their stock. If you happen to have a mobile library in your pocket, you could make a nice sum of gold.";"A Livraria Bowerstone está sofrendo com uma grande escassez depois que ratos roeram a maior parte do estoque. Se você tiver uma biblioteca móvel no bolso, poderá ganhar uma boa quantia em ouro."
"429248eb";"Bowerstone Furniture is currently suffering from a large shortage due to a plague of rabid termites. If you're looking to offload any tables and chairs, you'll get a good price for them.";"A Bowerstone Furniture está sofrendo com uma grande escassez devido a uma infestação de cupins raivosos. Se você está pensando em se desfazer de mesas e cadeiras, conseguirá um bom preço por elas."
"466070ae";"Bloodstone Tavern is having a huge sale for the next few days. It's happy hour every hour!";"A Taverna Bloodstone está com uma super promoção pelos próximos dias. É happy hour a cada hora!"
"4687c238";"Bloodstone Tavern is currently suffering from a large shortage after a tourist barbarian horde stopped by for a few pints. They could use some new supplies.";"A Taverna Bloodstone está sofrendo com uma grande escassez depois que uma horda de bárbaros turistas parou para tomar uns pints. Eles poderiam usar alguns suprimentos novos."
"49a124d5";"General Store Sale";"Liquidação da Loja Geral"
"4bb080dc";"Bowerstone Jeweller is having a huge sale for the next few days. Buy something special for that someone special.";"A joalheria Bowerstone está com uma super promoção nos próximos dias. Compre algo especial para alguém especial."
"4d65fc1d";"Bowerstone Apothecary is currently suffering from a shortage after misplacing its recipe book. An enterprising potion trader could take advantage of such a situation.";"A Farmácia Bowerstone está sofrendo com a falta de estoque após perder seu livro de receitas. Um comerciante de poções empreendedor poderia se aproveitar da situação."
"4fb1bca6";"Bowerstone Blacksmith is having a sale for the next few days. Do you need some new weapons perhaps?";"O Ferreiro de Bowerstone está com uma promoção pelos próximos dias. Precisa de algumas armas novas?"
"5142eb30";"General Store Big Sale";"Grande Liquidação da Loja de Conveniência"
"5256ca8f";"Tavern Huge Shortage";"Grande Escassez na Taberna"
"58dd4540";"General Store Shortage";"Escassez no Armazém Geral"
"5fa49308";"Bowerstone General Store is having a huge sale for the next few days. Everything must go! Or at least a high number of things must.";"A Loja Geral de Bowerstone está com uma grande liquidação pelos próximos dias. Tudo precisa ir embora! Ou pelo menos uma grande parte das coisas."
"6215f63f";"Tattooist Big Sale";"Grande Promoção de Tatuagem"
"62e703a6";"Jeweller Huge Shortage";"Grande Escassez de Joalheiros"
"63f017f4";"General Store Massive Sale";"Liquidação Gigantesca na Loja de Conveniência"
"6534e787";"Book Shop Big Sale";"Grande Liquidação na Livraria"
"655676c0";"Book Shop Sale";"Liquidação na Livraria"
"6a33a7fa";"Book Shop Big Shortage";"Grande Escassez na Livraria"
"6ab36cb8";"Tailor Shortage";"Escassez de Alfaiates"
"7015be26";"Bowerstone Blacksmith is currently suffering from a shortage after breaking their forging hammer. You might want to sell weapons to them before they get it fixed.";"O Ferreiro de Bowerstone está com falta de estoque após quebrar seu martelo de forja. Você pode querer vender armas para eles antes que consigam consertá-lo."
"71eda5b5";"Bloodstone Tattooist is having a small sale for the next few days. Cheaper, but hopefully still using a clean needle.";"O Tatuador de Bloodstone está com uma pequena promoção pelos próximos dias. Mais barato, mas tomara que ainda usem agulhas limpas."
"77889d40";"Jeweller Shortage";"Escassez de Joalheiros"
"7bbcf3b8";"Tattooist Sale";"Promoção de Tatuagem"
"8098bfda";"Bloodstone Tavern is currently suffering from a shortage after a group of bandits had a party there. If only a drinks merchant were to take advantage...";"A Taverna Bloodstone está sofrendo com a falta de bebidas depois que um grupo de bandidos fez uma festa lá. Se ao menos um comerciante de bebidas aproveitasse a situação..."
"845351df";"Bowerstone Book Shop is having a huge sale for the next few days. But just because the locals are too stupid to read doesn't mean you shouldn't.";"A Livraria Bowerstone está com uma super promoção nos próximos dias. Mas só porque os moradores locais são burros demais para ler não significa que você também não deva."
"84beb977";"Bowerstone Apothecary is currently suffering from a small shortage due to supply problems. It might be a good time to sell some potions.";"A Farmácia Bowerstone está sofrendo com uma pequena escassez devido a problemas de abastecimento. Talvez seja uma boa hora para vender algumas poções."
"85163bd8";"Tattooist Huge Shortage";"Grande escassez de tatuadores"
