Hash;Original;Tradução
"2217b00";"Bloodstone";"Bloodstone"
"36b7e55";"Nice.";"Legal."
"4735851";"Bah.";"Bah."
"49013d9";"A delightful selection of furniture, with optional torture attachments.";"Uma seleção encantadora de móveis, com acessórios de tortura opcionais."
"577d6ed";"Honestly...";"Sinceramente..."
"78d57d4";"The mysteries of this cavern must be unearthed!";"Os mistérios desta caverna precisam ser desvendados!"
"7b7f7aa";"How utterly wonderful.";"Que maravilha!"
"8b56185";"Continue like that and Lucien has already won.";"Continue assim e Lucien já terá vencido."
"9b7601a";"You were given a second chance at life. Be mindful of that.";"Você recebeu uma segunda chance na vida. Lembre-se disso."
"9b8cf78";"This is even better than making Meatbane jabber like a monkey.";"Isso é ainda melhor do que fazer o Meatbane tagarelar como um macaco."
"a5b4919";"The Hook";"O Gancho"
"ab8da51";"And I thought this place was going to be dreary. How wrong I was.";"E eu pensei que este lugar seria deprimente. Como eu estava enganada."
"bdb1c10";"<laughs> Most amusing.";"<laughs> Muito divertido."
"cae5d8c";"The Boat House";"A Casa do Barco"
"15123f41";"I couldn't possibly.";"Eu jamais conseguiria."
"1613838c";"I'm far too busy I'm afraid.";"Estou muito ocupado, infelizmente."
"16906555";"You trying to get me angry?!";"Está tentando me irritar?!"
"1aecb3e0";"Bloodstone Tombs";"Túmulos de Bloodstone"
"1b416af8";"Ha ha ha!";"Ha ha ha!"
"1c757447";"<whimpers>";"<whimpers>"
"1cf42418";"You're back. Wonderful!";"Você voltou. Maravilhoso!"
"1f1b7955";"<whimpers>";"<whimpers>"
"20f8ae0e";"4 Bloodstone Hill, Bloodstone";"Colina de Bloodstone, 4, Bloodstone"
"21fcdec5";"Yeah!";"Sim!"
"24187f26";"Wonderful.";"Maravilhoso."
"26090eb4";"Argh!";"Argh!"
"270c46d0";"Well, isn't that something!";"Bem, que coisa!"
"27182c00";"That really is marvellous.";"Isso é realmente maravilhoso."
"2768c9a9";"The Furniture Graveyard";"O Cemitério de Móveis"
"28cb5dec";"I knew you would return. As I was saying...";"Eu sabia que você voltaria. Como eu estava dizendo..."
"290c8de2";"That's great!";"Que ótimo!"
"2a1162bb";"Brilliant stuff.";"Incrível!"
"2c7275fd";"Bahr!";"Bahr!"
"2e725beb";"Ouch! Why would you hit me?!";"Ai! Por que você me bateu?!"
"2e761f72";"Nice.";"Legal."
