Hash;Original;Tradução
"0ce9fb3";"Wonder if there's any blacksmiths jobs going. Know of any?";"Será que tem alguma vaga de ferreiro por aí? Sabe de alguma?"
"0ce9fb4";"If there's one thing I can be, that's a blacksmith. Any work for me round here?";"Se há uma coisa que eu posso ser, é ferreiro. Tem algum trabalho para mim por aqui?"
"0ce9fb5";"Used to dream of being a blacksmith when I was a boy. It's time I made the dream come true. Heard of any openings?";"Quando era menino, sonhava em ser ferreiro. Chegou a hora de realizar esse sonho. Alguém sabe de alguma vaga?"
"0ce9fb7";"Oh, to be a blacksmith and sweat upon that molten steel... Are there any jobs of that sort around?";"Ah, como seria bom ser ferreiro e suar sobre o aço derretido... Tem algum emprego assim por aqui?"
"0cef890";"I love hitting things. I bet I'd make a great blacksmith.";"Adoro bater em coisas. Aposto que seria um ótimo ferreiro."
"7ceaab9";"Do you think I could make it as a blacksmith? Where do I find out?";"Você acha que eu conseguiria me dar bem como ferreiro? Onde posso descobrir?"
"7ceaaba";"I wonder if I could become a blacksmith... There must be some work going for that.";"Será que eu conseguiria me tornar ferreira? Deve haver algum trabalho por aí."
"7ceaabe";"I've decided to become the first female blacksmith in Albion. Where would I go for a job like that?";"Decidi me tornar a primeira ferreira de Albion. Onde eu conseguiria um emprego assim?"
"7ceaabf";"Any blacksmith jobs going around here?";"Tem alguma vaga de ferreiro por aqui?"
"7cf8e51";"My cousin's an out-of-work blacksmith. Any idea where he can get a job?";"Meu primo é um ferreiro desempregado. Tem alguma ideia de onde ele pode arranjar um emprego?"
"14245461";"You should try Bowerstone Market.";"Você deveria experimentar o Bowerstone Market."
"14245463";"Try Bowerstone Market.";"Experimente o Bowerstone Market."
"14245466";"Bowerstone Market is usually a good place for that.";"O Bowerstone Market costuma ser um bom lugar para isso."
"14245467";"Give Bowerstone Market a go.";"Dê uma chance ao Bowerstone Market."
"1425dd26";"Try Bowerstone Market.";"Experimente o Mercado Bowerstone."
"1b245f63";"Try Bowerstone Market.";"Experimente o Mercado Bowerstone."
"1b245f64";"Bowerstone Market's your best bet.";"O Mercado Bowerstone é a sua melhor opção."
"1b245f65";"Have you tried Bowerstone Market?";"Já experimentou o Mercado Bowerstone?"
"1b245f66";"Why don't you try Bowerstone Market?";"Por que não experimentar o Mercado Bowerstone?"
"1b24604a";"Have you looked in Bowerstone Market?";"Já deu uma olhada no Mercado Bowerstone?"
"23a00a81";"How can you be so bad at cutting wood?";"Como você pode ser tão ruim em cortar lenha?"
"23a00a84";"You couldn't chop a twig you, never mind wood.";"Você não conseguiria cortar nem um graveto, quanto mais lenha."
"23a00a86";"How hard can it be to chop wood? Honestly.";"Quão difícil pode ser cortar lenha? Honestamente."
"23a00a87";"I hear you're not too handy with an axe when it comes to chopping wood.";"Ouvi dizer que você não é muito habilidoso com um machado quando se trata de cortar lenha."
"23a1ff9b";"You'd think someone versed in combat wouldn't have too much trouble chopping wood. But you prove us wrong.";"Você pensaria que alguém versado em combate não teria muita dificuldade em cortar lenha. Mas você prova que estamos errados."
"28a012a1";"How do you kill monsters when you can't even cut wood?";"Como matar monstros se você nem consegue cortar madeira?"
"28a012a5";"I wouldn't use you to cut my wood if my life depended on it.";"Eu não te contrataria para cortar lenha nem que minha vida dependesse disso."
"28a012a6";"How can someone like you cut wood so badly?";"Como alguém como você consegue cortar lenha tão mal?"
"28a012a7";"Don't worry, I'll never ask you to cut wood for me. You're useless.";"Não se preocupe, eu nunca vou te pedir para cortar lenha para mim. Você é inútil."
"28a23282";"It's a wonder you didn't cut your own leg off when you were trying to chop wood.";"É um milagre você não ter cortado a própria perna enquanto tentava cortar lenha."
"30a2f86c";"How about Rookridge? Yeah, try there.";"Que tal Rookridge? Sim, tente lá."
"30a6d554";"What about Rookridge?";"E quanto a Rookridge?"
"35a3000c";"Give Rookridge a go.";"Experimente Rookridge."
"35a4feac";"Give Rookridge a try.";"Experimente Rookridge."
"4a50eca6";"Bower Lake might have what you're looking for.";"Bower Lake pode ter o que você procura."
"6b5db1f1";"You know, I think I heard there's some of that work available right here in town.";"Sabe, acho que ouvi dizer que tem um trabalho disponível aqui na cidade."
"6b5db1f3";"There's a job right here in town.";"Tem um emprego aqui na cidade."
"6b5db1f6";"As luck would have it there's a job going in this very town.";"Por sorte, tem um emprego rolando nesta mesma cidade."
"6b5db1f7";"I think there's a job going in town, actually.";"Acho que tem uma vaga de emprego na cidade, na verdade."
"6b5f6f98";"There's some work right here in town as luck has it.";"Por sorte, tem trabalho aqui na cidade."
