Hash;Original;Tradução
"47adcd1";"The King? What do you rule over? A backyard?";"O Rei? Sobre o que você governa? Um quintal?"
"47adcd3";"The King? What do you rule over? A backyard?";"O Rei? Sobre o que você governa? Um quintal?"
"47adcd4";"The King? What do you rule over? A backyard?";"O Rei? Sobre o que você governa? Um quintal?"
"47adcd5";"The King? What do you rule over? A backyard?";"O Rei? Sobre o que você governa? Um quintal?"
"47adcd6";"The King? Who do you rule over then? A backyard?";"O Rei? Sobre quem você manda então? Um quintal?"
"47adcd7";"The King? What do you rule over? A backyard?";"O Rei? Sobre o que você manda? Um quintal?"
"47bf247";"The King? What do you rule over? A backyard?";"O Rei? Sobre o que você manda? Um quintal?"
"b7ae7d1";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei se quase nada lhe pertence?"
"b7ae7d2";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei se quase nada lhe pertence?"
"b7ae7d3";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei se quase nada lhe pertence?"
"b7ae7d4";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei quando quase nada lhe pertence?"
"b7ae7d5";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei quando quase nada lhe pertence?"
"b7ae7d6";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei quando quase nada lhe pertence?"
"b7dc574";"How can you be The King when hardly anything belongs to you?";"Como você pode ser o Rei quando quase nada lhe pertence?"
"18fd8ce1";"Why do they call you Salad Dodger? You're not exactly porcine.";"Por que te chamam de Esquivador de Salada? Você não é exatamente um porco."
"18fd8ce2";"Isn't it cruel to call you Salad Dodger? You seem normal sized to me.";"Não é cruel te chamarem de Esquivador de Salada? Você me parece de tamanho normal."
"18fd8ce3";"You're not enough of a fat arse to be called Salad Dodger.";"Você não é gordo o suficiente para ser chamado de Esquivador de Salada."
"18fd8ce4";"I thought you'd be fat with a name like Salad Dodger.";"Eu pensei que você fosse gordo com um nome como "Salad Dodger" (algo como "Fugitivo da Salada")."
"18fd8ce5";"You'll have to start shovelling pies and cakes if you want to be a true Salad Dodger.";"Você vai ter que começar a devorar tortas e bolos se quiser ser um verdadeiro "Salad Dodger"."
"18fd8ce7";"Salad Dodger? It looks like you eat balanced meals.";""Salad Dodger"? Parece que você se alimenta de forma balanceada."
"1900fd61";"Salad Dodger? That's a name for a fatty, not for you!";""Salad Dodger"? Esse é nome de gordo, não de você!"
"1ffd97e9";"You're far too fit to be a Salad Dodger!";"Você está muito em forma para ser um Esquivador de Saladas!"
"1ffd97ea";"Salad Dodger! Fatten up if you want that name to suit you.";"Esquivador de Saladas! Engorde um pouco se quiser que esse nome combine com você."
"1ffd97ec";"You're not fat enough to be called Salad Dodger, I don't think.";"Você não é gordo o suficiente para ser chamado de Esquivador de Salada, eu acho."
"1ffd97ed";"You don't look like a Salad Dodger. You're not even big-boned.";"Você não tem cara de Esquivador de Salada. Você nem tem estrutura óssea grande."
"1ffd97ee";"With a name like Salad Dodger, shouldn't you be more obese?";"Com um nome como Esquivador de Salada, você não deveria ser mais obeso?"
"1ffd97ef";"My mother-in-law's a a real salad dodger. Not you.";"Minha sogra é uma verdadeira esquivadora de salada. Você não."
"200195b9";"Salad Dodger? You look like you enjoy a carrot now and again.";"Esquivador de Salada? Parece que você gosta de uma cenoura de vez em quando."
"6507a8c1";"Wait, I thought you were The Gunslinger?";"Espere, eu pensei que você fosse o Pistoleiro?"
"6507a8c3";"You do realise that isn't a gun, right, Gunslinger?";"Você sabe que isso não é uma arma, né, Pistoleiro?"
"6507a8c4";"That's one funny looking gun, Gunslinger.";"Que arma engraçada, Pistoleiro."
"6507a8c5";"Have you turned your back on guns then, Gunslinger?";"Então você abandonou as armas, Pistoleiro?"
"6507a8c6";"I was under the impression that you were called the Gunslinger. Or am I mistaken?";"Eu tinha a impressão de que você se chamava Pistoleiro. Ou será que me enganei?"
"6507a8c7";"What you doin' with that? I thought you were the Gunslinger.";"O que você está fazendo com isso? Pensei que você fosse o Pistoleiro."
