Hash;Original;Tradução
"002f769";"Even my uncle the idiot's got a house? What about you?";"​​Até meu tio idiota tem uma casa? E você?"
"002f76a";"Do I look like I want to live on the street? Get a house, will ya?";"Eu pareço alguém que quer morar na rua? Arranja uma casa, quer?"
"002f76b";"How could you possibly afford my love when you cannot even afford a house?";"Como você poderia se dar ao luxo de me amar se nem sequer tem uma casa?"
"002f76c";"You cannot really believe I would be courted by a non-homeowner, can you?";"Você realmente acredita que eu me interessaria por alguém que não tem casa própria?"
"002f76e";"No house yet? No love then.";"Sem casa ainda? Sem amor, então."
"002f76f";"Maybe if you owned your own place...";"Talvez se você tivesse seu próprio lugar..."
"0045bd8";"I can't take you seriously when you don't even have a house.";"Não consigo te levar a sério se você nem sequer tem uma casa."
"19700189";"We shall require a suitable residence before there can be a wedding.";"Precisaremos de uma residência adequada antes que o casamento possa acontecer."
"1970018a";"You do realise we'll need a proper abode before we can marry?";"Você se dá conta de que precisaremos de uma moradia adequada antes de nos casarmos?"
"1970018b";"You think I'm gonna marry you without a house?";"Você acha que vou me casar com você sem uma casa?"
"1970018c";"We're not tying the knot till we've got a hut.";"Não vamos nos casar até termos uma cabana."
"1970018d";"We can't shack up without a shack to live in.";"Não podemos morar juntos sem uma cabana para morar."
"1970018e";"We'll need a house if we're going to raise a family.";"Precisaremos de uma casa se quisermos formar uma família."
"1975fa70";"Well, I've got the ring, so why don't we go pick out a house?";"Bem, eu tenho o anel, então por que não vamos escolher uma casa?"
"22700fd9";"Aren't married couples supposed to have a house?";"Casais casados ​​não deveriam ter uma casa?"
"22700fdb";"Shouldn't we have a place of our own now we're married?";"Não deveríamos ter um lugar só nosso agora que somos casados?"
"22700fdc";"I'm so happy, baby, but shouldn't we get a house?";"Estou tão feliz, meu bem, mas não deveríamos comprar uma casa?"
"22700fdd";"We'll need to find an appropriate dwelling before we can marry.";"Precisaremos encontrar uma moradia adequada antes de nos casarmos."
"22700fde";"All we we need now is a house befitting our love.";"Tudo o que precisamos agora é de uma casa que faça jus ao nosso amor."
"22700fdf";"We're gonna need a roof, walls, the lot, if we're gonna tie the knot.";"Precisaremos de um teto, paredes, tudo, se quisermos nos casar."
"22713286";"Shouldn't we have a place of our own now we're married?";"Não deveríamos ter um lugar só nosso agora que estamos casados?"
"27e3bf59";"I thought we were destined to be together, but I was wrong. I'm calling off the wedding.";"Achei que estávamos destinados a ficar juntos, mas me enganei. Vou cancelar o casamento."
"27e3bf5a";"We are not the soulmates I thought we were. I'm sorry, but the wedding is off.";"Não somos as almas gêmeas que eu pensava. Me desculpe, mas o casamento está cancelado."
"27e3bf5b";"You know what? Let's cancel this wedding business. I don't want it anymore.";"Sabe de uma coisa? Vamos cancelar esse casamento. Eu não quero mais isso."
"27e3bf5c";"This ain't working for me anymore. The wedding's off.";"Isso não está funcionando mais para mim. O casamento está cancelado."
"27e3bf5d";"We can't get hitched now. I just don't love you like I used to.";"Não podemos nos casar agora. Eu simplesmente não te amo mais como antes."
"27e3bf5e";"I used to love you, but not anymore. I'm afraid the wedding's off.";"Eu costumava te amar, mas não mais. Receio que o casamento esteja cancelado."
"27e8bea8";"I'm really sorry, but it's not right to get married when we don't love each other.";"Sinto muito, mas não é certo nos casarmos quando não nos amamos mais."
"382fb4e1";"Show me how you feel about me.";"Mostre-me o que você sente por mim."
"382fb4e2";"Feel free to express your love.";"Sinta-se à vontade para expressar seu amor."
"382fb4e4";"Why don't you show me how much you care for me?";"Por que você não me mostra o quanto se importa comigo?"
"382fb4e6";"It would mean a lot of if you were to show how much you cared for me.";"Significaria muito para mim se você demonstrasse o quanto se importa comigo."
"382fb4e7";"If you really cared you'd show it.";"Se você realmente se importasse, demonstraria."
"383193e9";"Why don't you show me how you feel about me?";"Por que você não me mostra o que sente por mim?"
"4cd13ad2";"You know, we could get married if we had a ring.";"Sabe, poderíamos nos casar se tivéssemos um anel."
"4cd13ad3";"If we had a ring, then we could get married.";"Se tivéssemos um anel, então poderíamos nos casar."
"4cd13ad4";"You can't get engaged without a ring. Just sayin'.";"Não dá para ficar noivo sem um anel. Só dizendo."
"4cd13ad5";"Wouldn't mind a ring, you know. The kind that means yer gettin' married.";"Não me importaria de ter um anel, sabe? O tipo de anel que significa que você vai se casar."
"4cd1f3a4";"Wouldn't mind a ring, you know. The kind that means yer gettin' married.";"Não me importaria de ganhar um anel, sabe? O tipo de anel que significa que você vai se casar."
"57d14c02";"You know, we could get married if we had a ring.";"Sabe, a gente podia casar se tivesse um anel."
"57d14c03";"Some people get married you know. But then some people have rings.";"Algumas pessoas casam, sabe? Mas outras têm anéis."
"57d14c04";"If we had a ring, then we could get married.";"Se a gente tivesse um anel, aí sim a gente podia casar."
"57d14c05";"Wouldn't mind a ring, you know. The kind that means yer gettin' married.";"Não me importaria de ter um anel, sabe? Daquele tipo que significa que você vai casar."
"57d23579";"You can't get engaged without a ring. Just sayin'.";"Não dá para ficar noivo sem um anel. Só dizendo."
"784b62b1";"Oh please, you don't even have a place to live.";"Ah, por favor, você nem tem onde morar."
"784b62b2";"You think I'm interested in someone without a house?";"Você acha que eu me interesso por alguém sem casa?"
"784b62b4";"Come back when you have somewhere to live.";"Volte quando tiver onde morar."
"784b62b5";"How am I supposed to take you seriously when you're destitute? Maybe when you buy a house...";"Como posso te levar a sério se você está na miséria? Talvez quando você comprar uma casa..."
"784b62b6";"A homeless person seeking my attentions? This must be a jest!";"Um sem-teto querendo minha atenção? Isso deve ser uma piada!"
"784b62b7";"You?! You don't even own a house!";"Você?! Você nem tem casa!"
"784b7fbc";"I don't go for homeless people!";"Eu não me interesso por sem-teto!"
"814b7099";"A homeless person seeking my attentions? This must be a jest!";"Um morador de rua querendo minha atenção? Isso deve ser uma piada!"
"814b709a";"How am I supposed to take you seriously when you're destitute? Maybe when you buy a house...";"Como posso te levar a sério se você está na miséria? Talvez quando você comprar uma casa..."
