Hash;Original;Tradução
"185a891";"Garth Doll";"Garth Doll"
"5897866";"You are driven by vengeance and a personal crusade for justice. You don't just hold a grudge, you squash it in an angry fist until it bursts and sprays over everyone around you.";"Você é movido por vingança e uma cruzada pessoal por justiça. Você não apenas guarda rancor, você o esmaga em um punho furioso até que ele exploda e se espalhe sobre todos ao seu redor."
"5dfe754";"For those who don't have the wealth to give their children a pony, this is the next best thing.";"Para aqueles que não têm condições de dar um pônei aos filhos, esta é a melhor alternativa."
"9b41f5a";"Warrior Stripe";"Listras de Guerreiro"
"af97d4b";"You are Albion's most infamous serial killer. Your disregard for life is chilling. This title is free when you've murdered a high number of innocent villagers.";"Você é o assassino em série mais infame de Albion. Seu desprezo pela vida é arrepiante. Este título é concedido gratuitamente quando você tiver assassinado um grande número de aldeões inocentes."
"ca11acd";"Lucien Doll";"Lucien Doll"
"f8a87c3";"You are a mercenary, able to track down and kill any undesirables. For the right price. This title is free when you complete enough Bounty Hunter or Community Service quests.";"Você é um mercenário, capaz de rastrear e eliminar qualquer indesejável. Pelo preço certo. Este título é gratuito ao completar missões suficientes de Caçador de Recompensas ou Serviço Comunitário."
"13ea0408";"Gold Bag";"Saco de Ouro"
"154f691b";"This cologne smells predominantly of compost and a new baby's head. Popular amongst senior citizens.";"Esta colônia cheira predominantemente a composto e à cabeça de um bebê recém-nascido. Popular entre idosos."
"1676310f";"You are one with your sword.";"Você é um com sua espada."
"17495626";"Solid Gold Necklace";"Colar de Ouro Maciço"
"18439c6d";"Blade";"Lâmina"
"18bfe651";"Beggar's Ring";"Anel do Mendigo"
"19fd4f18";"This ring changes colours to reflect its wearer's mood. Expect it to be red most of the time, due to your beloved's anger at receiving such a worthless ring.";"Este anel muda de cor para refletir o humor de quem o usa. Espere que fique vermelho na maior parte do tempo, devido à raiva da sua amada por receber um anel tão sem valor."
"1a93b9e7";"Dreadlocks";"Dreadlocks"
"1aaadd62";"Pixie Tears' Perfume";"Perfume de Lágrimas de Fada"
"1b5451ef";"A doll with stern, academic features. Ideal for anyone with an interest in the magical arts, or cool flowing robes.";"Uma boneca com traços sérios e acadêmicos. Ideal para quem se interessa por artes mágicas ou vestes esvoaçantes e estilosas."
"1dafd77c";"It may look like a perfectly good piece of jewellery at first glance, but take a closer look and you'll see a very shoddy piece of garbage.";"Pode parecer uma joia perfeitamente boa à primeira vista, mas olhe mais de perto e verá uma peça de lixo de péssima qualidade."
"1e223cf0";"Hero Title";"Título de Herói"
"201cf5fd";"Children are never too young to learn how to wield a sword. Though this is perhaps a little too large for a toddler.";"Crianças nunca são muito novas para aprender a manejar uma espada. Embora esta seja talvez um pouco grande demais para uma criança pequena."
"20b4f433";"Long Hair";"Cabelo comprido"
"280741bb";"Ponytail";"Rabo de cavalo"
"29a1f52a";"Likes: hitting things, smashing up stuff. Dislikes: big words, washing.";"Gosta de bater em coisas, destruir coisas. Não gosta de palavras difíceis, lavar."
"2dd7ac07";"Perfume";"Perfume"
"2f89b60f";"Pigtails";"Rabos de cavalo"
"2faa3626";"Centre Parting";"Repartição ao Meio"
"33e1cedf";"An inexpensive but lovely gem. It was said to be a favourite among Old Kingdom maidens, but the recent discovery of large deposits has lowered its value.";"Uma gema barata, mas encantadora. Dizia-se que era a favorita das donzelas do Antigo Império, mas a recente descoberta de grandes jazidas diminuiu seu valor."
"37c4c24c";"'Eau D'Hobbe' Perfume";"Perfume 'Eau D'Hobbe'"
"38d40816";"Children everywhere love the plonky-tinny dirge that comes out of this gaudily painted box.";"Crianças do mundo todo adoram a canção fúnebre e melodiosa que sai desta caixa pintada de forma chamativa."
"392d9947";"Congratulations, you're completely unremarkable.";"Parabéns, você é completamente comum."
"39da3fce";"So called because it is has the precise length to reach your shoulders. And it is made of hair.";"Chamado assim porque tem o comprimento exato para chegar aos seus ombros. E é feito de cabelo."
"44962e0d";"An utterly unremarkable ring.";"Um anel completamente comum."
"451be8b0";"Want a hairstyle that says: 'I will headbutt your mother in the face'? Opt for the warrior stripe.";"Quer um penteado que diga: "Vou dar uma cabeçada na cara da sua mãe"? Opte pela mecha de guerreiro."
"46b947b1";"Toy";"Brinquedo"
"478d8fcc";"A delightful present for any child. Until its little porcelain face shatters during routine play.";"Um presente encantador para qualquer criança. Até que seu rostinho de porcelana se quebre durante a brincadeira."
"4bab83d1";"Emerald";"Esmeralda"
"5120758d";"This doll, made from mysterious fabrics of unknown origin, is of a blind tarot reader who seems as ready to guide your fate as she is to read it.";"Esta boneca, feita de tecidos misteriosos de origem desconhecida, representa uma leitora de tarô cega que parece tão disposta a guiar seu destino quanto a lê-lo."
"5606d92e";"This key, once owned by Farmer Giles, looks like it will open a portcullis.";"Esta chave, que pertenceu ao Fazendeiro Giles, parece que abre uma porta levadiça."
"576f1396";"Normal Hair";"Cabelo Normal"
"59e4f797";"It's not an example of great workmanship, but it won't fall apart in your beloved's hands or cause even mild neck gangrene.";"Não é um exemplo de grande qualidade, mas não se desfará nas mãos da sua amada nem causará uma gangrena leve no pescoço."
"5a097a45";"Less a gem than a chunk of decayed and fossilised wood. You can probably find equally stylish examples from the wreck of a burned-down house.";"Menos uma joia do que um pedaço de madeira apodrecida e fossilizada. Provavelmente você encontraria exemplos igualmente estilosos nos destroços de uma casa incendiada."
"5bac5560";"For some reason little girls love clutching these weird, misshaped dolls. Perhaps because they're secretly using it for black magic rituals.";"Por algum motivo, as meninas adoram agarrar essas bonecas estranhas e disformes. Talvez porque as usem secretamente para rituais de magia negra."
"62593ced";"Toy Bow";"Laço de Brinquedo"
"65c0cc4a";"One of three Divinity Gems, the most precious jewels in all the Old Kingdom. It is said that this one was presented to the Archon in a dream, as a gift from the gods. After the destruction of the Kingdom, the gems were scattered throughout the world, and though they have often been dismissed as nothing more than legends, thousands have devoted their lives to finding them.";"Uma das três Gemas da Divindade, as joias mais preciosas de todo o Antigo Reino. Diz-se que esta foi apresentada ao Arconte em um sonho, como um presente dos deuses. Após a destruição do Reino, as gemas foram espalhadas pelo mundo e, embora muitas vezes tenham sido descartadas como meras lendas, milhares dedicaram suas vidas a encontrá-las."
"69c33489";"Mullet";"Mullet"
"6b63b16c";"Even as a bunch of fabric, this massive doll exudes virtue and righteousness.";"Mesmo sendo apenas um amontoado de tecido, esta boneca enorme exala virtude e retidão."
"6c07b21f";"Toy Horse";"Cavalo de Brinquedo"
"6c38492e";"The hairstyle most female adventurers adopt when they're starting out.";"O penteado que a maioria das aventureiras adota quando está começando."
"6cd52b5e";"Bring out a child's inner highwayman with this scale model of a flintlock firearm.";"Liberte o bandido que existe dentro de você com esta réplica em escala de uma arma de pederneira."
"6d0299aa";"This rather rare precious stone makes a great romantic gift.";"Esta pedra preciosa, bastante rara, é um ótimo presente romântico."
