Hash;Original;Tradução
"9d11354";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaaaaaardos!"
"ed294b2";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaa!"
"15532a55";"It's alright I guess.";"Acho que está tudo bem."
"1c536612";"Okay, but don't do it again.";"Ok, mas não faça isso de novo."
"235074f6";"Guards!";"Guardas!"
"247f2841";"That was very nearly murder!";"Quase houve um assassinato!"
"247f2842";"That was very nearly murder!";"Quase houve um assassinato!"
"247f2843";"They tried to murder someone!";"Tentaram assassinar alguém!"
"247f2844";"Attempted murder!";"Tentativa de assassinato!"
"247f2845";"That was attempted murder!";"Isso foi uma tentativa de assassinato!"
"247f2847";"Murder Attempt!";"Tentativa de homicídio!"
"247f6390";"Attempted killing!";"Tentativa de homicídio!"
"26b6c12a";"Guards!";"Guardas!"
"26b6c12b";"Guards!";"Guardas!"
"26b6c12c";"Guards!";"Guardas!"
"26b6c12d";"Guards!";"Guardas!"
"26b6c12e";"Guards!";"Guardas!"
"26b6c12f";"Guards!";"Guardas!"
"26b7272f";"Guards!";"Guardas!"
"2b7f334a";"They tried to kill someone!";"Tentaram matar alguém!"
"2b7f334c";"They almost killed someone!";"Quase mataram alguém!"
"2bb6c8ca";"Guards!";"Guardas!"
"2bb6c8cb";"Guards!";"Guardas!"
"2bb6c8cc";"Guards!";"Guardas!"
"2bb6c8cd";"Guards!";"Guardas!"
"2bb6c8ce";"Guards!";"Guardas!"
"2bb6c8cf";"Guards!";"Guardas!"
"2bb9a910";"Guards!";"Guardas!"
"2c4fbdd1";"Guards!";"Guardas!"
"2ea5cc81";"It's the crook, right there!";"É o bandido, bem ali!"
"2ea5cc82";"Criminal! Criminal!";"Criminoso! Criminoso!"
"2ea5cc84";"There! There's the criminal!";"Ali! Ali está o criminoso!"
"2ea5cc85";"Delinquent ahoy!";"Delinquente à vista!"
"2ea5cc86";"I see the villain!";"Vejo o vilão!"
"2ea5cc87";"There goes the crook!";"Lá vai o bandido!"
"2eaa17a2";"Criminal! Look!";"Criminoso! Olha!"
"2f78056e";"There's the lawbreaker!";"Lá está o infrator da lei!"
"2f78c0de";"There's the outlaw!";"Lá está o fora da lei!"
"331d3cd1";"That is assault!";"Isso é agressão!"
"331d3cd2";"Assault!";"Agressão!"
"331d3cd3";"Look! Assault!";"Olha! Agressão!"
"331d3cd4";"Assault is not allowed!";"A agressão não é permitida!"
"331d3cd6";"You'll pay for that!";"Você vai pagar por isso!"
"331d3cd7";"That's a crime!";"Isso é um crime!"
"331e0da6";"That's nasty!";"Que nojo!"
"3366d5d6";"There goes the crook!";"Lá vai o bandido!"
"3367ffe9";"I've found the offender!";"Encontrei o culpado!"
"37a5dae9";"There's the felon!";"Aí está o criminoso!"
"37a5daea";"That's the vile criminal!";"Aquele é o criminoso desprezível!"
"37a5daeb";"Over there! Criminal!";"Ali! Criminoso!"
"37a5daec";"I see the villain!";"Vejo o vilão!"
"37a5daed";"There goes the crook!";"Lá vai o bandido!"
"37a5daef";"The criminal! Over there!";"O criminoso! Ali!"
"37a78d2d";"There's the lawbreaker!";"Lá está o fora da lei!"
"381d44f1";"That's assault!";"Isso é agressão!"
"381d44f2";"Assault!";"Agressão!"
"381d44f3";"Assault!";"Agressão!"
"381d44f5";"That's madness!";"Isso é loucura!"
"381d44f6";"Oh No! Assault!";"Oh não! Agressão!"
"381d44f7";"Stop! Assault!";"Pare! Ataque!"
"381deea7";"Assault!";"Ataque!"
"4fa5e071";"Apologise all you like. Won't do you any good.";"Peça desculpas o quanto quiser. Não vai adiantar nada."
"4fa5e072";"You must think I'm stupid. It's the guards for you.";"Você deve me achar estúpido. São os guardas, né?"
"4fa5e074";"I don't think so.";"Acho que não."
"4fa5e075";"I do not tolerate criminal behaviour, and I'm not going to start now.";"Não tolero comportamento criminoso e não vou começar agora."
"4fa5e076";"You will pay for your crimes just like any other citizen.";"Você pagará por seus crimes como qualquer outro cidadão."
"4fa5e077";"You ain't convincing anyone.";"Você não está convencendo ninguém."
"4fa61578";""Sorry" just doesn't cut it.";""Desculpe" não é suficiente."
"51bf77b3";"You're not getting away from me!";"Você não vai escapar de mim!"
"51c2b754";"Desist in your escape!";"Desista da sua fuga!"
"522cb961";"Not if you were twice as big and three times as ugly.";"Nem se você fosse duas vezes maior e três vezes mais feio."
"522cb964";"Forget it.";"Esquece."
"522cb966";"You don't intimidate me. Go away.";"Você não me intimida. Vá embora."
"522cb967";"I'm not going to be bullied by you.";"Não vou me deixar intimidar por você."
"522fa97d";"You can try to intimidate me all you want. It won't work.";"Você pode tentar me intimidar o quanto quiser. Não vai funcionar."
"572cc101";"Give it up, will ya.";"Desista, quer?"
"572cc105";"How about I tell ya to get lost instead?";"Que tal eu mandar você sumir?"
"572cc106";"You couldn't get gold from a little old lady, never mind me.";"Você não conseguiria ouro nem de uma velhinha, imagine de mim."
"572cc107";"Nice try, but I don't scare that easily.";"Boa tentativa, mas eu não me assusto tão fácil."
"572ccabf";"You'll never get anywhere with me doing that.";"Você nunca vai chegar a lugar nenhum comigo fazendo isso."
"58a5ee59";"There are no exceptions to the law.";"Não há exceções à lei."
"58a5ee5a";"No one is exempt from justice.";"Ninguém está isento da justiça."
"58a5ee5b";"Yeah, yeah, tell it to the guards.";"É, é, diga isso aos guardas."
"58a5ee5c";"Beg all you like, it ain't gonna change a thing.";"Implore o quanto quiser, não vai mudar nada."
"58a5ee5d";"Do you think you're outside the law?";"Você acha que está acima da lei?"
"58a5ee5f";"I may a forgiving person, but I'm not an idiot.";"Posso ser uma pessoa que perdoa, mas não sou idiota."
"58a912c9";"Why should I forgive you?";"Por que eu deveria te perdoar?"
"60566f21";"Don't go thinkin' this means you can keep doin' it.";"Não pense que isso significa que você pode continuar fazendo isso."
"60566f22";"Just don't let me catch you at it again.";"Só não deixe que eu te pegue fazendo isso de novo."
"60566f23";"Alright then. The guards will not be notified this time.";"Muito bem, então. Desta vez, os guardas não serão notificados."
"60566f24";"Perhaps it was an honest mistake.";"Talvez tenha sido um engano honesto."
"60566f26";"All right. I'm too soft, that's my problem.";"Tudo bem. Sou muito mole, esse é o meu problema."
"60566f27";"I guess I can let it go this time.";"Acho que posso deixar passar desta vez."
"605a0028";"I'll forgive you this once.";"Vou te perdoar desta vez."
"60c50cb7";"Stop! I command you!";"Pare! Eu ordeno!"
"60c61730";"Stop! Stop!";"Pare! Pare!"
"61a11713";"<giggles> You're not scary at all.";"<giggles> Você não é nada assustador."
"655676c5";"You seem sincere. Very well then.";"Você parece sincero. Muito bem, então."
"6ca8f483";"Yeah, like I'm going to give you my pocket money...";"É, como se eu fosse te dar minha mesada..."
"74052cab";"I found the them!";"Eu os encontrei!"
"7409756a";"I've spotted the culprit!";"Eu avistei o culpado!"
"764e34a6";"We've got a live one!";"Temos um jogo ao vivo!"
"7650f880";"Oh, that's your game, is it?";"Ah, esse é o seu jogo, é?"
"79ea1b46";"Search everywhere!";"Procurem em todos os lugares!"
"79eb40e8";"We've got to find that criminal!";"Precisamos encontrar aquele criminoso!"
"79fd929f";"Halt! The law commands you!";"Pare! A lei ordena!"
"79fdd8b6";"Come here, crook!";"Vem cá, bandido!"
"8230598f";"Stop there, assailant!";"Pare aí, agressor!"
"82306849";"Stop! Aggressor! Stop!";"Pare! Agressor! Pare!"
"83e27182";"No! I don't forgive you.";"Não! Eu não te perdoo."
"889b2ec1";"Sure. I hid a bag of gold at the top of a cloud. You can have it.";"Claro. Escondi um saco de ouro no topo de uma nuvem. Pode ficar com ele."
"889b2ec2";"Do I look stupid to you? Shove off.";"Eu pareço estúpido para você? Some daqui."
"889b2ec4";"So extortion's your game is it? Well, I win.";"Então, extorsão é o seu jogo, é isso? Bem, eu venci."
"889b2ec5";"Perhaps a guard will be interested in your request.";"Talvez um guarda se interesse pelo seu pedido."
"889b2ec6";"You will not take anything from me, criminal.";"Você não vai tirar nada de mim, criminoso."
"889b2ec7";"Oh please, I invented extortion. It's not gonna work.";"Ah, por favor, eu inventei a extorsão. Não vai funcionar."
"889e3508";"You think ya can scare me?";"Você acha que pode me assustar?"
"8adede00";"Do you think I'm stupid or something?";"Você acha que eu sou burro ou algo assim?"
"8c15c39b";"That criminal mustn't get away.";"Esse criminoso não pode escapar."
"8c177e4f";"I want that crook found!";"Quero que esse bandido seja encontrado!"
"919b3d29";"I dont intend to give you my gold.";"Não pretendo te dar meu ouro."
"919b3d2a";"You might as well desist in this futile attempt.";"É melhor você desistir dessa tentativa inútil."
"919b3d2b";"You want gold? Go earn it.";"Quer ouro? Vá ganhar."
"919b3d2c";"You ain't havin' anything of mine.";"Você não vai ter nada que seja meu."
"919b3d2d";"You don't scare me. Go bother someone else.";"Você não me assusta. Vá incomodar outra pessoa."
"919b3d2f";"Don't try to intimidate me.";"Não tente me intimidar."
"919c01a8";"I'm not giving you anything.";"Eu não vou te dar nada."
"92a504fb";"Stop! Stop right there!";"Pare! Pare aí mesmo!"
"92a69b8a";"You asked for it!";"Você pediu por isso!"
"94aad310";"No way I'm forgiving you!";"De jeito nenhum vou te perdoar!"
"95da84c2";"Guards! Guards!";"Guardas! Guardas!"
"964d3483";"It's a murder attempt!";"É uma tentativa de assassinato!"
"967229da";"There goes the criminal!";"Lá vai o criminoso!"
"967aa521";"Lawbreaker!";"Infrator da lei!"
"9add4300";"Guards! Guards!";"Guardas! Guardas!"
"9c15ede6";"The community service won't do itself, you know.";"O serviço comunitário não se faz sozinho, sabe?"
"9c16bb9e";"Don't forget to do your community service.";"Não se esqueça de fazer seu serviço comunitário."
"9f47b17b";"Someone do something! That was almost a murder!";"Alguém faça alguma coisa! Isso quase foi um assassinato!"
"9fab68ca";"You're not really sorry, I can tell.";"Você não está realmente arrependido, eu sei."
"a1cc01f7";"You're nicked.";"Você foi preso."
"a1cd3c4a";"You are under arrest.";"Você está sob custódia."
"a8647703";"Okay, but you're on parole until it's done.";"Certo, mas você está em liberdade condicional até que isso seja feito."
"a864aaf2";"Alright, and make sure you do it.";"Muito bem, e certifique-se de fazer isso."
"b005a672";"Stop! In the name of the law!";"Pare! Em nome da lei!"
"b008ac30";"Stop there, you criminal!";"Pare aí, seu criminoso!"
"b185420f";"You're mine now.";"Você é meu agora."
"b185fb46";"I'm taking you into custordy.";"Vou levá-lo sob custódia."
"b217f34a";"You can't pay your way out of this without the gold.";"Você não pode pagar para sair dessa sem o ouro."
"b218cd51";"What you trying to pull? You can't pay with pocket fluff.";"O que você está tentando fazer? Não dá para pagar com fiapos de bolso."
"b2cbd1d1";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaa!"
"b2cbd1d2";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaa!"
"b2cbd1d3";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaa!"
"b2cbd1d4";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaa!"
"b2cbd1d5";"Guaaaaaaaaaaaards!";"Guardas!"
"b2cbd1d7";"Guaaaaaaaaaaaards!";"Guardas!"
"b2cc7ed9";"Guards!";"Guardas!"
"b4f2e38f";"That'll just about cover it.";"Isso deve resolver o problema."
"b4f3940f";"Very well. You've paid your debt to society.";"Muito bem. Você pagou sua dívida com a sociedade."
"b9cbdcd9";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaaaaaardos!"
"b9cbdcda";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaaaaaardos!"
"b9cbdcdc";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaaaaaardos!"
"b9cbdcdd";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaaaaaardos!"
"b9cbdcde";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaaaaaardos!"
"b9cbdcdf";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaas!"
"b9cc89de";"Guaaaaaaaaaaaards!";"Guardaaaaaaaaas!"
"bae7273b";"I hope you're doing your community service.";"Espero que vocês estejam fazendo o serviço comunitário."
"bae751b7";"Remember to finish your community service.";"Lembrem-se de terminar o serviço comunitário."
"bc75af16";"Okay, take my pocket money, you big bully.";"Ok, pegue meu dinheiro de bolso, seu valentão."
"bf1735ee";"I'll be watching you, so don't get any funny ideas.";"Estarei de olho em você, então não tenha ideias engraçadas."
"bf175d70";"Pay your debt to society and you'll be free.";"Pague sua dívida com a sociedade e você será livre."
"c1754541";"Alright, you can take my pocket money!";"Muito bem, pode pegar meu dinheiro!"
"c1834fa2";"Do your service and you'll pay your debt.";"Faça seu serviço e você pagará sua dívida."
"c1847780";"Don't shirk your responsibilities or you'll pay for it.";"Não fuja das suas responsabilidades ou você pagará por isso."
"c3e28412";"Do you think I was born yesterday?";"Você acha que eu nasci ontem?"
"c3e28413";"You're not getting away with it that easily!";"Você não vai se safar tão fácil!"
"c3e28414";"No way! You're paying for this!";"De jeito nenhum! Você vai pagar por isso!"
"c3e28415";"Don't get clever with me, you crook.";"Não tente me enganar, seu bandido."
"c3e28416";"Do I look like an idiot?";"Eu pareço um idiota?"
"c3e28417";"You must have mistaken me for a forgiving person.";"Você deve ter me confundido com uma pessoa que perdoa."
"c3e8cba6";"And what's next? Allow murderers to walk away with impunity? I don't think so.";"E o que vem a seguir? Deixar assassinos saírem impunes? Nem pensar."
"c9957043";"Criminal! Criminal!";"Criminoso! Criminoso!"
"c99a2353";"There's the one!";"Aí está!"
"cad20a81";"Guards! Guards!";"Guardas! Guardas!"
"cad20a82";"Guards! Guards!";"Guardas! Guardas!"
"cad20a83";"Guards! Guards!";"Guardas! Guardas!"
"cad20a84";"Guards! Guards!";"Guardas! Guardas!"
"cad20a85";"Guards! Guards!";"Guardas! Guardas!"
"cad20a87";"Guards! Guards!";"Guardas! Guardas!"
"cad35458";"Guards! Guards!";"Guardas! Guardas!"
"cee29542";"What sort of chump do you take me for?";"Que tipo de idiota você pensa que eu sou?"
"cee29543";"Let's just call the guards, shall we?";"Vamos chamar a polícia, então?"
"cee29544";"Nice try, but I'm calling the guards!";"Boa tentativa, mas eu vou chamar a polícia!"
"cee29545";"Gimme a break.";"Me poupe."
"cee29546";"Ha, no way.";"Ha, nem pensar."
"cee29547";"You will not escape punishment with a mere apology.";"Você não escapará da punição com um simples pedido de desculpas."
"cee43368";"I do not accept your apology.";"Não aceito seu pedido de desculpas."
"d0cdedc6";"Thank you kindly. You're free to go.";"Muito obrigado. Você está livre para ir."
"d0cee758";"Pleasure doing business with you.";"Foi um prazer fazer negócios com você."
"d0e81f77";"Well, well, well, no gold eh? You're in a spot of bother then, aren't you?";"Bem, bem, bem, sem ouro, hein? Você está em apuros, não é?"
"d0e8c247";"Oh, no gold eh? Don't do the crime if you can't pay the fine.";"Ah, sem ouro, hein? Não cometa o crime se não puder pagar a multa."
"d1d21589";"Guards! Guards!";"Guardas! Guardas!"
"d1d2158a";"Guards! Guards!";"Guardas! Guardas!"
"d1d2158c";"Guards! Guards!";"Guardas! Guardas!"
"d1d2158d";"Guards! Guards!";"Guardas! Guardas!"
"d1d2158e";"Guards! Guards!";"Guardas! Guardas!"
"d1d2158f";"Guards! Guards!";"Guardas! Guardas!"
"d1d421dd";"Guards! Guards!";"Guardas! Guardas!"
"d20622ea";"Hey! Criminal!";"Ei! Criminoso!"
"d20eb35a";"There! Stop that crook!";"Aí! Pare esse bandido!"
"d4bf90d2";"Come here you criminal!";"Venha cá, seu criminoso!"
"d4c09f28";"Stop or you'll regret it!";"Pare ou você vai se arrepender!"
"d6f3c0ce";"Oi! You! You're under arrest!";"Ei! Você! Você está preso!"
"d6f4da58";"I've gotcha now!";"Agora te peguei!"
"db4c34e9";"A murder attempt!";"Tentativa de homicídio!"
"db4c34ea";"That was attempted murder!";"Isso foi uma tentativa de homicídio!"
"db4c34eb";"Killing attempted!";"Tentativa de homicídio!"
"db4c34ed";"Murder Attempt!";"Tentativa de homicídio!"
"db4c34ee";"It was almost murder!";"Quase foi um assassinato!"
"db4c34ef";"There's a murder attempt going on!";"Está acontecendo uma tentativa de assassinato!"
"db579e69";"Someone almost got killed!";"Alguém quase morreu!"
"df6ccffa";"I'm going to teach a lesson!";"Vou te dar uma lição!"
"df6d223c";"So that's how you want to do it!";"Então é assim que você quer!"
"e0674033";"Find that lawbreaker at once!";"Encontre esse infrator imediatamente!"
"e06a0d67";"The culprit must be found.";"O culpado precisa ser encontrado."
"e09067de";"Halt! Halt!";"Pare! Pare!"
"e091ef88";"Stop at once!";"Pare imediatamente!"
"e0a15f8f";"You're too poor to buy your way out of trouble.";"Você é pobre demais para comprar sua saída dessa encrenca."
"e0a1c5e0";"Sorry, but we don't let poor people off.";"Desculpe, mas não damos moleza para os pobres."
"e1e1f8bb";"Stop there, you would-be killer!";"Pare aí, seu aspirante a assassino!"
"e1e22a91";"Stop! Stop, you almost-murderer!";"Pare! Pare, seu quase-assassino!"
"e1e75819";"Bah, I was just gonna lose it bettin' anyway.";"Bah, eu ia perder a aposta de qualquer jeito."
"e1e7581d";"Think yer so strong, do ya? Guess you are. Here.";"Acha que é tão forte assim? Acho que sim. Aqui."
"e1e7581e";"You don't intimidate me. Well, okay, you do. Here.";"Você não me intimida. Bem, tá bom, intimida sim. Aqui."
"e1e7581f";"Ok, take the gold and go away!";"Ok, pegue o ouro e vá embora!"
"e1e9d578";"Take it, just don't hurt me!";"Pegue, só não me machuque!"
"e64c4619";"They tried to kill someone!";"Tentaram matar alguém!"
"e64c461a";"It's a murder attempt!";"Foi uma tentativa de assassinato!"
"e64c461b";"They've tried to kill someone!";"Tentaram matar alguém!"
"e64c461c";"It was a murder attempt!";"Foi uma tentativa de assassinato!"
"e64c461e";"Murder attempt!";"Tentativa de assassinato!"
"e64c461f";"An attempted murder!";"Uma tentativa de assassinato!"
"e64cbbc1";"They tried to kill someone!";"Tentaram matar alguém!"
"ece76949";"This how you get your kicks? Here ya go.";"É assim que você se diverte? Aqui está."
"ece7694c";"You bully. Here, have it.";"Seu valentão. Toma essa."
"ece7694e";"Just let me live.";"Só me deixa em paz."
"ece7694f";"I don't have much, but its yours.";"Eu não tenho muito, mas é seu."
"eced3d90";"If it'll get you away from me, it's worth it.";"Se isso te afastar de mim, vale a pena."
"edb0be53";"I'll be watching you until you've finished that community service.";"Vou ficar de olho em você até terminar o serviço comunitário."
"edb3842e";"You won't get away with breaking your parole. I'm watching.";"Você não vai escapar impune por violar sua condicional. Estou de olho."
"edcdf8a2";"Your payment absolves you. But don't let me see you doing it again.";"Seu pagamento o absolve. Mas não quero ver você fazendo isso de novo."
"edce0970";"That's your fine paid, but don't do it again.";"Sua multa está paga, mas não faça isso de novo."
"f16cafb1";"Ah, but of course, here you are.";"Ah, claro, aqui está você."
"f16cafb2";"You are very persuasive.";"Você é muito persuasivo."
"f16cafb3";"Ok, ok, don't want no trouble.";"Ok, ok, não quero confusão."
"f16cafb4";"Well, since you put it that way.";"Bem, já que você colocou dessa forma."
"f16cafb5";"As long as you don't hurt me... Alright, here.";"Contanto que você não me machuque... Certo, aqui."
"f16cafb7";"Just don't hurt me.";"Só não me machuque."
"f16e2350";"Oh, hum, very well... here.";"Ah, hum, muito bem... aqui."
"f86cbab9";"Yes, anything, whatever.";"Sim, qualquer coisa, tanto faz."
"f86cbaba";"Oh, okay, just- just take this and leave me alone.";"Ah, ok, só... só pegue isso e me deixe em paz."
"f86cbabc";"You'll leave me alone now, won't you?";"Você vai me deixar em paz agora, não é?"
"f86cbabd";"Absolutely. Yes. It's my pleasure. Indeed.";"Absolutamente. Sim. É um prazer. Com certeza."
"f86cbabe";"A few pieces of gold aren't worth dying for.";"Algumas moedas de ouro não valem a pena morrer por elas."
"f86cbabf";"Oh, yeah, sure. There ya go.";"Ah, sim, claro. Pronto."
"f86f7d3d";"Yeah, let's just keep it friendly, ok?";"É, vamos manter a conversa amigável, ok?"
