Hash;Original;Tradução
"3c45628";"He won't be massacring here again anyone while I'm around.";"Ele não vai massacrar ninguém aqui enquanto eu estiver por perto."
"6d5cb8c";"Look at her, mass murderer if ever I saw one.";"Olhem para ela, uma assassina em massa se é que já vi alguma."
"6dc5388";"Look at him, mass murderer if ever I saw one.";"Olhem para ele, um assassino em massa se é que já vi algum."
"7ebb149";"Got a taste for murder, have ya?";"Pegou gosto por matar, é?"
"7ebb14a";"Murderer.";"Assassino."
"7ebb14b";"You're a homicidal maniac.";"Você é um maníaco homicida."
"7ebb14d";"Why did you kill them? I'm just trying to understand.";"Por que você os matou? Só estou tentando entender."
"7ebb14e";"You have no respect for life.";"Você não tem respeito pela vida."
"7ebb14f";"People like you should rot in jail.";"Pessoas como você deveriam apodrecer na cadeia."
"7ec2193";"I don't have time for murderers.";"Não tenho tempo para assassinos."
"e8fad9f";"There's that murderer. You never know when they'll strike again.";"Lá está aquele assassino. Você nunca sabe quando ele atacará novamente."
"e91686c";"Keep an eye on that murderer.";"Fique de olho naquele assassino."
"f238579";"We lot are used to all this killin', but that don't mean we like it.";"Nós estamos acostumados com toda essa matança, mas isso não significa que gostamos."
"f23857a";"You! You're that murderer!";"Você! Você é aquele assassino!"
"f23857b";"If it were up to me, all you murderer's would be put down.";"Se dependesse de mim, todos vocês, assassinos, seriam eliminados."
"f23857d";"Life is not a worthless thing to be discarded by people like you.";"A vida não é algo sem valor para ser descartado por pessoas como você."
"f23857e";"How do we know you won't kill one of us next?";"Como sabemos que você não vai matar um de nós em seguida?"
"f23857f";"It was murder! Plain and simple!";"Foi assassinato! Simples assim!"
"f26e53f";"Don't expect any of us to trust you, murderer!";"Não espere que algum de nós confie em você, assassino!"
"12ebc2f9";"There's plenty of murderers round here. But none like you.";"Há muitos assassinos por aqui. Mas nenhum como você."
"12ebc2fa";"Bet you've killed plenty of times before, haven't ya.";"Aposto que você já matou muitas vezes, não é?"
"12ebc2fb";"How does it feel to extinguish a life?";"Como é a sensação de tirar uma vida?"
"12ebc2fc";"Murder is the ultimate crime. That makes youthe ultimate criminal.";"Assassinato é o crime supremo. Isso faz de você o criminoso supremo."
