Hash;Original;Tradução
"0cef891";"This is wonderful. How can I ever thank you?";"Isso é maravilhoso. Como posso te agradecer?"
"0cef892";"My! How did you know?";"Nossa! Como você sabia?"
"0cef893";"For me? I'm speechless I am.";"Para mim? Estou sem palavras."
"0cef894";"That's the stuff alright.";"Isso é demais!"
"0cef895";"What a great gift!";"Que presente incrível!"
"0cef896";"Thank you. Just what I wanted.";"Obrigada. Exatamente o que eu queria."
"0d00413";"Oh, just what I wanted!";"Ah, exatamente o que eu queria!"
"3d6f893";"The Light bless you! A gift for me?? I am overflowing with gratitude, oh great Hero.";"Que a Luz te abençoe! Um presente para mim? Estou transbordando de gratidão, ó grande Herói."
"3d6f894";"Jumpin' Hobbes! For me?? Thank you, superstar Hero adventurer!";"Hobbes saltitante! Para mim?? Obrigado, herói aventureiro superstar!"
"3d6f897";"Oh! I... I just don't know what to say! I'm honored! Thank you!";"Oh! Eu... eu simplesmente não sei o que dizer! Estou honrado! Obrigado!"
"3d9cc56";"Wow, just wow! Thank you, great Hero, thank you!";"Uau, simplesmente uau! Obrigado, grande herói, obrigado!"
"ad70399";"I, um, surely I don't deserve this! You're so much more important than me! Thank you!";"Eu, hum, certamente não mereço isso! Você é muito mais importante do que eu! Obrigada!"
"ad7039a";"Well, hit me on the head with a mace and call me Betsy! Oh, sorry, I just get so nervous around celebrities... Thank you!";"Nossa, me dê uma pancada na cabeça com uma maça e me chame de Betsy! Ah, desculpe, eu fico tão nervosa perto de celebridades... Obrigada!"
"ad7039d";"A gift from a celebrity! Wow!";"Um presente de uma celebridade! Uau!"
"ad7039e";"I am so overwhelmed! To think a great celebrity such as yourself would grant me a gift! I thank thee!";"Estou tão emocionada! Pensar que uma grande celebridade como você me daria um presente! Muito obrigada!"
"adc5b0d";"I... I don't quite credit my eyes! A gift from the likes of you! Surely I ain't worthy?";"Eu... eu não consigo acreditar! Um presente de alguém como você! Será que eu não sou digno?"
"293a84b9";"A remarkably poor gift from someone so famous.";"Um presente extremamente ruim de alguém tão famoso."
"2daba25d";"Umm, yes, I could do with a little pick me up!";"Hum, sim, eu bem que preciso de um estímulo!"
"2daf7ca7";"Oh, that'll go down a treat.";"Ah, isso vai cair muito bem."
"32abaa7b";"Alcohol? For me? Well, don't mind if I do!";"Álcool? Para mim? Bem, por que não?"
"32abaa7d";"Well, I was trying to stay sober, but what the heck.";"Bem, eu estava tentando ficar sóbrio, mas que se dane."
"32b096b8";"This stuff'll keep me going a few hours. Cheers!";"Isso vai me manter acordado por algumas horas. Saúde!"
"3679ce51";"Wow, you still have time for the little people. Good for you.";"Uau, você ainda tem tempo para os pequenos. Que bom para você!"
"3679ce54";"Oh, I'll keep it in me pocket always.";"Ah, vou guardar no bolso para sempre."
"3679ce56";"I'll frame it, thanks!";"Vou emoldurar, obrigado!"
"3679ce57";"Oh, a famous adventurer's autograph. Brilliant!";"Ah, o autógrafo de um aventureiro famoso. Genial!"
"367a2bf1";"How wonderful! An autograph from a real celebrity!";"Que maravilha! Um autógrafo de uma celebridade de verdade!"
"38cecd96";"What a lovely present.";"Que presente adorável!"
"39d5424b";"This is so great!";"Isso é incrível!"
"3b79d671";"Well, I can't read, but it looks mighty pretty.";"Bem, eu não sei ler, mas parece muito bonito."
"3b79d675";"Nice one! It's got your writing on it and all.";"Muito bom! Tem a sua letra e tudo."
"3b79d676";"A real celebrity's autograph. Great!";"Um autógrafo de uma celebridade de verdade. Ótimo!"
"3b79d677";"Woah! Thank you! This must be worth a fortune!";"Uau! Obrigado! Isso deve valer uma fortuna!"
"3b7c426d";"This will be the star of my collection!";"Esta será a estrela da minha coleção!"
"3dcdd145";"Great gift!";"Que presente incrível!"
"3de9f772";"This is the best present ever! I'll treasure your autograph always!";"Este é o melhor presente de todos! Guardarei seu autógrafo para sempre!"
"42e87d14";"Oooooh! My mates are gonna die when they see I got this. You're the best!";"Uau! Meus amigos vão morrer quando virem que eu consegui. Você é o máximo!"
"44d54169";"That's brilliant, thanks.";"Isso é brilhante, obrigado."
"4d0d8c08";"Sweeeeeet! You're like the greatest Hero in the world! Oh wow!";"Que legal! Você é o maior Herói do mundo! Nossa!"
"4edc9211";"Oh, I can't believe it! You're like... my hero! Thanks!";"Ah, não acredito! Você é tipo... meu herói! Obrigado!"
"53de5a99";"Really??! For me?? From you??!! Thanks!";"Sério?! Para mim?! De você?! Obrigada!"
"540c33d2";"Oh, I'm your biggest fan! This is so brilliant, thanks!";"Ah, eu sou seu maior fã! Isso é genial, obrigado!"
"5e1efe81";"Excellent! It's really you, isn't it?!";"Excelente! É você mesmo, não é?!"
"61c7eb61";"This is so great!";"Isso é ótimo!"
"61c7eb63";"Great. Thanks!";"Ótimo. Obrigado!"
"61c7eb64";"I like it, thanks!";"Gostei, obrigado!"
"61c7eb65";"Thank you so very much.";"Muito obrigado."
"61c7eb66";"Excellent gift. You have my gratitude.";"Excelente presente. Você tem minha gratidão."
"61c7eb67";"Well, that's smashing. Cheers.";"Nossa, que ótimo! Obrigado."
"61caa9ce";"Thanks, it's good stuff.";"Obrigado, é muito bom."
"6526ab38";"Oh, how sweet of you. I'm a big fan!";"Oh, que gentil da sua parte. Sou muito fã!"
"68c7f661";"I'm ever so grateful.";"Sou muito grato(a)."
"68c7f662";"How wonderful. Thank you so much.";"Que maravilha. Muito obrigado(a)."
"68c7f663";"Wow, nice. Cheers.";"Uau, legal. Saúde!"
"68c7f664";"Great, thanks!";"Ótimo, obrigado!"
"68c7f665";"Oh, how nice of you.";"Ah, que gentileza da sua parte!"
"68c7f666";"This is so great!";"Isso é ótimo!"
"68c80783";"That's sweet.";"Que fofo!"
"6bf54242";"For me? That's so nice of you! You're like the famousest adventurer there is!";"Para mim? Que gentileza da sua parte! Você é o aventureiro mais famoso que existe!"
"6d593661";"Trying to spread that renown?";"Tentando espalhar sua fama?"
"6d593666";"Thanks. I have heard of you, you know.";"Obrigado. Já ouvi falar de você."
"6d593667";"Wow, great! This could really be worth something one day.";"Uau, ótimo! Isso pode valer alguma coisa um dia."
"6d599e8f";"I'll hang on to this in case you get really famous.";"Vou guardar isso caso você fique muito famoso."
"76f55851";"I don't believe it! For me?? Really! Cooool!";"Não acredito! Para mim?? Sério! Que legal!"
"80f7fbf9";"A present?? From you?? Well, ain't this a heck of a thing! Ho ho!";"Um presente?? De você?? Nossa, que coisa incrível! Ho ho!"
"80f7fbfa";"Well, oh, my, oh, well... I just can't believe it. I mean, yer so famous'n'all.";"Bem, oh, meu Deus, oh, bem... Eu simplesmente não consigo acreditar. Quer dizer, você é tão famoso e tudo mais."
"80f7fbfb";"How extremely unexpected! I never dared hope such a celebrated individual would honour me with a gift!";"Que surpresa! Nunca imaginei que uma pessoa tão famosa me presentearia com um presente!"
"80f7fbfe";"A... a gift? For me? Why, this is most generous! You must have so many important things to do!";"Um... um presente? Para mim? Nossa, que generosidade! Você deve ter tantas coisas importantes para fazer!"
"80f7fbff";"For... for me?? This is incredible. I don't deserve it!";"Para... para mim?? Isso é incrível. Eu não mereço!"
"80f84ae8";"Oooh! No one famous has ever giving me a present! Thank you, great one!";"Uau! Ninguém famoso nunca me deu um presente! Obrigada, querida!"
"856c70b3";"Brilliant! My favourite!";"Brilhante! Minha favorita!"
"89b33fc8";"Thank you! My own adventurer autograph!";"Obrigada! Meu próprio autógrafo de aventureira!"
"8a1fbe49";"Oh my, a gift from such a prestigious person. Even if it isn't all that grand.";"Nossa, um presente de uma pessoa tão prestigiosa. Mesmo que não seja lá essas coisas."
"8a1fbe4a";"So rumours of celebrities handing out subpar presents are true...";"Então os rumores de que celebridades distribuem presentes de qualidade inferior são verdadeiros..."
"8a1fbe4b";"For me? Well, it's rubbish, but maybe someone will buy it off me, with you being a celebrity and all.";"Para mim? Bem, é uma porcaria, mas talvez alguém compre de mim, já que você é uma celebridade e tudo mais."
"8a1fbe4c";"Don't care how famous you are. This stinks.";"Não me importa o quão famoso você seja. Isso é péssimo."
"8bf80d29";"Oh! I... wow! I never got nothing from a celebrity before!";"Oh! Eu... uau! Nunca recebi nada de uma celebridade antes!"
"8bf80d2a";"Oh, uh... Uh... I don't know what to say, mighty Hero. Er... thank you, I suppose.";"Oh, uh... Uh... Não sei o que dizer, grande Herói. Er... obrigado, eu acho."
"8bf80d2b";"For me?! Well, I am dumbstruck! You're so renowned after all. Thank you so very much.";"De mim?! Bem, estou boquiaberto! Afinal, você é tão renomado. Muito obrigado."
"8bf80d2c";"Oh, why, well, oh! This is unprecedented! I am ever so grateful, grand adventurer!";"Oh, por que, bem, oh! Isso é inédito! Estou muito grato, grande aventureiro!"
"8bf80d2e";"What? Oh! Wow! What can I say? Thank you so much, great Hero!";"O quê? Oh! Uau! O que posso dizer? Muito obrigado, grande Herói!"
"8bf80d2f";"Oh, wow! Wow! You? You, the famous adventurer, are giving me, poor little me, a gift?";"Oh, uau! Uau! Você? Você, o famoso aventureiro, está me dando, a mim, pobre coitado, um presente?"
"8bf9a1e8";"For m-m-m-meee? B-b-b-ut you're so well-known! And I'm a nobody!";"Para m-m-m-mim? M-m-mas você é tão famoso! E eu não sou ninguém!"
"906fedef";"Oh wow, my favourite!";"Nossa, minha favorita!"
"931fcc99";"Oh, what a very... interesting present. Well, at least you're famous! Makes it worth something!";"Oh, que presente... interessante. Bom, pelo menos você é famoso! Isso já vale alguma coisa!"
"931fcc9b";"Your fame might be great, but your presents aren't.";"Sua fama pode ser ótima, mas seus presentes não são."
"931fcc9c";"Didn't think famous folk would notice the little people. But then I guess you only give us little, crappy gifts.";"Não pensei que pessoas famosas notariam os pequenos. Mas acho que você só nos dá presentes pequenos e ruins."
"931fcc9d";"Well, it's very kind of someone as renowned as you to give me a gift. But it it is on the lousy side.";"Bem, é muita gentileza de alguém tão renomado quanto você me dar um presente. Mas é bem ruim."
"931fcc9e";"A remarkably poor gift from someone so famous.";"Um presente extremamente ruim vindo de alguém tão famoso."
"931fcc9f";"Why would a big name like you hand out rubbish gifts like this?";"Por que uma pessoa importante como você distribuiria presentes tão ruins assim?"
"93218419";"This how you get your kicks, you famous git? Giving out this rubbish?";"É assim que você se diverte, seu famoso idiota? Distribuindo essas porcarias?"
"94b56462";"Cool! You're like a real Hero and everything!";"Legal! Você é um verdadeiro herói!"
"970e393b";"Oh, for me? Thank you. Thank you.";"Ah, minha? Obrigada. Obrigado."
"9c11c6d2";"Wait till I tell all my friends that yoy gave me a present!";"Espere até eu contar a todos os meus amigos que você me deu um presente!"
"a4699803";"Wow! maybe I can start a collection now.";"Uau! Talvez eu possa começar uma coleção agora."
"a7f63ea1";"I am a friend to all celebrities. Especially you. Thank you!";"Sou amigo de todas as celebridades. Especialmente de você. Obrigado!"
"a8db930a";"Of all the things I've ever been given, this is the best.";"De todas as coisas que já ganhei, esta é a melhor."
"a8db930b";"This must be the best gift ever!";"Este deve ser o melhor presente de todos os tempos!"
"a8db930c";"Oh! I love that! My very favourite!";"Oh! Eu adorei! Meu favorito absoluto!"
"a8db930d";"No one's ever given me anythin' so great. Cheers!";"Ninguém nunca me deu nada tão incrível. Muito obrigado!"
"a8db930e";"You're one generous adventurer. I love it!";"Você é um aventureiro muito generoso. Adorei!"
"a8db930f";"No gift can ever come close to this one. You have my heartfelt gratitude.";"Nenhum presente jamais se comparará a este. Sou imensamente grato."
"a8dcd1c5";"A thousand and one thanks. It is delightful!";"Mil e um agradecimentos. É maravilhoso!"
"ab712950";"Nice one! Wait till I show all my mates.";"Muito bom! Espere até eu mostrar para todos os meus amigos."
"addb9b2a";"That's my favourite! You're so thoughtful.";"Esse é o meu favorito! Você é tão atencioso(a)."
"addb9b2b";"Oh, I love it. It's one of my favourite things in the whole world!";"Ah, eu adorei! É uma das minhas coisas favoritas no mundo todo!"
"addb9b2c";"This is just incredible! Thank you so much!";"Isso é simplesmente incrível! Muito obrigado(a)!"
"addb9b2d";"Wow, how'd you know that's my favourite? Cheers!";"Nossa, como você sabia que é o meu favorito? Obrigado(a)!"
"addb9b2e";"For me? That's fantastic!";"Para mim? Isso é fantástico!"
"addb9b2f";"I'm overwhelmed! Such an extraordinary gift.";"Estou emocionada! Que presente extraordinário!"
"addcb57e";"That is unbelievably thoughtful of you. Thank you!";"Isso é incrivelmente atencioso da sua parte. Obrigada!"
"ba100572";"Wow, that's a brill present, thanks!";"Uau, que presente incrível, obrigado!"
"bbfa99c5";"Oooooh! Thank you so so so so much! I'm going to keep it forever! A present from a famous Hero...";"Oooooh! Muito, muito, muito obrigada! Vou guardar para sempre! Um presente de um herói famoso..."
"c0077c21";"I am ever so grateful for this, oh Famed One.";"Sou imensamente grato por isso, ó Famoso."
"c0077c22";"I am a friend to all celebrities. Especially you. Thank you!";"Sou amigo de todas as celebridades. Especialmente de você. Obrigado!"
"c0077c23";"Wow! Thanks!";"Uau! Obrigado!"
"c0077c24";"For me?! Thanks!";"Para mim?! Obrigado!"
"c0077c25";"Really??! For me?? From you??!! Thanks!";"Sério?! Para mim?! De você?! Obrigado!"
"c0077c27";"For me?! Thanks!";"Para mim?! Obrigado!"
"c00a5095";"Wow! Thanks!";"Uau! Obrigado!"
"c0655a19";"I have never been given such a thoughtful gift.";"Nunca recebi um presente tão atencioso."
"c0655a1a";"This is truly the pinnacle of all gifts.";"Este é realmente o ápice de todos os presentes."
"c0655a1b";"Best thing ever! Cheers!";"A melhor coisa de todas! Saúde!"
"c0655a1c";"I'm speechless. Thanks!";"Estou sem palavras. Obrigado!"
"c0655a1d";"Just what I most wanted. Thank you!";"Exatamente o que eu mais queria. Obrigada!"
"c0655a1e";"Oh, I love it. I'll treasure it forever.";"Ah, eu adorei. Vou guardar para sempre."
"c06836f3";"I will never forget this gift. Thank you so much.";"Nunca vou esquecer este presente. Muito obrigada."
"c10e7d01";"Oh, I love it, thank you!";"Oh, adorei, obrigada!"
"c4f4cdb7";"Wow! How cool is this! A present from the biggest Hero in the whole-wide world!";"Uau! Que legal! Um presente do maior Herói do mundo inteiro!"
"c57e701a";"What's this for?";"Para que serve isso?"
"c57e701b";"I don't really need signatures from obscure people.";"Eu realmente não preciso de assinaturas de pessoas obscuras."
"c57e701c";"Oh, thanks. Who are you again?";"Ah, obrigado. Quem é você mesmo?"
"c57e701d";"What's this for? You propositionin' me or sumthin'?";"Para que serve isso? Você está me dando em cima ou algo assim?"
"c58071e4";"What you givin' me your signing squiggle for?";"Por que você está me dando esse rabisco de assinatura?"
"c7078729";"Wow! Thanks!";"Uau! Obrigado!"
"c707872a";"Oh, I can't believe someone as famous as you would think of someone as small as me!";"Nossa, não acredito que alguém tão famoso quanto você pensaria em alguém tão insignificante quanto eu!"
"c707872c";"Wow! Thanks!";"Uau! Obrigada!"
"c707872d";"Such a renowned present-giver. My thanks!";"Que pessoa renomada na arte de presentear. Muito obrigada!"
"c707872e";"This is so unexpected, your greatness. Thank you!";"Isso é tão inesperado, sua grandeza. Obrigada!"
"c707872f";"Wow! Thanks!";"Uau! Obrigada!"
"c70a5b91";"For me?! Thanks!";"Para mim?! Obrigado!"
"c9656869";"Wow, how did you know? My favourite!";"Uau, como você sabia? Meu favorito!"
"c965686b";"This is an incredible gift. Thank you!";"Este é um presente incrível. Obrigada!"
"c965686c";"One of my favourite things. So thoughtful of you.";"Uma das minhas coisas favoritas. Que gentileza da sua parte."
"c965686d";"No one has ever granted me such a boon.";"Ninguém nunca me deu um presente tão maravilhoso."
"c965686e";"A decidedly wonderful gift. I thank thee!";"Um presente absolutamente incrível. Muito obrigada!"
"c965686f";"You really made my day. Best pressie ever.";"Você realmente alegrou meu dia. O melhor presente de todos os tempos."
"c96727ba";"Top notch present. Cheers!";"Presente de primeira qualidade. Saúde!"
"ca7e783a";"Yeah, it doesn't really count for much when nobody's heard of you.";"É, não vale muito quando ninguém nunca ouviu falar de você."
"ca7e783b";"Erm, and why would I want this? Never even heard of you.";"Hum, e por que eu ia querer isso? Nunca nem ouvi falar de você."
"ca7e783c";"Are you trying to pretend you're famous?";"Você está tentando fingir que é famoso?"
"ca7e783d";"Who you kiddin'? You're a nobody.";"Quem você está enganando? Você não é ninguém."
"ca8061a7";"This isn't worth the paper it's written on.";"Isso não vale o papel em que está escrito."
"dd72bb81";"Nice one!";"Boa!"
"dd72bb82";"Hey, thanks!";"Ei, obrigado!"
"dd72bb83";"I am extremely grateful. Thank you.";"Estou extremamente grato(a). Obrigado(a)."
"dd72bb84";"This is lovely. Thank you so much.";"Que lindo! Muito obrigado(a)."
"dd72bb86";"Oh, thank you, that's very kind.";"Ah, obrigado(a), que gentileza!"
"dd72bb87";"Hey, thanks!";"Ei, obrigado(a)!"
"dd75eac0";"That's wonderful, thanks!";"Que maravilha, obrigado(a)!"
"e272c3a1";"That's great!";"Que ótimo!"
"e272c3a2";"I like it! Whaddaya know.";"Gostei! Olha só."
"e272c3a3";"Oh, how marvellous!";"Oh, que maravilha!"
"e272c3a5";"Simply superb. Many thanks.";"Simplesmente soberbo. Muito obrigado."
"e272c3a6";"Excellent, You're very kind.";"Excelente, você é muito gentil."
"e272c3a7";"Thank you. Just what I wanted.";"Obrigado. Exatamente o que eu queria."
"e27413c2";"That's great, cheers!";"Que ótimo, obrigado!"
"e4da0994";"Wow, that's the best thing ever!";"Nossa, essa é a melhor coisa de todas!"
"edd83f96";"Aww, what an amazing present.";"Ah, que presente incrível."
"ee79207b";"Yeah, great. An autograph from a nobody.";"É, ótimo. Um autógrafo de um ninguém."
"f57982a0";"Oh, how nice. But who are you?";"Oh, que legal. Mas quem é você?"
"f9ceed91";"Thank you so much!";"Muito obrigado!"
"f9ceed93";"That's lovely, thanks.";"Que bom, obrigado."
"f9ceed94";"Wow, I love it!";"Uau, adorei!"
"f9ceed95";"How divine.";"Que divino."
"f9ceed96";"You spoil me!";"Você me mima!"
"f9ceed97";"Ohh, that ain't half bad!";"Ohh, isso não é nada mal!"
"f9d0b6a0";"Oh, now, this I like.";"Ah, agora sim, isso eu gostei."
