Hash;Original;Tradução
"0774f8f";"That's not yours!";"Isso não é seu!"
"46dfa69";"You can't do that!";"Você não pode fazer isso!"
"46dfa6a";"That's illegal!";"Isso é ilegal!"
"46dfa6b";"That's illegal!";"Isso é ilegal!"
"46dfa6c";"That's illegal!";"Isso é ilegal!"
"46dfa6d";"Hey, that's wrong!";"Ei, isso está errado!"
"46dfa6e";"That's illegal!";"Isso é ilegal!"
"471c678";"That's illegal!";"Isso é ilegal!"
"7edafa8";"Why did you hit them?!";"Por que você os atacou?!"
"9781a81";"You're not supposed to take that!";"Você não deveria ter feito isso!"
"9bc1389";"Hey! Thief! That's mine!";"Ei! Ladrão! Isso é meu!"
"9bc138a";"No! That's mine!";"Não! Isso é meu!"
"9bc138b";"You're stealing my property! Help!";"Você está roubando minha propriedade! Socorro!"
"9bc138c";"What are you doing? Thief!";"O que você está fazendo? Ladrão!"
"9bc138e";"Hey! Thief!";"Ei! Ladrão!"
"9bc138f";"Stop taking my things!";"Pare de pegar minhas coisas!"
"9bca16f";"You're stealing my things! Help!";"Você está roubando minhas coisas! Socorro!"
"c9ad6f1";"Such lewdness!";"Que obscenidade!"
"c9ad6f5";"That is obscene! Obsceeeene!";"Isso é obsceno! Obsceno!"
"c9ad6f7";"Such obscenities are a crime!";"Essas obscenidades são um crime!"
"c9af1a6";"How coarse!";"Que grosseria!"
"d6e08b9";"That's against the law!";"Isso é contra a lei!"
"d6e08bb";"That's against the law!";"Isso é contra a lei!"
"d6e08bc";"Hey, that's wrong!";"Ei, isso está errado!"
"d6e08bd";"That's against the law!";"Isso é contra a lei!"
"d6e08be";"That's against the law!";"Isso é contra a lei!"
"d6e08bf";"That's illegal!";"Isso é ilegal!"
"d6e6b62";"That's against the law!";"Isso é contra a lei!"
"e4159f1";"You are stealing from me!";"Você está me roubando!"
"e4159f2";"End your stealing ways this instant!";"Pare com seus roubos agora mesmo!"
"e4159f3";"Thief! Stop!";"Ladrão! Pare!"
"e4159f4";"Hey! Hey! That's mine!";"Ei! Ei! Isso é meu!"
"e4159f5";"What do you think you're doing?! Thief!";"O que você pensa que está fazendo?! Ladrão!"
"e4159f7";"Hey! Stop! Thief!";"Ei! Pare! Ladrão!"
"e43416d";"Thief! Thief!";"Ladrão! Ladrão!"
"eedbaad";"You're nasty!";"Você é cruel!"
"1517809d";"What are you doing???!!!";"O que você está fazendo???!!!"
"154164f9";"Stop! you're taking my things!";"Pare! Você está pegando minhas coisas!"
"154164fa";"Hey! Give that back!";"Ei! Devolva isso!"
"154164fc";"Hey! That's mine! Thief!";"Ei! Isso é meu! Ladrão!"
"154164fd";"Stop! Stop at once, thief!";"Pare! Pare agora mesmo, ladrão!"
"154164fe";"You barefaced bandit!";"Seu bandido descarado!"
"154164ff";"That stuff's mine!";"Isso é meu!"
"15490111";"Stop nicking my stuff!";"Pare de roubar minhas coisas!"
"159ae4db";"That is so obscene!";"Que obscenidade!"
"159ae4dd";"That's indecent, that is!";"Isso é indecente!"
"159ae4df";"What lewd behaviour!";"Que comportamento lascivo!"
"159b06f2";"Totally lewd behaviour!";"Comportamento totalmente lascivo!"
"16289c53";"Hey, that is assault!";"Ei, isso é um ataque!"
"162a15cc";"Desist in your assault!";"Pare com o ataque!"
"20082ca2";"Stop taking what's not yours!";"Pare de pegar o que não é seu!"
"24ee6481";"You wicked murderer!";"Seu assassino perverso!"
"24ee6482";"You heartless killer!";"Seu assassino sem coração!"
"24ee6484";"You awful killer!";"Seu assassino horrível!"
"24ee6485";"It's murder!";"É assassinato!"
"24ee6486";"You cold-blooded assassin!";"Seu assassino a sangue frio!"
"24ee6487";"Murderer!";"Assassino!"
"24eed685";"Killer! Killer!";"Assassino! Assassino!"
"2507ba9a";"You're a thief!";"Você é um ladrão!"
"2cb70426";"That's murder!";"Isso é assassinato!"
"2cb755d1";"Murder!";"Assassinato!"
"2dee72e9";"Murderous beast!";"Besta assassina!"
"2dee72ea";"Someone save me! Murderer!";"Alguém me salve! Assassino!"
"2dee72eb";"Homicidal maniac!";"Maníaco homicida!"
"2dee72ec";"Crazy killer!";"Assassino insano!"
"2dee72ed";"No...No! Murderer!";"Não... Não! Assassino!"
"2dee72ef";"Murderer!";"Assassino!"
"2dee8d8c";"Murderer! Murderer!";"Assassino! Assassino!"
"3350ac53";"It is illegal to sleep in these public places.";"É ilegal dormir nesses lugares públicos."
"3350ac55";"I've been nicked for sleeping on the street, you know.";"Já fui preso por dormir na rua, sabia?"
"3350ac57";"You can't sleep on the street!";"Você não pode dormir na rua!"
"33551079";"The guards don't take kindly to vagrants.";"Os guardas não gostam de vagabundos."
"3a50b75d";"It's illegal to sleep there, you know.";"É ilegal dormir aí, sabia?"
"3a50b75f";"Vagrancy is a crime in this town.";"Vadiagem é crime nesta cidade."
"3a50d34d";"You can't sleep here.";"Você não pode dormir aqui."
"457b0199";"Oh, thieving. Don't like the looks of this!";"Oh, roubo! Não gosto nada disso!"
"457b019a";"Hey, you! Thief!";"Ei, você! Ladrão!"
"457b019b";"Guard! We have a thief here!";"Guarda! Temos um ladrão aqui!"
"457b019d";"Thief!";"Ladrão!"
"457b019e";"A thief! A thief!";"Um ladrão! Um ladrão!"
"457b019f";"Stop that, thief! I can see you!";"Pare com isso, ladrão! Eu estou te vendo!"
"457b4d74";"You're stealing!";"Você está roubando!"
"47f103a2";"What did you do that for?!";"Por que você fez isso?!"
"47f103a3";"I can't believe you did that.";"Não acredito que você fez isso."
"47f103a4";"How could you?";"Como você pôde?"
"47f103a5";"That's how you get your kicks, is it?";"É assim que você se diverte, é?"
"47f103a6";"I saw the whole thing you know.";"Eu vi tudo, sabia?"
"47f103a7";"Oh, the barbarity of it all!";"Oh, que barbaridade tudo isso!"
