Hash;Original;Tradução
"24b716b";"Mmmm, that's one heck of a spell!";"Hum, que feitiço incrível!"
"24b716d";"Oooh, now that's what I call magic!";"Uau, isso sim é mágica!"
"24d4725";"Ooh... Did you just cast a fireball?!";"Uau... Você acabou de lançar uma bola de fogo?!"
"62ef4e2";"Aren't we there yet?";"Já chegamos?"
"62ef4e3";"If we don't find a bed soon I'm gonna change my mind.";"Se não encontrarmos uma cama logo, vou mudar de ideia."
"62ef4e4";"Why is this taking so long?";"Por que isso está demorando tanto?"
"62ef4e5";"If I'm not lying down soon, forget it.";"Se eu não deitar logo, esqueça."
"62ef4e6";"You want to do this or just walk in circles??";"Você quer fazer isso ou só ficar andando em círculos?"
"62ef4e7";"Oh, I'm getting tired of this fruitless search.";"Ah, estou cansado desta busca infrutífera."
"62f2542";"There are better ways for me to spend my time.";"Há maneiras melhores de eu gastar meu tempo."
"74b790b";"Oooh, now that's what I call magic!";"Uau, isso sim é mágica!"
"74b790d";"Mmmm, that's one heck of a spell!";"Hummm, que feitiço poderoso!"
"74cf393";"Oooh, did you just cast fireball?!";"Oooh, você acabou de lançar uma bola de fogo?!"
"986b6da";"Woah, baby! Feel those muscles!";"Uau, que músculos! Sinta esses músculos!"
"986b6db";"Oh yes, let me fondle those big, hulking biceps.";"Ah, sim, deixe-me acariciar esses bíceps enormes e musculosos."
"986b6dc";"Careful my love, you shall break me in half with that monstrous strength of yours.";"Cuidado, meu amor, você vai me partir ao meio com essa sua força monstruosa."
"987eb73";"Oh yes, oh yes, oh... No! Ow! You don't know your own strength, do you?";"Ah, sim, ah, sim, ah... Não! Ai! Você não conhece a sua própria força, não é?"
"219d9c61";"Where is this place? I can't wait any more!";"Onde é esse lugar? Não aguento mais esperar!"
"219d9c63";"Are we going to get there any time soon?";"Vamos chegar lá em breve?"
"219d9c64";"Come on, where's that bed?";"Vamos, onde está aquela cama?"
"219d9c65";"My patience has its limits.";"Minha paciência tem limites."
"219d9c66";"I sincerely hope we are almost there. God!";"Espero sinceramente que estejamos quase lá. Deus!"
"219d9c67";"How long's a man gotta wait? It's hard enough walking as it is...";"Quanto tempo um homem tem que esperar? Já é difícil o suficiente caminhar..."
"21abcf7a";"We better get there soon, or you'll have missed your chance.";"É melhor chegarmos logo, ou você perderá sua chance."
"289da761";"I begin to tire of this fruitless search.";"Estou começando a me cansar desta busca infrutífera."
"289da762";"There are better ways for me to spend my time.";"Existem maneiras melhores de eu gastar meu tempo."
"289da763";"If I'm not lying down soon, forget it.";"Se eu não me deitar logo, esqueça."
"289da764";"You want to do this, or just walk in circles?";"Você quer fazer isso ou apenas ficar andando em círculos?"
"289da765";"If we don't find a bed soon I'm gonna change my mind.";"Se não encontrarmos uma cama logo, vou mudar de ideia."
"289da766";"Usually it doesn't take this long...";"Normalmente não demora tanto..."
"28a012a0";"Aren't we there yet?";"Já chegamos?"
"2b007dda";"You don't mind if I close my eyes and think of someone else, do you?";"Você se importa se eu fechar os olhos e pensar em outra pessoa?"
"2b007ddb";"Put the paper bag back on your head, you're killing the mood!";"Coloque o saco de papel de volta na cabeça, você está estragando o clima!"
"2b007ddc";"How about you face the other way?";"Que tal você virar para o outro lado?"
"2b007ddd";"This reminds me of the time I was chased by a Hobbe.";"Isso me lembra da vez em que fui perseguido por um Hobbe."
"2b007dde";"Someone turn the piggin' lights out.";"Alguém apague as luzes!"
"2b007ddf";"I am not repulsed I am not repulsed I am not repulsed I am not repulsed...";"Não sinto repulsa. Não sinto repulsa. Não sinto repulsa. Não sinto repulsa..."
"2b028ee4";"Perhaps a velvet blanket, laid carefully over your features?";"Talvez um cobertor de veludo, cuidadosamente colocado sobre seu rosto?"
"300085fa";"Uff! I must admit, I'm having second thoughts about this.";"Ufa! Devo admitir, estou repensando isso."
"300085fb";"Do you have to pull that face?";"Precisa fazer essa cara?"
"300085fc";"If only we could turn the lights off I wouldn't have to look at you.";"Se ao menos pudéssemos apagar as luzes, eu não precisaria olhar para você."
"300085fd";"You don't mind if I stick this sack on your head, do ya?";"Você se importa se eu colocar este saco na sua cabeça?"
"300085fe";"It would help if you looked the other way.";"Seria melhor se você olhasse para o outro lado."
"300085ff";"Is it completely necessary for us to see each other?";"É realmente necessário que nos vejamos?"
"300117f0";"I always do this with my eyes closed. Really.";"Eu sempre faço isso de olhos fechados. Sério."
"31ad5be1";"Oh, I am your greatest admirer!";"Oh, eu sou seu maior admirador!"
"31ad5be2";"I simply worship you!";"Eu simplesmente te venero!"
"31ad5be3";"Oh... Never felt respect for someone doing this!";"Oh... Nunca senti respeito por alguém que faz isso!"
"31ad5be4";"I'm in awe of ya. Aaaaawe!";"Estou maravilhado(a) com você. Que maravilha!"
"31ad5be5";"I feel humbled in your presence.";"Eu me sinto humilde em sua presença."
"31ad5be7";"You're just.. well, amazing.";"Você é simplesmente... incrível."
"31b0c218";"Wow. All I can say is... wow.";"Uau. Tudo o que posso dizer é... uau."
"31bfb36a";"Oh, yeah. Show me some of that magic, baby.";"Ah, sim. Mostre-me um pouco dessa magia, querida."
"31bfb36b";"Oh yes! Oh my! We are floating above the bed!";"Oh sim! Oh meu Deus! Estamos flutuando acima da cama!"
"31bfb36e";"Magical! Utterly magical!";"Mágico! Completamente mágico!"
"31c03d48";"Oh, this is what I call making magic!";"Oh, isso sim é o que eu chamo de fazer mágica!"
"329c5d4a";"Oooh, I'm so impressed!";"Uau, estou tão impressionado!"
"329c5d4b";"Hmm, I can't believe I'm with a Hero!";"Hmm, não acredito que estou com um Herói!"
"329c5d4c";"I am in awe!";"Estou impressionado!"
"329c5d4d";"I can see you're a real Hero.";"Vejo que você é um verdadeiro Herói."
"329c5d4e";"You really know how to command respect, don't you?";"Você realmente sabe como impor respeito, não é?"
"329c5d4f";"You command respect even here!";"Você impõe respeito até aqui!"
"329c9bf9";"You are truly a Hero!";"Você é um verdadeiro herói!"
"337e5671";"You've tired me out with all this walking. I'm going.";"Você me cansou com toda essa caminhada. Estou indo embora."
"337e5672";"I'm not following you around like this anymore. I have things to do!";"Não vou mais te seguir assim. Tenho coisas para fazer!"
"337e5674";"You were just teasing, weren't you? Well, no more.";"Você estava só brincando, não é? Bom, chega."
"337e5675";"I daresay this will never happen. I will take my leave.";"Ouso dizer que isso nunca vai acontecer. Vou embora."
"337e5676";"I will be strung along no longer!";"Não vou mais ser enrolado!"
"337e5677";"I knew you were just teasing! That's it!";"Eu sabia que você estava só brincando! Chega!"
