Hash;Original;Tradução
"12d1b73";"Hero's Chickens Kicked: %1
Henchman's Chickens Kicked: %2

Hero's Flit Switches Hit: %3
Henchman's Flit Switches Hit: %4

Hero's Highest Multiplier: x%5
Henchman's Highest Multiplier: x%6";"Galinhas Chutadas do Herói: %1
Galinhas Chutadas do Capanga: %2

Interruptores de Voo do Herói Acionados: %3
Interruptores de Voo do Capanga Acionados: %4

Maior Multiplicador do Herói: x%5
Maior Multiplicador do Capanga: x%6"
"1b678eb";"Henchman Wins";"Capanga Vence"
"74b7909";"Colosseum Model";"Maquete do Coliseu"
"9f3d02f";"Henchman's High Score: %1";"Pontuação Máxima do Capanga: %1"
"9f471da";"That's quite remarkable. Another successful exorcism!";"Isso é realmente notável. Mais um exorcismo bem-sucedido!"
"af62180";"That skull'll make a perfect paperweight. Lovely stuff.";"Esse crânio vai servir como um peso de papel perfeito. Que beleza."
"b875ac3";"Now, as much I would love to hand it over for free, I can't accept less than the full amount in solid gold. I have a reputation to maintain.";"Agora, por mais que eu adoraria entregar de graça, não posso aceitar menos do que o valor total em ouro maciço. Tenho uma reputação a zelar."
"c5bbbba";"Total High Score: %1";"Pontuação Total Alta: %1"
"eac5745";"The Colosseum

Welcome to the Colosseum, the legendary combat arena built by the Theodore triplets.
Score as many points as you can within the allotted time. Earn points by killing creatures and build multipliers by hitting Flitswitches. You can also earn bonus points by kicking chickens.
The following rules apply:
You may not use potions or change any inventory items during combat, so use the time before and after fights wisely.
If you are knocked down, your multiplier will be reset.
Good luck, and may the Colosseum Teddies guide your hand.";"O Coliseu

Bem-vindo ao Coliseu, a lendária arena de combate construída pelos trigêmeos Theodore.
Marque o máximo de pontos que puder dentro do tempo limite. Ganhe pontos matando criaturas e acumule multiplicadores acionando os Interruptores. Você também pode ganhar pontos de bônus chutando galinhas.
As seguintes regras se aplicam:
Você não pode usar poções ou alterar itens do inventário durante o combate, então use o tempo antes e depois das lutas com sabedoria.
Se você for derrubado, seu multiplicador será zerado.
Boa sorte, e que os Ursos de Pelúcia do Coliseu guiem sua mão."
"1324beb4";"Henchman's Score (x%1): %2";"Pontuação do Capanga (x%1): %2"
"13ecc28f";"These are your men. Loyal soldiers who would die for you. Many already have, on battlefields at home and in faraway lands.";"Estes são os seus homens. Soldados leais que morreriam por você. Muitos já morreram, em campos de batalha em casa e em terras distantes."
"14ecc462";"They would follow you wherever you lead.";"Eles te seguiriam aonde quer que você fosse."
"16eebdfb";"It is many years from now. You feel age weighing you down. And the responsibility of an entire kingdom.";"Muitos anos se passaram. Você sente o peso da idade. E a responsabilidade de um reino inteiro."
"17eb8778";"This is the real future. Your child, not yet born, but destined for greatness.";"Este é o verdadeiro futuro. Seu filho, ainda não nascido, mas destinado à grandeza."
"1b584125";"Battle your way through the Colosseum, and try to get the highest score you can.";"Lute no Coliseu e tente alcançar a maior pontuação possível."
"1c1833d2";"This rare bear represents the eldest of the three founding brothers of the Colosseum, Augustus Theodore. There are two numbers tattooed on its fur. An eight and a five.";"Este urso raro representa o mais velho dos três irmãos fundadores do Coliseu, Augusto Teodoro. Há dois números tatuados em sua pelagem. Um oito e um cinco."
"1fb3f136";"This cuddly bear represents the most talented of the three founding brothers of the Colosseum, Alvin Theodore. He was an accomplished magic user, and perhaps the two numbers sewn into his wizard's hat are part of some numerical spell. They are one and a nine.";"Este ursinho de pelúcia representa o mais talentoso dos três irmãos fundadores do Coliseu, Alvin Theodore. Ele era um mago habilidoso, e talvez os dois números costurados em seu chapéu de mago façam parte de algum feitiço numérico. São um e nove."
"21640370";"And don't forget to browse my wares. It's not all tat!";"E não se esqueça de dar uma olhada nos meus produtos. Não é tudo quinquilharia!"
"244ff55b";"New Hero High Score";"Nova Pontuação Máxima de Herói"
"2623ef95";"Congratulations, you have found one of the three Theodore bears. Can you find the other two?";"Parabéns, você encontrou um dos três ursos Theodore. Consegue encontrar os outros dois?"
"272b5f0c";"You have found another Theodore bear! Just one more remains.";"Você encontrou outro urso Theodore! Só falta mais um."
"272b6a42";"Hero Wins";"Herói Vence"
"2823a50e";"Well done! You've found all three Theodore bears! You have earned the Colosseum's special prizes. Have a drink on us, and a little something else...";"Muito bem! Você encontrou os três ursos Theodore! Você ganhou os prêmios especiais do Coliseu. Tome uma bebida por nossa conta e ganhe mais uma coisinha..."
"2c73817c";"Best of luck with that. And don't let anyone know I let you have it for free. You can just imagine what that would do to my reputation.";"Boa sorte com isso. E não conte a ninguém que eu te dei de graça. Você pode imaginar o estrago que isso faria na minha reputação."
"30c1a829";"As will the fate of Aurora.";"Assim como o destino de Aurora."
"31bae5a8";"Third Prize";"Terceiro Prêmio"
"32c03f3b";"Yet none of this is of the least importance.";"Mas nada disso é da menor importância."
"33bd1578";"A child on whom the fate of Albion will depend one day.";"Uma criança de quem o destino de Albion dependerá um dia."
"35dad613";"A CUDDLY TOY!";"UM BRINQUEDO DE PELÚCIA!"
"41897837";""AAA" Teddy Trophy";""AAA" Troféu Teddy"
"45894ad8";"Second Prize";"Segundo Prêmio"
"45a8e5da";"Hero's Creature Kills: %1";"Criatura do Herói Mata : %1"
"4b32b40f";"Colosseum Scores

%1 points - Ultimate Prize
%2 points - First Prize
%3 points - Second Prize
%4 points - Third Prize

Keep trying! There's a different prize each time, at least until we run out of prizes, and you will win one gold for each point scored.";"Pontuação do Coliseu 

%1 pontos - Prêmio Supremo 
%2 pontos - Primeiro Prêmio 
%3 pontos - Segundo Prêmio 
%4 pontos - Terceiro Prêmio 

 Continue tentando! Há um prêmio diferente a cada tentativa, pelo menos até que os prêmios acabem, e você ganhará um ouro para cada ponto marcado."
"50857eb8";"As will that of lands not yet discovered.";"Assim como o de terras ainda não descobertas."
"50a9f437";"If you want to access Murgo's caravan and its astounding items, you will need to purchase the premium downloadable content. Press <x_img> to buy it now.";"Se você quiser acessar a caravana de Murgo e seus itens incríveis, precisará comprar o conteúdo premium para download. Pressione <x_img> para comprá-lo agora."
"520c5f15";"Fight!";"Lute!"
"55090870";"Three...";"Três..."
"56a0ae92";"Total Score: %1";"Pontuação Total: %1"
"57086f4c";"One...";"Um..."
"580ae5a6";"Two...";"Dois..."
