Hash;Original;Tradução
"32bbd6c";"Woohoo yeah!";"Uhuuu!"
"65a16d1";"What?";"O quê?"
"6816e97";"Oh yes!";"Ah, sim!"
"6844eb8";"Yeah!";"É isso aí!"
"77daf9a";"Baaaaahhh!";"Béééééé!"
"da678f7";"Woo! Alright!";"Uau! Muito bem!"
"e2c11ee";"Woohoo yeah!";"Uhuuu!"
"f5abff2";"What?";"O quê?"
"12fe1809";"Somebody kill me now.";"Alguém me mate agora."
"12fe180a";"I'm so bored my brain just jumped out my ear for a bit of variety.";"Estou tão entediado que meu cérebro quase saiu pela minha orelha em busca de um pouco de variedade."
"12fe180b";"So this is the ennui I've read so much about.";"Então, este é o tédio sobre o qual tanto li."
"12fe180d";"I am so very, very weary.";"Estou tão, tão cansado."
"12fe180e";"Is that your impersonation of paint drying?";"Essa é a sua imitação de tinta secando?"
"12fe180f";"So very very boring.";"Tão, tão entediante."
"13010a4a";"The tedium is starting to get to me.";"O tédio está começando a me incomodar."
"13d8b8d1";"Woohoo!";"Uhuu!"
"13d8b8d3";"Woohoo!";"Uhuu!"
"13d94ab2";"Woohoo!";"Uhuu!"
"1423ca6b";"Alright! Yeah!";"Muito bem! Isso aí!"
"1423ca6c";"Alright! Yeah!";"Muito bem! Isso aí!"
"1423ca6d";"Alright! Yeah!";"Muito bem! Isso aí!"
"1423ca6e";"Alright! Yeah!";"Muito bem! Isso aí!"
"14245460";"Alright! Yeah!";"Muito bem! Sim!"
"14a5786a";"Woo! Alright!";"Uau! Muito bem!"
"1a574d41";"Eehhh??";"Eehhh??"
"1a574d42";"Eehhh??";"Eehhh??"
"1a574d43";"Eehhh??";"Eehhh??"
"1a574d44";"Eehhh??";"Eehhh??"
"1a574d45";"Eehhh??";"Eehhh??"
"1a574d47";"Eehhh??";"Eehhh??"
"1a58b7eb";"Eehhh??";"Eehhh??"
"1ad8c3d5";"Woohoo!";"Uhuu!"
"1ad8c3d6";"Woohoo!";"Uhuu!"
"1ad983c1";"Woohoo!";"Uhuu!"
"1b416afa";"That's so overdone.";"Isso já está batido."
