Hash;Original;Tradução
"e97c421";"I'm a man who needs no trouble... so leave me alone...  I beg you!";"Sou um homem que não precisa de problemas... então me deixem em paz... eu imploro!"
"e97c424";"Just leave us alone!";"Deixem-nos em paz!"
"e97c426";"My neighbour is an idiot. Go and scare him instead of me!";"Meu vizinho é um idiota. Vá assustá-lo em vez de mim!"
"e97c427";"I'm hiding because I'm scared... try the next door... please!";"Estou me escondendo porque estou com medo... tente a casa ao lado... por favor!"
"e98f5bc";"No, no, no, no, no...go away...please!";"Não, não, não, não, não... vá embora... por favor!"
"1397cbc1";"It's time for you to go...please...just go!";"Está na hora de você ir... por favor... vá embora!"
"1397cbc5";"What did we ever do to you? Leeeeave!";"O que fizemos para você? Vá embora!"
"1397cbc6";"Leave us!";"Deixe-nos em paz!"
"1397cbc7";"What did we ever do to you? Leave!";"O que fizemos para você? Vá embora!"
"13980378";"We didn't do anything! Go away.";"Não fizemos nada! Vá embora."
"1a69b471";"*yaaaawn* Who is it? Come back tomorrow!";"*bocejo* Quem é? Volte amanhã!"
"1a69b472";"Hey, who do you think you are, knocking on my door at this time!";"Ei, quem você pensa que é para bater na minha porta a essa hora!"
"1a69b473";"*yaaawn* H..Hello? Are you...a bandit? Please don't rob me! I'm poor and my butler is armed!";"*bocejo* O...Olá? Você é... um bandido? Por favor, não me roube! Sou pobre e meu mordomo está armado!"
"1a69b474";"What kind of person comes knocking at this hour? Go away.";"Que tipo de pessoa bate à porta a essa hora? Vá embora."
"1a69b476";"*yaaaawn* Hello? Who is there? I'm asleep!";"*bocejo* Olá? Quem está aí? Estou dormindo!"
"1a69b477";"*yawn* What? This isn't the right time to be knocking on my door... I was dreaming! And what a dream it was! *yawn*";"*bocejo* O quê? Não é hora de bater na minha porta... Eu estava sonhando! E que sonho! *bocejo*"
"1a6b47a3";"Who is it? Come back tomorrow!";"Quem é? Volte amanhã!"
"1f69bc11";"*yawn* Who the hobbe's there at this time?! Go away!";"*bocejo* Quem diabos está aí a essa hora?! Vá embora!"
"1f69bc12";"Private party. Bugger off.";"Festa particular. Some daqui."
"1f69bc13";"Who disturbs us at this hour? Leave!";"Quem nos perturba a essa hora? Vá embora!"
"1f69bc15";"Have you no respect? We are trying to sleep here.";"Você não tem respeito? Estamos tentando dormir aqui."
"1f69bc16";"This is no time to come bothering us. Go away.";"Não é hora de nos incomodar. Vá embora."
"1f69bc17";"*yawn* I'm not going to open the door! I'm not even in the house!";"*bocejo* Eu não vou abrir a porta! Eu nem estou em casa!"
"1f6bf5d2";"*yawn*Why did you have to knock? I had the most wonderful dream and now its gone, you heartless person!";"*bocejo* Por que você teve que bater? Tive um sonho maravilhoso e agora ele se foi, seu insensível!"
"35184731";"Leave us alone. It's late.";"Deixe-nos em paz. Já ​​é tarde."
"35184732";"I've got my face mask and curlers on. No way I'm opening up!";"Estou com máscara e bobes no cabelo. De jeito nenhum vou abrir!"
"35184736";"What? Let people sleep, will you?";"O quê? Deixe as pessoas dormirem, por favor?"
"35184737";"I don't open the door to strangers at this hour.";"Eu não abro a porta para estranhos a esta hora."
"351e9488";"If that's someone playing a prank you'll be sorry.";"Se alguém estiver pregando uma peça, você vai se arrepender."
"3e18551b";"Hey! We're trying to get some snoring done in here.";"Ei! Estamos tentando parar de roncar por aqui."
"3e18551c";"Does this look like a good time? Go away.";"Parece uma boa hora? Vá embora."
"3e18551d";"Argh! I bet it's those damn kids and their pranks again!";"Argh! Aposto que são aquelas crianças malditas e suas pegadinhas de novo!"
"3e18551f";"I'd like to get some sleep here while I still can. So get lost.";"Gostaria de dormir um pouco enquanto ainda posso. Então suma daqui."
"3e1930fb";"Don't you have better things to do? Like sleeping?";"Você não tem coisas melhores para fazer? Como dormir?"
"47b4ddf1";"Stop this... we're harmless! We don't even have a butler!";"Pare com isso... somos inofensivos! Nem sequer temos um mordomo!"
"47b4ddf2";"Oh why won't you leave us alone, please!";"Por que você não nos deixa em paz, por favor!"
"47b4ddf6";"Um... we're not in!";"Hum... não estamos dentro!"
"47b4ddf7";"Stop terrorising us!";"Pare de nos aterrorizar!"
"47b6ee00";"Don't hurt us! Go away!";"Não nos machuque! Vá embora!"
"4c1dcd27";"If I eat all this up will a grow up strong and be a hero just like you?";"Se eu absorver tudo isso, vou crescer forte e me tornar um herói como você?"
"50b4ebdb";"Now stop knocking, you're scaring the wife...and me!";"Pare de bater, você está assustando minha esposa... e a mim!"
"50b4ebdc";"Er, nobody's here! Yeah, They all went out.";"Er, não tem ninguém aqui! É, todos saíram."
"50b4ebdd";"Er, nobody's here! Yeah, They all went out. Bye bye.";"Er, não tem ninguém aqui! É, todos saíram. Tchau, tchau."
"50b4ebdf";"We're not in!";"Não estamos aqui!"
"50b64039";"There's nobody here.";"Não há ninguém aqui."
"55165deb";"There's something funny in my food. Is it a vegetable? Yuck.";"Tem algo estranho na minha comida. É um vegetal? Que nojo."
"5a398271";"What I like doing is checking the prices in all the shops in every town. You can make a living that way. If you're smart.";"O que eu gosto de fazer é verificar os preços em todas as lojas de todas as cidades. Dá para ganhar a vida assim. Se você for esperto."
"5a398272";"I used to shop here with my parents when I was a boy.";"Eu costumava fazer compras aqui com meus pais quando era menino."
"5a398274";"At least shopping takes your mind off all the troubles of the world.";"Pelo menos fazer compras ajuda a esquecer todos os problemas do mundo."
"5a398275";"Perhaps I can find something worthwhile to invest my gold in.";"Talvez eu encontre algo que valha a pena investir meu ouro."
"5a398276";"I find it invigorating to come down to the shops and stand shoulder to shoulder with the rabble.";"Acho revigorante vir às lojas e ficar ombro a ombro com a multidão."
"5a398277";"There ain't any bargains to be found here, but I'll keep looking.";"Não há nenhuma pechincha por aqui, mas vou continuar procurando."
"5a3b694b";"Shopping ain't as much fun as stealing, you got to admit that.";"Fazer compras não é tão divertido quanto roubar, você tem que admitir."
"63399059";"I have decided to rough it with the common folk and shop for myself today.";"Decidi me misturar com o povo comum e fazer compras para mim hoje."
"6339905a";"I usually prefer to do my shopping in the finest establishments of Samarkand. But it's such a long way away.";"Normalmente, prefiro fazer minhas compras nos melhores estabelecimentos de Samarcanda. Mas é tão longe."
