Hash;Original;Tradução
"13f2933";"Is it true that you used to have a doggy?";"É verdade que você tinha um cachorrinho?"
"263d33d1";"There are even more street rats than before since you came back from Lucien's Spire.";"Há ainda mais moradores de rua do que antes, desde que você voltou da Torre de Lucien."
"263d33d2";"People are saying you freed all those poor souls trapped in Spire. I suppose we should thank you. More poor on our streets.";"Dizem que você libertou todas aquelas pobres almas presas na Torre. Acho que devemos te agradecer. Mais pobres nas nossas ruas."
"263d33d3";"I know some people who're alive thanks to what you did in that Spire.";"Conheço algumas pessoas que estão vivas graças ao que você fez naquela Torre."
"263d33d4";"Have you seen all the people freed from the Spire? So many old faces I thought I'd never see again.";"Você viu todas as pessoas libertadas da Torre? Tantos rostos conhecidos que eu pensei que nunca mais veria."
"263d33d5";"Our familes and friends have been freed thanks to you. You're our Hero.";"Nossas famílias e amigos foram libertados graças a você. Você é o nosso herói."
"263d33d7";"So many innocent people have escaped that horrid Spire. And they say it's thank to you. What you did is incredible.";"Tantas pessoas inocentes escaparam daquela torre horrível. E dizem que foi graças a você. O que você fez é incrível."
"2640e07e";"All those poor people in the Spire free, thanks to you.";"Todas aquelas pessoas pobres na torre estão livres, graças a você."
"2d3d3ed9";"It's amazing how all those poor people managed to escape the Spire, isn't it?";"É incrível como todas aquelas pessoas conseguiram escapar da Torre, não é?"
"2d3d3eda";"My brother was trapped in the Spire. I can't thank you enough for freeing him. I don't know how you did it.";"Meu irmão estava preso na Torre. Não tenho palavras para te agradecer por libertá-lo. Não sei como você fez isso."
"2d3d3edc";"I had friends in the Spire who I never thought I'd see again. I don't know how you did it, but thank you.";"Eu tinha amigos na Torre que nunca pensei que veria novamente. Não sei como você conseguiu, mas obrigado."
"2d3d3edd";"Albion is suffering from a flood of freed Spire prisoners.";"Albion está sofrendo com uma onda de prisioneiros libertados da Torre."
"2d3d3ede";"I wish all those people who have come out of the Spire had stayed there. As if we didn't have enough mendicants.";"Eu gostaria que todas aquelas pessoas que saíram da Torre tivessem ficado lá. Como se já não tivéssemos mendigos suficientes."
"2d3d3edf";"Is it true all those people came back alive from the Spire because of you? That's... That's pretty impressive.";"É verdade que todas aquelas pessoas voltaram vivas da Torre por sua causa? Isso é... Isso é impressionante."
"2d3fa158";"So you're the one who freed all the poor sods in the Spire? Nice one!";"Então foi você quem libertou todos aqueles coitados na Torre? Muito bom!"
"467e5e6a";"You must have found all that gold in the Spire somewhere. It's very suspicious.";"Você deve ter encontrado todo esse ouro na Torre em algum lugar. É muito suspeito."
"467e5e6b";"It's a bit odd that all those people died in the Spire and straight away you become the richest person in Albion. Very odd indeed.";"É um pouco estranho que todas aquelas pessoas tenham morrido na Torre e você, de repente, se torne a pessoa mais rica de Albion. Muito estranho mesmo."
"467e5e6c";"You came back from the Spire with so much gold... But how did you get it, really?";"Você voltou da Torre com tanto ouro... Mas como você conseguiu, de verdade?"
"467e5e6d";"Come on, you can tell me. You stole that gold from Lucien didn't ya?";"Vamos, pode me contar. Você roubou esse ouro do Lucien, não foi?"
"467e5e6e";"You came back from the Spire with so much gold... But how did you get it, really?";"Você voltou da Torre com tanto ouro... Mas como você conseguiu tudo isso, de verdade?"
"467e5e6f";"How did you become so fabulously wealthy so quickly?";"Como você ficou tão fabulosamente rico tão rápido?"
"46843ad7";"I do not trust the nouveau riche like yourself. Where did your wealth come from?";"Não confio em novos ricos como você. De onde veio sua riqueza?"
"4b7e660a";"I find it very strange that you're so rich after what happened in the Spire, with all those  innocent deaths.";"Acho muito estranho você ser tão rico depois do que aconteceu na Torre, com todas aquelas mortes de inocentes."
"4b7e660b";"I don't know how you got so rich, but it has something to do with what happened in the Spire. And my brothers died there.";"Não sei como você ficou tão rico, mas tem algo a ver com o que aconteceu na Torre. E meus irmãos morreram lá."
"4b7e660c";"I'm not making accusations, but you weren't this rich before you went into that Spire where all those people died.";"Não estou fazendo acusações, mas você não era tão rico antes de entrar naquela Torre onde todas aquelas pessoas morreram."
