Hash;Original;Tradução
"505b3df";"His husband seems pretty annoyed with him. I'd watch out or he'll be single again!";"O marido dele parece bem irritado com ele. Eu tomaria cuidado ou ele vai ficar solteiro de novo!"
"5084684";"Her husband seems pretty annoyed with her. I'd watch out or she'll be single again!";"O marido dela parece bem irritado com ela. Eu tomaria cuidado ou ela vai ficar solteira de novo!"
"935badf";"Don't be surprised if he ends up divorced soon. Just ask that poor wife of his.";"Não se surpreenda se ele acabar se divorciando em breve. Basta perguntar à pobre esposa dele."
"938bb39";"Don't be surprised if she ends up divorced soon. Just ask that poor wife of hers.";"Não se surpreenda se ela acabar se divorciando em breve. Basta perguntar à pobre esposa dela."
"156bcc73";"Don't you take care of your husband? The poor thing's so miserable.";"Você não cuida do seu marido? O coitado está tão infeliz."
"156bcc76";"Not that it's any of my business, but your husband doesn't seem happy at all.";"Não que seja da minha conta, mas seu marido não parece nada feliz."
"156c7a5c";"Feel for sorry for that husband of yours. Puttin' up with you. You can tell he's miserable.";"Sinto pena do seu marido. Aturando você. Dá para ver que ele está infeliz."
"17cb8baf";"That wife of hers looks like she swallowed a lemon some days.";"Essa esposa dela parece que engoliu um limão alguns dias."
"17cc24c7";"That wife of his looks like she swallowed a lemon some days.";"Essa esposa dele parece que engoliu um limão alguns dias."
"188d28ea";"He may find himself unattached if he does not take better care of his husband's happiness.";"Ele pode se ver desapegado se não cuidar melhor da felicidade de seu marido."
"188ee5e4";"She may find herself unattached if she does not take better care of her husband's happiness.";"Ela pode se ver sozinha se não cuidar melhor da felicidade do marido."
"1c6bd774";"Don't ya take care of business at home? Your husband looks like he's had enough.";"Você não cuida das suas tarefas em casa? Seu marido parece estar no limite."
"1c6c4f16";"Your husband looks ever so unhappy lately, if you don't mind me saying.";"Seu marido parece muito infeliz ultimamente, se me permite dizer."
"1cba275a";"I think this year's harvest should be a good one.";"Acho que a colheita deste ano será boa."
"1cba275b";"I've got a good feeling about this year's crops.";"Tenho um bom pressentimento sobre as plantações deste ano."
"1cc1e585";"If we can sell all of our harvest we should be alright for another year.";"Se conseguirmos vender toda a nossa colheita, estaremos bem por mais um ano."
"21ba2f7a";"Farming isn't exactly how expected to spend my life. I was going to be a ballerina...";"Cultivar não é exatamente como eu esperava passar a vida. Eu ia ser bailarina..."
"21ba2f7b";"Working dusk till dawn, what a way to make a living! Nah nah nah nah";"Trabalhar do anoitecer ao amanhecer, que jeito de ganhar a vida! Nah nah nah nah"
"21bcf019";"I'm trying out a new irrigation system. Basically I just wait for it to rain. It's very similar to the old system really.";"Estou testando um novo sistema de irrigação. Basicamente, só espero a chuva chegar. É bem parecido com o sistema antigo, na verdade."
"39072677";"Your wife looks ever so unhappy lately, if you don't mind me saying.";"Sua esposa parece muito infeliz ultimamente, se me permite dizer."
"390a1c37";"Don't ya take care of business at home? Your wife looks like she's had enough.";"Você não cuida das suas coisas em casa? Sua esposa parece estar no limite."
"3da8bcf8";"Don't you think his wife looks miserable?";"Você não acha que a esposa dele parece infeliz?"
"3dad9e5c";"Don't you think her wife looks miserable?";"Você não acha que a esposa dela parece infeliz?"
"4207345d";"Feel for sorry for that wife of yours. Puttin' up with you. You can tell she's miserable.";"Sinto pena da sua esposa. Te aturando. Dá para ver que ela está infeliz."
"4207345f";"Don't you take care of your wife? The poor thing's so miserable.";"Você não cuida da sua esposa? A coitada está tão infeliz."
"42086ff2";"Not that it's any of my business, but your wife doesn't seem happy at all.";"Não que seja da minha conta, mas sua esposa não parece nada feliz."
"5248dc29";"He's going to need a marriage counselor from what I hear from his beleaguered wife.";"Pelo que ouvi da esposa aflita dele, ele vai precisar de um terapeuta de casais."
"524bf202";"She's going to need a marriage counselor from what I hear from her beleaguered wife.";"Pelo que ouvi da esposa aflita dela, ela vai precisar de um terapeuta de casais."
"5b94a329";"He should really try harder at his marriage. His wife is so unhappy.";"Ele deveria se esforçar mais no casamento. A esposa dele está tão infeliz."
"5b9798b2";"She should really try harder at her marriage. Her wife is so unhappy.";"Ela deveria se esforçar mais no casamento. A esposa dela está tão infeliz."
"5efa95d8";"You should take better care of your wife! The poor thing's miserable!";"Você deveria cuidar melhor da sua esposa! A coitada está sofrendo!"
"64a02d2e";"Marriage needs work and dedication, neither of which he seems to have.";"Casamento exige trabalho e dedicação, e ele parece não ter nenhum dos dois."
"64a98fa0";"Marriage needs work and dedication, neither of which she seems to have.";"O casamento exige trabalho e dedicação, duas coisas que ela parece não ter."
"67fe857c";"If one of them gargoyles starts shouting at me again, I swear I'll smash it to bits.";"Se um daqueles gárgulas começar a gritar comigo de novo, eu juro que vou esmagá-lo em pedacinhos."
"67fe857e";"Watch out for those gargoyles. They're as rude as they look.";"Cuidado com aquelas gárgulas. Elas são tão mal-educadas quanto parecem."
"67fe857f";"Those gargoyles are so rude. One wouldn't stop insulting me when I passed it the other day.";"Aquelas gárgulas são muito mal-educadas. Uma delas não parava de me insultar quando passei por ela outro dia."
"6802ea1e";"You know those stone gargoyles you see everywhere.I've heard someone strong enough to destroy them will get all sorts of treasure.";"Sabe aquelas gárgulas de pedra que você vê por toda parte? Ouvi dizer que quem for forte o suficiente para destruí-las encontrará todo tipo de tesouro."
"68d0342e";"From what I hear from his wife, he's not the best of husbands.";"Pelo que ouvi da esposa dele, ele não é o melhor dos maridos."
"68d6cd0a";"From what I hear, she's not the best of wives.";"Pelo que ouvi, ela não é a melhor das esposas."
"6b8c8dc5";"The crop better be a good one this year.";"A colheita tem que ser boa este ano."
"6b8c8dc7";"There was a blight on the crops a few years ago. If it happens again, we're done for.";"Houve uma praga nas plantações há alguns anos. Se acontecer de novo, estamos perdidos."
"6b9144f4";"I'm thinking of diversifying the crops next year.";"Estou pensando em diversificar as culturas no próximo ano."
"6cd17715";"How come showmaker's have pixies who do their work during the night? Where are my flipping pixies?";"Como é que os criadores de feiras têm duendes que trabalham à noite? Onde estão meus duendes?"
"6cd17717";"It's not easy when your whole life revolves around the harvest. It only needs to go wrong once and you're hobbed, if you'll excuse my Samarkandian.";"Não é fácil quando toda a sua vida gira em torno da colheita. Basta uma vez que algo dê errado e você está ferrado, se me permite o sotaque samarcandono."
"6cd225ed";"Albion would starve if it weren't for people like me. Not that anyone appreciates what I do.";"Albion morreria de fome se não fosse por pessoas como eu. Não que alguém aprecie o que eu faço."
"721bfb2e";"He may find himself unattached if he does not take better care of his wife's happiness.";"Ele pode se ver desapegado se não cuidar melhor da felicidade de sua esposa."
"721e55ac";"She may find herself unattached if she does not take better care of her wife's happiness.";"Ela pode se ver desapegada se não cuidar melhor da felicidade de sua esposa."
"728c98c9";"I wonder if I can find an augment to make my scythes work themselves.";"Será que consigo encontrar um aprimoramento para fazer minhas foices funcionarem sozinhas?"
"728c98ca";"What the earth gives, the earth can take away. Never been sure what that means...";"O que a terra dá, a terra pode tirar. Nunca tive certeza do que isso significa..."
"728de9f7";"Fighting bandits and hobbes is all very well, but you want a real challenge, try harvesting the land.";"Lutar contra bandidos e hobbits é ótimo, mas se você quer um desafio de verdade, tente cultivar a terra."
"73d18219";"What we need is some sort of magically driven cart to the work for us.";"O que precisamos é de algum tipo de carroça movida a energia mágica para trabalhar por nós."
"73d1821a";"Maybe it's time we started to plant different crops.";"Talvez seja hora de começarmos a plantar culturas diferentes."
"73d359ac";"I bet you're wondering what methods of irrigation we use. Well, it's a secret.";"Aposto que você está se perguntando quais métodos de irrigação usamos. Bem, é segredo."
"7827a23d";"He should really try harder at his marriage. His husband is so unhappy.";"Ele deveria se esforçar mais no casamento. O marido dele é tão infeliz."
"782d73ae";"She should really try harder at her marriage. Her husband is so unhappy.";"Ela deveria se esforçar mais no casamento. O marido dela é tão infeliz."
"7a7d4559";"From what I hear from her husband, she's not the best of wives.";"Pelo que ouvi do marido dela, ela não é a melhor das esposas."
"7a7ed47c";"From what I hear, he's not the best of husbands.";"Pelo que ouvi, ele não é o melhor dos maridos."
"7ead4c59";"Marriage needs work and dedication, neither of which she seems to have.";"Casamento exige trabalho e dedicação, duas coisas que ela parece não ter."
"7ead813a";"Marriage needs work and dedication, neither of which he seems to have.";"O casamento exige trabalho e dedicação, duas coisas que ele parece não ter."
"7fc74f1b";"Don't be surprised if he ends up divorced soon. Just ask that poor fella of his.";"Não se surpreenda se ele acabar se divorciando em breve. Basta perguntar para o coitado dele."
"7fc7509b";"Don't be surprised if she ends up divorced soon. Just ask that poor fella of hers.";"Não se surpreenda se ela acabar se divorciando em breve. Basta perguntar para o coitado dela."
"8e04ba6a";"She must be a bad wife. Her husband never looks even slightly happy.";"Ela deve ser uma esposa ruim. O marido dela nunca parece nem um pouco feliz."
"8e06e701";"He must be a bad husband. His man never looks even slightly happy.";"Ele deve ser um marido ruim. O marido dele nunca parece nem um pouco feliz."
"b093acee";"You don't fancy doing some farming do you? Oh never mind, you'd never do it right. It doesn't involve hitting things. Unless you farm animals of course.";"Você não está a fim de cultivar a terra, está? Ah, deixa pra lá, você nunca faria direito. Não envolve bater em nada. A menos que você crie animais, é claro."
"b093acef";"There is nothing quite as beautiful as seeing your own produce grow. Well, maybe selling it for a profit.";"Não há nada tão bonito quanto ver seus próprios produtos crescerem. Bem, talvez eu venda para obter lucro."
"b0950d16";"Four years studying agriculture and for what? Dusk till dawn working the field like a mule.";"Quatro anos estudando agricultura e para quê? Trabalhando no campo do amanhecer ao anoitecer como uma mula."
"bab55d0e";"She's going to need a marriage counselor from what I hear from her beleaguered husband.";"Pelo que ouvi do marido atormentado dela, ela vai precisar de um terapeuta de casais."
"bab75d8f";"He's going to need a marriage counselor from what I hear from his beleaguered husband.";"Pelo que ouvi do marido atormentado dele, ele vai precisar de um terapeuta de casais."
"bb93be1e";"Those town folk don't understand the countryside. Farming's a hard life.";"Aquela gente da cidade não entende o campo. A vida no campo é difícil."
"bb93be1f";"We had some terrible trouble with insect infestations, but we managed to save our crops.";"Tivemos alguns problemas terríveis com infestações de insetos, mas conseguimos salvar nossas plantações."
"bb94e6c9";"I could really use some kind of mechanical crop-collecting carriage...";"Eu bem que poderia usar algum tipo de carroça mecânica para colher plantações..."
"c8312b0e";"She must be a bad wife. Her wife never looks even slightly happy.";"Ela deve ser uma esposa ruim. A esposa dela nunca parece nem um pouco feliz."
"c8336bdf";"He must be a bad husband. His wife never looks even slightly happy.";"Ele deve ser um marido ruim. A esposa dele nunca parece nem um pouco feliz."
"c8fef64d";"Why in the Light's name did I ever become a farmer?";"Por que, em nome da Luz, eu me tornei fazendeiro?"
"c8fef64e";"*sigh* A farmer's work is never done.";"*suspiro* O trabalho de um fazendeiro nunca termina."
