Hash;Original;Tradução
"0bed7b2";"The text cries out for more ears to absorb its graceful cadences, to explore its delicate mysteries.";"O texto clama por mais ouvidos para absorver suas cadências graciosas, para explorar seus delicados mistérios."
"1a18357";"My only wish is to fare thee well, my good friends. Aaarghhhh!";"Meu único desejo é que vocês descansem em paz, meus bons amigos. Aaarghhhh!"
"1bde541";"But surely this is some mistake. Where are the masses? Where the captivated rabble?";"Mas certamente isso é um engano. Onde estão as massas? Onde está a ralé cativa?"
"3c25489";"Is this penury of spectators all that thou could rouse? Disappointment doth overwhelm my spirits.";"É só essa penúria de espectadores que você conseguiu despertar? A decepção me consome por completo."
"1e328651";"Well, not me!";"Bem, eu não!"
"1f2dc039";"Oh, I know all about you. Think Demon Doors are your little toys to open as you please.";"Ah, eu sei tudo sobre você. Acha que as Portas Demoníacas são seus brinquedinhos para abrir quando quiser."
"202d8be6";"And just where do you think you're going?";"E onde você pensa que vai?"
"242dde9d";"So run along and find another sentient piece of rock to bother.";"Então corra e encontre outro pedaço de pedra senciente para incomodar."
"253ab850";"I'm the greatest, grandest and oldest of all Doors, and I open to no one.";"Eu sou a maior, a mais grandiosa e a mais antiga de todas as Portas, e não me abro para ninguém."
"2b6f9af8";"I thought that went very well, actually.";"Achei que foi muito bem, na verdade."
"300fd938";"Call that posh trousers?";"Isso é calça chique?"
"31108922";"You really do need posh trousers, you know.";"Você realmente precisa de calças chiques, sabia?"
"331009a0";"How any one expects to bear cheese without posh trousers is beyond me.";"Como alguém consegue comer queijo sem calças elegantes é algo que me escapa."
"41baf31b";"First Entry
I put fresh flowers by Mother's grave this morning. I was crouched by her side, sifting the earth through my fingers, when I thought I heard my name being called. But the sound was  the whine of the old gate at the end of the garden creaking open. It has been padlocked for as long as I can remember. Whenever I asked Mother about it she would say it was no place for boys to go wandering. I felt a chill as I walked down the slope to the heavy door at the bottom, half expecting the gates to close behind me.
I can't adequately describe the sensation of passing through that bizarrely carved doorframe. It was as if I were stepping into another world, another dimension. I saw them almost at once, through an opening in the rocks, standing there watching me, waiting for me. The Knights. It was the Knights.
Second Entry
Have they been there all this time, waiting for the day I would find them? They are my army. My friends. My family. I am spending longer and longer in the cave, speaking to them. Listening to them.
Third Entry
I will never be lonely again. The Knights Aberrant watch over me. They will never leave. Never ever ever leave.
Fourth Entry
They watch me. They watch over me. They watch me. They watch over me. They watch me. They watch me. They watch me.";"Primeira Entrada
Coloquei flores frescas junto ao túmulo da minha mãe esta manhã. Estava agachado ao seu lado, peneirando a terra entre os dedos, quando pensei ter ouvido meu nome ser chamado. Mas o som era o rangido do velho portão no final do jardim se abrindo. Ele está trancado com cadeado desde que me lembro. Sempre que eu perguntava à minha mãe sobre isso, ela dizia que não era lugar para meninos vagarem. Senti um arrepio ao descer a ladeira até a pesada porta lá embaixo, quase esperando que os portões se fechassem atrás de mim.
Não consigo descrever adequadamente a sensação de passar por aquela porta com entalhes bizarros. Era como se eu estivesse entrando em outro mundo, outra dimensão. Eu os vi quase imediatamente, através de uma abertura nas rochas, parados ali me observando, esperando por mim. Os Cavaleiros. Eram os Cavaleiros.
Segunda Entrada
Será que eles estiveram lá todo esse tempo, esperando o dia em que eu os encontraria? Eles são meu exército. Meus amigos. Minha família. Estou passando cada vez mais tempo na caverna, conversando com eles. Ouvindo-os.
Terceira Entrada
Nunca mais me sentirei sozinho. Os Cavaleiros Aberrantes me protegem. Eles nunca irão embora. Nunca, jamais, jamais irão embora.
Quarta Entrada
Eles me observam. Eles me protegem. Eles me observam. Eles me protegem. Eles me observam. Eles me observam. Eles me observam."
"4b65f937";"Mutton chops need to adorn the sides of your face.";"Costeletas de carneiro precisam enfeitar as laterais do seu rosto."
"4c62c081";"If only you had mutton chops, things might be different.";"Se você tivesse costeletas de carneiro, as coisas poderiam ser diferentes."
"4d626a59";"Perhaps one day someone will come worthy of bearing cheese, and they'll have nice big mutton chops.";"Talvez um dia alguém apareça digno de portar o queijo, e que tenha belas costeletas de carneiro."
"53d4a424";"Terry Cotter's Diary";"Diário de Terry Cotter"
"5c47e733";"Where thousands once watched with bated breath, now stands little more than air. This shall not do.";"Onde milhares antes observavam com a respiração suspensa, agora resta pouco mais que o ar. Isso não pode acontecer."
"5e498349";"Are there no more appreciators of the theatre? Oh how woeful, how trying to live in these times.";"Não existem mais apreciadores do teatro? Oh, que pena, como é difícil viver nestes tempos."
"5f493278";"Oh! If Phillipth Morley could see how low the stock of the greatest art of all hath fallen!";"Oh! Se Phillipth Morley pudesse ver o quão baixo caiu o prestígio da maior arte de todas!"
"60496917";"I lack neither muse nor talent, but appreciation!";"Não me faltam musa nem talento, mas sim apreciação!"
"614faef8";"I moved whole generations to tears with a single sustained syllable. Now my following is reduced to this!";"Eu comovi gerações inteiras às lágrimas com uma única sílaba sustentada. Agora, meu séquito se resume a isso!"
