Hash;Original;Tradução
"0203079";"Ever seen such a beacon of depravity as him.";"Já viu um farol de depravação como ele?"
"022789e";"Ever seen such a beacon of depravity as her.";"Já viu um exemplo tão flagrante de depravação quanto ela?"
"a2fb497";"Is that really necessary? Toplessness is just wrong.";"Isso é mesmo necessário? Ficar sem blusa é simplesmente errado."
"a36be70";"I wish these people would wear ALL their clothes.";"Eu gostaria que essas pessoas usassem TODAS as suas roupas."
"c53bd9f";"He's as impure a man as I've ever come across.";"Ele é o homem mais impuro que já conheci."
"c567b60";"She's as impure a woman as I've ever come across.";"Ela é a mulher mais impura que já conheci."
"1085d781";"Not you again!";"Você de novo!"
"1085d783";"I'm getting sick of you.";"Estou farto(a) de você."
"1085d784";"I've had enough of you.";"Já chega!"
"1085d785";"Spare me your presence, please.";"Poupe-me da sua presença, por favor."
"1085d786";"I have no desire to converse with you.";"Não tenho nenhum desejo de conversar com você."
"1085d787";"I'm pig tired of the likes of you.";"Estou farto de gente como você."
"1089f2a0";"You're a pain in the backside!";"Você é um pé no saco!"
"112fbf95";"They should ban some from going round topless.";"Deveriam proibir algumas pessoas de andarem por aí de topless."
"11316308";"Some people just don't care what they show around.";"Algumas pessoas simplesmente não se importam com o que mostram por aí."
"14169e6f";"She contaminates the air around her.";"Ela contamina o ar ao seu redor."
"14177f2a";"He contaminates the air around him.";"Ele contamina o ar ao seu redor."
"14caefbe";"Is there any vice hhe won't have a go at?";"Existe algum vício que ele não experimentaria?"
"14cc200e";"Is there any vice she won't have a go at?";"Existe algum vício que ela não esteja disposta a experimentar?"
"1785e281";"You are a blemish on the landscape. Kindly remove yourself from my sight.";"Você é uma mancha na paisagem. Por favor, retire-se da minha vista."
"1785e282";"I would thank you not to waste my time!";"Agradeceria se não me fizesse perder tempo!"
"1785e283";"Bleedin' hobbes... You!";"Merda de hobbits... Você!"
"1785e284";"I was hopin' never to run into you again.";"Eu esperava nunca mais te encontrar."
"1785e285";"Stop bothering me!";"Pare de me incomodar!"
"1785e286";"Do me a favour and stay out of my way.";"Me faça um favor e fique fora do meu caminho."
"17869c9a";"You're like a bad headache that won't go away.";"Você é como uma dor de cabeça daquelas que não passa."
"17c219e7";"What a decadent individual.";"Que indivíduo decadente."
"17c37d5b";"There seems to be not one ounce of virtue in that one.";"Parece não haver um pingo de virtude nessa pessoa."
"2aa4a4e2";"I guess you don't really need pants!";"Acho que você realmente não precisa de calças!"
"2aa4a4e6";"Those are some nice legs!";"Que pernas bonitas!"
"2aa5bfbf";"Your lack of pants is the best thing I've seen all day.";"Sua falta de calças é a melhor coisa que vi hoje."
"3270a884";"Wonder if those pants feel as good as they look.";"Será que essas calças são tão confortáveis ​​quanto parecem?"
"32734539";"That's what I call a pair of trousers!";"Isso sim é uma calça de verdade!"
"33a4b2cd";"Bah, who needs trousers anyway.";"Bah, quem precisa de calças mesmo?"
"33a4b2cf";"Don't tell me. They chafed, didn't they? I know what that's like.";"Não me diga. Elas assaram, não é? Eu sei como é."
"33a6da2d";"If you've got the legs, you don't need the trousers!";"Se você tem pernas, não precisa de calças!"
"3770b0a6";"Don't you just love those trousers?";"Você não adora essas calças?"
"3771214a";"I wonder who tailored those trousers. They look great.";"Gostaria de saber quem fez essas calças. Elas ficaram ótimas."
"40135934";"You don't want to wear a top? Fine by me.";"Você não quer usar blusa? Por mim, tudo bem."
"40135936";"That's right, who needs a top?";"Isso mesmo, quem precisa de uma blusa?"
"40146b2a";"Nice torso!";"Que torso lindo!"
"4490610d";"Cover your legs up, for Hobbe's sakes.";"Cubra as pernas, pelo amor de Hobbe!"
"4490610e";"That's just indecent!";"Isso é indecente!"
"4490b10a";"Get some trousers on, will you.";"Vista uma calça, por favor."
"451360d5";"If you got it flaunt it, right?";"Se você tem, mostre, né?"
"451360d6";"Looking good!";"Arrasando!"
"4515312e";"You don't need a top to look great.";"Você não precisa de blusa para ficar bem."
"4941c398";"One thing you can't accuse him of is not living life to the full.";"Uma coisa da qual você não pode acusá-lo é de não viver a vida ao máximo."
"49475ece";"One thing you can't accuse her of is not living life to the full.";"Uma coisa da qual você não pode acusá-la é de não viver a vida ao máximo."
"4a374a7d";"You want some advice? Let someone else pick your pants.";"Quer um conselho? Deixe outra pessoa escolher suas calças."
"4a374a7e";"You put on those trousers by mistake?";"Você vestiu essas calças por engano?"
"4a3deb5e";"Take those trousers off! They're foul!";"Tire essas calças! Elas são imundas!"
"4ad01c2a";"Great tattoo!";"Tatuagem incrível!"
"4ad01c2c";"Wow, you're like a walking museum with that tattoo.";"Nossa, você é como um museu ambulante com essa tatuagem."
"4ad25081";"Hey, love your tatt.";"Ei, adorei sua tatuagem."
"4c3fa2dc";"She's a depraved one. You can tell.";"Ela é uma depravada. Dá para perceber."
"4c4c7357";"He's a depraved one. You can tell.";"Ele é um depravado. Dá para perceber."
"4d906f59";"Hey, there's a reason most of us still wear trousers!";"Ei, existe um motivo para a maioria de nós ainda usar calças!"
"4d906f5f";"You mind? I just ate. Don't really want to see your legs.";"Você se importa? Acabei de comer. Não quero ver suas pernas."
"4d97a94a";"Go buy yourself some pants, will ya.";"Compre uma calça, por favor."
"4fd023ca";"I'm not usually keen on tattoos, but I like yours.";"Normalmente não gosto muito de tatuagens, mas gostei da sua."
"4fd023cd";"What a great tattoo.";"Que tatuagem incrível!"
