Hash;Original;Tradução
"144d0f73";"Heh, did you ever think that we'd be married this long? Hoo hoo hoo!";"Heh, você imaginou que ficaríamos casados ​​por tanto tempo? Hoo hoo hoo!"
"144d0f74";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Ha ha!"
"144d0f75";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Ha ha!"
"144d0f77";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Ha ha!"
"1450feb8";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Haha!"
"1b4d1a79";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Haha!"
"1b4d1a7a";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Haha!"
"1b4d1a7e";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Haha!"
"1b4d1a7f";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Haha!"
"1b4fade8";"Did you ever think we'd be married this long? Ha ha!";"Você imaginou que ficaríamos casados ​​por tanto tempo? Haha!"
"2e7d0ce9";"We've got everything we need pretty much.";"Temos praticamente tudo o que precisamos."
"2e7d0cea";"You've done well taking care of us.";"Você cuidou muito bem de nós."
"2e7d0ceb";"I am accustomed to comfort and wealth, but I have no complaints.";"Estou acostumado ao conforto e à riqueza, mas não tenho do que reclamar."
"2e7d0ced";"We have everything we need right now, thanks to you, dear.";"Temos tudo o que precisamos agora, graças a você, querido(a)."
"2e7d0cee";"I have no complaints. We eat well and live well.";"Não tenho do que reclamar. Comemos bem e vivemos bem."
"2e7d0cef";"I can't complain. We don't go hungry, thanks to you.";"Não posso reclamar. Não passamos fome, graças a você."
"2e7deab7";"We're not kings, but we're not paupers either.";"Não somos reis, mas também não somos mendigos."
"397d1e19";"We're doing pretty well thanks to you.";"Estamos muito bem, graças a vocês."
"397d1e1a";"I've no complaints. You always provide what we need.";"Não tenho queixas. Vocês sempre nos fornecem o que precisamos."
"397d1e1b";"Well, we're not exactly rolling in gold, but things are pretty good right now.";"Bem, não estamos nadando em dinheiro, mas as coisas estão muito boas agora."
"397d1e1c";"Our lives are comfortable enough at the moment.";"Nossas vidas estão bastante confortáveis ​​no momento."
"397d1e1e";"Ahh, this is the life... We have everything we need to get by.";"Ah, que vida boa... Temos tudo o que precisamos para viver."
"397d1e1f";"No complaints from me. There's never food missing from the table.";"Não tenho do que reclamar. Nunca falta comida na mesa."
"3980c0e0";"We live pretty comfortably thanks to you, dear.";"Vivemos muito confortavelmente graças a você, querido(a)."
"475d5872";"We've only been married a short while. Do you think we'll grow old together?";"Estamos casados ​​há pouco tempo. Você acha que envelheceremos juntos?"
"475d5873";"We've only been married a short while. Do you think we'll grow old together?";"Estamos casados ​​há pouco tempo. Você acha que envelheceremos juntos?"
"475d5874";"What do you think we'll be like when we're old and have been married for years and years?";"Como você acha que seremos quando estivermos velhos e casados ​​há muitos e muitos anos?"
"475d5875";"I hope our marriage lasts longer than my parents'.";"Espero que nosso casamento dure mais que o dos meus pais."
"475d5876";"Let's see how this marriage business goes.";"Vamos ver como essa coisa de casamento vai ser."
"475d5877";"This is but the beginning of a wonderful adventure together. One know to everyone as... marriage!";"Este é apenas o começo de uma aventura maravilhosa juntos. Uma aventura conhecida por todos como... casamento!"
"4762df80";"I hope our marriage lasts many many years.";"Espero que nosso casamento dure muitos e muitos anos."
"4fc9ffc9";"We're married! Yer the best thing that ever happened to me, luv!";"Casamos! Você é a melhor coisa que já me aconteceu, meu amor!"
"4fc9ffca";"Marryin' you is a dream come true, baby.";"Casar com você é um sonho realizado, meu bem."
"4fc9ffcb";"And so begins our life as newlyweds. I couldn't be more jubilant.";"E assim começa nossa vida de recém-casados. Não poderia estar mais feliz."
"4fc9ffcd";"This is the start of a wonderful journey together, my sweet.";"Este é o começo de uma jornada maravilhosa juntos, meu doce."
"4fc9ffce";"I still can't believe we're married! It's a like a dream!";"Ainda não consigo acreditar que estamos casados! É como um sonho!"
"4fc9ffcf";"We're married! We're married! Isn't it great?!";"Estamos casados! Estamos casados! Não é maravilhoso?!"
"4fcaa70a";"I just know we're going to be so happy together!";"Eu sei que seremos muito felizes juntos!"
"525d69a2";"I hope our marriage lasts longer than my parents'.";"Espero que nosso casamento dure mais que o dos meus pais."
"525d69a3";"What do you think we'll be like when we're old and have been married for years and years?";"Como você acha que seremos quando estivermos velhos e casados ​​há muitos e muitos anos?"
"525d69a4";"We've only been married a short while. Do you think we'll grow old together?";"Estamos casados ​​há pouco tempo. Você acha que envelheceremos juntos?"
"525d69a5";"Let's see how this marriage business goes.";"Vamos ver como essa coisa de casamento vai ser."
"525d69a6";"We've only been married a short while. Do you think we'll grow old together?";"Faz pouco tempo que estamos casados. Você acha que envelheceremos juntos?"
"525d69a7";"We've only been married a short while. Do you think we'll grow old together?";"Faz pouco tempo que estamos casados. Você acha que envelheceremos juntos?"
"526078de";"This is but the beginning of a wonderful adventure together. One know to everyone as... marriage!";"Este é apenas o começo de uma aventura maravilhosa juntos. Uma aventura conhecida por todos como... casamento!"
"5aca1179";"Marryin' you is a dream come true, baby.";"Casar com você é um sonho realizado, meu bem."
"5aca117a";"We're married! You're the best thing that ever happened to me, luv!";"Estamos casados! Você é a melhor coisa que já me aconteceu, meu amor!"
"5aca117b";"This is the start of a wonderful journey together, my sweet.";"Este é o início de uma jornada maravilhosa juntos, meu amor."
"5aca117c";"And so begins our life as newlyweds. I couldn't be more jubilant.";"E assim começa nossa vida como recém-casados. Não poderia estar mais feliz."
"5aca117e";"I still can't believe we're married! It's a like a dream!";"Ainda não consigo acreditar que estamos casados! Parece um sonho!"
"5aca117f";"I just know we're going to be so happy together!";"Eu sei que seremos muito felizes juntos!"
"5acbafa9";"We're married! We're married! Isn't it great?!";"Estamos casados! Estamos casados! Não é maravilhoso?!"
"5e2d1e02";"I can't complain about our money situation.";"Não posso reclamar da nossa situação financeira."
"5e2d1e03";"I'd have to say, we're doing pretty well these days.";"Eu diria que estamos indo muito bem ultimamente."
"5e2d1e04";"I'm pretty happy with our finances.";"Estou bastante satisfeito com nossas finanças."
"5e2d1e05";"I'd have to say, we're doing pretty well these days.";"Eu diria que estamos indo muito bem ultimamente."
"5e2d6018";"We're doing good at the moment.";"Estamos bem no momento."
"692d2fb2";"I'd have to say, we're doing pretty well these days.";"Devo dizer que estamos indo muito bem ultimamente."
"692d2fb3";"I'd have to say, we're doing pretty well these days.";"Devo dizer que estamos indo muito bem ultimamente."
"692d2fb4";"I'd have to say, we're doing pretty well these days.";"Devo dizer que estamos indo muito bem ultimamente."
"692d2fb5";"Got no complaints at all about the money we've got to live on.";"Não tenho nenhuma reclamação sobre o dinheiro que temos para viver."
"692d89b1";"We're doing good at the moment.";"Estamos bem no momento."
"776cd8a2";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"776cd8a3";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"776cd8a4";"Can you believe how many years we've been married? Maybe we'll make it to old age together.";"Você acredita em quantos anos já estamos casados? Talvez cheguemos à velhice juntos."
"776cd8a5";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"776cd8a6";"Our marriage is still going strong. Who would have though it? Ha ha.";"Nosso casamento continua firme e forte. Quem diria? Haha."
"776cd8a7";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"776f560d";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"80cfa135";"I can't believe we've been married this long";"Não acredito que já estamos casados ​​há tanto tempo"
"826ce9d2";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"826ce9d3";"Our marriage is still going strong. Who would have though it? Ha ha.";"Nosso casamento continua firme e forte. Quem diria? Haha."
"826ce9d4";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"826ce9d5";"Strange to think we've been married so many years. Time passes so quickly, doesn't it?";"É estranho pensar que já estamos casados ​​há tantos anos. O tempo passa tão rápido, não é?"
"826ce9d6";"Wow, we've been married quite a few years haven't we.";"Nossa, já faz um tempinho que estamos casados, não é?"
