Hash;Original;Tradução
"198c574";"Those bandits in Brightwood finally killed that farmer I hear.";"Ouvi dizer que aqueles bandidos em Brightwood finalmente mataram aquele fazendeiro."
"198c577";"Such a shame about Farmer Giles.";"Que pena o que aconteceu com o fazendeiro Giles."
"19b0400";"So the bandits finally got Farmer Giles. At least now we can rest in peace.";"Então os bandidos finalmente pegaram o Fazendeiro Giles. Pelo menos agora podemos descansar em paz."
"34942b2";"Until that bridge is fixed, we just can't do any trading with Bowerstone.";"Até que aquela ponte seja consertada, não podemos fazer nenhum comércio com Bowerstone."
"34942b4";"Once Rookridge is safe, we can all visit Bowerstone!";"Assim que Rookridge estiver seguro, todos poderemos visitar Bowerstone!"
"34aa928";"We're gonna end up starved unless we can start trading with Bowerstone again.";"Vamos acabar passando fome se não pudermos voltar a negociar com Bowerstone."
"4db1110";"Granny Miggins worries about that kid too much. I'm sure he's alright.";"Vovó Miggins se preocupa demais com aquele garoto. Tenho certeza de que ele está bem."
"698cd17";"Bah, you ask me that farmer was askin' for it.";"Bah, você me pergunta que aquele fazendeiro estava pedindo por isso."
"6995325";"Poor farmer Giles. First is wife's killed by bandits, now him.";"Pobre fazendeiro Giles. Primeiro sua esposa foi morta por bandidos, agora ele."
"7e4be33";"Ripper's dead is he? Good riddance!";"O Estripador morreu, não é? Que bom!"
"7e5cc53";"Farmer Giles must be so relieved now Ripper's dead.";"O fazendeiro Giles deve estar muito aliviado agora que o Estripador morreu."
"8dfdafa";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Você ganhou pelo menos alguma fruta de graça?"
"8dfdafc";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Você ganhou pelo menos alguma fruta de graça?"
"8dfdafd";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Você ganhou pelo menos alguma fruta de graça?"
"8e2e877";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Pelo menos você ganhou alguma fruta de graça?"
"9d6c5db";"They say that cave near the lake is very dangerous.";"Dizem que aquela caverna perto do lago é muito perigosa."
"9d980f6";"Wasn't Charlie swimming in the lake when he disappeared?";"O Charlie não estava nadando no lago quando desapareceu?"
"11dfe8cc";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Você ganhou pelo menos alguma fruta de graça?"
"11dfe8cf";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Você ganhou pelo menos alguma fruta de graça?"
"11e292d9";"It was ever so nice of you to help that farmer. Did you get any free fruit at least?";"Foi muito gentil da sua parte ajudar aquele fazendeiro. Você ganhou pelo menos alguma fruta de graça?"
"1ef982c3";"I heard something awful happened to the farmer in Brightwood. You wouldn't know anything about it, would you, dear?";"Ouvi dizer que algo terrível aconteceu com o fazendeiro em Brightwood. Você não saberia de nada, não é, querida?"
