Hash;Original;Tradução
"5d6b9ae";"Bloodstone Fruit & Veg Stall";"Barraca de Frutas e Vegetais de Bloodstone"
"60ed302";"Gypsies have elevated tattooing to an art form. There are few better places to decorate one's body.";"Os ciganos elevaram a tatuagem a uma forma de arte. Existem poucos lugares melhores para enfeitar o próprio corpo."
"ac8bc02";"This house is charming in its way. And charming is rare in Bloodstone.";"Esta casa é encantadora à sua maneira. E charme é raro em Bloodstone."
"bfa2d25";"This caravan could benefit from some new shock absorbers, and maybe a spoiler.";"Esta caravana se beneficiaria com novos amortecedores e talvez um spoiler."
"c00e94a";"Purveyor of generic items for hundreds of years.";"Fornecedor de itens genéricos há centenas de anos."
"c7addf6";"10b Bloodstone Hill, Bloodstone";"Colina de Bloodstone, 10b, Bloodstone"
"defa2ef";"Potion In Motion";"Poção em Movimento"
"1057fbe9";"Bower Lake Hero Hill";"Colina do Herói do Lago Bower"
"11aa1c21";"Everybody in Bloodstone knows about T.O.B.Y., though it has only been recently established.";"Todos em Bloodstone sabem sobre T.O.B.Y., embora tenha sido estabelecido recentemente."
"14ad1c9b";"1 Bowerstone Entrance, Bowerstone Market";"Entrada 1 de Bowerstone, Mercado de Bowerstone"
"15c19026";"Needles of Death";"Agulhas da Morte"
"182006f2";"Up In Arms";"Em pé de guerra"
"1b5b4311";"4 Middle Street, Bowerstone";"Rua Middle, 4, Bowerstone"
"1f6c7f00";"5, Gypsy Camp, Bower Lake";"5, Acampamento Cigano, Lago Bower"
"236f409c";"Reaver's climb through the ranks of the Bloodstone underworld was nothing short of amazing. It culminated with his killing of the crimelord who lived in this mansion.";"A ascensão de Reaver nas fileiras do submundo de Bloodstone foi simplesmente incrível. Culminou com o assassinato do chefão do crime que morava nesta mansão."
"252c7498";"Bowerstone Clock Tower";"Torre do Relógio de Bowerstone"
"27a302a8";"Brightwood Bridge";"Ponte Brightwood"
"28c13761";"Gypsy Caravan";"Caravana Cigana"
"2d1abac2";"The Ogre's Palace";"O Palácio do Ogro"
"31075fa3";"2 Bloodstone Front, Bloodstone";"Cais de Bloodstone, 2, Bloodstone"
"31211696";"7 Bloodstone Hill, Bloodstone";"Colina de Bloodstone, 7, Bloodstone"
"318cf6fb";"Bowerstone Market";"Mercado de Bowerstone"
"3304ff26";"Gypsy Trader";"Comerciante Cigano"
"385044c0";"The home of the notorious Thag the Impatient, a bandit who has long terrorised the residents of Bower Lake. It is said his mummy never loved him.";"Lar do notório Thag, o Impaciente, um bandido que há tempos aterroriza os moradores de Bower Lake. Dizem que sua mãe nunca o amou."
"3b0b32fd";"Blood from a Stone";"Sangue de Pedra"
"3c443b28";"All kinds of weapons are forged and sold here.";"Todos os tipos de armas são forjados e vendidos aqui."
"3e5254fa";"Items gathered from all over Albion can be found here.";"Itens coletados de toda Albion podem ser encontrados aqui."
"3efb3832";"The Needle House";"A Casa da Agulha"
"405d404f";"Bowerstone City Walls";"Muralhas da Cidade de Bowerstone"
"408541f6";"Judging by the smell, the owner of this caravan eats a lot of fried fish.";"A julgar pelo cheiro, o dono desta caravana come muito peixe frito."
"4171e6d6";"3 Bloodstone Hill, Bloodstone";"Colina de Bloodstone, 3, Bloodstone"
"41e6fb21";"Bowerstone Cemetery";"Cemitério Bowerstone"
"481405ae";"Bower Lake Stone Bridge";"Ponte de Pedra do Lago Bower"
"4d028971";"She may not look like much, but she's got it where it counts, kid.";"Ela pode não parecer grande coisa, mas tem o que é preciso, garoto."
"4d71a397";"2b Bloodstone Front, Bloodstone";"Bloodstone, Frente, 2b, Bloodstone"
"4d84d032";"2 Bowerstone Entrance, Bowerstone Market";"Entrada 2 de Bowerstone, Mercado de Bowerstone"
"4db08422";"A delightful caravan that has travelled far across Albion.";"Uma caravana encantadora que viajou por toda Albion."
"4f4addf9";"9, Gypsy Camp, Bower Lake";"9, Acampamento Cigano, Lago Bower"
"509f8450";"World of Chairs";"Mundo das Cadeiras"
"51345f72";"The Boudoir";"O Boudoir"
"553d36b1";"Bloodstone Mansion";"Mansão Bloodstone"
"5666aad5";"2 Middle Street, Bowerstone";"Rua Middle, 2, Bowerstone"
"579d6a06";"Brightwood";"Brightwood"
"57c72c71";"Brightwood Farm";"Fazenda Brightwood"
