Hash;Original;Tradução
"d0b93fb";"Call yourself famous? What an idiot.";"Se acha famoso? Que idiota."
"d0b93fc";"Don't let your head get too big, you hobbe dropping.";"Não deixe sua cabeça subir demais, seu hobbe dropador."
"d0b93fd";"You're the worst renowned adventurer ever.";"Você é o pior aventureiro renomado de todos os tempos."
"d0b93fe";"Famous? You're just a middling adventurer for now. And a rubbish one as far as I'm concerned.";"Famoso? Você é apenas um aventureiro mediano por enquanto. E um péssimo, na minha opinião."
"d0dbb51";"Ugh. Not even that famous.";"Ugh. Nem tão famoso assim."
"160ba1c9";"You might have started wowing people, but you don't impress me.";"Você pode até ter começado a impressionar as pessoas, mas não me impressiona."
"160ba1cb";"Stick a sock in it, you non-celebrity.";"Cala a boca, seu não-celebridade."
"160ba1ce";"Making a name for yourself? Shame it's such a bad one.";"Tentando se promover? Que pena que seja de forma tão ruim."
"160ba1cf";"A bit of success and you're already so full of yourself. Well, you can bugger off.";"Um pouco de sucesso e você já está se achando demais. Bem, pode ir se ferrar."
"160cd654";"You don't impress me, you half-baked adventurer.";"Você não me impressiona, seu aventureiro meia-boca."
"2797b92d";"Why'd you have to be such a bad dog??";"Por que você tinha que ser um cachorro tão mau?"
"2d3c4193";"You're a real looker, for a dog.";"Você é um verdadeiro galã para um cachorro."
"2d3c4194";"Smartest looking dog there ever was.";"O cachorro mais elegante que já existiu."
"2d3c4195";"I could just eat you up, you lovely dog!";"Eu poderia te devorar, seu lindo cachorro!"
"2d3c4197";"What a sweet little thing you are.";"Que coisinha mais fofa você é."
"2d3d3ed8";"You're the cutest dog I've ever seen.";"Você é o cachorro mais fofo que eu já vi."
"2e93aa33";"Pfff! Stupid mutt!";"Pfff! Vira-lata idiota!"
"343c4c99";"There's plenty of ugly animals, but you're not one of them.";"Existem muitos animais feios, mas você não é um deles."
"343c4c9a";"Well, aren't you just the cutest dog?";"Bem, você não é o cachorro mais fofo?"
"343c4c9e";"You're a pleasant-looking mutt, you know.";"Você é um vira-lata de aparência agradável, sabia?"
"343c4c9f";"You're a charming chap, ain't ya?";"Você é um rapaz encantador, não é?"
"343ce4ba";"What a handsome fella you are.";"Que rapaz bonito você é."
"3fb69dcc";"Bah! Even if you were super famouser than you are, you'd still be a poop-head.";"Bah! Mesmo se você fosse muito mais famoso do que é, ainda seria um idiota."
"44b57330";"Just because you're a bit famous doesn't mean I want to talk to you.";"Só porque você é um pouco famoso(a) não significa que eu queira falar com você."
"4644859c";"You're the worst dog in the world!";"Você é o pior cachorro do mundo!"
"51442068";"Go away doggy. I don't like you!";"Vai embora, cachorrinho. Eu não gosto de você!"
"6529031a";"Ya call yerself famous? The corns on my toes are better thought of than you!";"Você se acha famoso? Meus calos nos dedos dos pés são mais bem vistos do que você!"
"6529031b";"You may be knocking on the door of fame, but one can only hope that it will become unhinged and flatten you dead.";"Você pode estar batendo na porta da fama, mas só podemos esperar que ela se abra e te esmague."
"6529031d";"I certainly hope you will not gain any more renown. I have had quite enough of you already.";"Espero sinceramente que você não ganhe mais renome. Já chega de você."
"6529031e";"People might be talking about you, but they're only saying bad things.";"As pessoas podem estar falando de você, mas só estão dizendo coisas ruins."
"65297e59";"Your renown can grow all it likes, won't make any difference. Still can't stand you.";"Sua fama pode crescer o quanto quiser, não fará diferença. Ainda não te suporto."
"70291449";"You're not half letting that fame get to your head. Loser.";"Você está deixando a fama subir à cabeça. Perdedor."
"7029144a";"You're not even close to the fame of them dead Heroes of the past. I hope you get to the dead part soon though.";"Você não chega nem perto da fama daqueles heróis mortos do passado. Espero que você chegue logo à parte dos mortos."
"7029144b";"Your presence may excite certain sections of the populace, but here you are scum.";"Sua presença pode até animar alguns setores da população, mas aqui está você, escória."
"7029144e";"You may have attained a certain degree of renown, but you are still an idiot.";"Você pode ter alcançado um certo grau de renome, mas ainda é um idiota."
"7029144f";"I'm glad you're starting to get well known, that way more people can hate you.";"Que bom que você está começando a ficar conhecido, assim mais pessoas podem te odiar."
"7029cab0";"You think I care that people are talking about you. I'd rather speak to a beggar.";"Você acha que eu me importo que as pessoas estejam falando de você? Eu preferiria falar com um mendigo."
"74ae5ab1";"No amount of your as yet minuscule fame can disguise your pettiness.";"Nem mesmo sua minúscula fama consegue disfarçar sua mesquinhez."
"74ae5ab2";"I suppose we can add arrogance to your list of qualities now you are attaining a modicum of renown.";"Suponho que agora podemos adicionar arrogância à sua lista de qualidades, já que você está conquistando um mínimo de renome."
"74ae5ab3";"Shame none of them bleeding quests we keep hearing about ended in your death.";"Que pena que nenhuma daquelas missões sangrentas de que tanto ouvimos falar tenha terminado com a sua morte."
"74ae5ab4";"Get a few adventures under yer belt and ya think yer the bee's hobbin knees. Pah!";"Acumula algumas aventuras e acha que é o máximo. Bah!"
"74ae5ab5";"I don't care if you're starting to get famous. I still hate you.";"Não me importa se você está começando a ficar famoso. Eu ainda te odeio."
"74ae5ab7";"It doesn't matter how many amazing quests you've been on, you'll always be a loser to me.";"Não importa quantas missões incríveis você tenha vivido, você sempre será um perdedor para mim."
"7842d80c";"You smarten up good for a dog!";"Você se comportou muito bem para um cachorro!"
"7bae65b9";"Just because I've heard of you doesn't mean I like you!";"Só porque já ouvi falar de você não significa que eu goste de você!"
"7bae65ba";"No one cares if you're getting famous or not!";"Ninguém se importa se você está ficando famoso ou não!"
"7bae65bc";"I suppose you think you're famous or something. Yeah right.";"Imagino que você se ache famoso ou algo assim. Aham."
"7bae65bd";"I despise you still, despite your spiteful rise to mediocre renown.";"Continuo te desprezando, apesar da sua ascensão medíocre à fama."
"7bae65be";"You may starting to become well known, but that does not make you any less intolerable.";"Você pode estar começando a ficar conhecido, mas isso não o torna menos insuportável."
"7bae65bf";"Why don't yer take yer partially-famous ego some place else.";"Por que você não leva esse seu ego parcialmente famoso para outro lugar?"
"7bb0ca49";"Bah! Bet you think yer better than us, just cause you've been a on a few quests...";"Bah! Aposto que você se acha melhor do que nós só porque participou de algumas missões..."
"7d470a0d";"Awww, what a gorgeous doggy!";"Que cachorrinho lindo!"
"7e885ce2";"When are they going to ban dogs from round here?";"Quando vão proibir cachorros por aqui?"
"7e885ce3";"Should be against the law to let filthy mutts loose.";"Deveria ser ilegal soltar vira-latas imundos."
"7e885ce4";"I can't stand that damn dog.";"Não suporto esse cachorro maldito."
"7e885ce5";"Sharpen yer knives, that bleedin' dog's here.";"Afiem suas facas, aquele cachorro maldito está aqui."
"7e885ce6";"I'd rather have a bunch of Hobbes runnin' about than that mutt.";"Eu preferiria um bando de Hobbes correndo por aí do que aquele vira-lata."
"7e885ce7";"The least they could do is to put that horrible animal on a leash.";"O mínimo que poderiam fazer é colocar aquele animal horrível na coleira."
"7e8ae41c";"If it was up to me all dogs would be put to sleep!";"Se dependesse de mim, todos os cachorros seriam sacrificados!"
"811a1011";"Nastiest cur in all of Albion, you are.";"Você é o cachorro mais nojento de toda Albion."
