Hash;Original;Tradução
"14d73bc";"This item is only found on Knothole Island.
The Brodicans were a race of warriors who roamed the world as conquerors and barbarians, but were mostly known for their politeness. Due to their generous measures, their tops were usually reinforced with steel.";"Este item só é encontrado na Ilha Knothole.
Os Brodicanos eram uma raça de guerreiros que vagavam pelo mundo como conquistadores e bárbaros, mas eram conhecidos principalmente por sua gentileza. Devido à sua generosidade, seus chapéus geralmente eram reforçados com aço."
"71dcf9f";"Knothole Knight Armour";"Armadura do Cavaleiro do Buraco da Nó"
"8257ef0";"Volume 9 of 10
With the island stuck in perpetual winter, and none of its inhabitants strong enough to survive the shrines, a local blacksmith set out to create an armour that would protect its wearer against all the trials and dangers one was likely to encounter. It was a magnificent suit, with just one small failing: it was far too heavy for the now weedy and rather useless members of the tribe. They tried to get round this problem by just wearing bits of it each, but even then gauntlets made hands too leaden to lift, boots made feet too sluggish to walk and the helmet made necks too broken to support living heads. Its many pieces were eventually lost in the shrines.";"Volume 9 de 10
Com a ilha presa em um inverno perpétuo e nenhum de seus habitantes forte o suficiente para sobreviver aos santuários, um ferreiro local decidiu criar uma armadura que protegesse seu usuário contra todas as provações e perigos que ele poderia encontrar. Era uma armadura magnífica, com apenas uma pequena falha:: era pesada demais para os membros agora franzinos e praticamente inúteis da tribo. Eles tentaram contornar esse problema usando apenas algumas peças, mas mesmo assim as manoplas deixavam as mãos pesadas demais para levantar, as botas deixavam os pés lentos demais para andar e o capacete quebrava o pescoço a ponto de não suportar mais uma cabeça. Suas muitas peças acabaram se perdendo nos santuários."
"de7f0d5";"This item is only found on Knothole Island.
Stride like a shadow, glide like a ghost, or at the least walk very, very quietly with these stealthy, murder-friendly boots.";"Este item só é encontrado na Ilha Knothole. 
Caminhe como uma sombra, deslize como um fantasma ou, no mínimo, ande muito, muito silenciosamente com estas botas furtivas e perfeitas para assassinatos."
"eaf372f";"Rebellious Costume";"Fantasia Rebelde"
"13b8f8ac";"Volume 7 of 10
Over the course of the next few centuries, the tribe lived peacefully, though it never grew beyond its first small village. It had minimal contact with the outside world, usually in the form of shipwrecks and passing pirates, barbarian hordes and the odd tourist cruise. It had little interest in the outside world but, more worryingly, it was starting to lose its fighting traditions. Every year, it became harder and harder to recover the totems from the shrines.";"Volume 7 de 10
Ao longo dos séculos seguintes, a tribo viveu pacificamente, embora nunca tenha crescido além de sua primeira pequena aldeia. Seu contato com o mundo exterior era mínimo, geralmente na forma de naufrágios e piratas de passagem, hordas bárbaras e algum cruzeiro turístico ocasional. Tinha pouco interesse no mundo exterior, mas, o que era mais preocupante, estava começando a perder suas tradições guerreiras. A cada ano, tornava-se mais difícil recuperar os totens dos santuários."
"176ff2ff";"Knothole Island, Vol VII";"Ilha Knothole, Vol. VII"
"18cc26ba";"This item is only found on Knothole Island.
The Brodicans were a race of warriors who roamed the world as conquerors and barbarians, but were mostly known for their politeness. They were nevertheless rather fierce in battle.";"Este item só é encontrado na Ilha Knothole.
Os Brodicanos eram uma raça de guerreiros que vagavam pelo mundo como conquistadores e bárbaros, mas eram conhecidos principalmente por sua polidez. Mesmo assim, eram bastante ferozes em batalha."
"202248a2";"Volume 8 of 10
The day the tribe had long feared eventually came: none of the so-called warriors sent into the shrines was able to retrieve the totems. "I told you we should have just kept them last year", "why did we put them back in the shrines?" and "we're stupid" were popular phrases round the village that week.";"Volume 8 de 10
O dia que a tribo tanto temia finalmente chegou: nenhum dos chamados guerreiros enviados aos santuários conseguiu recuperar os totens. "Eu te disse que deveríamos tê-los guardado no ano passado", "por que os colocamos de volta nos altares?" e "somos estúpidos" eram frases populares na vila naquela semana."
"231d7791";"Brodican Warrior Queen Top";"Topo da Rainha Guerreira Brodican"
"31318be9";"Knothole Knight Gauntlets";"Manoplas do Cavaleiro do Buraco da Nó"
"352fa3db";"This item is only found on Knothole Island.
Worshippers of The Chasm formed an evil sect who believed the world would one day be sucked into an abyss, where true believers like them would rule forever. Their horned helmets were designed to spread panic, and it was rumoured that they merely concealed their real horns.";"Este item só é encontrado na Ilha do Buraco da Nó.
 Os adoradores do Abismo formaram uma seita maligna que acreditava que o mundo um dia seria sugado para um abismo, onde os verdadeiros crentes como eles governariam para sempre. Seus capacetes com chifres foram projetados para espalhar pânico, e havia rumores de que eles apenas escondiam seus chifres verdadeiros."
"46ab1998";"This item is only found on Knothole Island.
When the warriors of Knothole Island first began to die out, the local blacksmith created a spectacular armour so anyone might enter the Weather Shrines. The helmet in particular proved far too heavy for the ordinary people of the village. More than one neck was broken through its use.";"Este item só é encontrado na Ilha do Buraco.
Quando os guerreiros da Ilha do Buraco começaram a morrer, o ferreiro local criou uma armadura espetacular para que qualquer um pudesse entrar nos Santuários do Clima. O capacete, em particular, provou ser pesado demais para as pessoas comuns da vila. Mais de um pescoço foi quebrado por causa de seu uso."
"46e628a6";"Brodican Warrior Queen Gloves";"Luvas da Rainha Guerreira Brodican"
"4dd068be";"This item is only found on Knothole Island.
When the warriors of Knothole Island first began to die out, the local blacksmith created a spectacular armour so anyone might enter the Weather Shrines. Of course, none of the villagers could lift an arm while wearing one of these gauntlets, much less go adventuring in them.";"Este item só é encontrado na Ilha do Buraco. 
 Quando os guerreiros da Ilha do Buraco começaram a morrer, o ferreiro local criou uma armadura espetacular para que qualquer um pudesse entrar nos Santuários do Clima. Claro, nenhum dos aldeões conseguia levantar um braço usando uma dessas manoplas, muito menos se aventurar com elas."
"539c476c";"This item is only found on Knothole Island.
When the warriors of Knothole Island first began to die out, the local blacksmith created a spectacular armour so anyone might enter the Weather Shrines. If only the people from the village had been able to walk while wearing these rather heavy boots, he might have been on to something.";"Este item só é encontrado na Ilha do Buraco.
Quando os guerreiros da Ilha do Buraco começaram a morrer, o ferreiro local criou uma armadura espetacular para que qualquer um pudesse entrar nos Santuários do Clima. Se ao menos o povo da vila tivesse conseguido andar usando essas botas pesadas, ele poderia ter descoberto algo valioso."
"5f016604";"Chasm Helmet";"Capacete do Abismo"
"63847714";"This item is only found on Knothole Island.
The Brodicans were a race of warriors who roamed the world as conquerors and barbarians, but were mostly known for their politeness. It's hard to tell if the stains on them are blood or strawberry jam.";"Este item só é encontrado na Ilha Knothole. Os Brodicanos eram uma raça de guerreiros que vagavam pelo mundo como conquistadores e bárbaros, mas eram conhecidos principalmente por sua polidez. É difícil dizer se as manchas neles são de sangue ou geleia de morango."
"64b1a335";"Knothole Island, Vol IX";"Ilha do Buraco da Nó, Vol. IX"
"67a7bc50";"Assassin Boots";"Botas de Assassino"
"69013c58";"Assassin Outfit";"Traje de Assassino"
"6bfbb2c8";"This item is only found on Knothole Island.
Worshippers of The Chasm formed an evil sect who believed the world would one day be sucked into an abyss, where true believers like them would rule forever. Their boots were especially pointy, as is the case with all nefarious individuals.";"Este item só é encontrado na Ilha do Buraco da Nó.
 Os adoradores do Abismo formaram uma seita maligna que acreditava que o mundo um dia seria sugado para um abismo, onde os verdadeiros crentes como eles governariam para sempre. Suas botas eram especialmente pontiagudas, como é o caso de todos os indivíduos nefastos."
"7968e7bb";"Assassin Gloves";"Luvas de Assassino"
"80a35b80";"This item is only found on Knothole Island.
The Brodicans were a race of warriors who roamed the world as conquerors and barbarians, but were mostly known for their politeness. Their female warriors were both fearsome and stylish, as evinced by this little number.";"Este item só pode ser encontrado na Ilha Knothole.
Os Brodicanos eram uma raça de guerreiros que vagavam pelo mundo como conquistadores e bárbaros, mas eram conhecidos principalmente por sua cortesia. Suas guerreiras eram temíveis e elegantes, como demonstra esta pequena peça."
"831e98a4";"Knothole Island, Vol VIII";"Ilha Knothole, Vol. VIII"
"883cf369";"This item is only found on Knothole Island.
When the warriors of Knothole Island first began to die out, the local blacksmith created a spectacular armour so anyone might enter the Weather Shrines. This shirt is meant to protect the wearer from the rashes normally associated with such armour.";"Este item só é encontrado na Ilha do Buraco do Nó.
Quando os guerreiros da Ilha do Buraco do Nó começaram a morrer, o ferreiro local criou uma armadura espetacular para que qualquer um pudesse entrar nos Santuários do Clima. Esta camisa serve para proteger o usuário das irritações normalmente associadas a esse tipo de armadura."
"8cd4e5cd";"This item is only found on Knothole Island.
Worshippers of The Chasm formed an evil sect who believed the world would one day be sucked into an abyss, where true believers like them would rule forever. The fighters among them wore this outfit as they spread terror wherever they went.";"Este item só é encontrado na Ilha do Buraco da Nó. Os adoradores do Abismo formaram uma seita maligna que acreditava que o mundo um dia seria sugado para um abismo, onde os verdadeiros crentes como eles governariam para sempre. Os guerreiros entre eles usavam esta roupa enquanto espalhavam terror por onde passavam."
"91283fd0";"Chasm Armour";"Armadura do Abismo"
"943bf3fd";"Brodican Warrior Queen Outfit";"Traje da Rainha Guerreira Brodican"
"9609e8ec";"This item is only found on Knothole Island.
What better protection for your hands when you're holding a poisoned dagger? Also highly useful for taking a roast out of the oven.";"Este item só é encontrado na Ilha Knothole.
Que melhor proteção para suas mãos quando você está segurando uma adaga envenenada? Também muito útil para tirar um assado do forno."
"9b51c6c8";"Knothole Island, Vol VI";"Ilha do Buraco da Nó, Vol. VI"
"9bacf8d8";"Murderous Attire";"Traje Assassino"
"a335660c";"Knothole Knight Helmet";"Capacete do Cavaleiro do Buraco de Nó"
"a55fcf90";"Chasm Mask";"Máscara do Abismo"
"acede136";"Brodican Warrior Queen Skirt";"Saia da Rainha Guerreira Brodican"
"ad57d332";"Knothole Knight Boots";"Botas Knothole Knight"
"b3864313";"Brodican Warrior Queen Boots";"Botas da Rainha Guerreira Brodican"
"befba212";"Barbaric Garments";"Vestimentas Bárbaras"
"c1f0ca57";"This item is only found on Knothole Island.
Worshippers of The Chasm formed an evil sect who believed the world would one day be sucked into an abyss, where true believers like them would rule forever. Wearing gauntlets like these came at a terrible cost. Most members of the sect had very stiff wrists.";"Este item só é encontrado na Ilha Knothole.
 Os adoradores do Abismo formaram uma seita maligna que acreditava que o mundo um dia seria sugado para um abismo, onde os verdadeiros crentes como eles governariam para sempre. Usar manoplas como estas tinha um preço terrível. A maioria dos membros da seita tinha pulsos muito rígidos."
"c3c28728";"Chasm Gauntlets";"Chasm Gauntlets"
"ce61d2c8";"Vile Attire";"Traje Vil"
"cef0efc0";"Chasm Boots";"Botas do Abismo"
"d4d87c2d";"This item is only found on Knothole Island.
Worshippers of The Chasm formed an evil sect who believed the world would one day be sucked into an abyss, where true believers like them would rule forever. Their upsettingly baggy trousers were among their most feared trademarks.";"Este item só é encontrado na Ilha do Buraco da Nó. Os adoradores do Abismo formaram uma seita maligna que acreditava que o mundo um dia seria sugado para um abismo, onde os verdadeiros crentes como eles governariam para sempre. Suas calças largas e perturbadoras estavam entre suas marcas registradas mais temidas."
"d6748734";"Black Wheel Gang Outfit";"Roupa da Gangue da Roda Preta"
"dc200035";"Assassin Trousers";"Calças de Assassino"
"dcb75aa3";"This item is only found on Knothole Island.
The Black Wheel Gang were feared for their powers of necromancy, though in truth this was just a myth created by an older generation who did not care for their leather-intensive fashion and catchy, rebellious songs.";"Este item só é encontrado na Ilha Knothole.
A Gangue da Roda Negra era temida por seus poderes de necromancia, embora na verdade isso fosse apenas um mito criado por uma geração mais velha que não se importava com sua moda repleta de couro e suas músicas rebeldes e cativantes."
"dd37fe85";"This item is only found on Knothole Island.
Lurk in the shadows, slip undetected into homes, and slaughter your targets in silence in this fetching outfit.";"Este item só é encontrado na Ilha Knothole.
Esgueirar-se nas sombras, entrar sem ser detectado nas casas e massacrar seus alvos em silêncio com esta roupa atraente."
"df7ad62d";"This item is only found on Knothole Island.
The Brodicans were a race of warriors who roamed the world as conquerors and barbarians, but were mostly known for their politeness. And their pointy helmets, such as this one.";"Este item só pode ser encontrado na Ilha Knothole. Os Brodicanos eram uma raça de guerreiros que vagavam pelo mundo como conquistadores e bárbaros, mas eram conhecidos principalmente por sua polidez. E por seus capacetes pontiagudos, como este."
"e123ac02";"Chasm Trousers";"Calças do Abismo"
