Hash;Original;Tradução
"06e8645";"Ah! You trying to give me a fit, girl?";"Ah! Está tentando me irritar, garota?"
"4ea0c7f";"Well, isn't that cute? She's trying to be as scary as her dad.";"Que gracinha! Ela está tentando ser tão assustadora quanto o pai dela."
"4eb652b";"Well, isn't that cute? She's trying to be as scary as her mum.";"Bem, que gracinha! Ela está tentando ser tão assustadora quanto a mãe dela."
"5ef8a5d";"Oh, she almost scared me as much as her dad does! Ha ha!";"Nossa, ela quase me assustou tanto quanto o pai dela! Haha!"
"5f05f90";"Oh, she almost scared me as much as her mum does! Ha ha!";"Nossa, ela quase me assustou tanto quanto a mãe dela! Haha!"
"96c139a";"Eek! Where'd you learn to scare like that, girl.";"Eita! Onde você aprendeu a assustar assim, garota?"
"1c9ebec1";"They had it coming!";"Eles mereceram!"
"1c9ebec3";"Good win.";"Boa vitória."
"1c9ebec6";"No one's shedding tears over that one.";"Ninguém está derramando lágrimas por essa."
"1c9ebec7";"Glad you got 'em.";"Que bom que você os pegou."
"1ca03c55";"Nice kill.";"Bela caçada."
"239ec9c3";"That was a good fight.";"Foi uma boa luta."
"239ec9c4";"We're safe now.";"Estamos seguros agora."
"239ec9c5";"Well done!";"Muito bem!"
"239ec9c6";"Yeah, glad they're gone.";"É, ainda bem que eles se foram."
"23a00a80";"Dead and buried.";"Morto e enterrado."
"2408d98c";"You are as lacking in charms as your father, young lady.";"Você é tão desprovida de charme quanto seu pai, mocinha."
"24099873";"You are as lacking in charms as your mother, young lady.";"Você é tão sem charme quanto sua mãe, mocinha."
"2777f4aa";"He's such a funny little boy, don't you think?  Just like his father.";"Ele é um garotinho tão engraçado, não acha? Igualzinho ao pai dele."
"277a4f2b";"He's such a funny little boy, don't you think?  Just like his mother.";"Ele é um garotinho tão engraçado, não acha? Igualzinho à mãe dele."
"2ad4fa5c";"Oh gosh! You startled me, boy. You certainly take after your mother.";"Nossa! Você me assustou, garoto. Você puxou à sua mãe."
"2ad5f863";"Oh gosh! You startled me, boy. You certainly take after your father.";"Nossa! Você me assustou, garoto. Você puxou ao seu pai."
"2bc2e2ed";"<screams> Oh, for a moment I thought you were your father.";"<screams> Por um momento, pensei que você fosse seu pai."
"2bc82222";"<screams> Oh, for a moment I thought you were your mother.";"<screams> Por um momento, pensei que você fosse sua mãe."
"2ef0b662";"Nice!";"Legal!"
"2ef0b663";"Nice!";"Legal!"
"2ef0b664";"Nice!";"Legal!"
"2ef0b665";"Nice!";"Legal!"
"2ef13e07";"Nice!";"Legal!"
"39f0c792";"Yes! More!";"Sim! Mais!"
"39f0c793";"Yes! More!";"Sim! Mais!"
"39f0c794";"Yes! More!";"Sim! Mais!"
"39f0c795";"Yes! More!";"Sim! Mais!"
"39f10639";"Yes! More!";"Sim! Mais!"
"3a0b3a01";"Ugh, just you look at that! He's a chip off the old block ain't he?";"Nossa, olha só! Ele é a cara do pai, não é?"
"3e04fcdc";"He's a little terror, isn't he? Takes after his mother.";"Ele é um pequeno terror, não é? Puxou à mãe."
"3e0ae63e";"He's a little terror, isn't he? Takes after his father.";"Ele é um pequeno terror, não é? Puxou ao pai."
"3efd01af";"That was just sick! That girl takes after her mum alright.";"Que nojo! Essa menina puxou à mãe, com certeza."
"3f025de1";"That was just sick! That girl takes after her dad alright.";"Que nojo! Essa menina puxou ao pai, com certeza."
"406d03b8";"Ugh, he's a piece of work that kid, just like his mother.";"Nossa, esse garoto é um problema, igualzinho à mãe dele."
"407007ef";"Ugh, he's a piece of work that kid, just like his father.";"Ugh, esse garoto é uma figura, igualzinho ao pai."
"408d8493";"Ha ha! You're a funny one alright, kid.";"Haha! Você é mesmo engraçado, garoto."
"45f8868c";"Oh you scared me! You're your father's son alright.";"Ah, você me assustou! Você é mesmo filho do seu pai."
"45fc0b60";"Oh you scared me! You're your mother's son alright.";"Ah, você me assustou! Você é a cara da sua mãe, com certeza."
"471ca126";"You horrible boy. Get away from me.";"Seu menino horrível. Afaste-se de mim."
"471ce1ec";"What a foul little boy. The son of an adventurer through and through.";"Que garotinho detestável. Filho de um aventureiro de verdade."
