Hash;Original;Tradução
"0d66669";"Adorn your cheeks with a beard!";"Adorne suas bochechas com uma barba!"
"0d77b39";"Get your facial hair here!";"Consiga sua barba aqui!"
"37170df";"Clothes! Clothes! All shapes and sizes!";"Roupas! Roupas! De todos os formatos e tamanhos!"
"373e47d";"Dress for sucess with our fien range of clothing!";"Vista-se para o sucesso com nossa incrível linha de roupas!"
"510b466";"Best augmentations in town, right here!";"Os melhores aprimoramentos da cidade, bem aqui!"
"5646f66";"Get drunk with my tasty wares!";"Embriague-se com meus deliciosos produtos!"
"a0f68ca";"Get your augments from me!";"Consiga seus aprimoramentos comigo!"
"a0f68cb";"Don't settle for the ordinary! Get an augmentation!";"Não se contente com o comum! Consiga um aprimoramento!"
"a13ee18";"You won't find better augments anywhere!";"Você não encontrará aprimoramentos melhores em lugar nenhum!"
"a66b687";"Get drunk as a skunk with my merry line of wines.";"Fique bêbado como um gambá com a minha alegre linha de vinhos."
"c3edb35";"Runnin' low on supplies? Come speak to me!";"Precisando de suprimentos? Fale comigo!"
"111bf084";"Want to get something dyed? I'm the one to talk to.";"Quer tingir alguma coisa? Fale comigo."
"161ae270";"Dyes of every colour!";"Tinturas de todas as cores!"
"1a8f8a11";"Does life seem a bit joyless? Then buy from me and get legless!";"A vida parece um pouco sem graça? Então compre de mim e fique bêbado!"
"1a8f8a13";"Buy my alcohol! It tastes great and it makes you feel great!";"Compre meu álcool! Tem um gosto ótimo e faz você se sentir ótimo!"
"1a8f8a16";"Alcohol! Get your alcohol right here!";"Álcool! Compre seu álcool aqui!"
"1a936038";"Best beers in Albion!";"As melhores cervejas de Albion!"
"218f9516";"Have the party of your life, with our finest drinkables!";"Tenha a festa da sua vida, com nossas bebidas mais refinadas!"
"218f9a85";"Get drunk with my wonderful alcoholic beverages!";"Embriague-se com minhas maravilhosas bebidas alcoólicas!"
"25982bca";"I'm sure you'd look marvellous with a brand new beard.";"Tenho certeza de que você ficaria maravilhoso com uma barba nova."
"25982bcb";"Why not try one of our beards?";"Que tal experimentar uma de nossas barbas?"
"2598da40";"Can I interest you in a beard?";"Que tal uma barba?"
"2a535752";"Don't be a bleedin' Hero! Gear up right 'ere if you wanna survive!";"Não seja um herói! Prepare-se aqui se quiser sobreviver!"
"2a9833ea";"We have a great range of beards.";"Temos uma grande variedade de barbas."
"2a9833eb";"Facial hair is very in these days!";"Pelos faciais estão super na moda!"
"2a98f410";"Some fuzz for your face?";"Um pouco de barba para o seu rosto?"
"2f63def3";"If we ain't got it, it ain't worth wearing!";"Se não temos, não vale a pena usar!"
"2f678823";"Let me clothe you in the finest silks!";"Deixe-me vestir você com as sedas mais finas!"
"30726bc1";"Hello there. Can I be of service?";"Olá. Posso ajudar?"
"30726bc2";"Just let me know if I can help.";"Me avise se eu puder ajudar."
"30726bc7";"What can I do for you today?";"O que posso fazer por você hoje?"
"307341d3";"See anything you want?";"Viu algo que lhe interessa?"
"37109b8a";"Special discounts for those who've lost several limbs!";"Descontos especiais para quem perdeu vários membros!"
"394db4d1";"Nothing better on a hot day than a nice drink! Try one now!";"Nada melhor num dia quente do que uma bebida refrescante! Experimente agora!"
"39727a2c";"Can I help you?";"Posso ajudar?"
"39727a2d";"Anything I can help you with?";"Posso ajudar em algo?"
"39727a2f";"How can I be of service?";"Como posso ser útil?"
"39753dbf";"Do you need any help there?";"Precisa de ajuda?"
"3a63f022";"Jackets, gloves, shoes. I've got them all!";"Jaquetas, luvas, sapatos. Eu tenho tudo!"
"3a63f023";"Why go round naked when you could be wearing clothes!";"Por que andar pelado quando você pode estar vestido?"
"3a67b2dd";"Let me clothe you, you won't regret it.";"Deixe-me vesti-lo(a), você não vai se arrepender."
"3cecc0b3";"I always have more to spend on new stock when people buy a lot.";"Sempre tenho mais dinheiro para comprar novos produtos quando as pessoas compram bastante."
"3cecc0b7";"You know, if you spend more I can get some better stuff in.";"Sabe, se você gastar mais, posso comprar coisas melhores."
"3cef9cb9";"Got anything you don't use anymore? Might be able to buy it off you.";"Tem alguma coisa que você não usa mais? Talvez eu consiga comprar de você."
"3e1d9276";"Augments for everyone!";"Aprimoramentos para todos!"
"3e1d9277";"Augments for man, woman and child!";"Aprimoramentos para homens, mulheres e crianças!"
"3e1eb639";"Augmentations! Get yer augmentations!";"Aprimoramentos! Consiga seus aprimoramentos!"
"404907dc";"Need a drink? Look no further!";"Precisa de uma bebida? Não precisa procurar mais!"
"407bcce1";"How may I help you today?";"Como posso ajudá-lo hoje?"
"407bcce2";"I'm here to serve.";"Estou aqui para servir."
