Hash;Original;Tradução
"2ad1805";"You must have something to spare.";"Você deve ter alguma coisa sobrando."
"2ade639";"I'm hungry and cold.";"Estou com fome e frio."
"4384793";"You want me to go hungry?";"Quer que eu passe fome?"
"438b318";"Give us some gold, will ya?";"Nos dê um pouco de ouro, por favor?"
"505ae9d";"gurgle gurgle ha ha.";"gorgolejo gorgolejo ha ha."
"ab8da52";"I'm going to get very angry if you don't leave NOW!";"Vou ficar muito brava se você não for embora AGORA!"
"b38529f";"Come on you tight sods.";"Vamos lá, seus pães-duros."
"b397f48";"I'm starving here. Show some compassion.";"Estou morrendo de fome aqui. Tenham um pouco de compaixão."
"dad29b5";"I was a lady once you know.";"Eu já fui uma dama, sabia?"
"db01aa4";"Turn out those pockets and find me a little something, will you?";"Vire esses bolsos e me encontre algo, por favor?"
"120dc679";"Help a poor woman get back on her feet.";"Ajude uma pobre mulher a se reerguer."
"120ea4d3";"Just a coin or two to help a poor woman.";"Só uma ou duas moedas para ajudar uma pobre mulher."
"123074b1";"I was once like you, able to feed myself. Look at me now.";"Eu já fui como você, capaz de me alimentar sozinha. Olhem para mim agora."
"12311558";"Would anyone like to be my benefactor?";"Alguém gostaria de ser meu benfeitor?"
"14dfdd54";"Boohoo waaaah!";"Buááááá!"
"19307fb5";"Your contributions will make a big difference.";"Suas contribuições farão uma grande diferença."
"19307fb6";"I'm so hungry my stomach's starting to eat itself.";"Estou com tanta fome que meu estômago está começando a se devorar."
"19342145";"Don't be a miser. Be nicer.";"Não seja mesquinho. Seja mais gentil."
"1c96c9ab";"Come on, no need to hang around here.";"Vamos, não precisa ficar por aqui."
"1c97b5ed";"Move along now.";"Circule agora."
"1d0dd7a9";"I'll pay ya back.";"Eu te pago."
"1d0e9460";"I ain't got nowhere to sleep. You think that's fair.";"Não tenho onde dormir. Você acha isso justo?"
"24ed9bbd";"Waaaah! Whimper.... Waaaah!";"Buááá! Choramingo... Buááá!"
"289b6c21";"Goo hee hee!";"Goo hee hee!"
"2baa11c0";"Wah! Wah! Waaaaaaaaaaaah!";"Wah! Wah! Waaaaaaaaaaaah!"
