Hash;Original;Tradução
"2b491592";"You have to eat all your vegetables or you won't be able to go on adventures like your dad.";"Você precisa comer todos os seus vegetais ou não poderá ir em aventuras como seu pai."
"2b491593";"You know you have to eat all your greens at dinner if you want to be strong like your dad.";"Você sabe que precisa comer todos os seus vegetais no jantar se quiser ser forte como seu pai."
"2b491594";"Don't worry, sweetie, we'll go on a picnic next week.";"Não se preocupe, querida, faremos um piquenique na semana que vem."
"2b491595";"You've not ripped another dress have you?";"Você não rasgou outro vestido, né?"
"2b4febf0";"Do I have to buy you a new skirt?";"Preciso comprar uma saia nova para você?"
"364926c2";"You know you have to eat all your greens at dinner if you want to be strong like your mum.";"Você sabe que precisa comer todos os seus vegetais no jantar se quiser ser forte como sua mãe."
"364926c3";"Tonight we can read another chapter of Eric the Insane Monkey, okay, sweetie?";"Hoje à noite podemos ler outro capítulo de Eric, o Macaco Louco, tá bom, meu bem?"
"364926c4";"You know you have to eat all your greens at dinner if you want to be strong like your mum.";"Você sabe que precisa comer todos os seus vegetais no jantar se quiser ser forte como sua mãe."
"364926c5";"You know your mother wants you to eat all your greens. Don't matter if you don't like 'em.";"Você sabe que sua mãe quer que você coma todos os seus vegetais. Não importa se você não gosta deles."
"364a7776";"Whose my sweet little pumpkin pie? We're having pie for dinne actually. So your mum says.";"Quem é minha docinha de abóbora? Na verdade, vamos jantar torta. Pelo menos é o que sua mãe disse."
"3c9c85c2";"You need a nice new dress.";"Você precisa de um vestido novo e bonito."
"3c9c85c3";"We need to buy you a pretty dress. For special occasions!";"Precisamos comprar um vestido bonito para você. Para ocasiões especiais!"
"3c9c85c4";"When I was your age girls didn't run around playing with boys. But your mother says okay, so what can I do?";"Quando eu tinha a sua idade, as meninas não corriam por aí brincando com os meninos. Mas sua mãe diz que tudo bem, então o que eu posso fazer?"
"3c9c85c5";"Wish I could afford a pretty little dress for ya, but times are tough.";"Gostaria de poder comprar um vestidinho bonito para você, mas a situação está difícil."
"3c9ce968";"You wash the dishes at home like I told ya?";"Você lava a louça em casa como eu te disse?"
"479c9772";"What colour dress would you like for you birthday?";"Que cor de vestido você gostaria para o seu aniversário?"
"479c9773";"I don't like you playing with those kids. They're a bad influence.";"Eu não gosto que você brinque com aquelas crianças. Elas são uma má influência."
"479c9774";"We need to buy you a pretty dress. For special occasions!";"Precisamos comprar um vestido bonito para você. Para ocasiões especiais!"
"479c9775";"You're growing up fast, aren't you sweetie?";"Você está crescendo rápido, não é, querida?"
"479dd7d8";"Don't you forget to brush your teeth, girl. Or you'll have half of them missing, like me.";"Não se esqueça de escovar os dentes, menina. Senão, metade deles vai faltar, como eu."
"58fe8e1b";"I wonder what you'd look like with a blue bow in your hair.";"Imagino como você ficaria com um laço azul no cabelo."
"58fe8e1c";"You keep growing out of those clothes, don't you?";"Você está sempre crescendo e essas roupas não servem mais, não é?"
"58fe8e1d";"You can get earrings when you're older.";"Você pode comprar brincos quando for mais velha."
"58fe8e1e";"Your clothes aren't getting too small again are they?";"Suas roupas não estão ficando pequenas de novo, estão?"
"58ff29ba";"I'm going to take you clothes shopping soon. Okay, sweetie?";"Vou te levar para comprar roupas em breve. Tudo bem, querida?"
"61fe9c69";"Your clothes aren't getting too small again are they?";"Suas roupas não estão ficando pequenas de novo, estão?"
"61fe9c6b";"Don't let me catch you reading those pamphlets on anarchy again, dear.";"Não quero te pegar lendo aqueles panfletos sobre anarquia de novo, querida."
"61fe9c6e";"Your clothes aren't getting too small again are they?";"Suas roupas não estão ficando pequenas de novo, estão?"
"61fe9c6f";"Don't forget, it's your birthday soon, but you won't get no presents if you're not a good girl.";"Não se esqueça, seu aniversário está chegando, mas você não ganhará presentes se não se comportar bem."
"61fed3e2";"Your mother'll have to take you clothe shopping soon. I ain't doing it.";"Sua mãe terá que levá-la para comprar roupas em breve. Eu não farei isso."
"636d4512";"Have you finished all your homework for today?";"Você terminou toda a sua lição de casa hoje?"
"636d4513";"Have you cleared up all your toys like I asked?";"Você guardou todos os seus brinquedos como eu pedi?"
"636d4514";"You can't wear those shorts again! Put them in the wash!";"Você não pode usar esses shorts de novo! Coloque-os para lavar!"
"636d4515";"You don't look like someone who's done cleaned his room.";"Você não parece alguém que acabou de arrumar o quarto."
"636d4516";"Take right after yer father you do. Hmph!";"Puxou ao seu pai. Hmph!"
"636d4517";"What's wrong, darling? Did you tire of the new jester too?";"O que foi, querido? Cansou do novo bobo da corte também?"
"6370205f";"I wish I could, my little prince, but boys shouldn't own guns. Ask your father if you don't believe me.";"Eu gostaria, meu pequeno príncipe, mas meninos não devem ter armas. Pergunte ao seu pai se não acredita em mim."
