Hash;Original;Tradução
"06e8646";"I say, are there any openings in the adventuring business? What's the pay like.";"Diga-me, há alguma vaga no ramo de aventureiros? Qual é o salário?"
"074afe5";"Don't start any trouble, we like out town nice and peaceful.";"Não arrume confusão, gostamos da nossa cidade tranquila e pacífica."
"2cf6fd7";"You're so much better than my mum and dad!";"Você é muito melhor que meus pais!"
"6bb4e5a";"Been exploring Albion?";"Explorando Albion?"
"6bb4e5b";"I could've been a Hero you know. Damn flat feet.";"Eu poderia ter sido um herói, sabia? Malditos pés chatos."
"6bb4e5c";"Not sure I've heard much about you.";"Não tenho certeza se já ouvi falar muito de você."
"6bb4e5d";"Sometimes I forget where I live. Always know where the pub is though.";"Às vezes esqueço onde moro. Mas sempre sei onde fica o pub."
"6bb4e5e";"I could've been a Hero if I'd wanted to you know.";"Eu poderia ter sido um herói se quisesse, sabia?"
"6bb4e5f";"I always say the foundation of any society is its iron grip over the lower classes, what?";"Eu sempre digo que a base de qualquer sociedade é o seu controle férreo sobre as classes mais baixas, não é?"
"6bff2d7";"Can you fathom these new economic models? Mind-boggling they are.";"Você consegue entender esses novos modelos econômicos? São de deixar qualquer um perplexo."
"7143e7c";"Wow, you're almost like, well, a real Hero, like!";"Uau, você é quase como um verdadeiro herói!"
"bbb567a";"Been anywhere exciting lately?";"Esteve em algum lugar interessante ultimamente?"
"bbb567b";"Anything new happening?";"Aconteceu alguma novidade?"
"bbb567c";"Must be good being a Hero...";"Deve ser bom ser um Herói..."
"bbb567d";"Don't mind my breath.";"Não repare no meu hálito."
"bbb567e";"Looks like you wash pretty often...";"Parece que você se lava com bastante frequência..."
"bbb567f";"I think I'll spend tomorrow in the gardens. The blossoms are magnificent this year.";"Acho que passarei o dia de amanhã nos jardins. As flores estão magníficas este ano."
"bc0c97d";"I'm ever so upset. An indigent tried speaking to me this morning!";"Estou muito chateado. Um indigente tentou falar comigo esta manhã!"
"c5ac169";"Heroes are a pretty rare sight these days.";"Heróis são uma visão rara hoje em dia."
"c5ac16a";"I've  got a pig of a hangover.";"Estou com uma ressaca daquelas."
