Hash;Original;Tradução
"33e2f61";"If you want an example of how beneath me most Doors are, go to Bowerstone Cemetery. There's a hunk of rock there who is no better than a dumb animal. A tragic curse gone wrong, that one.";"Se você quer um exemplo de quão inferiores a maioria dos Doors são para mim, vá ao Cemitério de Bowerstone. Há um pedaço de pedra lá que não é melhor do que um animal irracional. Uma maldição trágica que deu errado."
"18377071";"You do know I'm a Demon Door, right? Don't you want to see what I'm guarding?";"Você sabe que eu sou uma Porta Demoníaca, né? Não quer ver o que eu guardo?"
"1935b6dd";"Fine. You asked for it. I'll just make my own music. La! Re! Fa! So!";"Tudo bem. Você pediu. Vou fazer minha própria música. Lá! Ré! Fá! Então!"
"1a368d2f";"Don't torture me anymore, I beg you. I can almost feel the notes coming off your lute. Play it, go on.";"Não me torture mais, eu imploro. Quase consigo sentir as notas saindo do seu alaúde. Continue, por favor."
"1b361590";"I bet you're really good, aren't you? A real lute hero.";"Aposto que você é muito bom, não é? Um verdadeiro herói do alaúde."
"1bb078f1";"We are meant to stand the tests of time, and care nothing for human happiness or suffering. Try telling that to the Door in Oakfield though. Sentimental fool.";"Fomos feitos para resistir ao teste do tempo e não nos importamos com a felicidade ou o sofrimento humano. Tente dizer isso para a Porta em Oakfield. Tolo sentimental."
"1c381519";"Oh come on! Don't just stand there! Play something, please!";"Ah, vamos lá! Não fique aí parada! Toque alguma coisa, por favor!"
"21d5ffa8";"Do me a favour and find out what the Door in Brightwood's hiding, would you? That stuck-up old sod won't let anyone know what it is. I'm the only one allowed to keep secrets.";"Faça-me um favor e descubra o que a Porta em Brightwood está escondendo, por favor? Aquele velho arrogante não vai contar a ninguém o que é. Só eu posso guardar segredos."
"22a1fe28";"Ah, yes! Bravo! A virtuoso performance! Simply wonderful!";"Ah, sim! Bravo! Uma performance virtuosa! Simplesmente maravilhosa!"
"25a168c3";"Thank you, maestro, thank you.";"Obrigado, maestro, obrigado."
"2ae23f94";"Try to end the tune in style!";"Tente terminar a música com estilo!"
"2ce5f976";"Take care when talking to the corrupting Westcliff Door. He's a bad influence.";"Tome cuidado ao falar com a Porta de Westcliff. Ele é uma má influência."
"2fe2bdc1";"And now for the grand finale!";"E agora, para o grande final!"
"30e1fb8e";"Now hit that final note!";"Agora, toque aquela nota final!"
"31e243c8";"Time for the big finish!";"Hora do grande final!"
"3c721ba3";"That old skeleton Scythe used to come round here every hundred years or so. But I wasn't going to open for him either.";"Aquele velho esqueleto, Scythe, costumava aparecer por aqui a cada cem anos, mais ou menos. Mas eu também não ia abrir para ele."
"3cdf4931";"He thinks breaking wind during lunch is funny.";"Ele acha engraçado soltar gases durante o almoço."
"3cdf4932";"He thinks he can whistle.";"Ele acha que sabe assobiar."
"3cdf4933";"He refuses to do his share of washing up.";"Ele se recusa a lavar a louça."
"3cdf4934";"He eats with his mouth open.";"Ele come de boca aberta."
"3cdf4935";"He has the world's most annoying laugh.";"Ele tem a risada mais irritante do mundo."
"3cdf4936";"He makes a horrible slurping sound when he eats soup.";"Ele faz um barulho horrível de sorver quando toma sopa."
"3cdf4937";"He picks his nose in public.";"Ele cutuca o nariz em público."
"3cdf493c";"He cracks his knuckles loudly and repeatedly.";"Ele estala os dedos ruidosamente e repetidamente."
"3cdf493d";"He borrowed a barbecue grill "for a day" but then never returned it.";"Ele pegou emprestada uma churrasqueira " por um dia, mas nunca a devolveu."
"3cdf76f2";"He said he was going to buy everyone a round of beer in the pub but didn't.";"Ele disse que ia pagar uma rodada de cerveja para todos no bar, mas não pagou."
"3d70213e";"Jack of Blades tried to open me once. It was before his dragon phase, but it wouldn't have made any difference.";"Jack of Blades tentou me abrir uma vez. Foi antes da fase de dragão dele, mas não teria feito diferença."
"3ddf4aa1";"He is the best tiddly-wink player in town, and the client would like that honour for himself.";"Ele é o melhor jogador de tiddly-wink da cidade, e o cliente gostaria dessa honra para si."
"3ddf4aa2";"He always wears the same type of trousers as the client, who thinks this is "cramping his style".";"Ele sempre usa o mesmo tipo de calça que o cliente, que acha que isso está atrapalhando seu estilo."
"3ddf4aa3";"He likes to peer through people's windows who are performing the act of love.";"Ele gosta de espiar pelas janelas das pessoas enquanto elas estão fazendo amor."
"3ddf4aa4";"He impersonated a bandit to impress the ladies. Bandits do not take such things lightly.";"Ele se fez passar por um bandido para impressionar as mulheres. Bandidos não levam essas coisas na brincadeira."
"3ddf4aa5";"He didn't pay for the assassination of the previous contract.";"Ele não pagou pelo assassinato do contrato anterior."
"3ddf4aa6";"He keeps telling everyone a terrible joke, which the client has heard over a thousand times.";"Ele fica contando para todo mundo uma piada horrível, que o cliente já ouviu mais de mil vezes."
"3ddf4aae";"He spilled beer all over the client.";"Ele derramou cerveja em cima do cliente."
"3ddf4aaf";"He must be eliminated for the Society to fulfill its monthly quota.";"Ele precisa ser eliminado para que a Sociedade cumpra sua cota mensal."
"3de3e1a6";"He is abusive to chickens.";"Ele maltrata galinhas."
"3e6eb752";"I was a confidant of Archon himself. Trusted me more than anyone.";"Eu era confidente do próprio Arconte. Ele confiava em mim mais do que em qualquer outra pessoa."
"3f7a7060";"Have you been able to find out the Brightwood Door's shameful secret? I hope it's something truly humiliating.";"Você conseguiu descobrir o segredo vergonhoso da Porta de Brightwood? Espero que seja algo realmente humilhante."
"3fdf4d8d";"He knows some secrets that incriminate a lot of people.";"Ele sabe alguns segredos que incriminam muita gente."
"3fdf4d8e";"He is going to testify against a well-connected bandit in court.";"Ele vai testemunhar contra um bandido influente no tribunal."
