Hash;Original;Tradução
"0045bd9";"What happened to your son is awful. Just awful.";"O que aconteceu com seu filho é terrível. Simplesmente terrível."
"0045bdc";"I was so sad to hear about your son. So sorry.";"Fiquei muito triste ao saber do seu filho. Sinto muito."
"00486f1";"I am so sorry about your young son's passing.";"Sinto muito pelo falecimento do seu filho."
"72997db";"I- I can't believe we lost our daughter... My sweet little girl!";"Eu... Eu não consigo acreditar que perdemos nossa filha... Minha doce menininha!"
"72997dc";"I- I can't believe we lost our daughter... My sweet little girl!";"Eu... Eu não consigo acreditar que perdemos nossa filha... Minha doce menininha!"
"2cb755d2";"Your little girl's run out on you? How awful!";"Sua filhinha fugiu de casa? Que horror!"
"2cb755d3";"Is it true, your daughter is missing? You must be worried sick.";"É verdade que sua filha está desaparecida? Você deve estar morrendo de preocupação."
"2cb755d7";"Gosh, I heard about your daughter going missing. Any news?";"Nossa, ouvi dizer que sua filha desapareceu. Alguma notícia?"
"2cb80554";"I certainly hope you find your daughter safe and sound.";"Espero sinceramente que você encontre sua filha sã e salva."
"32c07fce";"I was overjoyed to hear your son escaped unharmed from his adventure.";"Fiquei muito feliz em saber que seu filho escapou ileso de sua aventura."
"32c07fcf";"So your son is safe? That's wonderful!";"Então seu filho está seguro? Que maravilha!"
"32c26a7c";"That son of yours takes after you, doesn't he? Good thing he wasn't hurt.";"Seu filho puxou a você, não é? Ainda bem que ele não se machucou."
"3395d45a";"Did you hear some girl went into that mine in Rookridge? All alone too.";"Você ouviu dizer que uma garota entrou naquela mina em Rookridge? Sozinha também."
"339b1918";"Is it true a young girl disappeared into that Rookridge cave?";"É verdade que uma jovem desapareceu naquela caverna de Rookridge?"
"37b76702";"Any sign of your poor daughter yet?";"Algum sinal da sua pobre filha?"
"37b76703";"I hope you find your daughter. I'm sure you will.";"Espero que você encontre sua filha. Tenho certeza que encontrará."
"37b76707";"I'm sure your daughter is fine. Probably just playing somewhere.";"Tenho certeza de que sua filha está bem. Provavelmente está brincando em algum lugar."
"37b885a8";"Any sign of your poor daughter yet?";"Algum sinal da sua pobre filha?"
"3895dc7b";"I'm telling you, a girl went into a cave all on her own. And it's full of hobbes!";"Estou te dizendo, uma garota entrou sozinha numa caverna. E está cheia de hobbits!"
"389832e4";"Someone better do something about that girl in the cave. The hobbes will get her for sure.";"É melhor alguém fazer alguma coisa com aquela garota na caverna. Os hobbits vão pegá-la com certeza."
"3dc0917c";"You must be so relieved that your son wasn't hurt.";"Você deve estar muito aliviada por seu filho não ter se machucado."
"3dc0917f";"I'm so glad your son is safe.";"Que bom que seu filho está seguro."
"3dc98983";"I was so happy to hear your son is alright.";"Fiquei muito feliz em saber que seu filho está bem."
"47922f69";"Couldn't rescue your own son. Tsk.";"Não conseguiu salvar o próprio filho. Que feio."
"47922f6e";"You should have saved your son. What were you thinking?!";"Você deveria ter salvado seu filho. O que você estava pensando?!"
"4793ad2a";"It was awful what happened to your son. I'm really sorry.";"Foi horrível o que aconteceu com seu filho. Sinto muito mesmo."
"4c745106";"Must be happy to have your son back.";"Deve estar feliz por ter seu filho de volta."
"4c74fd38";"We were all very pleased to hear you rescued your son.";"Ficamos todos muito felizes em saber que você resgatou seu filho."
"5292409b";"Couldn't save your own son. What a loser you are.";"Não conseguiu salvar o próprio filho. Que perdedor você é."
"5295193c";"You mean to say you did not rescue your own son? Dear, dear.";"Quer dizer que você não resgatou o próprio filho? Meu Deus."
"577462b4";"I knew you'd get your son back. You must be so relieved.";"Eu sabia que você recuperaria seu filho. Você deve estar muito aliviada."
"577462b5";"Glad to hear your son's safe and sound.";"Que bom saber que seu filho está são e salvo."
"577509b9";"God thing you rescued your kid.";"Graças a Deus você resgatou seu filho."
"5e2d601a";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"5e2d601b";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"5e2d601c";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"5e2d601d";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você ia conseguir! Oh, minha doce filhinha!"
"5e2d601e";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você salvou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"5e2d601f";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você salvou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"5e30c0a5";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você salvou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"632d683a";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"632d683b";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"632d683c";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce garotinha!"
"632d683d";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce filhinha!"
"632d683e";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce filhinha!"
"632d683f";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce filhinha!"
"632da96e";"Oh, you rescued our daughter! I knew you would! Oh my sweet little girl!";"Oh, você resgatou nossa filha! Eu sabia que você faria isso! Oh, minha doce filhinha!"
"6a7fcae2";"I pray for the safe return of your son.";"Rezo pelo retorno seguro do seu filho."
"6a7fcae3";"Hope your kid's alright.";"Espero que seu filho esteja bem."
"6a848f7d";"You must be worried sick about your boy.";"Você deve estar muito preocupada com seu filho."
"717fd5ee";"I do hope you find your boy safe and sound.";"Espero que você encontre seu filho são e salvo."
"71842e0f";"You gonna rescue your son or what?";"Vai resgatar seu filho ou não?"
"75b1e778";"No children are safe with those Hobbes out there.";"Nenhuma criança está segura com esses Hobbes por aí."
"7cd94be2";"Your child is okay then? What a relief.";"Seu filho está bem então? Que alívio."
"7cd94be3";"I'm so glad to hear your child is safe.";"Que bom saber que seu filho está seguro."
"7cd94be5";"You rescued your child, thank the Light!";"Você salvou seu filho, graças à Luz!"
