Hash;Original;Tradução
"4b91a6b";"Her wife always appears content with her lot in life.";"Sua esposa sempre parece satisfeita com sua sorte na vida."
"4be9b0a";"His wife always appears content with her lot in life.";"Sua esposa sempre parece satisfeita com sua sorte na vida."
"a66b68c";"Don't know how he manages to keep his marriage so healthy. Mine's rotten to the core!";"Não sei como ele consegue manter o casamento tão saudável. O meu está podre até o âmago!"
"a677f6d";"Don't know how she manages to keep her marriage so healthy. Mine's rotten to the core!";"Não sei como ela consegue manter o casamento tão saudável. O meu está podre até o âmago!"
"1c201fed";"I don't know how she does it, but her husband seems very happy.";"Não sei como ela faz, mas o marido dela parece muito feliz."
"1c2096d9";"I don't know how he does it, but he seems to have the secret to a happy marriage.";"Não sei como ele faz, mas parece que ele tem o segredo para um casamento feliz."
"248e77ad";"She sure knows how to keep that wife of hers happy.";"Ela sabe muito bem como manter sua esposa feliz."
"24914d01";"He sure knows how to keep that wife of his happy.";"Ele sabe muito bem como manter sua esposa feliz."
"26d62eca";"Perhaps her secret lies in always going adventuring, but her marriage seems to work.";"Talvez o segredo dela esteja em sempre se aventurar, mas o casamento dela parece dar certo."
"26db9739";"Perhaps his secret lies in always going adventuring, but his marriage seems to work.";"Talvez o segredo dele esteja em sempre se aventurar, mas o casamento dele parece dar certo."
"2defbb91";"That son of yours never seems to get up to any mischief.";"Seu filho nunca apronta."
"2defbb92";"That boy of yours knows how to behave. Not like most kids.";"Seu filho sabe se comportar. Diferente da maioria das crianças."
"2defbb93";"You have raised an exceedingly well behaved boy.";"Você criou um menino extremamente bem-comportado."
"2defbb94";"Your boy is the zenith of youthful adequacy.";"Seu filho é o ápice da maturidade juvenil."
"2defbb96";"Your son is such a nice boy.";"Seu filho é um menino tão bom."
"2defbb97";"You don't usually meet such polite boys as your son.";"Não é comum encontrar meninos tão educados quanto seu filho."
"2df14b3f";"You've certainly raised a pleasant boy.";"Você certamente criou um menino agradável."
"315f66ca";"His husband always appears content with his lot in life.";"O marido dele sempre parece satisfeito com a vida que leva."
"3160882b";"Her husband always appears content with his lot in life.";"O marido dela sempre parece satisfeito com a vida que leva."
