Hash;Original;Tradução
"1cebb83";"Give Oakfield a go.";"Experimente Oakfield."
"1cebb84";"Oakfield's a good bet.";"Oakfield é uma boa aposta."
"1cebb85";"Why don't you try Oakfield?";"Por que você não experimenta Oakfield?"
"1cebb87";"Try Oakfield.";"Experimente Oakfield."
"1cf6e64";"Have you tried Oakfield?";"Você já experimentou Oakfield?"
"334541f";"He lost plenty of gold gampling you know.";"Ele perdeu muito ouro em jogos de azar, sabia?"
"335c8c0";"She lost plenty of gold gampling you know.";"Ela perdeu muito ouro em jogos de azar, sabia?"
"8cec689";"I suggest you try Oakfield.";"Sugiro que você tente Oakfield."
"8cec68a";"You should try Oakfield.";"Você deveria tentar Oakfield."
"8cec68e";"Why don't you give Oakfield a go?";"Que tal experimentar Oakfield?"
"8cec68f";"Give Oakfield a try.";"Experimente Oakfield."
"8d18f57";"You should give Oakfield a go.";"Você deveria experimentar Oakfield."
"af734ef";"She can't gamble to save her life.";"Ela não consegue jogar nem que a vida dela dependa disso."
"af7b365";"He can't gamble to save his life.";"Ele não consegue jogar nem que a vida dele dependa disso."
"ee793ab";"I need to gamble! Tell me I can gamble!";"Preciso apostar! Me diga que posso apostar!"
"ee793ac";"I'm itching for some gambling. Know of anywhere?";"Estou louco para apostar. Sabe de algum lugar?"
"ee793ad";"I really fancy gambling my life savings today. But where?";"Estou com muita vontade de apostar todas as minhas economias hoje. Mas onde?"
"ee793ae";"I think I'll play one of those tavern games after. There's one right round here, isn't there?";"Acho que vou jogar um daqueles jogos de taverna depois. Tem um bem aqui perto, não é?"
"ee88f25";"Do you if there are any gambling games around here/";"Você sabe se tem algum jogo de azar por aqui?"
"17e7a1f9";"Why don't you join me for a tavern game later on?";"Que tal me acompanhar em uma partida de taverna mais tarde?"
"17e7a1fb";"I've got a big night of gambling planned at the pub.";"Planejei uma grande noite de jogos de azar no pub."
"17e7a1fe";"I'm planning on going to the inn for some games later.";"Pretendo ir à estalagem para jogar algumas partidas mais tarde."
"17e7a1ff";"I've been saving my coins for that gambling game.";"Eu estava guardando minhas moedas para aquele jogo de azar."
"17e86b50";"There's a tavern game in this town. Did you know? I only juts found out.";"Tem um jogo de taverna nesta cidade. Sabia? Eu só descobri agora."
"1c5cce8b";"She must make a fortune gambling. She's so good at it.";"Ela deve ganhar uma fortuna jogando. Ela é muito boa nisso."
"1c63ea78";"He must make a fortune gambling. He's so good at it.";"Ele deve ganhar uma fortuna jogando. Ele é muito bom nisso."
"3cd54acd";"He's an amazing gambler. Did you hear about his wins?";"Ele é um apostador incrível. Você ouviu falar das vitórias dele?"
"3cd7b61b";"She's an amazing gambler. Did you hear about her wins?";"Ela é uma jogadora incrível. Você ouviu falar das vitórias dela?"
"4120500a";"Never been there, but it seems like an interesting place.";"Nunca estive lá, mas parece um lugar interessante."
"4120500b";"I went there once, but it was a long time ago.";"Fui lá uma vez, mas faz muito tempo."
"4120500c";"I've always wondered what it's like there.";"Sempre tive curiosidade de saber como é lá."
"4120500d";"Never been there. Not sure I ever will.";"Nunca estive lá. Não tenho certeza se algum dia saberei."
"41212cfa";"Isn't that where thinggy lives? You know, with the funny leg?";"Não é aí que o fulano mora? Sabe, aquele com a perna engraçada?"
"4320395c";"She must have lost most of her gold at that game.";"Ela deve ter perdido a maior parte do seu ouro naquele jogo."
"4326d489";"He must have lost most of her gold at that game.";"Ele deve ter perdido a maior parte do ouro dela naquele jogo."
"4550e481";"Go to Bower Lake.";"Vá para o Lago Bower."
"4550e484";"You should go to Bower Lake.";"Você deveria ir para o Lago Bower."
"4550e486";"Have you looked in Bower Lake?";"Você já procurou em Bower Lake?"
"4550e487";"Give Bower Lake a try.";"Dê uma olhada em Bower Lake."
"4554eb51";"The camp in Bower Lake is probably a good place to start.";"O acampamento em Bower Lake provavelmente é um bom lugar para começar."
"4620582a";"I was going to go there last week. But then I didn't. I'm fickle like that.";"Eu ia lá semana passada. Mas aí não fui. Sou assim mesmo, volúvel."
"4620582b";"Have you ever been? Maybe I should visit one day.";"Você já foi? Talvez eu devesse visitar um dia."
"4620582c";"I have a cousin who lives there.";"Tenho um primo que mora lá."
"4620582d";"Yeah, I keep meaning to see what it's like there.";"É, eu sempre quero ver como é lá."
"4620feb8";"I haven't been there in a while. Wonder if it's changed much.";"Faz tempo que não vou lá. Será que mudou muito?"
"4646d52d";"Wish I could gamble like him. I'd be rich.";"Quem me dera apostar como ele. Eu seria rico."
"464888f8";"Wish I could gamble like her. I'd be rich.";"Quem me dera apostar como ela. Eu seria rico."
"4a50eca1";"Have you tried Bower Lake?";"Já experimentou Bower Lake?"
"4a50eca5";"Try Bower Lake.";"Experimente Bower Lake."
"4a50eca7";"Best place has to be Bower Lake. Go to the camp there.";"O melhor lugar, sem dúvida, é Bower Lake. Vá para o acampamento lá."
"4a538416";"What about Bower Lake?";"E quanto ao Lago Bower?"
"4ec1df69";"He's a terrible gambler.";"Ele é um péssimo jogador."
"4ec66caa";"She's a terrible gambler.";"Ela é uma péssima jogadora."
"5214913a";"She's made a fortune gambling.";"Ela fez fortuna jogando."
"5214f8e1";"He's made a fortune gambling.";"Ele fez fortuna jogando."
"66ad255a";"He's one hell of a gambler, I can tell you.";"Ele é um baita jogador, posso te garantir."
"66b240cc";"She's one hell of a gambler, I can tell you.";"Ela é uma jogadora de primeira, posso te garantir."
"6a8c6fa3";"You would never see me there. I do not care for that place one jot.";"Você nunca me veria lá. Eu não gosto nem um pouco daquele lugar."
"6a8d4926";"I am not at all partial to that place.";"Eu não tenho nenhuma simpatia por aquele lugar."
"6c7a69c5";"Oh, isn't it just the most marvellous place?";"Oh, não é um lugar maravilhoso?"
"6c7abc1d";"Oh, I do enjoy the occasional trip there.";"Oh, eu adoro ir lá de vez em quando."
"6f8c7743";"I have a deep dislike for that place.";"Tenho uma profunda aversão por aquele lugar."
"6f9023ca";"I can think of no place I dislike more.";"Não consigo pensar em nenhum lugar que eu deteste mais."
"737a74c1";"Ah, you will find no finer locality in all the land.";"Ah, você não encontrará lugar melhor em toda a terra."
"737dd676";"Ah, yes, one of my favourite destinations.";"Ah, sim, um dos meus destinos favoritos."
"78abe599";"No danger of her beating my scores from what I hear.";"Pelo que ouvi, não há perigo de ela superar minhas pontuações."
"78ad77a8";"No danger of him beating my scores from what I hear.";"Pelo que ouvi, não há perigo de ele superar minhas pontuações."
"78cf197d";"I've never seen anyone play quite as badly as he did.";"Nunca vi ninguém jogar tão mal quanto ele."
"78d1cab0";"I've never seen anyone play quite as badly as she did.";"Nunca vi ninguém jogar tão mal quanto ela."
"806ec65b";"They should stop him from gambling. Terrible he is.";"Deveriam impedi-lo de jogar. Ele é terrível."
"80706489";"They should stop her from gambling. Terrible she is.";"Deveriam impedi-la de jogar. Ela é terrível."
"81bd7801";"Brilliant place that. Wish I was there right now.";"Lugar incrível. Queria estar aí agora."
"81bd7804";"Oh, I love that place.";"Ah, eu adoro aquele lugar."
"81bd7806";"I've been there a few times. Nice place.";"Já estive lá algumas vezes. Lugar agradável."
"81bd7807";"That's one of my favourite places in all of Albion.";"Esse é um dos meus lugares favoritos em toda Albion."
"81bddfe5";"Oh, yes, it's lovely there.";"Ah, sim, é adorável lá."
"82b8edcd";"She must be the worst gambler in history.";"Ela deve ser a pior jogadora da história."
"82b97818";"He must be the worst gambler in history.";"Ele deve ser o pior jogador da história."
"838b74b2";"Nowhere to play near here that I know of.";"Não conheço nenhum lugar para jogar por perto."
"838b74b3";"I don't think there's anywhere to play closeby.";"Acho que não há nenhum lugar para jogar por perto."
"838b74b4";"There are no games nearby. Sorry.";"Não há jogos por perto. Desculpe."
"838b74b5";"Don't know of any games near here.";"Não conheço nenhum jogo por perto."
"838b9a85";"I don't there are any game round here.";"Não acho que haja caça por aqui."
"86bd8021";"You can't beat it there. Thinking of moving when I get enough gold together.";"Não há lugar melhor. Estou pensando em me mudar quando juntar ouro suficiente."
"86bd8025";"Oh, it's the greatest place on earth.";"Ah, é o melhor lugar do mundo."
"86bd8026";"Oh, I just love that place!";"Ah, eu simplesmente amo aquele lugar!"
"86bd8027";"That's one of my favourite places in Albion.";"Esse é um dos meus lugares favoritos em Albion."
"86bdbf38";"Oh, I just love it there.";"Oh, eu simplesmente adoro esse lugar."
"87c504ec";"I've never seen anyone gamble like her before. She knows what she's doing.";"Nunca vi ninguém apostar como ela. Ela sabe o que está fazendo."
"87c55db9";"I've never seen anyone gamble like her before. She knows what she's doing.";"Nunca vi ninguém jogar como ela. Ela sabe o que está fazendo."
