Hash;Original;Tradução
"2c2cac8";"I will serve Lucien as he sees fit.";"Servirei Lucien como ele achar melhor."
"3c3f4f3";"We've done well casting in our lot with Lord Lucien.";"Fizemos bem em unir o nosso destino ao do Lorde Lucien."
"4200e6b";"So, you know where to find me when you're all set to go.";"Então, você sabe onde me encontrar quando estiver pronto para ir."
"4c375c1";"Please don't. I will do everything you tell me, without question.";"Por favor, não. Farei tudo o que você me mandar, sem questionar."
"5c257ef";"Hard to think sometimes with these sounds...";"Às vezes é difícil pensar com esses sons..."
"5c5a3f0";"Don't kill me. You remember me, my name's... my name's...";"Não me mate. Você se lembra de mim, meu nome é... meu nome é..."
"6d1c752";"What are you doing?";"O que você está fazendo?"
"100c7ea8";"Obey! You have been given an order.";"Obedeça! Você recebeu uma ordem."
"1033ccdc";"I know, boy. But she'll be back.";"Eu sei, garoto. Mas ela vai voltar."
"1035d655";"I know, boy. But he'll be back.";"Eu sei, garoto. Mas ele vai voltar."
"110c2e5e";"Obey! Look, or you shall suffer.";"Obedeça! Olhe, ou você sofrerá."
"130e1946";"Obey! Look where you are told.";"Obedeça! Olhe para onde lhe mandam."
"14938a7b";"Week One";"Primeira Semana"
"1493f575";"Week Three";"Terceira Semana"
"15089432";"Obey! Let them starve.";"Obedeça! Deixe-os morrer de fome."
"160895a5";"Obey! They are to receive no food.";"Obedeça! Eles não devem receber comida."
"160ba1c8";"Obey! Your master commands you to look.";"Obedeça! Seu mestre ordena que você olhe."
"1708070f";"Obey! Beg for your life.";"Obedeça! Implore pela sua vida."
"170ab41d";"Obey! Direct your eyes where you are ordered.";"Obedeça! Direcione seus olhos para onde lhe for ordenado."
"1807cad7";"Obey! I order you to beg.";"Obedeça! Eu ordeno que você implore."
"1907cf34";"Obey! Do not feed the prisoners.";"Obedeça! Não alimente os prisioneiros."
"1b092ca4";"Obey! I command you not to help these men.";"Obedeça! Eu ordeno que você não ajude esses homens."
"1c08c598";"Obey! You were ordered to withhold food.";"Obedeça! Você recebeu ordens para reter comida."
"2108cdb7";"Obey! Submit to me and beg.";"Obedeça! Submeta-se a mim e implore."
"220ee5b0";"Obey! You will beg.";"Obedeça! Você vai implorar."
"2e715b72";"The Commandant wants to see you.";"O Comandante quer vê-lo."
"3a239d7a";"Step forward into the new world. Backwards lies chaos and despair.";"Dê um passo à frente para o novo mundo. O que se encontra no passado são o caos e o desespero."
"3b4eed64";"I will make you obey.";"Eu farei você obedecer."
"3e4da7bc";"All the time I've spent on you has not been wasted.";"Todo o tempo que passei com você não foi desperdiçado."
"3eaf4787";"Leave your possessions with Hammer and leave for the Spire?";"Deixar seus pertences com Hammer e partir para a Torre?"
"42bf6d84";"Every second that you resist, you grow weaker and I grow stronger.";"A cada segundo que você resiste, você fica mais fraca e eu fico mais forte."
"45c01378";"You will show me respect!";"Você me mostrará respeito!"
"45d9ac18";"Just give me your stuff when you're ready. I reckon I can carry it.";"Me dê suas coisas quando estiver pronto. Acho que consigo carregar."
"46d9ad8b";"I'll take good care of old dog breath, promise.";"Eu vou cuidar bem do bafo de cachorro velho, prometo."
"47bfbf29";"You will obey, or I will put you down.";"Você vai obedecer, ou eu vou te derrubar."
"47d8d128";"Whenever you're ready.";"Quando você estiver pronto."
"48bf1f06";"I will break you down, and then remake you as I see fit.";"Vou te desmontar e depois te reconstruir como bem entender."
"495aaca0";"Good.";"Ótimo."
"4b576f28";"Now, look over there.";"Agora, olhe ali."
"4b5bbaf2";"I believe you know this man.";"Acho que você conhece esse homem."
"4c5fd410";"Be still.";"Fique quieto."
"4d2884dc";"Obey! You have been given an order!";"Obedeça! Você recebeu uma ordem!"
"4de717ce";"You have done well so far.";"Você se saiu bem até agora."
"4e299995";"Obey! You have no choice!";"Obedeça! Você não tem escolha!"
"4f2776c0";"Obey! Submit to my will!";"Obedeça! Submeta-se à minha vontade!"
"4f5cbffe";"But those who cannot obey are useless.";"Mas aqueles que não obedecem são inúteis."
"5029fd11";"Obey! You shall be reduced to nothing!";"Obedeça! Você será reduzido a nada!"
"505b5950";"Those who do not obey can be made to.";"Aqueles que não obedecem podem ser forçados a isso."
"50e847ed";"I have selected you for a special duty...";"Eu os escolhi para uma missão especial..."
"51291de8";"Obey! Do as you are commanded!";"Obedeça! Faça o que lhe é ordenado!"
"515d2072";"268, shut your mouth!";"268, cale a boca!"
"5227c6d0";"You are losing so much. And for what?";"Você está perdendo muito. E por quê?"
"525d69a0";"Guard 268, I order you to be quiet.";"Guarda 268, ordeno silêncio."
"530d959a";"Three...";"Três..."
"53277bb3";"I have quelled more rebellious natures than yours.";"Já reprimi naturezas mais rebeldes que a sua."
"53333e5d";"The guy is mental.";"O cara é maluco."
"540bf68a";"Two...";"Dois..."
"542a6c53";"I said, come here. Obey me.";"Eu disse, venha aqui. Obedeça-me."
"550b632c";"Five...";"Cinco..."
"55368e5f";"The Commandant's right to keep this one caged. He's dangerous, he is.";"O Comandante tem o direito de mantê-lo preso. Ele é perigoso, sem dúvida."
"560c9637";"Four...";"Quatro..."
"5630aa10";"Oi, what're you doing in there, you nutter?";"Ei, o que você está fazendo aí dentro, seu maluco?"
"570d2fc9";"But you I will salvage. Ten seconds.";"Mas você eu vou salvar. Dez segundos."
"571d6551";"Which brings me to that new piece of jewellery you've got. The collar is part of Lord Lucien's obedience programme.";"O que me leva a essa nova joia que você conseguiu. O colar faz parte do programa de obediência do Lorde Lucien."
"580edd38";"Everyone has their breaking point, and I will find yours.";"Todos têm seu limite, e eu encontrarei o seu."
"58193c88";"The Commandant will... explain it to you.";"O Comandante irá... explicar para você."
"5834d34a";"Keep your distance from this one, I tell you. He's up to something.";"Mantenha distância deste, eu lhe digo. Ele está aprontando alguma coisa."
"591e7508";"Main thing is, do what you're told, and don't try taking the collar off. Because you can't, and the penalty for even trying is death. And not the quick and painless kind either.";"O importante é fazer o que lhe mandam e não tentar tirar a coleira. Porque você não consegue, e a pena por sequer tentar é a morte. E não daquela rápida e indolor."
"5a0b6acc";"This halfwit is beyond repair.";"Essa idiota não tem conserto."
"5a191bd9";"Now report to the Commandant.";"Agora, reporte-se ao Comandante."
"5c1d7864";"Morning, maggot. Welcome to the Spire. Hope you like it, because you're never leaving.";"Bom dia, verme. Bem-vindo à Torre. Espero que goste, porque você nunca mais sairá daqui."
"5d18e6a8";"Right now you're in the barracks. You will eat and sleep here, and the rest of the time you will work, wherever the Commandant assigns you.";"Agora você está no quartel. Você vai comer e dormir aqui, e o resto do tempo você trabalhará onde o Comandante te designar."
"5e0cc254";"Anyway, can't wait to write to Lil. Tell her all about it.";"Enfim, mal posso esperar para escrever para a Lil. Contar tudo para ela."
"5e1a312f";"Your job is keeping the scum building this place in line, and otherwise doing whatever the Commandant tells you, without question. When you receive an order, you will obey it immediately.";"Seu trabalho é manter a escória que constrói este lugar na linha e, de resto, fazer tudo o que o Comandante mandar, sem questionar. Quando receber uma ordem, obedeça imediatamente."
"5f0f445d";"Keeps nice and quiet.";"Fica quietinho."
"610bf0ec";"One.";"Um."
"620be644";"So be it.";"Que assim seja."
"62280640";"Obey! Thank the Commandant, or you shall suffer.";"Obedeça! Agradeça ao Comandante, ou sofrerá as consequências."
"62ae8548";"You will make an excellent soldier.";"Você será um excelente soldado."
"62dd5214";"Hammer has a good point. Once you are in the Spire, leaving will be difficult.";"Hammer tem razão. Uma vez dentro da Torre, sair será difícil."
"632d6839";"Obey! You have been given an order.";"Obedeça! Você recebeu uma ordem."
"640a08fd";"Oh, if Lil could see me now... She's always loved a bloke in uniform.";"Ah, se a Lil pudesse me ver agora... Ela sempre adorou um cara de uniforme."
