Hash;Original;Tradução
"0e81179";"Oh! Back for more?";"Ah! Voltou para mais?"
"0e8117b";"Hey, you're supposed to be dead!";"Ei, você deveria estar morto!"
"0e98668";"Playing dead were ya? Well, no need to play!";"Fingindo de morto, é? Bem, não precisa mais fingir!"
"37c1915";"Some people never know when to quit...";"Algumas pessoas nunca sabem a hora de desistir..."
"37c1916";"Still alive? I'll do a better job this time!";"Ainda vivo? Vou me sair melhor desta vez!"
"37eeadf";"You're supposed to go into the light, you numpty!";"Você deveria ir para a luz, seu idiota!"
"9cd362d";"Boom!";"Bum!"
"9cd362e";"Yes! Go on!";"Isso! Continue!"
"9d0d838";"That's my kinda shooting!";"Esse é o meu tipo de tiro!"
"103f1792";"Annoying when they do that, ain't it?";"É irritante quando fazem isso, não é?"
"103f1793";"That the best you can do? Kill the bugger!";"É o melhor que você consegue fazer? Mate o desgraçado!"
"1041b6d8";"Don't let that hobbin adventurer parry ya!";"Não deixe aquele aventureiro hobbista te aparar!"
"15d4851e";"No you don't!";"Não, Você não precisa!"
"15d4851f";"That's called a parry. Just so you know.";"Isso se chama defesa. Só para você saber."
"15d57b7f";"That was too easy.";"Isso foi fácil demais."
"2090df45";"Looks like you need more practice.";"Parece que você precisa praticar mais."
"2090df46";"You'll never beat me!";"Você nunca vai me vencer!"
"2090f18e";"Oh, you're making this easy!";"Ah, você está facilitando as coisas!"
"22fdbdf1";"Magic! Stinking, hobbin magic!";"Mágica! Magia fedorenta e maldita!"
"22fdbdf2";"What the bloody hell was that?!";"Que diabos foi isso?!"
"2302a385";"If there's one thing I can't bloody stand, it's magic!";"Se tem uma coisa que eu não suporto, é mágica!"
"24da87a9";"She's making a mockery of you.";"Ela está zombando de você."
"24db5fdb";"He's making a mockery of you.";"Ele está zombando de você."
"2c6a324e";"That's not how you do it!";"Não é assim que se faz!"
"2c6a324f";"Oh come on! You got to do better than that.";"Ah, qual é! Você tem que fazer melhor do que isso."
"2c6c9c48";"That swine knows how to block alright.";"Esse porco sabe bloquear direitinho."
"32a93d7c";"She blocked ya!";"Ela te bloqueou!"
"32abaa7a";"He blocked ya!";"Ele te bloqueou!"
"3328d459";"Sodding wizards! Hate 'em!";"Malditos magos! Eu os odeio!"
"3328d45b";"Oh, that's right use your weird will tricks. Can't beat us fairly, can ya?";"Ah, é mesmo, use seus truques de vontade estranhos. Não consegue nos vencer de forma justa, né?"
"332ca747";"Stick your spells up your arse!";"Enfie seus feitiços no seu traseiro!"
"36cf2a99";"Boss down! Boss Down!";"Chefe derrotado! Chefe derrotado!"
"36cf2a9b";"You killed the boss!";"Você matou o chefe!"
"36d04175";"The boss is dead!";"O chefe está morto!"
"371b3479";"She did the boss in!";"Ela acabou com o chefe!"
"371b641c";"He did the boss in!";"Ele acabou com o chefe!"
"374c3d0e";"Looks like someone needs a trip to the vets.";"Parece que alguém precisa ir ao veterinário."
"374c3d0f";"That'll teach your mutt to mess with a bandit.";"Isso vai ensinar seu vira-lata a não mexer com bandido."
"374cb70d";"That dog's dead meat!";"Esse cachorro está morto!"
"3826400a";"Come on!";"Vamos lá!"
"3826400b";"Bang! Woo!";"Bang! Uau!"
"382a1223";"Blow that head off!";"Exploda essa cabeça!"
"3b13feea";"He's got some skills, I'll give him that.";"Ele tem talento, isso eu admito."
"3b14630b";"She's got some skills, I'll give her that.";"Ela tem talento, isso eu admito."
"3f737d92";"No way through!";"Sem saída!"
"3f737d93";"You'll need to try harder than that!";"Você vai precisar se esforçar mais do que isso!"
"3f780262";"Let me guess, you're self-taught, right?";"Deixe-me adivinhar, você é autodidata, certo?"
"41a2d97f";"He killed the boss!";"Ele matou o chefe!"
"41aaa02e";"She killed the boss!";"Ela matou o chefe!"
"426dc1bc";"She bumped off the boss!";"Ela eliminou o chefe!"
"426dcf32";"He bumped off the boss!";"Ele eliminou o chefe!"
"46511f6a";"Don't let it bite you!";"Não deixe que ele te morda!"
"46511f6b";"Stop playing with that stupid mutt!";"Pare de brincar com esse vira-lata estúpido!"
"46519589";"Kill that dog already and help me with this one!";"Mate esse cachorro logo e me ajude com este!"
"470cbe7a";"Oh, got your second wind have ya. Let's try this again then.";"Ah, recuperou o fôlego, é? Vamos tentar de novo então."
"470cbe7b";"Argh! You're not a zombie, are ya?";"Argh! Você não é um zumbi, é?"
"471252f2";"Back from the dead, are you? Well, let's make sure that doesn't happen again.";"De volta dos mortos, é? Bom, vamos garantir que isso não aconteça de novo."
"478d8fcd";"Do that again and I'll lose my rag!";"Faça isso de novo e eu vou perder a paciência!"
"478d8fce";"Slippery bugger, ain't you?";"Que escorregadio, hein?"
"478ddec8";"Block me again and I'll knock yer head off!";"Me bloqueie de novo e eu arranco sua cabeça!"
"47edaa88";"Hmm, I should poke her with a stick, just to be sure...";"Hum, eu deveria cutucá-la com um graveto, só para ter certeza..."
"47f103a1";"Hmm, I should poke him with a stick, just to be sure...";"Hum, eu deveria cutucá-lo com um graveto, só para ter certeza..."
"4b61ca23";"Ow! You nutter! How am I supposed to kill you now?";"Ai! Seu maluco! Como vou te matar agora?"
"51ef804a";"Told ya I'd kill ya, didn't I?";"Eu te disse que ia te matar, não disse?"
"51ef804b";"Should've known not to mess with bandits.";"Devia saber que não se mexe com bandidos."
"51f29271";"And now to see what loot we've got.";"E agora vamos ver o que temos de saque."
"5235a6a2";"I'm faster than you!";"Sou mais rápido que você!"
"5235a6a3";"That the best you've got?";"É só isso que você consegue?"
"523826e1";"You'll have to do better than that!";"Você vai ter que se esforçar mais!"
"5416b09d";"How slow do you think I am?";"Quão lento você acha que eu sou?"
"5416b09f";"Yeah! Keep on coming!";"É isso aí! Continue vindo!"
"541af5a4";"Yeah, I can block, How about that?";"Sim, eu posso bloquear. Que tal?"
"56c49f4d";"And once more I stand over the corpse of an enemy. Feels good!";"E mais uma vez estou sobre o cadáver de um inimigo. Que sensação boa!"
"56c49f4e";"Let see how much gold they had on 'em.";"Vamos ver quanto ouro eles tinham."
"56c57bfc";"Well, that was fun.";"Bem, isso foi divertido."
"58a0e706";"Grr!";"Grrr!"
"58a0e707";"Gah!";"Gah!"
"58a5ee58";"Cuh!";"Cuh!"
