Hash;Original;Tradução
"00dfeef";"Discover your destiny as you return to Albion.";"Descubra seu destino ao retornar para Albion."
"04ddd3b";"Like Uncle Phineas used to say, if life hands you a collapsed bridge, make bridgemonade.";"Como o tio Phineas costumava dizer, se a vida te der uma ponte desabada, faça uma ponte mágica."
"13150d2";"Completed Beer Chain: %1";"Sequência de Cerveja Concluída: %1"
"14e7174";"Come on, Barnum, old boy. You'll think of something. If there's one thing you can do, it's cogitate on your feet.";"Vamos lá, Barnum, meu velho. Você vai pensar em alguma coisa. Se há uma coisa que você sabe fazer, é pensar rápido."
"24e9751";"I mean, right after I bought the deeds too. BLAM, down it goes.";"Quer dizer, logo depois que comprei a escritura também. PÁ! Caiu."
"2c25316";"You are now a Level %1 bartender";"Você agora é um bartender de nível %1"
"34e84e1";"Oh dear, oh dear. How could this happen?";"Oh, céus, oh, céus. Como isso pôde acontecer?"
"37be33c";"You really know how to pour beer.";"Você realmente sabe como servir cerveja."
"c916506";"The head isn't quite right.";"A cabeça não está bem."
"d3ee96d";"Nice. I might have to drink that one myself.";"Legal. Acho que vou ter que beber isso também."
"f78cf70";"Average pint that.";"Uma caneca média."
"109c4170";"Serve drinks in Rookridge.";"Sirva bebidas em Rookridge."
"127610bc";"Retrieve The Weapon and Defeat Lucien";"Recupere a arma e derrote Lucien"
"13b0c050";"Out of time.";"Sem tempo."
"155ffdc0";"Please be careful though. These villains are a dangerous lot.";"Mas tome cuidado. Esses vilões são perigosos."
"165b5010";"The guards haven't had much luck, but with you on board I know it will all turn out spiffingly. That gold will be rolling in in no time!";"Os guardas não tiveram muita sorte, mas com você a bordo, sei que tudo vai dar certo. O ouro vai começar a jorrar em pouco tempo!"
"1707c7a6";"Don't even bother coming after me. I'm the fastest man in Albion!";"Nem se dê ao trabalho de vir atrás de mim. Eu sou o homem mais rápido de Albion!"
"185aa31c";"Wondrous! I knew I could count on you, old friend!";"Maravilha! Eu sabia que podia contar com você, minha cara amizade!"
"19867917";"That's not good.";"Isso não é bom."
"1df84025";"The Hero of Skill";"O Herói da Habilidade"
"1e9b76b1";"It's all just a blip I'm sure. I'll be charging a toll on that bridge in no time. And whoever helps me is bound to get a cut. Oh yes...";"É tudo apenas um pequeno deslize, tenho certeza. Em breve estarei cobrando pedágio naquela ponte. E quem me ajudar certamente receberá uma parte. Ah, sim..."
"208f7556";"I'll have to charge you for that.";"Vou ter que cobrar por isso."
"20e0b743";"Instructions";"Instruções"
"225ba648";"Press <a_img> to serve. Press <b_img> to quit the job.";"Pressione <a_img> para servir. Pressione <b_img> para sair do trabalho."
"229a1c6c";"It's okay! Take all the time you need to think about it. I know you'll do right by old Barnum in the end.";"Tudo bem! Leve todo o tempo que precisar para pensar. Sei que você fará justiça ao velho Barnum no final."
"23c9cab7";"Still there? You're wasting your time, you drowsy slug.";"Ainda aí? Você está perdendo seu tempo, seu preguiçoso."
"23e0bc1c";"Bartender";"Garçom"
"24670850";"You're lucky I'm in a rosy mood. I managed to con some mug into buying that bridge from me, didn't I. Just before I blew the bugger up. <laughs>";"Você tem sorte de eu estar de bom humor. Consegui enganar um otário e ele comprou aquela ponte de mim, não é? Bem na hora que eu explodi a desgraçada. <laughs>"
"2562f8d0";"So, I'll make sure you get offed real quick. How about that?";"Então, vou garantir que você seja eliminado rapidinho. Que tal?"
"25fbfe3a";"Stop pouring.";"Pare de despejar."
"275f042b";"Work as a bartender.";"Trabalhe como bartender."
"2761ab41";"Shoo, will you?! Shoo!";"Xô, vai?! Xô!"
"2766e3cb";"Don't they ever get tired of sending you people out here?";"Eles nunca se cansam de mandar vocês para cá?"
"2861e9a8";"Your fleas need an holiday-- why don't you take them to the bottom of the river?";"Suas pulgas precisam de férias - por que você não as leva para o fundo do rio?"
"296f1fa7";"I hear there's a stash of precious bones just over the edge of the cliff. Here, I'll draw you a map.";"Ouvi dizer que há um esconderijo de ossos preciosos logo além da beira do penhasco. Aqui, vou desenhar um mapa para você."
"2a64de4e";"I'll rock this thing 'til it comes down and smashes you up!";"Vou arrasar com isso até cair e te esmagar!"
"2b676692";"Get lost, you damn dog!";"Dê o fora daqui, seu cachorro maldito!"
"2d625583";"I'll stick a bullet right in your nozzle.";"Vou enfiar uma bala bem no seu cano."
"2e63c214";"Go chase a chain of sausages, you vicious mutt!";"Vá atrás de uma corrente de salsichas, seu vira-lata feroz!"
"3005b7b1";"It's not a bad pint.";"Não é uma cerveja ruim."
"3366d5d5";"That's it, I'm gonna make a run for it. Ahh, what's the use...";"Chega, vou fugir. Ah, qual é o sentido..."
"3449af3e";"Oh, be careful!";"Oh, tenha cuidado!"
"346c44f9";"Just leave me the heck alone, you oversized rat!";"Me deixe em paz, seu rato gigante!"
"34e43ebb";"A delicious looking pint.";"Uma caneca com uma aparência deliciosa."
"37138070";"As my uncle Phineas used to say, woe betide the bandit who takes an honest man's bread, or bridge.";"Como meu tio Phineas costumava dizer, ai do bandido que rouba o pão ou a ponte de um homem honesto."
"38134dfa";"That dankish motley crew is hiding out in an abandoned inn somewhere in Rookridge, last I heard.";"Aquela corja esquisita está escondida em uma estalagem abandonada em algum lugar de Rookridge, pelo que sei."
"3914a078";"I know you'll put an end to all this malarkey.";"Eu sei que você vai acabar com toda essa palhaçada."
"39cc6b72";"Oh, try to get a better head of beer next time.";"Ah, tente pegar uma cerveja melhor da próxima vez."
"3a15b6a5";"I'll be able to pay you properly once my bridge is up and running.";"Poderei te pagar devidamente assim que minha ponte estiver funcionando."
"4140f031";"Ahh, the Hero returns! A stupendous success. Jolly well done!";"Ah, o Herói retorna! Um sucesso estrondoso. Muito bem!"
"420aec6a";"You call that a pint?";"Você chama isso de caneca?"
"42f960de";"You're doing great, lads! I'll, er... I'll be right back!";"Vocês estão indo muito bem, pessoal! Eu... eu já volto!"
"434249b5";"Still, at least it's not me who has to rebuild the bridge now.";"Ainda bem que não sou eu quem tem que reconstruir a ponte agora."
