Hash;Original;Tradução
"357f6eb";"Look! Either put the safety on or stop shooting!";"Olha! Ou trava a arma ou para de atirar!"
"3599d59";"Have you lost your mind, citizen? Your weapon could go off an kill someone!";"Você perdeu a cabeça, cidadão? Sua arma pode disparar e matar alguém!"
"83bc361";"The old point and shoot, eh?";"A velha e boa pistola de apontar e atirar, né?"
"83bc364";"You got the safety catch on that, right?";"Tem a trava de segurança, né?"
"83bc366";"Can that thing go through armour?";"Será que essa coisa atravessa blindagem?"
"83bc367";"I had a pellet gun when I was a boy. Not really the same thing though.";"Eu tinha uma espingarda de chumbinho quando era menino. Mas não é a mesma coisa."
"83c7630";"Nice shooting!";"Bela foto!"
"d3bcb01";"Feeling trigger happy?";"Sentindo-se com o dedo no gatilho?"
"d3bcb05";"Ever tried shooting an apple off someone's head?";"Já tentou acertar uma maçã na cabeça de alguém com um tiro?"
"d3bcb06";"So, is that your favourite weapon?";"Então, essa é a sua arma favorita?"
"d3bcb07";"Doing some target practice?";"Praticando tiro ao alvo?"
"d3e7237";"How do you aim that when there's a dozen enemies coming at you?";"Como você mira quando tem uma dúzia de inimigos vindo na sua direção?"
"e6fe492";"Man! They'd never let me wave a weapon about like that!";"Cara! Eles nunca me deixariam brandir uma arma assim!"
"12610d59";"Hey! I don't want to end up dead, you know.";"Ei! Eu não quero acabar morto, sabia?"
"12610d5d";"Watch it! You killing invisible bandits or what?";"Cuidado! Você está matando bandidos invisíveis ou o quê?"
"12610d5e";"This is an accident waiting to happen.";"Isso é um acidente prestes a acontecer."
"12610d5f";"Careful! Someone could get hurt!";"Cuidado! Alguém pode se machucar!"
"1263dbd5";"What are you doing?! That could really hurt someone.";"O que você está fazendo?! Isso pode machucar alguém de verdade."
"13d5adb6";"Put that weapon away please. You could easily hurt someone.";"Guarde essa arma, por favor. Você pode facilmente ferir alguém."
"13d6afd6";"I insist you put away your weapon. It's an accident waiting to happen.";"Insisto que guarde sua arma. É um acidente prestes a acontecer."
"15719ba5";"You shouldn't really have that out like that. What if you shoot someone by accident?";"Você não deveria deixar isso exposto assim. E se você atirar em alguém sem querer?"
"1d611e89";"You're gonna cause some serious damage with that.";"Você vai causar um estrago sério com isso."
"1d611e8c";"How about you don't kill anyone today? Put it away.";"Que tal você não matar ninguém hoje? Guarde isso."
"1d611e8e";"This going to end badly if you don't stop.";"Isso vai acabar mal se você não parar."
"1d611e8f";"This is no place to use that properly!";"Este não é o lugar para usar isso direito!"
"1d628323";"Hey be careful!";"Ei, tenha cuidado!"
"1e4e26b2";"Are you insane, citizen? You could kill someone. Put your weapon away.";"Você está louco, cidadão? Você poderia matar alguém. Guarde sua arma."
