Hash;Original;Tradução
"5728dce";"There's a hobbe that lives under my bed, you know.";"Tem um hobbe que mora debaixo da minha cama, sabia?"
"e7299c1";"Did you know there's a balverine that lives in my bedroom?";"Sabia que tem um balverine morando no meu quarto?"
"122d73fc";"I bet you never have do use maths, do you?";"Aposto que você nunca precisou usar matemática, não é?"
"1b328198";"I bet you don't know what year Fairfax Castle was built.";"Aposto que você não sabe em que ano o Castelo de Fairfax foi construído."
"1bb2d338";"I bet nobody makes you take a bath once a week, do they?";"Aposto que ninguém te obriga a tomar banho uma vez por semana, né?"
"23888f21";"I hear you keep getting beaten. Won't learn anything that way.";"Ouvi dizer que você vive apanhando. Não vai aprender nada desse jeito."
"23888f24";"If you manage to stay on your feet in your fights you might learn something.";"Se você conseguir se manter de pé nas suas lutas, talvez aprenda alguma coisa."
"23888f26";"You need to pay attention in your fights if you're going to get better.";"Você precisa prestar atenção nas suas lutas se quiser melhorar."
"23888f27";"Haven't you learned anything from your battles?";"Você não aprendeu nada com suas batalhas?"
"238aea9c";"I'm surprised tyou can still walk after that last beating.";"Estou surpreso que você ainda consiga andar depois daquela última surra."
"26b46b3f";"Did you know there was a town called Oakvale a long time ago?";"Você sabia que existiu uma cidade chamada Oakvale há muito tempo?"
"288896c1";"Get you arsed kicked again? You'll never learn.";"Levou outra surra? Você nunca vai aprender."
"288896c2";"Seems like the only thing you learn from your fights is how to hit the ground.";"Parece que a única coisa que você aprende com suas brigas é como cair no chão."
"288896c5";"You mustn't do very well in your little battles. They say you're actually getting worse.";"Você não deve estar se saindo muito bem nas suas pequenas batalhas. Dizem que você está piorando."
"288896c6";"Get another beating did you? You'll never learn if you don't fight back.";"Levou outra surra, não é? Você nunca vai aprender se não revidar."
"288896c7";"You'll never get any better at fighting if you keep getting beaten.";"Você nunca vai melhorar na luta se continuar apanhando."
"288c77ff";"You can't learn from your fights if you keep going down, you know.";"Você não aprende com suas lutas se continuar perdendo, sabia?"
"2eac0f63";"My parents would be mortified to know I live in Westcliff. Of course, it was a very different place in their time.";"Meus pais ficariam mortificados se soubessem que eu moro em Westcliff. Claro, era um lugar muito diferente naquela época."
"2eac0f64";"Oh, believe me, Westcliff wasn't always this welcoming. Barnum did a great thing here.";"Ah, acredite, Westcliff nem sempre foi tão acolhedora. Barnum fez um ótimo trabalho aqui."
"2eac0f67";"It isn't half a classy place this now.";"Não é nem de longe um lugar elegante como é hoje."
"2ead60d8";"I hear this town used to be a real sewer. Only the worst class of people. How things change.";"Ouvi dizer que esta cidade costumava ser um verdadeiro esgoto. Só a pior classe de pessoas. Como as coisas mudam."
"33ac1703";"Oh, I'm so glad they cleaned up this delightful town. Our kind needed the space.";"Ah, que bom que limparam esta cidade encantadora. Nossa espécie precisava do espaço."
"33ac1706";"Ever since they threw out all the ruffians from Westcliff, it's one of my favourite places in the world.";"Desde que expulsaram todos os rufiões de Westcliff, este lugar se tornou um dos meus favoritos no mundo."
"33af5d55";"Do you remember what this place used to look like? Cleaned up its act alright.";"Você se lembra de como este lugar costumava ser? Deu uma melhorada, com certeza."
"356af049";"Ha, is it true you lost a fight and then lost your gold too?";"Ha, é verdade que você perdeu uma luta e perdeu seu ouro também?"
"356af04a";"You're supposed to get gold when you off adventuring. Not lose it.";"Você deveria ganhar ouro quando está em suas aventuras. Não perdê-lo."
"356af04d";"One must never give up one's gold, even if one has been knocked unconscious to the ground.";"Nunca se deve desistir do ouro, mesmo que se tenha sido nocauteado e caído no chão."
"356af04e";"So you keep losing your money in your fights, do you?";"Então você continua perdendo seu dinheiro nas suas lutas, é?"
"356af04f";"Got beaten up and robbed did you?";"Você foi espancado e roubado?"
"356b1e0a";"Is it true they keep taking your gold on the battlefield?";"É verdade que eles continuam levando seu ouro no campo de batalha?"
"406b01f9";"Is true you had to pay your way out of a fight?";"É verdade que você teve que pagar para sair de uma luta?"
"406b01fa";"Bet you can't afford to buy much after losing your gold in a fight.";"Aposto que você não tem dinheiro para comprar muita coisa depois de perder seu ouro em uma luta."
"406b01fc";"You will never become as rich as me if you don't hold on to your gold during hostile encounters.";"Você nunca ficará tão rico quanto eu se não guardar seu ouro durante confrontos hostis."
"406b01fe";"You'll be poor in no time if you don't fend of your enemies.";"Você ficará pobre rapidinho se não se defender dos seus inimigos."
"406b01ff";"The only way to keep your gold is to win your fights.";"A única maneira de manter seu ouro é vencer suas lutas."
"406b6f08";"I heard you lost quite a bit of gold after one of your battles.";"Ouvi dizer que você perdeu bastante ouro em uma de suas batalhas."
"466a5549";"I miss Westcliff. Still can't believe they kicked us out of our homes.";"Sinto falta de Westcliff. Ainda não consigo acreditar que nos expulsaram de nossas casas."
"466a554a";"Wouldn't be seen dead in Westcliff these days. Got no character.";"Nem morto seria visto em Westcliff hoje em dia. Não tem personalidade."
"466a554b";"I have a strong desire to visit the Crucible in Westcliff. Such a delightful pastime.";"Tenho muita vontade de visitar o Crucible em Westcliff. Um passatempo tão delicioso."
"466a554d";"Do you mean to say you haven't visited Westcliff of late? It is a much changed place, I assure you.";"Quer dizer que você não visitou Westcliff ultimamente? É um lugar muito diferente, garanto."
"466a554e";"Have you been to Westcliff lately? It's such a welcoming place now.";"Você esteve em Westcliff recentemente? É um lugar tão acolhedor agora."
"466a554f";"I think I'll take a trip to Westcliff soon. It's such a nice town these days.";"Acho que vou fazer uma viagem para Westcliff em breve. É uma cidade tão agradável ultimamente."
"4671484b";"Maybe I'll go on holiday to Westcliff. It's so relaxing there.";"Talvez eu vá passar férias em Westcliff. É tão relaxante lá."
"516a66f9";"One day we'll take westcliff back from the toffs. You'll see.";"Um dia retomaremos Westcliff das mãos dos ricos. Você verá."
"516a66fa";"The only thing I miss about Westcliff is The Crucible. They won't let the likes of me in anymore.";"A única coisa de que sinto falta em Westcliff é o Crucible. Eles não deixam mais gente como eu entrar."
"516a66fb";"I so look forward to my next visit to Westcliff. It has gone through such a dramatic change from its former iniquity.";"Estou ansioso pela minha próxima visita a Westcliff. Passou por uma transformação tão drástica desde sua antiga iniquidade."
"516a66fc";"Me and my comrades are planning a trip to the Crucible in Westcliff. We're asiduous visitors.";"Eu e meus camaradas estamos planejando uma viagem ao Crucible em Westcliff. Somos visitantes assíduos."
"516a66fe";"I'm trying to save up for a trip to Westcliff. It's so fancy there now.";"Estou tentando juntar dinheiro para uma viagem a Westcliff. Está tão chique lá agora."
"516a66ff";"I was in Westcliff last week. Can't believe it's the same place.";"Estive em Westcliff semana passada. Não acredito que seja o mesmo lugar."
"516caa57";"Have you visited Westcliff lately? It's nothing like the collection of hovels it used to be.";"Você visitou Westcliff recentemente? Não se parece em nada com o amontoado de casebres que costumava ser."
"5d211ed3";"I was reading about a woman called Lady Grey. She wasn't very nice.";"Eu estava lendo sobre uma mulher chamada Lady Grey. Ela não era muito legal."
"630f14ea";"What do you reckon about her?";"O que você acha dela?"
"64bf5b9c";"Why do some people worship Light? It sounds silly to me.";"Por que algumas pessoas adoram a Luz? Parece-me absurdo."
"6621b5b1";"I've been trying to grow a beard, but it doesn't work.";"Estou tentando deixar a barba crescer, mas não consigo."
"6fcc5822";"I can fit forty-four sweets in my mouth at once.";"Consigo colocar quarenta e quatro doces na boca de uma vez."
"7c2d53d8";"Is it true Jack of Blades eats small children who tell lies?";"É verdade que Jack of Blades come criancinhas que contam mentiras?"
"852e4a00";"Being good's so boring.";"Ser bom é tão chato."
"868c1fb9";"One cannot hope to become famous by suffering at the hands of common foes.";"Ninguém pode esperar ficar famoso sofrendo nas mãos de inimigos comuns."
"868c1fba";"How can you hope to build renown when you have so much trouble dealing with your enemies?";"Como você pode esperar construir renome quando tem tanta dificuldade para lidar com seus inimigos?"
"868c1fbb";"You ain't gonna get famous fighting like you do.";"Você não vai ficar famoso lutando desse jeito."
"868c1fbc";"You've been losing some respect 'round here after getting your head punched in.";"Você perdeu um pouco do respeito por aqui depois de levar um soco na cabeça."
"868c1fbd";"You don't seem quite as impressive as you used to be.";"Você não parece tão impressionante quanto costumava ser."
"868c1fbe";"Weren't you a lot more famous? Before losing so many fights, that is.";"Você não era muito mais famoso? Antes de perder tantas lutas, claro."
"86924d11";"I used to think you were great, but I heard how you got beaten up.";"Eu costumava te achar ótimo, mas ouvi dizer que você apanhou."
"8f8c2d89";"You're losing all credibility after all those beatings.";"Você está perdendo toda a credibilidade depois de todas essas surras."
"8f8c2d8b";"You're hardly going to make your enemies shake with fear when word of your failures spreads around.";"Você dificilmente vai assustar seus inimigos quando a notícia dos seus fracassos se espalhar."
"8f8c2d8c";"Every time you get knocked down you lose a bit of respect, you know.";"Cada vez que você cai, perde um pouco do respeito, sabia?"
"8f8c2d8d";"Word of your difficulties in battle has been spreading. Very unimpressive.";"A notícia das suas dificuldades em batalha se espalhou. Nada impressionante."
"8f8c2d8e";"Truly famous adventurers never fall to their foes.";"Aventureiros verdadeiramente famosos jamais caem diante de seus inimigos."
"8f8c2d8f";"We heard all about that beating you took. Don't seem to grand now, do ya?";"Ouvimos falar da surra que você levou. Não parece tão grandioso agora, não é?"
"8f8fb3dc";"Ha, here you are trying to convince everyone how great you are, but we all know what a kicking you got recently.";"Ha, você aí tentando convencer todo mundo de como você é incrível, mas todos nós sabemos a surra que você levou recentemente."
"ae828f52";"Oh, dear, did you get those horrifying scars fighting?";"Nossa, você ganhou essas cicatrizes horríveis brigando?"
"ae828f53";"Not doing a good job of fighitng are ya? Just look at all your scars.";"Não está se saindo bem nas brigas, né? Olha só essas cicatrizes."
"ae828f54";"Them scars tell a story. And you don't come out smelling too rosy from it.";"Essas cicatrizes contam uma história. E você não sai dessa ileso."
"ae828f55";"Look at all those scars! You must have spent a long time getting beaten up.";"Olha só essas cicatrizes! Você deve ter apanhado bastante."
"ae828f57";"Having trouble with your enemies? I can tell by the scars.";"Com problemas com seus inimigos? Posso dizer pelas cicatrizes."
"ae846051";"I can tell by your scars you've had a few mishaps.";"Posso dizer pelas suas cicatrizes que você já passou por alguns percalços."
"ae846052";"What's the latest news?";"Quais as últimas notícias?"
"ae846053";"Heard any interesting news lately?";"Ouviu alguma notícia interessante ultimamente?"
"ae846054";"So what's going on in the world?";"E aí, o que está acontecendo no mundo?"
"ae846055";"Got any hot gossip?";"Tem alguma fofoca quente?"
"ae846056";"Anything happening in the world?";"Aconteceu alguma coisa no mundo?"
"ae846057";"Have there been any world events of note lately?";"Houve algum evento mundial notável recentemente?"
"ae857089";"What news has reached you of late?";"Quais notícias chegaram até você recentemente?"
"b51f1705";"If you have two dozen apples and I take away seven apples, how many pies can you make?";"Se você tem duas dúzias de maçãs e eu tiro sete, quantas tortas você pode fazer?"
"b5829a59";"You mustn't be doing too well in your battles to have scars like those.";"Você não deve estar se saindo muito bem nas suas batalhas para ter cicatrizes assim."
"b5829a5a";"Pff, what kind of adventurer has scars like that? Not a very good one, that's what kind.";"Pff, que tipo de aventureiro tem cicatrizes assim? Não é lá essas coisas."
"b5829a5c";"You can't be a great adventurer judging by all those scars.";"Você não deve ser um grande aventureiro, a julgar por todas essas cicatrizes."
"b5829a5e";"You must be a rather inept fighter to have received such scars.";"Você deve ser um lutador bem inepto para ter tantas cicatrizes."
"b5829a5f";"Not been doing so good in your fights have ya? Look at them scars!";"Não anda se saindo muito bem nas lutas, né? Olha só essas cicatrizes!"
"b584d6f8";"Ha! Looks like your enemies have been scarring the hell out of ya.";"Ha! Parece que seus inimigos andaram te deixando com um nó na garganta."
"b9847182";"Anything new happening?";"Alguma novidade?"
"b9847183";"Heard any good gossip?";"Ouviu alguma fofoca interessante?"
"b9847184";"Anything interesting going on in the world?";"Aconteceu alguma coisa interessante no mundo?"
"b9847185";"Much happening lately?";"Aconteceu muita coisa ultimamente?"
"b9847186";"What's going on?";"O que está acontecendo?"
"b9847187";"Do you have any news of interest to share?";"Tem alguma notícia interessante para compartilhar?"
"b98767df";"Have you perchance heard any news of late?";"Por acaso você ouviu alguma notícia recentemente?"
"ba213694";"Want to come to my tea party next week?";"Quer vir ao meu chá na semana que vem?"
"baad2b7f";"What you think about him?";"O que você acha dele?"
"baadc655";"What do you think of her?";"O que você acha dela?"
"babe2ae1";"I'm going to be a guard when I grow up. It looks easy.";"Quando crescer, serei guarda. Parece fácil."
"c5be2a01";"If I hold my breath for thirty-seconds I can see funny stuff.";"Se eu prender a respiração por trinta segundos, posso ver coisas engraçadas."
"cfe0c2f3";"Remember when there were monks in the Temple of Light? So horrible what happened to them.";"Lembra quando havia monges no Templo da Luz? Que horror o que aconteceu com eles."
"cfe0c2f4";"Nobody lifted a finger to help the Temple of Light monks, and look at the place now.";"Ninguém moveu um dedo para ajudar os monges do Templo da Luz, e veja só como o lugar está agora."
"cfe0c2f5";"Did you hear what happened to that Temple in Oakfield? The Shadow worshippers massacred everyone.";"Você ouviu o que aconteceu com aquele templo em Oakfield? Os adoradores das Sombras massacraram todos."
"cfe0c2f6";"You know what makes me smile? Thinking of those daft monks in Oakfield. They sure saw the light in the end. Ha!";"Sabe o que me faz sorrir? Pensar naqueles monges tolos de Oakfield. Eles certamente viram a luz no fim do túnel. Ha!"
"cfe0c2f7";"Not even the Golden Oak could save the Temple of Light.";"Nem mesmo o Carvalho Dourado conseguiu salvar o Templo da Luz."
"cfe1ecb6";"I was no believer in the Light, but it was horrible how the Temple of Shadows pillaged Oakfield.";"Eu não acreditava na Luz, mas foi horrível como o Templo das Sombras saqueou Oakfield."
