Hash;Original;Tradução
"04e940b";"Protect Charles from hollow men?";"Proteger Charles dos homens ocos?"
"14e95fe";"Give Charles's hat to Granny Miggins?";"Dar o chapéu de Charles para a Vovó Miggins?"
"34e98c4";"Look for Charlie?";"Procurando por Charlie?"
"6728d97";"So you'll hunt down the bandit Ripper, and bring him to me alive?";"Então você vai caçar o bandido Ripper e trazê-lo vivo para mim?"
"6e99ead";"How come none of them figure out where we really are?";"Como é que nenhum deles descobre onde realmente estamos?"
"76eddce";"Return to Granny Miggins.";"Voltar para a Vovó Miggins."
"86edfa1";"Escort Charles out of the tomb.";"Acompanhe Charles para fora do túmulo."
"96ee114";"Show Charles's hat to Granny Miggins.";"Mostre o chapéu de Charles para a Vovó Miggins."
"a6ee287";"Collect Charles's effects.";"Recolha os pertences de Charles."
"b0651df";"Yes. Very impressive.";"Sim. Muito impressionante."
"b7ae7d0";"Look for Charlie in the Tomb of Heroes.";"Procure por Charlie no Túmulo dos Heróis."
"d7422c4";"Show Charles's hat to Granny Miggins.";"Mostre o chapéu de Charles para a Vovó Miggins."
"e686f81";"Oh, you will hurry, won't you? He's such a sweet lad, and he's all alone.";"Ah, você vai se apressar, não é? Ele é um rapaz tão doce, e está completamente sozinho."
"e6eebb7";"Defend Charles from the hollow men.";"Defenda Charles dos homens ocos."
"f6584e8";"It breaks my heart to think of my poor boy lost in those tombs. Please bring him back to me.";"Parte meu coração pensar no meu pobre garoto perdido naquelas tumbas. Por favor, traga-o de volta para mim."
"106872e7";"Oh, please rescue my boy from that awful tomb.";"Oh, por favor, resgate meu garoto daquele túmulo horrível."
"136f4d22";"Help Charles open the sarcophagus.";"Ajude Charles a abrir o sarcófago."
"147112f3";"Take Charles's effects to Granny Miggins.";"Leve os pertences de Charles para a Vovó Miggins."
"1567f992";"People like Ripper don't deserve to live... don't deserve to be called people.";"Pessoas como o Estripador não merecem viver... não merecem ser chamadas de pessoas."
"17e2c9bb";"Gargoyle Map";"Mapa da Gárgula"
"186ba9d1";"He's taken what mattered most to me... but he won't take anything else. I won't let him.";"Ele levou o que mais importava para mim... mas não vai levar mais nada. Eu não vou deixar."
"235158d1";"The Gargoyles";"Os Gárgulas"
"2d99d63b";"Rescuing Charlie";"Resgatando Charlie"
"3803f68d";"You didn't leave him in those awful tombs, did you?";"Você não o deixou naquelas tumbas horríveis, deixou?"
"39021a77";"Did Charlie get scared when he saw you? I told you to show him the note.";"Charlie ficou com medo quando te viu? Eu te disse para mostrar o bilhete para ele."
"39fecf5d";"Is he still sulking because I wouldn't buy him any ice cream?";"Ele ainda está emburrado porque eu não quis comprar sorvete para ele?"
