Hash;Original;Tradução
"2728699";"Ooh! A celebrity is flirting with me! Oooohh!!!!";"Ooh! Uma celebridade está flertando comigo! Oooohh!!!!"
"272869b";"Whhhhaaaaa? Meeee? Ooooh! Hee hee!";"O quêêêê? Euuuu? Ooooh! Hehe!"
"272869c";"Oooh! Wow! But you're so famous! And I'm not!";"Uau! Mas você é tão famoso! E eu não!"
"272869d";"Oh! Your quests are well known, and now so are your romantic inclinations!";"Oh! Suas missões são bem conhecidas, e agora suas inclinações românticas também!"
"272869e";"My! Oh! Well... my! Hee hee!";"Nossa! Oh! Bem... nossa! Hehe!"
"272869f";"That was for meeeeee??? Well! Guess I know how to attract fame and fortune, don't I?!";"Isso foi para mim??? Bem! Acho que sei como atrair fama e fortuna, não é?!"
"272f8a9";"You and me??? Un-hobbin-believable!";"Você e eu??? Inacreditável!"
"f4d6c02";"What are you doing?!";"O que você está fazendo?!"
"1a4f54bc";"What are you doing?!";"O que você está fazendo?!"
"1dd81b59";"Don't think it's me you're looking for. Better not be.";"Não pense que é a mim que você está procurando. É melhor que não seja."
"1dd81b5a";"You sure you got the right person?! For pig's sakes...";"Tem certeza de que está falando com a pessoa certa?! Pelo amor de Deus..."
"1dd81b5b";"I don't believe you are addressing the correct person.";"Acho que você não está se dirigindo à pessoa correta."
"1dd81b5d";"Surely you must be searching for someone else.";"Certamente você deve estar procurando por outra pessoa."
"1dd81b5e";"That's not really, um, really appropriate, er, you know.";"Isso não é muito, hum, muito apropriado, sabe?"
"1dd81b5f";"Hmm, I think you might have the wrong person.";"Hum, acho que você está enganado."
"1dda7eda";"Hey, who do you think I am?!";"Ei, quem você pensa que eu sou?!"
"2768b594";"Am I really worthy of your attention? How thrilling.";"Será que eu realmente mereço sua atenção? Que emocionante."
"288574c9";"You have a beguiling way about you.";"Você tem um jeito encantador."
"288574ca";"That is so romantic.";"Que romântico!"
"288574cb";"You know how to push my buttons.";"Você sabe como me provocar."
"288574cc";"That's some sweet moves.";"Que movimentos doces!"
"288574cd";"How romantic.";"Que romântico!"
"288574ce";"Oh, that really makes me go gooey.";"Oh, isso me deixa toda derretida."
"28868303";"Oh, wonderful.";"Oh, maravilhoso."
"28d82c89";"Who you think I am anyways?";"Quem você pensa que eu sou, afinal?"
"28d82c8a";"Me?! Don't be a fool!";"Eu?! Não seja tolo!"
"28d82c8b";"Please direct your attentions to someone more appropriate.";"Por favor, dirija sua atenção a alguém mais apropriado."
"28d82c8c";"I am afraid you are much mistaken.";"Receio que você esteja muito enganado."
"28d82c8e";"Erm, I think you have me confused with someone else...";"Hum, acho que você me confundiu com outra pessoa..."
"28d82c8f";"Oh please! Find someone else!";"Ah, por favor! Encontre outra pessoa!"
"28dcb3b0";"Mmm, I don't think I'm the one you're looking for.";"Hum, acho que não sou a pessoa que você procura."
"31858319";"I'll be dreaming of you.";"Estarei sonhando com você."
"3185831b";"It's not many people who know how to be romantic.";"Poucas pessoas sabem ser românticas."
"3185831c";"That's some smooth romancing.";"Belo romantismo esse."
"3185831d";"You are one smooth operator.";"Você é um verdadeiro conquistador."
"3185831e";"I shall be dreaming of thee.";"Estarei sonhando contigo."
"3185831f";"I guess romance ain't dead after all.";"Acho que o romance não morreu, afinal."
"3188d869";"You make me all soft.";"Você me deixa todo derretido."
"36937811";"Oh, nice.";"Oh, legal."
"36937812";"Oh, nice.";"Oh, legal."
"36937814";"Ooooh!";"Uau!"
"36937815";"Oh, nice.";"Oh, legal."
"36937816";"Oh, nice.";"Oh, legal."
"36937817";"Oh, nice.";"Ah, legal."
"3695bfe0";"Oh, nice.";"Ah, legal."
"3f938679";"Oh, nice.";"Oh, que bom."
"3f93867a";"Oh, nice.";"Oh, que bom."
"3f93867b";"Oh, nice.";"Oh, que bom."
"3f93867c";"Oh, nice.";"Oh, que bom."
"3f93867d";"Oh, nice.";"Ah, legal."
"3f93867f";"Oh, nice.";"Ah, legal."
"3f93aa64";"Oh, nice.";"Ah, legal."
"45a7fd89";"Please direct your attentions to someone more appropriate.";"Por favor, direcione sua atenção para alguém mais apropriado."
"45a7fd8a";"I am afraid you are much mistaken.";"Receio que você esteja muito enganado."
"45a7fd8b";"Who you think I am anyways?";"Quem você pensa que eu sou, afinal?"
"45a7fd8c";"Me?! Don't be a fool!";"Eu?! Não seja tolo!"
"45a7fd8d";"Oh please! Find someone else!";"Ah, por favor! Encontre outra pessoa!"
"45a7fd8e";"Mmm, I don't think I'm the one you're looking for.";"Hum, acho que não sou a pessoa que você procura."
"45a89156";"Erm, I think you have me confused with someone else...";"Hum, acho que você me confundiu com outra pessoa..."
"470caab2";"Hmmmm!";"Hmmm!"
"470caab3";"Hmmmm!";"Hmmm!"
"470caab4";"Hmmmm!";"Hmmm!"
"470caab5";"Hmmmm!";"Hmmm!"
"470caab6";"Hmmmm!";"Hmmm!"
"470caab7";"Hmmmm!";"Hmmm!"
"470cbe78";"Hmmmm!";"Hmmm!"
"4ea80bd9";"Hmm, I think you might have the wrong person.";"Hum, acho que você pode estar falando com a pessoa errada."
"4ea80bdb";"Hey, who do you think I am?!";"Ei, quem você pensa que eu sou?!"
"4ea80bdc";"That's not really, um, really appropriate, er, you know.";"Isso não é muito, hum, muito apropriado, sabe."
"4ea80bdd";"I don't believe you are addressing the correct person.";"Acho que você não está falando com a pessoa certa."
"4ea80bde";"Surely you must be searching for someone else.";"Certamente você deve estar procurando por outra pessoa."
"4ea80bdf";"Don't think it's me you're looking for. Better not be.";"Não pense que sou eu que você está procurando. É melhor que não seja."
"4ea9d0b0";"You sure you got the right person?! For pig's sakes...";"Tem certeza de que encontrou a pessoa certa?! Pelo amor de Deus..."
"4fbada8a";"Erm...";"Hum..."
"4fbada8b";"Erm...";"Hum..."
"4fbada8c";"Erm...";"Hum..."
"4fbada8d";"Erm...";"Hum..."
"4fbada8e";"Erm...";"Hum..."
"4fbada8f";"Erm...";"Hum..."
"4fbcc2f5";"I think not.";"Acho que não."
"520cbbe2";"Hmmmm!";"Hmmm!"
"520cbbe3";"Hmmmm!";"Hmmm!"
"520cbbe4";"Hmmmm!";"Hmmmm!"
"520cbbe5";"Hmmmm!";"Hmmmm!"
"520cbbe6";"Hmmmm!";"Hmmmm!"
"520cbbe7";"Hmmmm!";"Hmmmm!"
"520d9427";"Hmmmm!";"Hmmmm!"
"54bae2aa";"Erm...";"Hum..."
"54bae2ab";"Erm...";"Hum..."
"54bae2ac";"Erm...";"Hum..."
"54bae2ad";"Erm...";"Hum..."
"54bae2ae";"Erm...";"Hum..."
"54bae2af";"Erm...";"Hum..."
"54bcf0c7";"Erm...";"Hum..."
"6cded7b1";"Ooooooh...";"Ooooooh..."
"6cded7b2";"Ooooooh...";"Ooooooh..."
"6cded7b4";"Ooooooh...";"Ooooooh..."
"6cded7b5";"Ooooooh...";"Ooooooh..."
"6cded7b6";"Ooooooh...";"Ooooooh..."
"6cded7b7";"Ooooooh...";"Ooooooh..."
"6cdffd8e";"Ooooooh...";"Ooooooh..."
"728143d2";"Not exactly appealing.";"Nada atraente."
"728143d3";"Trying to make the world an uglier place, are you?";"Tentando tornar o mundo um lugar mais feio, é?"
"728143d4";"Not quite repulsive, but well on your way,";"Não chega a ser repulsivo, mas está quase lá,"
"728143d5";"That's pretty horrid.";"Isso é bem horrível."
"728a5f22";"What a sight!";"Que visão!"
"75dee599";"Ooooooh...";"Ooooooh..."
"75dee59a";"Ooooooh...";"Ooooooh..."
"75dee59b";"Ooooooh...";"Ooooooh..."
"75dee59c";"Ooooooh...";"Ooooooh..."
"75dee59d";"Ooooooh...";"Ooooooh..."
"75dee59f";"Ooooooh...";"Ooooooh..."
"75dfb821";"Ooooooh...";"Ooooooh..."
"7c40a5da";"You make me proud to be a man.";"Você me faz ter orgulho de ser homem."
"7c40a5db";"I've been thinking about you.";"Tenho pensado em você."
"7c40a5dc";"Are you busy later?";"Você estará ocupado(a) mais tarde?"
"7c40a5dd";"You make me feel quite tingly.";"Você me deixa arrepiado(a)."
"7c40a5de";"Ye've been in my dreams.";"Você esteve nos meus sonhos."
"7c40a5df";"I never get tired of seeing you.";"Eu nunca me canso de te ver."
"7c411f8c";"I am besotted!";"Estou apaixonado(a)!"
"7d815502";"That's pretty nasty.";"Isso é bem desagradável."
"7d815503";"That is the definition of ugly, I believe.";"Isso é a definição de feio, eu acho."
"7d815504";"I think the price of houses in this neighbourhood just went down.";"Acho que o preço das casas neste bairro acabou de cair."
"7d815505";"No need to make us all ill.";"Não precisa nos deixar todos doentes."
"7d86754a";"You can sure do "ugly".";"Você com certeza sabe fazer "feio"."
"8140adfa";"You make me proud to be a woman.";"Você me faz ter orgulho de ser mulher."
"8140adfb";"I was hoping to see you today.";"Eu esperava te ver hoje."
"8140adfc";"You're really quite something.";"Você é realmente especial."
"8140adfd";"I've been hoping to see you.";"Eu estava ansiosa para te ver."
"8140adfe";"Are you busy later?";"Você estará ocupada mais tarde?"
"8140adff";"You make me feel so feminine.";"Você me faz sentir tão feminina."
"8143001c";"I must admit, I am smitten.";"Devo admitir, estou apaixonada."
"81e018e9";"Ain't you a charmer?";"Você é um encanto, não é?"
"81e018ea";"You're plenty nice, ain't ya?";"Você é muito legal, não é?"
"81e018eb";"Oh, how devilishly wonderful.";"Oh, que diabolicamente maravilhoso."
"81e018ed";"You truly know how to capture a man's heart.";"Você realmente sabe como conquistar o coração de um homem."
"81e018ee";"Aww, you're such a darling.";"Ah, você é uma querida."
"81e018ef";"Hee hee. You really are a flirt.";"Hehe. Você é mesmo uma sedutora."
"81e6ae4a";"Ooh, you're such a charmer.";"Oh, você é um encanto."
"8ce02a19";"I like ye more each day I do.";"Gosto mais de você a cada dia que passa."
"8ce02a1a";"Aww, you're so romantic!";"Ah, você é tão romântico!"
"8ce02a1b";"Such temptation! Be still my heart!";"Que tentação! Meu coração dispara!"
"8ce02a1c";"I am captivated!";"Estou encantado!"
"8ce02a1e";"Oh, you are a tease.";"Oh, você é uma provocadora."
"8ce02a1f";"You're just a peach. A lovely sweet peach.";"Você é um pêssego. Um pêssego doce e adorável."
"8ce27fef";"You make me feel all warm inside.";"Você me faz sentir todo quentinho por dentro."
"a0a73633";"You ain't renowned as a heartbreaker, are ya?";"Você não é conhecido por partir corações, é?"
"a0a73634";"Oh, a celebrity likes me! This is incredible.";"Oh, uma celebridade gosta de mim! Isso é incrível."
"a0a73635";"I can't believe someone as famous as you could care for little old me!";"Não acredito que alguém tão famoso quanto você possa se importar com uma pessoa tão insignificante como eu!"
"a0a73637";"Oh, a celebrity likes me! This is incredible.";"Nossa, uma celebridade gosta de mim! Isso é incrível."
"a0a87ce9";"Oh my! Was that for me? But you're famous!";"Nossa! Isso foi para mim? Mas você é famoso!"
"a7a74139";"I always knew someone of great renown would notice me one day.";"Eu sempre soube que alguém de grande renome me notaria um dia."
"a7a7413a";"I can't believe someone as famous as you could care for little old me!";"Não acredito que alguém tão famoso quanto você possa se importar com uma pessoa tão insignificante como eu!"
"a7a7413e";"Oh my! Was that for me? But you're famous!";"Nossa! Isso foi para mim? Mas você é famoso!"
"a7a7413f";"Oh, a celebrity likes me! This is incredible.";"Nossa, uma celebridade gosta de mim! Isso é incrível."
"a7a811d3";"You ain't renowned as a heartbreaker, are you?";"Você não é conhecido por partir corações, é?"
"aa7cae52";"Oh! I'm... I'm so flattered! Wow!";"Oh! Eu... eu estou tão lisonjeada! Uau!"
"aa7cae55";"Oh, but you're so famous! I don't know what to say!";"Oh, mas você é tão famosa! Não sei o que dizer!"
"aa7cae56";"Reeeallly? Well, I never! Gobsmacked I am! Hee hee!";"Sério? Nossa! Estou boquiaberta! Hehe!"
"aa812b5d";"I am well truly overcome with emotion!";"Estou verdadeiramente tomado pela emoção!"
"ad4687f0";"Oh, I never dreamed someone so famous would notice me.";"Ah, eu nunca imaginei que alguém tão famoso me notasse."
"b1c992a9";"Oooooh. Hee hee.";"Oooooh. Hihi."
"b1c992aa";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"b1c992ab";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"b1c992ac";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"b1c992ad";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"b1c992ae";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"b1cc7d66";"Oooooh. Hee hee.";"Oooooh. Hehe."
"b57cbf83";"Oh, but you're so famous! I don't know what to say!";"Ah, mas você é tão famosa! Não sei o que dizer!"
"b57cbf85";"Oh! I'm... I'm so flattered! Wow!";"Oh! Eu... eu estou tão lisonjeada! Uau!"
"b57cbf86";"Reeeallly? Well, I never! Gobsmacked I am! Hee hee!";"Sério? Nossa! Estou boquiaberto! Hehe!"
"b57ce8a8";"I am well and truly overcome with emotion!";"Estou completamente tomado pela emoção!"
"bac9a0f9";"Oooooh. Hee hee.";"Oooooh. Hihi."
"bac9a0fb";"Oooooh. Hee hee.";"Oooooh. Hihi."
"bac9a0fc";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"bac9a0fd";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"bac9a0fe";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"bac9a0ff";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"baca0a35";"Oooooh. Hee hee.";"Oooooh. Hee hee."
"bb8f8e0a";"You ain't pretty, that's for sure.";"Você não é bonita, com certeza."
"bb8f8e0b";"You appearance is in poor taste.";"Sua aparência é de mau gosto."
"bb8f8e0d";"It is the lot of the rabble to be unattractive.";"É o destino da ralé ser pouco atraente."
"c68f9fb9";"Stop putting that face in front of me!";"Pare de fazer essa cara na minha frente!"
"c68f9fba";"Not as ugly as some, but that's nought to shout about.";"Não sou tão feio quanto alguns, mas isso não é motivo para alarde."
"c68f9fbb";"Are all commoners as ugly as you?";"Todos os plebeus são tão feios quanto você?"
"c68f9fbc";"Must you display your lack of good looks so brazenly?";"Precisa exibir sua falta de beleza de forma tão descarada?"
"c68f9fbe";"You're not disgusting or anything. Just not good looking.";"Você não é repugnante nem nada. Só não é bonito."
"c68f9fbf";"You need a licence for that face?";"Precisa de licença para essa cara?"
"c6942a38";"You might want to take better care of your looks.";"Talvez você devesse cuidar melhor da sua aparência."
