Hash;Original;Tradução
"8c9b159";"I was really worried you'd get your head lopped off in that Crucible!";"Eu estava realmente preocupado que você fosse decapitado naquele Crisol!"
"8c9b15a";"I was so worried something would happen to you in the Crucible!";"Eu estava tão preocupado que algo acontecesse com você no Crisol!"
"8c9b15d";"I was so worried something would happen to you in the Crucible!";"Eu estava tão preocupado que algo acontecesse com você no Crisol!"
"8c9b15e";"I'm so glad you came out of the Crucible alright!";"Que bom que você saiu ileso do Crisol!"
"8c9b15f";"I was so worried something would happen to you in the Crucible!";"Eu estava tão preocupado que algo acontecesse com você no Crisol!"
"8c9ef23";"I was so worried something would happen to you in the Crucible!";"Eu estava tão preocupado que algo acontecesse com você no Crisol!"
"13c9c289";"I'm so glad you came out of the Crucible alright!";"Que bom que você saiu ileso do Crisol!"
"13c9c28a";"I'm so glad you came out of the Crucible alright!";"Que bom que você saiu ileso do Crisol!"
"13c9c28b";"Oh, you survived the Crucible, dear! How wonderful!";"Ah, você sobreviveu ao Crisol, querido! Que maravilha!"
"13c9c28c";"I am so pleased you survived that ordeal known as the Crucible!";"Fico muito feliz que você tenha sobrevivido àquela provação conhecida como Crisol!"
"13c9c28e";"I was so worried something would happen to you in the Crucible!";"Eu estava tão preocupado que algo acontecesse com você no Crisol!"
"13c9c28f";"I'm so glad you came out of the Crucible alright!";"Que bom que você saiu ileso do Crisol!"
"13cc1e9b";"I'm so glad you came out of the Crucible alright!";"Que bom que você saiu ileso do Crisol!"
"1715db77";"Whoa! You're the Crucible champion! Cool!";"Uau! Você é o campeão do Crisol! Que legal!"
"1af303d1";"You think there's a pub inside? I bet there's a huge one.";"Você acha que tem um pub lá dentro? Aposto que tem um enorme."
"1afb5190";"Is it real? I mean, it is real, isn't it?";"É real? Quer dizer, é real, não é?"
"1dda7edb";"It's even weirder up close, innit?";"É ainda mais estranho de perto, não é?"
"1ddee7a0";"Is it too late to go back you think?";"Será que ainda dá tempo de voltar?"
"1e14e9e3";"Did you really win the Crucible? That's amazing.";"Você realmente venceu o Crisol? Isso é incrível."
"2bd4a6e7";"Woah! Look at it.";"Uau! Olha só!"
"2bd5f9d6";"Beggars belief, it does.";"É inacreditável, não é?"
"2fc49ac5";"What was the Crucible like? Was it totally brilliant??";"Como foi o Crisol? Foi totalmente brilhante?"
"38c424a2";"Do you remember what it was like in the Crucible?";"Você se lembra de como era no Crisol?"
"3da89973";"No way they can keep you out of the Crucible. You're too big a name.";"De jeito nenhum eles vão te impedir de entrar no Crisol. Você é um nome muito importante."
"3da89976";"Those Crucible keepers have to let you in. You've impressed everyone there is.";"Os guardiões do Crisol têm que te deixar entrar. Você impressionou todo mundo lá."
"3da8bcf3";"Can't wait to see you in the Crucible. Someone as famous as you's got to fight there.";"Mal posso esperar para te ver no Crisol. Alguém tão famoso quanto você tem que lutar lá."
"44a8a473";"When you going to fight in the Crucible? Everyone's waiting for it.";"Quando você vai lutar no Crisol? Todo mundo está esperando."
"44a8a476";"You should be fighting up in that Crucible, famous adventurer like you.";"Você deveria estar lutando lá no Crisol, aventureiro famoso como você."
"44aaf1ac";"Surely they'll let you in the Crucible. Everyone knows who you are round here.";"Com certeza eles vão te deixar entrar no Crisol. Todo mundo sabe quem você é por aqui."
"491a5c69";"It defies logic, death and reason to enter that savage arena of violence they call the Crucible.";"É ilógico, implacável e até mesmo descabido entrar naquela arena selvagem de violência que chamam de Crisol."
"491a5c6a";"The Crucible is a real test of ability... Sorts out the warriors from the corpses.";"O Crisol é um verdadeiro teste de habilidade... Separa os guerreiros dos cadáveres."
"491a5c6b";"I had lots more friends before. Till they all got drunk and decided to give the Crucible a try.";"Eu tinha muito mais amigos antes. Até que todos eles se embebedaram e resolveram tentar a sorte no Crisol."
"491a5c6c";"Oh, cannot wait for the Crucible to start up again. Gore gore gore!";"Ah, mal posso esperar para o Crisol começar de novo. Sangue, sangue, sangue!"
"491a5c6d";"Why would anyone risk their life in the Crucible?";"Por que alguém arriscaria a vida no Crisol?"
"491a5c6e";"I'd wish luck to anyone going into the Crucible. But they'd need a miracle, and I'm not a monk.";"Eu desejaria boa sorte a qualquer um que entrasse no Crisol. Mas eles precisariam de um milagre, e eu não sou um monge."
"491dc86e";"Hardly anyone comes out alive from the Crucible.";"Quase ninguém sai vivo do Crisol."
"521a6ab9";"You're not really thinking of going to see the Crucible, are you? But... but... it's sick!";"Você não está mesmo pensando em ir ver o Crucible, está? Mas... mas... é doentio!"
