Hash;Original;Tradução
"471c679";"Ah, ya can be real sweet sometimes.";"Ah, você pode ser muito doce às vezes."
"471c67a";"I see ya still care. Always nice to know.";"Vejo que você ainda se importa. É sempre bom saber."
"471c67b";"You certainly know how to keep the flame of our marriage alive.";"Você certamente sabe como manter a chama do nosso casamento acesa."
"471c67c";"That is very sweet of your, my darling.";"Isso é muito doce da sua parte, meu bem."
"471c67e";"This is so thoughtful, darling.";"Que gesto atencioso, querida."
"471c67f";"Oh, you're so sweet, dear.";"Oh, você é tão doce, querida."
"4728c5b";"Oh, how thoughtful of you, dear.";"Oh, que gesto atencioso da sua parte, querida."
"744b011";"That's lovely!";"Que lindo!"
"744b012";"Well ain't you a sweetie?";"Que gracinha você é!"
"744b013";"How terribly sweet of you.";"Que gentileza da sua parte."
"744b014";"Oh! I shall keep it under my pillow.";"Ah! Vou guardar debaixo do meu travesseiro."
"744b016";"Oh, for me? Oh, that's lovely!";"Ah, para mim? Oh, que lindo!"
"744b017";"Aren't you sweet?";"Que fofo(a)!"
"7450de4";"Aww, you're so romantic.";"Ah, você é tão romântico(a)."
"986b6d8";"Okay, take this and eat something.";"Ok, pegue isso e coma alguma coisa."
"c44b831";"Aww, I'm not used to getting presents...";"Ah, não estou acostumada a ganhar presentes..."
"c44b832";"You're pure treasure you are.";"Você é um tesouro."
"c44b833";"This is truly moving, thank you.";"Isso é realmente emocionante, obrigada."
"c44b835";"Oh, how very touching!";"Oh, que tocante!"
"c44b836";"I love it! Thank you.";"Adoro isso! Obrigado."
"c44b837";"I'll treasure it forever.";"Vou guardar para sempre."
"c48a5a0";"Why, thank you. You're a sweetheart.";"Muito obrigada. Você é um amor."
"14867178";"Well, alright, but don't waste it.";"Bem, tudo bem, mas não desperdice."
"1997b114";"Ooooooh!";"Ooooooh!"
"1decb8b9";"You don't need my gold, you liar.";"Você não precisa do meu ouro, seu mentiroso."
"22ef9c61";"You're not supposed to beg off kids.";"Não se deve implorar para que as crianças parem de te procurar."
"23cdf8f1";"You'll be lucky. Ha ha.";"Você terá sorte. Ha ha."
"23cdf8f4";"If ya think yer gettin' anythin' from me, you're seriously mistaken.";"Se você acha que vai conseguir alguma coisa de mim, está muito enganado."
"23cdf8f6";"I have a personal policy never to give to beggars.";"Tenho uma política pessoal de nunca dar nada a mendigos."
"23cdf8f7";"Leave me alone.";"Me deixe em paz."
"23d5103b";"I'm not giving you anything. Now shoo!";"Não vou te dar nada. Agora vaza!"
"2497e85c";"Wooooo!";"Uau!"
"28ce0091";"Some of us have to work for our gold, you know.";"Alguns de nós temos que trabalhar duro para conquistar o nosso ouro, sabe?"
"28ce0095";"Look, I'm not feeling very charitable right now.";"Olha, não estou me sentindo muito generoso agora."
"28ce0096";"Is this some sort of get rich quick scheme?";"Será que isso é algum esquema para ficar rico rápido?"
"28ce0097";"Look, I'm not feeling very charitable right now. Okay?";"Olha, não estou muito generoso agora. Tudo bem?"
"28d082b8";"Why don't you try getting a job instead.";"Por que você não tenta arrumar um emprego?"
"3ebe8a79";"Well, knock me sideways! I gift from you!";"Nossa! Que presente seu!"
"3ebe8a7a";"You?? You want to give *me* that?? I think I just soiled myself.";"Você?? Você quer me dar isso?? Acho que me sujei todo."
"3ebe8a7b";"Wha-- you? Wha-- me? I may just explode from the extraordinariness of it all! Thank you!";"O quê? Você? O quê? Eu? Acho que vou explodir de tanta extraordinariedade! Obrigada!"
"3ebe8a7d";"Oh MY. Wait until the fellows hear about this!";"Nossa! Espere até os rapazes saberem disso!"
"3ebe8a7e";"For me? Really? It's... it's... great!";"Para mim? Sério? É... é... ótimo!"
"3ebe8a7f";"Oh wow! I can't believe it! You really feel that way? Oh wow!";"Nossa! Não acredito! Você realmente pensa assim? Nossa!"
"3ebfe248";"I... I'm speechless! Wow. You! Giving me! This!";"Eu... eu estou sem palavras! Nossa. Você! Me dando! Isso!"
"46ded071";"Er... I haven't got any change on me. Sorry.";"Er... Não tenho troco. Desculpe."
"46ded073";"You should be ashamed of yourself, trying to take money from honest folk.";"Você deveria ter vergonha de tentar tirar dinheiro de pessoas honestas."
"46ded074";"There's no way you're getting my gold.";"Você não vai levar meu ouro de jeito nenhum."
"46ded075";"I reserve my charity for those who truly need it.";"Reservo minha caridade para aqueles que realmente precisam."
"46ded076";"It's disgraceful what some people will do to trick others out of money.";"É vergonhoso o que algumas pessoas fazem para enganar os outros e tirar dinheiro deles."
"46ded077";"I can't spare a thing.";"Não tenho nada a perder."
"46e259cc";"Got nothing for the likes of you.";"Não tenho nada para gente como você."
