Hash;Original;Tradução
"5f05f91";"You know where I can load up on drinks?";"Sabe onde posso comprar bebidas?"
"5f05f94";"Need to buy some drinks. I don't want any fancy wines. Beer plain and simple for me.";"Preciso comprar bebidas. Não quero vinhos sofisticados. Cerveja, simples assim, para mim."
"5f05f96";"I'm pretty thirsty. Know where I could get a drink?";"Estou com bastante sede. Sabe onde posso encontrar uma bebida?"
"5f05f97";"Do you know where the nearest off licence is?";"Você sabe onde fica a loja de bebidas mais próxima?"
"5f2b36e";"Okay, I'll admit it, I have a drink problem. I don't know where I can buy drinks.";"Ok, admito, tenho um problema com bebida. Não sei onde posso comprar bebidas."
"8fc66c3";"Some of you may be in line for a promotion if you do your job well.";"Alguns de vocês podem estar a caminho de uma promoção se fizerem bem o seu trabalho."
"af067b1";"I like getting drunk but I don't like to socialise, where can I shop for cheap booze?";"Eu gosto de ficar bêbado, mas não gosto de socializar. Onde posso comprar bebida barata?"
"af067b5";"The local inn sent me to stock up their drinks, but I don't know where to buy them.";"O bar local me mandou abastecer o estoque de bebidas, mas não sei onde comprá-las."
"af067b6";"I've decided to become an alcoholic. I just need to buy the alcohol.";"Decidi me tornar um alcoólatra. Só preciso comprar a bebida."
"af067b7";"Is one bottle of beer enough for a party of twenty people? I didn't think so. I should buy some more.";"Uma garrafa de cerveja é suficiente para uma festa de vinte pessoas? Acho que não. Devo comprar mais."
"af3d182";"I've decided to turn my house into a pub. I just need to buy the alcohol.";"Decidi transformar minha casa em um bar. Só preciso comprar a bebida."
"1079dd79";"You should hurry and get your shoppin' done while the sale's on.";"Você deveria se apressar e fazer suas compras enquanto a promoção dura."
"1079dd7d";"Gonna do all my shoppin' while there's a sale.";"Vou aproveitar a promoção e fazer todas as minhas compras!"
"1079dd7e";"I hear there's a sale on. Time for some shopping!";"Ouvi dizer que está rolando uma promoção. Hora de ir às compras!"
"1079dd7f";"Did you hear about the sale in the shops?";"Você ouviu falar da promoção nas lojas?"
"107dcd15";"I've been waiting for a sale to be on in the shops for ages. And now it's here!";"Estava esperando uma promoção nas lojas há séculos. E finalmente chegou!"
"146c6dd2";"Does anywhere sell augments round here?";"Alguém sabe onde posso encontrar aprimoramentos por aqui?"
"146c6dd3";"My friend's husband is looking for an augmentation for his axe. It doesn't chop down trees like it used to.";"O marido da minha amiga está procurando um aprimoramento para o machado dele. Ele não corta árvores como antes."
"146c6dd4";"I'm looking for an augment for my steak knife. Know of anywhere?";"Estou procurando um aprimoramento para minha faca de bife. Alguém sabe onde posso encontrar?"
"146c6dd5";"I need an augment for my beating-men-away stick.";"Preciso de um aprimoramento para meu bastão de espancar homens."
"146d85a3";"I need an augment for my mini-crossbow, where can I get one?";"Preciso de um aprimoramento para minha mini-besta, onde posso conseguir um?"
"1b1cde91";"Look, I'm desperate, just tell me where I can stock up on booze.";"Olha, estou desesperado, me diga onde posso comprar bebidas."
"1b1cde93";"It's my turn to buy the drinks this week. Where should I go?";"É minha vez de comprar as bebidas esta semana. Onde devo ir?"
"1b1cde96";"What's the best place to buy some drinks?";"Qual o melhor lugar para comprar bebidas?"
"1b1cde97";"I'm giving a party for the lads. Where can I stock up on ale?";"Vou dar uma festa para os amigos. Onde posso comprar cerveja?"
"1b209566";"My liquor cabinet's looking kinda bare. Where can I stock it up?";"Meu armário de bebidas está meio vazio. Onde posso reabastecer?"
"1b79eea9";"You not going to the sale?";"Você não vai à liquidação?"
"1b79eeac";"Take my advice and buy what you need now. Sale's on.";"Aceite meu conselho e compre o que precisa agora. A liquidação começou."
"1b79eeae";"There's some bargains in the shops right now.";"Tem umas ofertas imperdíveis nas lojas agora."
"1b79eeaf";"I got some really great stuff in the sale near here.";"Comprei umas coisas ótimas na promoção aqui perto."
"1b7e891b";"Good time to stock up while there's a sale on.";"Ótima hora para estocar enquanto tem promoção."
"1f6c7f02";"I'm trying to find an augmenation for my mace. You know, to really smash things up.";"Estou tentando encontrar um aprimoramento para minha maça. Sabe, para realmente destruir coisas."
"1f6c7f03";"Where can I buy an augment for my sense of self-esteem?";"Onde posso comprar um aprimoramento para minha autoestima?"
"1f6c7f04";"You think I could get an augmentation fitted on my frying pan? Would be nice if my breakfast cooked itself.";"Você acha que eu conseguiria colocar um aprimoramento na minha frigideira? Seria ótimo se meu café da manhã se preparasse sozinho."
"1f6c7f05";"Where can I buy an augment?";"Onde posso comprar um aumento?"
"1f70a83d";"Where can I get me an augment for my keys so they can open any door? Just in case I need to break into an house and... you know, save someone.";"Onde posso conseguir um aprimoramento para minhas chaves para que elas abram qualquer porta? Só por precaução, caso eu precise invadir uma casa e... sabe, salvar alguém."
"221ce993";"Hey, where can I buy some drinks for my beach party?";"Ei, onde posso comprar bebidas para a minha festa na praia?"
