Hash;Original;Tradução
"37a19a6";"The Chopper";"O Helicóptero"
"47d6f82";"Heavy Oak Crossbow";"Besta de Carvalho Pesado"
"5310b28";"This devastating battle axe was the favoured weapon of the elite guard of Lord Onish, ruler of northern Samarkand a thousand years ago. Despite their age, they are as sharp and effective as any axe forged by a modern master blacksmith.";"Este devastador machado de batalha era a arma favorita da guarda de elite de Lorde Onish, governante do norte de Samarcanda há mil anos. Apesar da idade, ele é tão afiado e eficaz quanto qualquer machado forjado por um mestre ferreiro moderno."
"65fb833";"Master Cleaver";"Mestre Cutelo"
"9167a67";"Should never appear in game";"Nunca deveria aparecer no jogo"
"10ee7ef3";"Dash's Goggles";"Óculos do Dash"
"14628cae";"The contract Lucien signed ordering your assassination at the hands of the Highwaymen's Guild. You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"O contrato que Lucien assinou ordenando seu assassinato pelas mãos da Guilda dos Salteadores. Você pode exibir os troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede de sua casa."
"1561419a";"Base Crossbow";"Besta de Base"
"1d385fe4";"Rupert's Date's Details";"Detalhes do Encontro de Rupert"
"250e85de";"Heavy Master Crossbow";"Besta Mestra Pesada"
"2b0f77e3";"Master Axe";"Mestre Machado"
"32d5555a";"Legendary Axe: The Chopper";"Machado Lendário : O Cortador"
"331b00e5";"Taken from the head hobbe who was holding your child captive, this is a reminder of the terrible things that could befall your loved ones. You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"Obtido do chefe hobbe que mantinha seu filho em cativeiro, este item serve como lembrete das coisas terríveis que poderiam acontecer aos seus entes queridos. Você pode exibir troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede de sua casa."
"3912f7e9";"Who knows how many landlubbers died by this steel? You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"Quem sabe quantos marinheiros de água doce morreram por causa deste aço? Você pode exibir os troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede da sua casa."
"3b7e12bc";"Heavy Yew Crossbow";"Besta Pesada de Teixo"
"3b880649";"The Rising Sun";"O Sol Nascente"
"3d596dd8";"Shard Shard";"Shard Shard"
"3ff1dfe9";"Broken Spire Collar";"Colarinho da Torre Quebrada"
"45c145e9";"Temple of Light Seal";"Selo do Templo da Luz"
"4b9659c0";"You are a Crucible champion, and here is your proof! You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"Você é um campeão do Crisol, e aqui está a sua prova! Você pode exibir os troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede da sua casa."
"4b9f39d8";"The smell of rotting flesh began long before the hobbe's death. It's still cute though. You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"O cheiro de carne podre começou muito antes da morte do hobbit. Ainda é bonitinho, no entanto. Você pode exibir troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede de sua casa."
"4d4bea63";"Cleavers are swift and cause light damage. And while this one is more likely to cause death through disease than the effective rendering of flesh, there is nonetheless something rather brutal and nasty about it.";"As facas-de-afiar são rápidas e causam danos leves. E embora esta seja mais propensa a causar morte por doença do que por dilacerar a carne, há, no entanto, algo bastante brutal e repugnante nela."
"4f8ee3f0";"If it feels like its looking at you, it's probably because it is. You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"Se parece que está olhando para você, provavelmente está mesmo. Você pode exibir troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede da sua casa."
"574bcd8e";"Thag's Head";"Cabeça do Thag"
"5a953fc6";"Though popular among well-to-do Fairfax citizens who use them as decorative items and to carve unicorn meat, there are few weapons as likely to tear a ribbon to shreds than these magnificent cleavers.";"Embora populares entre os cidadãos abastados de Fairfax, que as usam como itens decorativos e para cortar carne de unicórnio, poucas armas são tão capazes de rasgar uma fita em pedaços quanto esses magníficos cutelos."
"62228ac5";"A very basic, but sturdy weapon. It was traditionally the weapon of choice of the wild warriors of ancient Brightwood. It may be slow, but it can delivery a hefty bit of damage.";"Uma arma muito básica, porém robusta. Tradicionalmente, era a arma preferida dos guerreiros selvagens da antiga Brightwood. Pode ser lenta, mas causa um dano considerável."
"6464d607";"Iron Cleaver";"Cutelo de Ferro"
"64fb1637";"It lacks the personality of its father, but it's still a lovable reminder of your former Super Best Friend. You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"Ele não tem a personalidade do pai, mas ainda é uma lembrança adorável do seu antigo Super Melhor Amigo. Você pode exibir os troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede da sua casa."
"67cf2701";"A solid and well-crafted crossbow, it will cause panic among the ranks of your enemies if you can wield it properly.";"Uma besta sólida e bem-feita, que causará pânico entre seus inimigos se você souber usá-la corretamente."
"68b6e9d1";"Son of Chesty";"Filho de Chesty"
"6cac1000";"Hollow Man Head";"Cabeça de Homem Oco"
"6f1e55a1";"As its name implies, this is a heavy, slow weapon, unwieldy even in the best of circumstances. It will still hurt your enemies, just make sure they're not close enough to strike you while you reload it.";"Como o nome indica, esta é uma arma pesada e lenta, difícil de manusear mesmo nas melhores circunstâncias. Ela ainda causará dano aos seus inimigos, apenas certifique-se de que eles não estejam perto o suficiente para atacá-lo enquanto você recarrega."
"7228d261";"Somehow the sight of T.O.B.Y.'s mutton fills you with a vague sense of despair rather than hope. Maybe its the thought of this mythic mutton creature. You can display quest trophies to crowds of villagers to increase your renown or hang them up on the wall of your house.";"De alguma forma, a visão do carneiro do T.O.B.Y. te enche de uma vaga sensação de desespero em vez de esperança. Talvez seja o pensamento nessa criatura mítica de carneiro. Você pode exibir troféus de missões para multidões de aldeões para aumentar sua fama ou pendurá-los na parede da sua casa."
"73c119cc";"Weapon";"Arma"
