Hash;Original;Tradução
"1d836a1";"Wow! The Sore Coast is really huge! Let's go 'sploring!";"Uau! A Costa Dolorosa é enorme! Vamos explorar!"
"38012a5";"I'm a Lawful Evil Conjurer! Stop while I think about casting something.";"Sou um Conjurador Maligno e Leal! Pare enquanto penso em conjurar algo."
"42d0f00";"Die, you vilest creature! You suck!";"Morra, criatura vil! Você é um lixo!"
"e70440b";"Take that, you spicy mutant! Oh why did we meddle with the human condition??";"Toma essa, seu mutante apimentado! Por que interferimos na condição humana?"
"102a7826";"Wow! Look! We're in the underwater city of Beersock!";"Uau! Olha! Estamos na cidade subaquática de Beersock!"
"10f16e6d";"I've found someone to sacrifice!";"Encontrei alguém para sacrificar!"
"1511fc6f";"We've killed Thag and saved our friends!";"Matamos Thag e salvamos nossos amigos!"
"1770fc90";"I'm running low on eve... I mean mana! This is what happens when political ideals are taken to extremes by deranged individuals!";"Estou ficando sem eve... quer dizer, mana! É isso que acontece quando ideais políticos são levados ao extremo por indivíduos desequilibrados!"
"17eebf6e";"I'm taking someone to the Wheel of Sacrifice!";"Vou levar alguém à Roda do Sacrifício!"
"19293a4a";"Careful! The underwater city of Beersock is full of creepy little girls!";"Cuidado! A cidade subaquática de Beersock está cheia de garotinhas assustadoras!"
"1a15ff55";"Now Thag's dead we're all safe!";"Agora que Thag está morto, estamos todos a salvo!"
"1aa454c8";"I swing my sword for 30 damage!";"Eu golpeio minha espada e causo 30 de dano!"
"1d9e48b0";"Take that!";"Toma essa!"
"20d50177";"We have found Thag! Let's get him!";"Encontramos o Thag! Vamos pegá-lo!"
"22a1149c";"ARRRRR!";"ARRRRR!"
"23a4ab33";"My sword gets another baddy!";"Minha espada ganha mais um vilão!"
"29d18ed0";"Here are the friends Thag took! Free them!";"Aqui estão os amigos que Thag levou! Liberte-os!"
"2c4c613f";"I'm tired! We've been playing this one for months already, haven't we?";"Estou cansado! Já faz meses que estamos jogando isso, não é?"
"2ca9f1b7";"Oh no! There's drunken mist in this round! Glhglhglhg...";"Oh não! Tem névoa de bêbado nesta rodada! Glhglhglhg..."
"2d932481";"Here I am at the Heroes Guild. This is gonna be so cool!";"Aqui estou eu na Guilda dos Heróis. Isso vai ser muito legal!"
"2da15d90";"The Crucible rounds are getting harder but I'm still winning!";"As rodadas do Crisol estão ficando mais difíceis, mas eu ainda estou ganhando!"
"2eb41d0c";"The evil Shadow monks are attacking us!";"Os monges das Sombras malignos estão nos atacando!"
"319c9a06";"Take that hobbe! And that! Yeah! I beat this round!";"Toma essa, hobbe! E essa! É isso aí! Eu ganhei essa rodada!"
"326052e5";"I'll bash you with my Battleaxe of Overcompensating Boldness. Have it!";"Vou te esmagar com meu Machado de Batalha da Audácia Exagerada. Tome!"
"3439bfcc";"Quick! To the next portal!";"Rápido! Para o próximo portal!"
"355341e2";"We stopped the war and sent the baddy back to the nasty dimension!";"Acabamos com a guerra e mandamos o vilão de volta para a dimensão sinistra!"
"36937810";"I am Whisper. And I too will become a Hero, like my brother Thunder.";"Eu sou Whisper. E eu também me tornarei um Herói, como meu irmão Thunder."
"36a2a6cf";"I've made through five rounds of the Crucible! Next up is Hollow Men!";"Completei cinco rodadas do Crisol! A próxima é Homens Ocos!"
"376091bd";"So I hit like a girl, do I? You'll see!";"Então eu bato como uma garota, é? Você vai ver!"
"37b3df9d";"The nasty people from the Temple of Shadows are coming to get us!";"Os malvados habitantes do Templo das Sombras estão vindo nos pegar!"
"39ba1e54";"My evil reward card is full of points!";"Meu cartão de recompensas maligno está cheio de pontos!"
"3b3a19e8";"Swiftly! Make haste to the next portal!";"Rápido! Apresse-se para o próximo portal!"
"3c88083c";"No more eating gravel for me! Let the search for gruel begin!";"Chega de comer cascalho para mim! Que comece a busca por mingau!"
"42b7f2e0";"Yeah, I got lots of Evil reward points!";"É, eu ganhei muitos pontos de recompensa do Mal!"
"4788bac0";"Oh what I wouldn't give for some gruel! Let's go on a quest for some!";"Ah, o que eu não daria por um mingau! Vamos em busca de um!"
"48b98312";"I'm fighting a bunch of guards in the Spire. I need to escape!";"Estou lutando contra um bando de guardas na Torre. Preciso escapar!"
"490805fc";"I will strike thee down with my mighty Sword of Stupidly Named Silliness!";"Eu te derrubarei com minha poderosa Espada da Tolice de Nome Estúpido!"
"4e048943";"I'm gonna chop your head off!";"Vou cortar sua cabeça!"
"506f991c";"I may live in a shoe box and lick the road clean for a living, but that magic gruel will be mine!";"Posso morar numa caixa de sapatos e lamber a rua para sobreviver, mas esse mingau mágico será meu!"
"51ba5a39";"I'm almost out of the Spire. I need to find a boat!";"Estou quase saindo da Torre. Preciso encontrar um barco!"
"5226d1c7";"And the bandit's head is chopped clean off. Probably the first time there's been anything clean about him. Ho ho.";"E a cabeça do bandido foi decepada. Provavelmente a primeira vez que vi algo limpo nele. Ho ho."
"576fc633";"We live in paper bags and work 29 hours a day down the mill, but soon we will have the magic gruel!";"Moramos em sacos de papel e trabalhamos 29 horas por dia na fábrica, mas logo teremos o mingau mágico!"
"5b26d490";"Welcome to round 6, the one that comes straight after 5.";"Bem-vindo à rodada 6, aquela que vem logo depois da 5."
"5df01898";"I'm the governor of this island, and I'd never want to date an undead pirate.";"Eu sou o governador desta ilha e jamais namoraria um pirata morto-vivo."
"64f01967";"I want to be a pirate! And not the ghost kind either. This island looks like the place to do it.";"Eu quero ser um pirata! E não um pirata fantasma. Esta ilha parece o lugar perfeito para isso."
"692727db";"Woah, it's a good thing I like reading! But I made it to the end with you, Chief.";"Uau, ainda bem que gosto de ler! Mas cheguei ao fim com você, Chefe."
"7085368b";"Hmm, somehow I thought there would be more Heroes training here. Where'd they all go?";"Hum, de alguma forma eu pensei que haveria mais Heróis treinando aqui. Para onde foram todos?"
"72026afb";"Farewell underwater city. The nightmare is over.";"Adeus, cidade subaquática. O pesadelo acabou."
"73792078";"Bow down to the greatest female Crucible champion ever!";"Inclinem-se perante a maior campeã feminina do Crucible de todos os tempos!"
"7426cd48";"It's all over! No wonder I wanted to lose my memory after the terrible things I did!";"Acabou! Não é à toa que eu queria perder a memória depois das coisas terríveis que fiz!"
"759ae170";"We are the Warriors of Borogian! Honestly, who comes up with these names?";"Nós somos os Guerreiros de Borogian! Honestamente, quem inventa esses nomes?"
"7787107c";"How long do I have to spend hitting dummies with a stick?";"Quanto tempo eu tenho que passar batendo em bonecos de treino com um graveto?"
"77a5a5f8";"I've been locked up in the Spire. I have to get out!";"Estou preso na Torre. Preciso sair!"
"78791d47";"I am the Crucible champion! I rule!";"Eu sou o campeão do Crisol! Eu mando!"
"7c97ecb8";"Critical Hit! Critical Hit! Awesome!";"Acerto Crítico! Acerto Crítico! Incrível!"
"7d028c00";"There is nothing scarier that a sock soaked in beer, but we have escaped Beersock now.";"Não há nada mais assustador do que uma meia encharcada de cerveja, mas escapamos da Meia de Cerveja."
"7ea4ab1b";"Oh, no! I'm trapped in the Spire!";"Oh, não! Estou preso na Torre!"
"8146bb7c";"Thag has kidnapped our friends! We have to save them!";"Thag sequestrou nossos amigos! Temos que salvá-los!"
"82f63ead";"I challenge you to a duel! You fight like a dairy farmer!";"Eu te desafio para um duelo! Você luta como um fazendeiro!"
"83eb0ca9";"Jack of Blades has turned into a dragon! We have to stop him opening his dragon-pen door!";"Jack of Blades se transformou em um dragão! Temos que impedi-lo de abrir a porta do seu covil de dragões!"
"841c2dcd";"Nooo! It's just like my dream! Bandits are burning my home! And mother is nowhere to be found!";"Não! É igualzinho ao meu sonho! Bandidos estão queimando minha casa! E minha mãe sumiu!"
"84c705ea";"Ya jolly band of scurvy biscuit-munchers! We be celebrating with vast quantities of grog tonight!";"Ó bando de comedores de biscoitos sarnentos! Vamos comemorar com muita bebida hoje à noite!"
"88ea0c16";"Jack of Blades is alive?? How can this be?? Good thing I have my special sword!";"Jack of Blades está vivo?? Como isso é possível?? Ainda bem que tenho minha espada especial!"
"89fa20a5";"I wonder how far I can spit... Maybe all the way to that tree stump that leads down to the catacombs.";"Será que consigo cuspir bem longe? Talvez até aquele toco de árvore que leva às catacumbas."
"8a0ad101";"There are Oblivious portals opening everywhere! We have to close them!";"Há portais do Esquecido se abrindo por toda parte! Precisamos fechá-los!"
"8a49a181";"Thag must pay for what he's done!";"Thag precisa pagar pelo que fez!"
"8a7dcd98";"Aww, doesn't Jack look cute as a dragon? And his voice is nowhere near as annoying!";"Ah, o Jack não fica uma gracinha de dragão? E a voz dele não é nem de longe tão irritante!"
"8b086e8c";"We must protect our beautiful lake camp from those dastardly bandits!";"Precisamos proteger nosso lindo acampamento à beira do lago daqueles bandidos covardes!"
"8b1a9f9d";"Bandits are attacking my village, just as my sister predicted!";"Bandidos estão atacando minha vila, exatamente como minha irmã previu!"
"8c72734e";"Come on! Let's stop those bandits contaminating our idyllic environment!";"Vamos lá! Vamos impedir esses bandidos de contaminarem nosso ambiente idílico!"
"8fca5d33";"We be burying this here booty, and may landlubbers ne'er set eye on it!";"Estamos enterrando este tesouro aqui, e que os marinheiros de água doce nunca ponham os olhos nele!"
"9006736c";"This lake is our home! And the water is nice and clear! We can't let bandits mess it up!";"Este lago é a nossa casa! E a água é linda e cristalina! Não podemos deixar que bandidos a estraguem!"
"92dd6842";"We have emerged triumphant over those void-dwelling fiends!";"Saímos triunfantes sobre aqueles demônios que habitavam o vazio!"
"936cd95b";"I've won the Crucible! The crowd chants my name!";"Eu ganhei o Crucible! A multidão grita meu nome!"
"937aa068";"That's right, Jack! Fly into the air! I'm going to chop your tail right off!";"Isso mesmo, Jack! Voe para o alto! Vou cortar seu rabo fora!"
"950ae2b3";"Intradimensional portals are flooding our reality with demonic entities!";"Portais intradimensionais estão inundando nossa realidade com entidades demoníacas!"
"960602fb";"I poke the creature with my knife!";"Eu cutuco a criatura com minha faca!"
"96474b3e";"This is has been our best selling week in years! Finally we can afford that loft extension!";"Esta foi a nossa semana de melhores vendas em anos! Finalmente podemos pagar a ampliação do sótão!"
"97741818";"Take that, bandit! You won't take this camp away from us!";"Toma essa, bandido! Você não vai tomar este acampamento de nós!"
