Hash;Original;Tradução
"16f063f";"Apparently it is the latest fashion to eat raw fish off naked servants. Most unsanitary if you ask me.";"Aparentemente, comer peixe cru servido por empregados nus virou moda. Muito anti-higiênico, na minha opinião."
"174fd3a";"I am having skylight installed in my ceiling so that I may gaze upon the stars.";"Estou instalando uma claraboia no meu teto para poder contemplar as estrelas."
"9b3d283";"Seen any bandits recently? Scum, all of them.";"Viu algum bandido por aí? Escória, todos eles."
"be25a6b";"Ahh, sometimes I tire of this wealth. One day I shall give it all away and... Oh, who am I kidding? I love it!";"Ah, às vezes me canso dessa riqueza. Um dia, vou doar tudo e... Ah, quem eu quero enganar? Eu adoro!"
"be524e5";"Hm, shall I buy some poor people today? Hm, you can never own too many poor people I suppose.";"Hm, devo comprar alguns pobres hoje? Hm, acho que nunca se tem pobres demais."
"16e26b9b";"Perhaps I should give a party. I can serve Old Kingdom canapes!";"Talvez eu devesse dar uma festa. Posso servir canapés do Antigo Reino!"
"16e31158";"I knew I shouldn't have left the house without my Balverine fur coat. I'm catching a chill.";"Eu sabia que não deveria ter saído de casa sem meu casaco de pele de Balverine. Estou ficando resfriado."
"1b483500";"I've been meaning to visit your book store.";"Eu estava querendo visitar sua livraria."
"1ebb5340";"My grandma was a farmer. She had a big bushy beard.";"Minha avó era fazendeira. Ela tinha uma barba grande e espessa."
"218f9515";"You don't actually live in the Gravekeeper's Mansion do you? Must be kind of creepy.";"Você não mora mesmo na Mansão do Coveiro, mora? Deve ser meio assustador."
"26475fc8";"Aren't you the new owner of that book store?";"Você não é o novo dono daquela livraria?"
"29bd151b";"Don't think I could be a farmer. Work, work, work, all day long.";"Não acho que conseguiria ser fazendeiro. Trabalho, trabalho, trabalho, o dia todo."
"2c8e84d3";"Is it true what they say about the basement of the Gravekeeper's mansion?";"É verdade o que dizem sobre o porão da mansão do Coveiro?"
"3bcbd429";"I can't believe only six species of animals were made extinct to fashion these trousers. I mean, I feel so cheap.";"Não acredito que apenas seis espécies de animais foram extintas para confeccionar estas calças. Me sinto tão insignificante."
"3bced26f";"My gold purse is weighing me down again. Oh, the humanity!";"Minha bolsa de ouro está me pesando de novo. Oh, a humanidade!"
"41006879";"I am not jesting, that is the magante who owns all of Albion.";"Não estou brincando, esse é o magnata que controla toda Albion."
"4100687a";"I always dreamt of owning the whole world - and there goes someone who's made that dream real!";"Eu sempre sonhei em ser dono do mundo inteiro - e eis que alguém realizou esse sonho!"
